gene_symbol,n_groups,mean_log2FC
Fkbp5,11,0.7470682834449456
Mertk,9,1.2121927355484505
Hif3a,9,0.7995780219547958
Ids,8,-0.15998217399757797
Xdh,8,0.6732715531274729
Arrdc2,8,0.4658620469862968
Bmpr1a,7,-0.05193850579737209
Rpl28,7,0.1592360457596476
Ptch1,7,-0.05483917497996155
Gtpbp6,7,0.14176063341031808
Kif1b,7,0.022109055783952145
Tpr,7,0.10647094911531418
Edf1,7,0.22686681580318774
Clcn3,7,-0.12355364878331443
Atp6v1f,7,0.04608493781958359
Pten,7,-0.12778778333227592
Gclm,7,0.2724086410720695
Chpt1,7,-0.1618882562044198
Zbtb16,7,0.5751604127792387
Acvr1c,7,3.0532768937824177
Fkbp8,7,0.14933761163865344
Chm,7,-0.17933203436134385
Nrxn2,7,0.18577517320796486
Rps24,7,-0.04035159501168236
Rps27,7,0.10119302246880922
Atp11c,7,4.441625777473907
Slc5a3,7,-0.1936596317308888
Vps33a,7,0.20322654321856518
Pacsin1,7,0.20690433259494923
Map1lc3a,7,0.3820824895719028
Spred1,7,-0.2922367829848358
Rpl39,7,-0.043457819147214284
Myh10,7,0.10716459255219389
Rbm3,7,0.18024929372392745
Rc3h1,7,-0.08577406888529082
Nol7,6,-0.026934633298021295
Rps3,6,-0.10369281531483668
Rps6,6,0.12418256840486515
Abcb7,6,-0.06881491280823575
Bmpr1b,6,-0.0617692559216381
Upf3a,6,0.21645071917310188
Foxk1,6,0.21829269591324857
Phf6,6,-0.40927372054987116
Sh3glb1,6,-0.1935101397977756
Zfp771,6,1.65092230335842
Uqcrh,6,-0.03142129898272331
Tjp1,6,-0.17868924902787559
Chka,6,0.30975123380699543
Fmr1,6,-0.11703016351555665
Adam10,6,-0.08609367871142656
Map3k6,6,0.7261603268260864
Lmbrd2,6,0.07713839600153174
Wwp1,6,-0.22419079916803358
Pnrc1,6,0.36219089557035183
Ube3a,6,-0.035855867994023564
Gale,6,0.23894261830169505
Gca,6,-0.14182079277007015
Gcc2,6,-0.0014831168532795092
Nol6,6,0.0027437752525717313
Rrp1,6,0.09955078337938247
Clpp,6,0.10535555336653013
Clk1,6,-0.07970645343892421
Lamp2,6,-0.2233238986138048
Plin4,6,1.5137492329326085
Aldh6a1,6,-0.215651438128265
Rgs5,6,-0.16886422734919262
Uhmk1,6,0.15575551249867983
Xpo7,6,-0.08344389762360196
Tfip11,6,0.3059287529871673
Gjc3,6,-0.4589717733724923
Ltn1,6,-0.06370759965674465
Wwtr1,6,-0.14855226522783851
Pmvk,6,0.173358647683435
Bag1,6,0.969048322104363
Bmpr2,6,1.0276242273233924
Slc4a7,6,3.2370768429643344
Hspe1,6,-0.045647621713237205
Vcpip1,6,0.01623917906931756
Rplp2,6,0.19740081021720496
Cd53,6,4.172933844907193
Sra1,6,0.03026286170736534
Hivep1,6,0.06638266838870682
Rplp1,6,-0.08358283171246393
Zfp597,6,0.12631935040757705
Rpl11,6,0.21754886177412466
Hras,6,0.6038478098019363
