accession,gse,comparison,treatment,treatment_class,control,symbol,log2FC,padj,direction,group
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Xdh,0.9917069859766388,1.954205334862901e-05,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Zbtb16,0.8975438135575307,3.5120302435140255e-05,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Spsb1,0.5164126597655531,4.7388627654567e-05,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Hif3a,0.9911298724273562,4.7388627654567e-05,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Glra1,0.7735377126648559,5.612003282278912e-05,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Plekhf2,-0.6529574128370965,0.0002795244135114,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Hr,0.7573146925831167,0.0003931791813407,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm50152,-0.7118597252453852,0.0004067773623662,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Fkbp5,0.5571633478938616,0.0004649131770317,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm37056,-1.294409305524319,0.0004766634493744,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Trim59,-0.8277831248127913,0.0004766634493744,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Map3k6,0.8531745587633048,0.0005471363822707,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,B3galt2,-0.5117655150290137,0.0005471363822707,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Idi1,-0.8198706889864165,0.0005471363822707,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Hspa1b,-1.5036969836009115,0.0006684915168126,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,C1qa,0.5102561714922945,0.0008561002670179,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gulp1,-0.8614299296646768,0.0009233114104797,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Rps29,0.7391226205648311,0.0009422234991456,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Zfp874a,-0.6019899294026563,0.0011287866508124,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm48623,0.7302201831777488,0.0012886319195808,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Rnft1,-0.5834267389795507,0.0014227206467289,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Hspa1a,-0.8075447914026322,0.0015013060200663,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Atad2,-0.5003526434713921,0.0015013060200663,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,2700052C19Rik,-0.6126701085082872,0.0015792282031851,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Rbm12b2,-0.5528850963928109,0.001672481673649,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Mrpl52,0.5252635087289621,0.0017403680117502,UP,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Slco1a4,-0.5133530280463858,0.0017822054502241,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Ccdc125,-1.0013264699032884,0.0019248577558428,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Crem,-0.5041950387651877,0.002044278638985,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm37755,-0.9934386491413209,0.0021428386264538,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Ncapg2,-0.5309063575697645,0.0021428386264538,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Coq10b,-0.5363265957924901,0.0022095235721987,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm43437,-0.5072941474405683,0.0022710824728147,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Socs4,-0.574210952933109,0.0023850449118493,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm47033,-1.0819572140263432,0.0023850449118493,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,E430024I08Rik,-0.8490160604396607,0.0024897658191248,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Chordc1,-0.5338519653468965,0.0024897658191248,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Btg3,-0.552427122776637,0.0025454873422314,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Zfp983,-0.5666511974413588,0.0025454873422314,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gon7,-0.5249693647528039,0.0025454873422314,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Tmtc3,-0.5570199754282268,0.0025509300384542,DOWN,Conjugate|hypothalamus
3,GSE162614,hypothalamus_GLP_1_MK_801_vs_vehicle,GLP_1_MK_801,Conjugate,vehicle,Gm42715,-0.914857836966744,0.0025614863734137,DOWN,Conjugate|hypothalamus
