symbol,group,log2FC
Xdh,GLP1_Mono|hypothalamus,0.8967629035448856
Hif3a,GLP1_Mono|accumbens,0.7232104902766752
Arrdc2,GLP1_Mono|accumbens,0.9465969462835292
Xdh,GLP1_Mono|accumbens,0.787106324457111
Tma16,GLP1_Mono|accumbens,0.3788008864554257
Plin4,GLP1_Mono|accumbens,1.0452815710709114
Zfp189,GLP1_Mono|accumbens,0.6961722922535669
Sult1a1,GLP1_Mono|accumbens,0.5207844087082645
Zbtb16,GLP1_Mono|accumbens,0.7639335381730743
Fkbp5,GLP1_Mono|accumbens,0.5312424396224737
Nfkbia,GLP1_Mono|accumbens,0.6752762657006676
Rsrp1,GLP1_Mono|accumbens,0.2627844362776428
Cdkn1a,GLP1_Mono|accumbens,0.7544816555746205
Galnt15,GLP1_Mono|accumbens,0.8016905235075202
Bcl2l1,GLP1_Mono|accumbens,0.1771288780961125
Ddit4,GLP1_Mono|accumbens,0.5644977774756371
Mideas,GLP1_Mono|accumbens,0.3212703926778175
Errfi1,GLP1_Mono|accumbens,0.3518769384120956
Cebpd,GLP1_Mono|accumbens,0.6814303761912827
Trim59,GLP1_Mono|accumbens,-0.6425611383483076
Ppl,GLP1_Mono|accumbens,0.7547993425955236
Kcnk6,GLP1_Mono|accumbens,0.4994273284057724
Mpzl1,GLP1_Mono|accumbens,-0.3448796345767148
Sox2ot,GLP1_Mono|accumbens,-0.42456938520403
Pla2g3,GLP1_Mono|accumbens,0.559879463615619
Gm15666,GLP1_Mono|accumbens,-1.2223893050303187
Ada,GLP1_Mono|accumbens,0.9858902047546656
Tlr7,GLP1_Mono|accumbens,0.6998145485441457
Smim3,GLP1_Mono|accumbens,0.5519509351896571
Iffo2,GLP1_Mono|accumbens,0.2802844573440101
Tob2,GLP1_Mono|accumbens,0.3562703445005948
Tnnt1,GLP1_Mono|accumbens,-2.898281946069224
Sox10,GLP1_Mono|accumbens,-0.470352381653464
Dhx38,GLP1_Mono|accumbens,0.134267311318855
Aqp1,GLP1_Mono|accumbens,3.199866569672151
Tpst2,GLP1_Mono|accumbens,0.3535243931619381
Map3k6,GLP1_Mono|accumbens,0.5511259171763108
H2-T23,GLP1_Mono|accumbens,0.4200501292425777
Sgk1,GLP1_Mono|accumbens,0.7281484239183806
Zfp36l2,GLP1_Mono|accumbens,-0.3167186844213984
Fez1,GLP1_Mono|accumbens,-0.0793215555495816
Trp53inp1,GLP1_Mono|accumbens,0.3605196142876031
Plekho2,GLP1_Mono|accumbens,-0.385172800592035
Spsb1,GLP1_Mono|accumbens,0.4981194606486304
Arl4d,GLP1_Mono|accumbens,0.6856764227066252
Caskin2,GLP1_Mono|accumbens,-0.2120758546563327
Ttr,GLP1_Mono|accumbens,4.796400945608049
Zbtb16,Conjugate|brainstem,0.6380642280325227
Ank3,Conjugate|brainstem,0.5061081159533795
Unc80,Conjugate|brainstem,0.4904230123667086
Wdfy3,Conjugate|brainstem,0.4411183937784715
Ncor2,Conjugate|brainstem,0.27617699018632
Ank2,Conjugate|brainstem,0.3562277953216941
Unc13c,Conjugate|brainstem,0.5766152861578832
Pcdhgc4,Conjugate|brainstem,-0.6759899372343491
Lrp1,Conjugate|brainstem,0.356771740785418
Apc2,Conjugate|brainstem,0.291279501424369
Plxnb1,Conjugate|brainstem,0.214965907025487
Huwe1,Conjugate|brainstem,0.2724663431977804
Wnk3,Conjugate|brainstem,0.4460458370916462
Dync1h1,Conjugate|brainstem,0.2919150673344639
Apc,Conjugate|brainstem,0.3425052979340542
Hcfc1,Conjugate|brainstem,0.3644751577575477
