Accession,Condition,GeneSet,Term,NES,FDR
Acc3,Obesity/GLP-1R,Hallmark,prerank,1.5001661153255628,0.4491264131551902
Acc3,Obesity/GLP-1R,Hallmark,prerank,1.4236507938168936,0.3319630010277492
Acc3,Obesity/GLP-1R,Hallmark,prerank,1.4033606768466602,0.25059952038369304
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.3589377911419742,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.3443784650732389,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,1.2415011483223506,0.5614080164439876
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.210060350691821,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.2087413094586263,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.1762249627300114,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.1501184204934518,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.1137663735130747,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.0319482253761805,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-1.0081044330424476,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.9981798087446772,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.9815978125452675,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.9623013449369752,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.9312607469534931,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.9108493732267727,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.8856195064033716,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.8815488291076675,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.8732835199278137,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.8695958438133046,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.8564024078299749,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.8390846269503729,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.8253924815997189,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.8228325995547158,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.8131950727917537,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.7919942248832632,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.7858412036010464,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.7446812522584263,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.7284160236646008,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.7215239579448581,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.6898546397089061,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.6728869644521535,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.6486529490292962,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.6436655742111241,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.6310000434173549,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.6196909491882537,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.5768219185882987,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.5745718236418252,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.5222397242830491,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.5186011717875012,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.5172015103009651,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.49109025307452003,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.4761252328158402,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.46840190966990436,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,0.43481287317509754,1.0
Acc3,Obesity/GLP-1R,Hallmark,prerank,-0.42331341214815466,1.0
