,Acc3,Acc4,Acc5,Acc6
Myogenesis,1.4033606768466602,1.723289598054487,1.5520567515327637,-1.3606382758316198
Tnfa Signaling Via Nfkb,0.7446812522584263,1.6457292426825267,2.534508236120308,-1.0562679041174563
Epithelial Mesenchymal Transition,-1.1501184204934518,2.076758621996427,1.410685865161769,-1.3363626427275197
Kras Signaling Dn,1.5001661153255628,1.5239604892983674,1.2408625707952954,-1.4022810828775172
Interferon Gamma Response,0.7284160236646008,1.6578698305762691,1.5975125536086454,-1.533811460878182
Angiogenesis,-1.3443784650732389,1.7321115891022774,0.83976802775782,1.5429602116044794
Estrogen Response Late,-1.2087413094586263,1.1478006065082522,1.4476871406776273,-1.3642226171431378
Apoptosis,-1.210060350691821,1.5797789331328145,1.379820171082518,-0.9876587320549504
Apical Surface,1.2415011483223506,1.1490111640168776,1.3008076157416473,-1.3434403588327897
Interferon Alpha Response,0.49109025307452,1.55280433549379,1.429040390819116,-1.4006049825662388
Allograft Rejection,0.8131950727917537,1.519153474146306,1.2093738090204489,-1.294492680783806
Kras Signaling Up,-0.9815978125452676,0.9636999693202036,1.32950406365108,-1.4938938986805728
Pancreas Beta Cells,-1.0081044330424476,1.5905871841745851,1.2693377303630144,0.8347329065703191
Uv Response Up,-1.3589377911419742,1.0252117708644948,1.4821576573597766,0.8266059404087294
Coagulation,-0.7215239579448581,-1.2844468523690484,-1.6288202617958236,-1.0462031615696534
Estrogen Response Early,-0.8564024078299749,1.1878290232190445,1.3872605177909303,-1.1645132150246598
Inflammatory Response,0.8390846269503729,1.1002382360299252,1.2481250632586256,-1.3067872943371692
Hypoxia,-0.7858412036010464,0.9142161951212352,1.759868486163644,-0.8189675557786964
Il2 Stat5 Signaling,-0.8253924815997189,1.066426170607522,1.3172541533903122,-1.0071387828830098
Xenobiotic Metabolism,-0.8732835199278137,-1.2677207652993214,-1.0881159389778692,-0.9848404656742852
Apical Junction,0.9981798087446772,1.2476482793653492,1.1073690630797552,-0.8572418035999569
Complement,0.8815488291076675,0.8592014671274175,1.2979284747011348,-1.1218981242170427
P53 Pathway,-0.6728869644521535,1.0094479835684644,1.6115926827253886,0.8465991021096706
Bile Acid Metabolism,0.8695958438133046,-0.9790530313489836,-1.0962378316517714,-1.1856084758566254
Cholesterol Homeostasis,-1.1762249627300114,0.9180090962516546,1.09816251890003,-0.9292491902039568
Mitotic Spindle,0.4348128731750975,1.1820900969429888,1.262390114673783,-1.1475291801864584
Il6 Jak Stat3 Signaling,-0.5768219185882987,0.7835733280516024,1.5690046578675607,-1.0676584972380103
Spermatogenesis,0.9623013449369752,0.869338607207925,1.0160765016810929,-1.1012765780128204
Uv Response Dn,-0.6486529490292962,1.491116639521456,0.8108485995480165,0.9713656008332568
Tgf Beta Signaling,-0.8228325995547158,1.095585256937282,-1.3901538494263304,0.5776034064346934
Wnt Beta Catenin Signaling,-0.6436655742111241,1.2137430561178164,-1.1213505713402554,0.8637130108991342
Androgen Response,-0.5745718236418252,0.9609811335934556,1.279015922593993,-0.940710206887945
G2M Checkpoint,-0.5222397242830491,0.5720766972283555,1.3231595226403663,-1.2780967529339844
Myc Targets V1,-1.0319482253761805,-1.0867255678254284,-0.7268736409753603,0.6355812054954281
Glycolysis,-0.5172015103009651,0.780084570796433,1.0824274674502257,-1.0856667255578454
Peroxisome,1.4236507938168936,-0.5914171802120626,-0.7888069870580615,-0.6569185507286469
Fatty Acid Metabolism,-0.8856195064033716,0.6249112114798182,-0.801599796622372,-1.110430572437244
Reactive Oxigen Species Pathway,0.6310000434173549,0.585935716365942,1.348059294913041,-0.7680281768646068
Oxidative Phosphorylation,-0.9108493732267728,-1.0055010626317484,-0.8428685512392682,-0.549636541817692
Pi3K Akt Mtor Signaling,0.4684019096699043,0.6752637417353888,0.6952176830584658,-1.4364749648051405
Mtorc1 Signaling,-0.9312607469534931,-0.5526584524859427,0.8222028558504862,-0.9212270633878894
Protein Secretion,-1.1137663735130747,0.6284762633655331,0.7420548996598821,-0.7425903819255892
Notch Signaling,-0.7919942248832632,0.6519491010482577,0.5862555127402992,1.0146541645663576
Myc Targets V2,0.6196909491882537,-0.6312353860782873,0.8256275788079923,-0.8316034272925619
Hedgehog Signaling,-0.3618475287409085,0.9146641452566864,0.7393287013137997,0.8168031842084985
Adipogenesis,-0.4761252328158402,0.6243017043509994,0.7397674072920394,-0.8622599103040404
Heme Metabolism,0.3821534422212693,0.8568773661323708,0.9543509558285168,-0.5048359928683072
E2F Targets,-0.4233134121481546,-0.3049610163098277,1.0297818644075225,-0.9134134402008336
Unfolded Protein Response,-0.5186011717875012,0.5957297477818639,0.9366433357357384,0.4154452081018981
Dna Repair,0.6898546397089061,0.7353198160984061,-0.6760877904141674,-0.2981750944259689
