,Acc3,Acc4,Acc5,Acc6
IL-17 signaling pathway,1.433111689569991,1.8029918308024884,2.3994949288310408,-0.9815800734897596
Neuroactive ligand-receptor interaction,-1.7166256449801076,-1.8838206791579424,1.439905477755106,-1.3460165389153935
Complement and coagulation cascades,1.366822214062001,-1.6826451417138282,-1.62067679407373,-1.2324900121189704
Primary immunodeficiency,1.5885601358744186,1.6324269293379612,1.415482523886346,-1.1407476849420823
Malaria,-1.354254047089489,1.6888346763224384,1.30475397081532,-1.3700100223948195
ECM-receptor interaction,-0.8714354460621138,2.1489612625983736,1.217316575751395,-1.4477126754662848
Caffeine metabolism,,-1.3711681630826058,,
Th17 cell differentiation,1.346988864898976,1.6713342073532909,1.4896256130127,-0.879303776770837
Thyroid hormone synthesis,1.7153187587291092,-0.9144182554867804,-1.939511856637914,-0.7902078860856071
Cocaine addiction,1.614824135076121,1.595095404518984,1.1680045237971115,-0.948011574454786
"Phenylalanine, tyrosine and tryptophan biosynthe...",,-1.3692704363683448,1.2479743183112462,
Cytokine-cytokine receptor interaction,1.2551946426692806,-1.2699369202112518,1.546975542632874,-1.1546249016204682
TGF-beta signaling pathway,-1.0991216709640572,1.3272943064191405,-1.5928125222082654,1.1887212033637369
Ascorbate and aldarate metabolism,1.5143762889507888,0.8363280576642581,-1.3289725784478976,-1.4258921077762765
Mineral absorption,-1.0548667328107126,1.3349397096665347,0.9159102855029732,-1.7803047136148338
Staphylococcus aureus infection,1.7754740857951907,0.927022331380092,1.1980249900240023,-1.1836843675258826
Amphetamine addiction,1.41954364905568,1.509414989885418,1.426143607734176,-0.7275227512934089
Alcoholism,1.7447358326883151,1.3277913075907513,1.16266035616625,-0.7967533322858243
Autoimmune thyroid disease,0.9553894723806348,-1.700211332489865,-1.4972085949654437,-0.8617301621784544
Hippo signaling pathway,-1.547486047851414,1.1756606089094093,-1.2909573722408223,-0.9653269488367532
Basal cell carcinoma,-1.530484838441626,0.7914386292360875,-1.697368822744097,-0.9555288651570472
Phototransduction,1.1396454556782611,1.315055536325262,0.945108612709383,-1.5487051125843931
Asthma,0.8849549041584394,1.6180733533704563,1.6206656081585022,-0.7718093187587008
Ribosome,0.8241876448565201,-0.8922977238593803,-1.7715730058962185,-1.351741092998251
Renin-angiotensin system,-0.6861090056230411,1.6330170469985614,1.2258418914875695,-1.2904825361180077
Systemic lupus erythematosus,1.7166504487394627,-0.814812816486517,1.01820419377145,-1.2127379793486328
Proteoglycans in cancer,-1.2379498493832797,1.309759190229713,-1.174738682216727,-0.9848071758209312
NOD-like receptor signaling pathway,0.9021042705715884,1.1324733509986828,1.272544437147545,-1.3874032927404445
Legionellosis,-0.8534044387176711,1.1447721391512382,1.3686363191969406,-1.3050581822816818
Proximal tubule bicarbonate reclamation,1.429433615557412,-1.2178852275352188,-1.3918638467991666,-0.6037348865637643
Nicotine addiction,-1.2243021928947682,1.0451816153937472,1.2170956511617297,-1.0903293553171027
Bile secretion,1.3946863454848586,0.8286666336875563,-1.2871521274266766,1.056063630002433
Adrenergic signaling in cardiomyocytes,0.9296203787922488,1.4666276899615167,0.9965852531741022,1.0373992275684234
Chemokine signaling pathway,-1.087730952089063,1.1799490078476058,1.2918495120990527,-0.7962234346464846
Synaptic vesicle cycle,1.5977639735930396,1.2019164329880574,-0.690877439348451,-0.7433060636574369
Gastric acid secretion,1.1436457673397102,1.2563619591431574,1.0710908999742053,-0.7518775719333624
cAMP signaling pathway,0.8842969451625874,-1.0189023896071707,1.2228348107138929,-1.0737998182818085
Hedgehog signaling pathway,-0.3894584947225901,0.897651429652854,-1.3759410376741747,-1.4291816808481526
Phagosome,0.8245988435538034,0.8678072754698589,-0.9158670184026166,-1.4174679112695503
Oxidative phosphorylation,-0.6181075886534535,-0.6728009500108418,-1.3957690566852785,-1.0596829907160683
