Term,k,M,K,N,pval,odds_ratio,genes,padj,neg_log10_pval,combined_score,Accession,GeneSet,Condition
HALLMARK_HYPOXIA,57,195,3316,30193,2.345431858862049e-12,2.6905205070772253,"Ackr3,Ak4,Akap12,Angptl4,Ankzf1,Bnip3l,Cav1,Cavin1,Ccng2,Cdkn1a,Cdkn1b,Ddit3,Ddit4,Dpysl4,Egfr,Eno1b,Errfi1,Ets1,Fam162a,Fos,Fosl2,Foxo3,Gys1,Hk1,Hs3st1,Hspa5,Ids,Ier3,Igfbp3,Inha,Irs2,Klf6,Klhl24,Large1,Maff,Mt1,Ncan,Ndst1,Nr3c1,P4ha1,Pdk3,Pgf,Pnrc1,Ppargc1a,Rbpj,Siah2,Slc2a1,Slc6a6,Stc1,Tiparp,Tpd52,Tpst2,Ugp2,Vegfa,Vldlr,Wsb1,Zfp292",1.1727159294310244e-10,11.629777179962648,15.185785154467183,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_HEME_METABOLISM,52,182,3316,30193,5.388794209631811e-11,2.6269415765448363,"Ackr1,Add2,Aldh6a1,Ank1,Arhgef12,Bach1,Bmp2k,Bnip3l,Bsg,Btg2,Btrc,C3,Car2,Ccnd3,Clcn3,Cpox,Dcaf10,Dcun1d1,Dmtn,Foxo3,Gclm,Glrx5,Gmps,Igsf3,Kat2b,Kdm7a,Klf3,Lamp2,Mospd1,Ncoa4,Nr3c1,Nudt4,Osbp2,Pcx,Pgls,Picalm,Ppp2r5b,Rbm38,Sdcbp,Slc2a1,Slc7a11,Smox,Sptb,Synj1,Tcea1,Tfdp2,Tfrc,Tnrc6b,Tns1,Ucp2,Xk,Ypel5",1.3471985524079528e-09,10.268508401174405,13.229840994893705,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_UV_RESPONSE_DN,44,144,3316,30193,1.4719442567576075e-10,2.806047933878685,"Acvr2a,Apbb2,Atp2b4,Atp2c1,Atrn,Atxn1,Bdnf,Bmpr1a,Cav1,Cdc42bpa,Cdk13,Cdkn1b,Col11a1,Dbp,Dlc1,Dmac2l,Fzd2,Gja1,Grk5,Inpp4b,Insig1,Irs1,Kcnma1,Lamc1,Magi2,Map1b,Mgll,Mmp16,Mt1,Nr1d2,Nr3c1,Pik3r3,Pten,Rasa2,Rnd3,Scaf8,Scn8a,Sipa1l1,Synj2,Tjp1,Togaram1,Vldlr,Wdr37,Zmiz1",2.4532404279293462e-09,9.832108636629616,13.141511484657412,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_ANDROGEN_RESPONSE,33,95,3316,30193,7.258329284705012e-10,3.184529704755935,"Abcc4,Akap12,Appbp2,Arid5b,Arxes2,Bmpr1b,Ccnd3,Dbi,Dnajb9,Elovl5,Fkbp5,Gnai3,Gsr,Hmgcr,Homer2,Idi1,Inpp4b,Insig1,Itgav,Lifr,Maf,Mertk,Ncoa4,Rps6ka3,Rrp12,Sat1,Sgk1,Slc38a2,Tnfaip8,Tpd52,Ube2j1,Vapa,Zmiz1",9.072911605881264e-09,9.139163333285302,13.081746496006222,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_PROTEIN_SECRETION,32,94,3316,30193,2.3305873918381422e-09,3.1200335335889813,"Abca1,Adam10,Ap2s1,Ap3s1,Bet1,Cav2,Cd63,Clcn3,Cltc,Dnm1l,Dst,Egfr,Gbf1,Gla,Igf2r,Kif1b,Krt18,Lamp2,Mon2,Napg,Rab14,Rab2a,Rab5a,Rps6ka3,Scamp1,Snap23,Stam,Stx12,Stx7,Tmx1,Tpd52,Vamp3",2.3305873918381417e-08,8.632534607349946,12.222471693461282,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_MTORC1_SIGNALING,51,198,3316,30193,4.349880220114114e-09,2.366240117013447,"Acaca,Actr2,Ak4,Atp2a2,Btg2,Cacybp,Cdkn1a,Cfp,Cyp51,Ddit3,Ddit4,Edem1,Elovl5,Eno1b,Fdxr,Fkbp2,Gla,Gmps,Gsk3b,Gsr,Hmgcr,Hspa5,Idh1,Idi1,Insig1,Me1,Nfkbib,P4ha1,Pdap1,Pik3r3,Plod2,Prdx1,Psmc6,Qdpr,Rab1a,Sc5d,Sdf2l1,Serp1,Slc2a1,Slc6a6,Slc7a11,Slc7a5,Sqle,Stard4,Stc1,Sytl2,Tcea1,Tfrc,Tm7sf2,Uchl5,Vldlr",3.1070573000815104e-08,8.36152270177173,10.149186398381651,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_P53_PATHWAY,51,198,3316,30193,4.349880220114114e-09,2.366240117013447,"Ada,Bax,Btg2,Ccnd3,Ccp110,Cdh13,Cdkn1a,Cdkn2aip,Coq8a,Cyfip2,Ddit3,Ddit4,Eps8l2,Fam162a,Fdxr,Fgf13,Fos,Foxo3,H2aj,Hint1,Hras,Hspa4l,Ier3,Itgb4,Mxd4,Notch1,Pom121,Ptpre,Rad51c,Rb1,Rchy1,Rpl36,Rps12,Rps27l,Sat1,Slc19a2,Slc35d1,Slc7a11,Sp1,Stom,Tgfa,Tm4sf1,Tnni1,Tob1,Tspyl2,Txnip,Upp1,Vwa5a,Wwp1,Xpc,Zfp36l1",3.1070573000815104e-08,8.36152270177173,10.149186398381651,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_MITOTIC_SPINDLE,51,199,3316,30193,5.230383189513501e-09,2.3542709720234507,"Abi1,Actn4,Anln,Apc,Arhgap29,Arhgap5,Arhgef12,Arhgef3,Bcr,Ccdc88a,Cdc42,Cdc42bpa,Cdc42ep1,Cdc42ep2,Cep192,Dock2,Dock4,Dst,Dync1h1,Epb41l2,Ezr,Fgd4,Fgd6,Hook3,Itsn1,Kif1b,Kif3c,Kptn,Mapre1,Myh10,Myo1e,Net1,Nf1,Pafah1b1,Pcgf5,Pcm1,Ranbp9,Rapgef5,Rasa1,Rasa2,Rictor,Rock1,Smc1a,Smc4,Sos1,Sptan1,Sun2,Trio,Tubgcp5,Tubgcp6,Wasl",3.268989493445938e-08,8.281466492586828,10.022516052824647,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_ESTROGEN_RESPONSE_EARLY,48,193,3316,30193,4.0280864578214235e-08,2.2830282937607107,"Adcy9,Aff1,Bag1,Chpt1,Cxcl12,Deptor,Dlc1,Dynlt3,Eeig1,Elf1,Elovl5,Fasn,Fkbp5,Fos,Gja1,Gla,Hr,Il6st,Klf10,Krt18,Mast4,Mlph,Mreg,Mybl1,Nadsyn1,Ncor2,Npy1r,Nrip1,Olfml3,Opn3,Papss2,Pgr,Retreg1,Rhobtb3,Rrp12,Siah2,Slc16a1,Slc19a2,Slc2a1,Slc7a2,Slc7a5,Svil,Syt12,Thsd4,Tiparp,Tob1,Ugcg,Wfs1",2.2378258099007905e-07,7.394901216432274,8.790809038066989,Acc3,Hallmark,Obesity/GLP-1R
HALLMARK_OXIDATIVE_PHOSPHORYLATION,47,194,3316,30193,1.2981582195015904e-07,2.223187787426597,"Abcb7,Aco2,Aldh6a1,Atp6v1f,Bax,Bckdha,Cox17,Cox4i1,Cox5b,Cox6a1,Cox6b1,Cox6c,Cox7a2,Cox7b,Cox7c,Cyb5r3,Etfb,Hccs,Idh1,Mrpl11,Mrps12,Mrps15,Ndufa2,Ndufa3,Ndufa4,Ndufa5,Ndufa6,Ndufa8,Ndufb5,Ndufb7,Ndufc1,Ndufc2,Ndufs3,Ndufs6,Ndufs7,Ogdh,Opa1,Pdk4,Polr2f,Por,Timm13,Timm8b,Timm9,Tomm70a,Uqcr10,Uqcr11,Uqcrq",6.490791097507952e-07,6.886672372505697,8.059960707975979,Acc3,Hallmark,Obesity/GLP-1R
