gene,accession,condition
1110004F10Rik,Acc3,Obesity/GLP-1R
1110059E24Rik,Acc3,Obesity/GLP-1R
1110059G10Rik,Acc3,Obesity/GLP-1R
1600012H06Rik,Acc3,Obesity/GLP-1R
1700003E16Rik,Acc3,Obesity/GLP-1R
1700008O03Rik,Acc3,Obesity/GLP-1R
1700066M21Rik,Acc3,Obesity/GLP-1R
1700102P08Rik,Acc3,Obesity/GLP-1R
2210016L21Rik,Acc3,Obesity/GLP-1R
2300009A05Rik,Acc3,Obesity/GLP-1R
2310033P09Rik,Acc3,Obesity/GLP-1R
2510009E07Rik,Acc3,Obesity/GLP-1R
2610008E11Rik,Acc3,Obesity/GLP-1R
2810025M15Rik,Acc3,Obesity/GLP-1R
4632415L05Rik,Acc3,Obesity/GLP-1R
4921524J17Rik,Acc3,Obesity/GLP-1R
4930447C04Rik,Acc3,Obesity/GLP-1R
4930453N24Rik,Acc3,Obesity/GLP-1R
4930503L19Rik,Acc3,Obesity/GLP-1R
4933427D14Rik,Acc3,Obesity/GLP-1R
4933434E20Rik,Acc3,Obesity/GLP-1R
5730455P16Rik,Acc3,Obesity/GLP-1R
6330403K07Rik,Acc3,Obesity/GLP-1R
8430429K09Rik,Acc3,Obesity/GLP-1R
9330159F19Rik,Acc3,Obesity/GLP-1R
9430021M05Rik,Acc3,Obesity/GLP-1R
A2ml1,Acc3,Obesity/GLP-1R
A830018L16Rik,Acc3,Obesity/GLP-1R
AI504432,Acc3,Obesity/GLP-1R
AI597479,Acc3,Obesity/GLP-1R
AU040320,Acc3,Obesity/GLP-1R
Aak1,Acc3,Obesity/GLP-1R
Aasdhppt,Acc3,Obesity/GLP-1R
Abca1,Acc3,Obesity/GLP-1R
Abca5,Acc3,Obesity/GLP-1R
Abca6,Acc3,Obesity/GLP-1R
Abcb7,Acc3,Obesity/GLP-1R
Abcc4,Acc3,Obesity/GLP-1R
Abcd2,Acc3,Obesity/GLP-1R
Abcd4,Acc3,Obesity/GLP-1R
Abcg1,Acc3,Obesity/GLP-1R
Abhd10,Acc3,Obesity/GLP-1R
Abhd14b,Acc3,Obesity/GLP-1R
Abhd17b,Acc3,Obesity/GLP-1R
Abhd18,Acc3,Obesity/GLP-1R
Abi1,Acc3,Obesity/GLP-1R
Abi2,Acc3,Obesity/GLP-1R
Abi3,Acc3,Obesity/GLP-1R
Abl2,Acc3,Obesity/GLP-1R
Ablim2,Acc3,Obesity/GLP-1R
Abtb3,Acc3,Obesity/GLP-1R
Acaca,Acc3,Obesity/GLP-1R
Acacb,Acc3,Obesity/GLP-1R
Acat2,Acc3,Obesity/GLP-1R
Acer2,Acc3,Obesity/GLP-1R
Acer3,Acc3,Obesity/GLP-1R
Ackr1,Acc3,Obesity/GLP-1R
Ackr3,Acc3,Obesity/GLP-1R
Aco2,Acc3,Obesity/GLP-1R
Acot11,Acc3,Obesity/GLP-1R
Acp1,Acc3,Obesity/GLP-1R
Acsl4,Acc3,Obesity/GLP-1R
Actn4,Acc3,Obesity/GLP-1R
Actr2,Acc3,Obesity/GLP-1R
Actr6,Acc3,Obesity/GLP-1R
Acvr1c,Acc3,Obesity/GLP-1R
Acvr2a,Acc3,Obesity/GLP-1R
Acvr2b,Acc3,Obesity/GLP-1R
Ada,Acc3,Obesity/GLP-1R
Adal,Acc3,Obesity/GLP-1R
Adam10,Acc3,Obesity/GLP-1R
Adam23,Acc3,Obesity/GLP-1R
Adam8,Acc3,Obesity/GLP-1R
Adam9,Acc3,Obesity/GLP-1R
Adamts10,Acc3,Obesity/GLP-1R
Adamts16,Acc3,Obesity/GLP-1R
Adamts4,Acc3,Obesity/GLP-1R
Adamtsl4,Acc3,Obesity/GLP-1R
Adar,Acc3,Obesity/GLP-1R
Adcy3,Acc3,Obesity/GLP-1R
Adcy4,Acc3,Obesity/GLP-1R
Adcy5,Acc3,Obesity/GLP-1R
