ID,logFC
Adam10,-0.299471686041034
Adam9,0.26774179140178694
Aqp4,-0.3169237495161019
Cav1,-0.39912774532831624
Cdh5,-0.2478522768763573
Cldn12,-0.2980649108577164
Cldn5,-0.33489530753696417
Eng,-0.548489459895924
F11r,9.888863559913142
Fyn,2.260464333866312
Hif1a,-0.1755350895193818
Jam2,-0.1621108890455686
Kdr,2.579222388751128
Lamc1,0.2486119476051841
Lrp1,0.15479631362689578
Mapk1,1.1180066982974668
Mmp14,-0.6822500271209201
Mmp16,0.0027907357736214242
Mmp2,-0.5546826461754895
Mmp25,-0.6962062170714203
Nfkb2,0.6330114204093285
Nfkbia,0.7811430590132886
Nid1,-0.2511995509980961
Nos3,-0.3178151244624367
Ocln,-0.2646081232328119
Pecam1,-0.224460537209734
Rock1,-0.15648106238724926
Rock2,-0.16340415743057093
Slc16a1,-0.3685314607302296
Slc2a1,0.43159963759232256
Slc7a5,0.10345422860259379
Tfrc,0.040393358040801484
Tjp1,0.006414158953627157
Tjp2,-0.2283533032576677
Vegfa,-0.21289853200700284
Vwf,0.7487221067386475
