Category,ID,Term,Genes,adj_pval
KEGG,,Leukocyte transendothelial migration,"CDH5, CLDN5, OCLN, ROCK1, ROCK2, MMP2, PECAM1, F11R, JAM2",5.7544700056191085e-11
KEGG,,Focal adhesion,"ROCK1, VWF, ROCK2, CAV1, KDR, MAPK1, FYN, LAMC1, VEGFA",4.9119385570422285e-09
KEGG,,Tight junction,"TJP1, CLDN5, OCLN, ROCK1, ROCK2, F11R, JAM2, TJP2",2.739975681629996e-08
KEGG,,Pathogenic Escherichia coli infection,"NFKBIA, TJP1, CLDN5, OCLN, ROCK1, ROCK2, MAPK1, FYN",6.930205395088305e-08
KEGG,,Proteoglycans in cancer,"ROCK1, ROCK2, CAV1, MMP2, KDR, MAPK1, HIF1A, VEGFA",7.590282017727761e-08
KEGG,,Fluid shear stress and atherosclerosis,"CDH5, NOS3, CAV1, MMP2, KDR, PECAM1, VEGFA",1.1942195416331236e-07
KEGG,,Pathways in cancer,"NFKBIA, ROCK1, ROCK2, MMP2, SLC2A1, MAPK1, LAMC1, HIF1A, NFKB2, VEGFA",4.713649708644359e-07
KEGG,,HIF-1 signaling pathway,"TFRC, NOS3, SLC2A1, MAPK1, HIF1A, VEGFA",7.339400527528218e-07
KEGG,,Platelet activation,"ROCK1, VWF, ROCK2, NOS3, MAPK1, FYN",1.4110820101874809e-06
KEGG,,Epithelial cell signaling in Helicobacter pylori infection,"NFKBIA, TJP1, ADAM10, F11R, JAM2",2.376280632695122e-06
KEGG,,Cell adhesion molecules,"CDH5, CLDN5, OCLN, PECAM1, F11R, JAM2",3.3019078086436595e-06
KEGG,,Sphingolipid signaling pathway,"ROCK1, ROCK2, NOS3, MAPK1, FYN",2.804808238323312e-05
KEGG,,Relaxin signaling pathway,"NFKBIA, NOS3, MMP2, MAPK1, VEGFA",3.851575494721634e-05
KEGG,,VEGF signaling pathway,"NOS3, KDR, MAPK1, VEGFA",4.0432577044700666e-05
KEGG,,Renal cell carcinoma,"SLC2A1, MAPK1, HIF1A, VEGFA",7.027735262256261e-05
KEGG,,Central carbon metabolism in cancer,"SLC7A5, SLC2A1, MAPK1, HIF1A",7.027735262256261e-05
KEGG,,AGE-RAGE signaling pathway in diabetic complications,"NOS3, MMP2, MAPK1, VEGFA",0.00027222067322317387
KEGG,,PI3K-Akt signaling pathway,"VWF, NOS3, KDR, MAPK1, LAMC1, VEGFA",0.0003062077298683164
KEGG,,"Parathyroid hormone synthesis, secretion and action","MMP25, MMP14, MMP16, MAPK1",0.0003062077298683164
KEGG,,Human cytomegalovirus infection,"NFKBIA, ROCK1, ROCK2, MAPK1, VEGFA",0.0003691622162057091
KEGG,,Bladder cancer,"MMP2, MAPK1, VEGFA",0.0003916489840112
KEGG,,Osteoclast differentiation,"NFKBIA, MAPK1, FYN, NFKB2",0.0005355789719228738
KEGG,,Yersinia infection,"NFKBIA, ROCK1, ROCK2, MAPK1",0.000687317301656901
KEGG,,Oxytocin signaling pathway,"ROCK1, ROCK2, NOS3, MAPK1",0.0010341172520602
KEGG,,Hepatitis C,"NFKBIA, CLDN5, OCLN, MAPK1",0.0010691030416917
KEGG,,cGMP-PKG signaling pathway,"ROCK1, ROCK2, NOS3, MAPK1",0.0013022997693132
KEGG,,Adherens junction,"TJP1, MAPK1, FYN",0.0015738266566334
KEGG,,Axon guidance,"ROCK1, ROCK2, MAPK1, FYN",0.0016785122162118
KEGG,,Chemokine signaling pathway,"NFKBIA, ROCK1, ROCK2, MAPK1",0.0019571653834434
KEGG,,Kaposi sarcoma-associated herpesvirus infection,"NFKBIA, MAPK1, HIF1A, VEGFA",0.0019571653834434
KEGG,,PD-L1 expression and PD-1 checkpoint pathway in cancer,"NFKBIA, MAPK1, HIF1A",0.0026637825581855
KEGG,,Lipid and atherosclerosis,"NFKBIA, ROCK2, NOS3, MAPK1",0.0027003892856549
KEGG,,cAMP signaling pathway,"NFKBIA, ROCK1, ROCK2, MAPK1",0.0027003892856549
KEGG,,GnRH signaling pathway,"MMP14, MMP2, MAPK1",0.0027003892856549
KEGG,,Human T-cell leukemia virus 1 infection,"NFKBIA, SLC2A1, MAPK1, NFKB2",0.0027003892856549
KEGG,,T cell receptor signaling pathway,"NFKBIA, MAPK1, FYN",0.0035132118118295
KEGG,,C-type lectin receptor signaling pathway,"NFKBIA, MAPK1, NFKB2",0.0035132118118295
KEGG,,Th17 cell differentiation,"NFKBIA, MAPK1, HIF1A",0.0036454099885637
KEGG,,Insulin resistance,"NFKBIA, NOS3, SLC2A1",0.0036454099885637
KEGG,,Shigellosis,"NFKBIA, ROCK1, ROCK2, MAPK1",0.0036454099885637
KEGG,,TNF signaling pathway,"NFKBIA, MMP14, MAPK1",0.0038356371492559
KEGG,,Toxoplasmosis,"NFKBIA, MAPK1, LAMC1",0.0038356371492559
KEGG,,Thyroid hormone signaling pathway,"SLC2A1, MAPK1, HIF1A",0.004681473939048
KEGG,,Prion disease,"CAV1, MAPK1, FYN, LAMC1",0.0048680681069147
KEGG,,Vascular smooth muscle contraction,"ROCK1, ROCK2, MAPK1",0.0058668378403583
KEGG,,MAPK signaling pathway,"KDR, MAPK1, NFKB2, VEGFA",0.0061072217921485
KEGG,,Estrogen signaling pathway,"NOS3, MMP2, MAPK1",0.0061133133438563
KEGG,,MicroRNAs in cancer,"ROCK1, MMP16, MAPK1, VEGFA",0.0070960683531615
KEGG,,Human papillomavirus infection,"VWF, MAPK1, LAMC1, VEGFA",0.0088072314684395
KEGG,,Vibrio cholerae infection,"TJP1, TJP2",0.0108214467478933
KEGG,,Malaria,"LRP1, PECAM1",0.0108214467478933
KEGG,,Legionellosis,"NFKBIA, NFKB2",0.0137189355124371
KEGG,,Viral myocarditis,"CAV1, FYN",0.0148771470641851
KEGG,,Viral carcinogenesis,"NFKBIA, MAPK1, NFKB2",0.0157847047969926
KEGG,,Diabetic cardiomyopathy,"NOS3, MMP2, SLC2A1",0.0157847047969926
KEGG,,Rap1 signaling pathway,"KDR, MAPK1, VEGFA",0.0170242200761487
KEGG,,Fc epsilon RI signaling pathway,"MAPK1, FYN",0.0176435954067606
KEGG,,Adipocytokine signaling pathway,"NFKBIA, SLC2A1",0.0178368935002561
KEGG,,Regulation of actin cytoskeleton,"ROCK1, ROCK2, MAPK1",0.017909513803039
KEGG,,Chronic myeloid leukemia,"NFKBIA, MAPK1",0.0198884693560161
KEGG,,Pancreatic cancer,"MAPK1, VEGFA",0.0198884693560161
KEGG,,Coronavirus disease,"NFKBIA, VWF, MAPK1",0.0198884693560161
KEGG,,Ras signaling pathway,"KDR, MAPK1, VEGFA",0.0198884693560161
