Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-1474244,Extracellular Matrix Organization,"MMP14, MMP16, MMP2, KDR, PECAM1, ADAM10, ADAM9, LAMC1, F11R, NID1, JAM2",8.600662355270175e-10
Reactome,R-HSA-4420097,VEGFA-VEGFR2 Pathway,"CDH5, ROCK1, ROCK2, CAV1, KDR, FYN, VEGFA",5.39178345549572e-08
Reactome,R-HSA-194138,Signaling By VEGF,"CDH5, ROCK1, ROCK2, CAV1, KDR, FYN, VEGFA",6.470924066220003e-08
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"CDH5, ROCK1, ROCK2, CAV1, KDR, MAPK1, ADAM10, FYN, LAMC1, HIF1A, VEGFA",6.470924066220003e-08
Reactome,R-HSA-1474228,Degradation Of Extracellular Matrix,"MMP14, MMP16, MMP2, ADAM10, ADAM9, LAMC1, NID1",6.646772159620319e-08
Reactome,R-HSA-202733,Cell Surface Interactions At Vascular Wall,"SLC7A5, SLC16A1, CAV1, PECAM1, FYN, F11R, JAM2",2.363523498002937e-07
Reactome,R-HSA-162582,Signal Transduction,"ROCK1, TFRC, VWF, ROCK2, CAV1, MMP2, ADAM10, LAMC1, F11R, HIF1A, VEGFA, NFKBIA, TJP1, CDH5, KDR, MAPK1, FYN, TJP2",2.2322261204589443e-06
Reactome,R-HSA-109582,Hemostasis,"SLC7A5, SLC16A1, VWF, CAV1, PECAM1, MAPK1, FYN, F11R, JAM2, VEGFA",2.2677542389216764e-06
Reactome,R-HSA-8935964,RUNX1 Regulates Expression Of Components Of Tight Junctions,"TJP1, CLDN5, OCLN",2.2910555129101745e-06
Reactome,R-HSA-9013026,RHOB GTPase Cycle,"ROCK1, TFRC, ROCK2, CAV1, TJP2",5.647868761681236e-06
Reactome,R-HSA-9013106,RHOC GTPase Cycle,"ROCK1, TFRC, ROCK2, CAV1, TJP2",6.826809782683056e-06
Reactome,R-HSA-9013407,RHOH GTPase Cycle,"ROCK1, TFRC, ROCK2, CAV1",1.607265391207093e-05
Reactome,R-HSA-2682334,EPH-Ephrin Signaling,"ROCK1, ROCK2, MMP2, ADAM10, FYN",1.721956963747565e-05
Reactome,R-HSA-111465,Apoptotic Cleavage Of Cellular Proteins,"TJP1, OCLN, ROCK1, TJP2",1.721956963747565e-05
Reactome,R-HSA-1442490,Collagen Degradation,"MMP14, MMP2, ADAM10, ADAM9",1.9163342654210452e-05
Reactome,R-HSA-1643685,Disease,"SLC16A1, ROCK1, VWF, ROCK2, CAV1, SLC2A1, ADAM10, NFKB2, VEGFA, NFKBIA, TJP1, KDR, MAPK1, FYN",1.9163342654210452e-05
Reactome,R-HSA-351906,Apoptotic Cleavage Of Cell Adhesion Proteins,"TJP1, OCLN, TJP2",1.986572062695424e-05
Reactome,R-HSA-75153,Apoptotic Execution Phase,"TJP1, OCLN, ROCK1, TJP2",4.633463424990716e-05
Reactome,R-HSA-1500931,Cell-Cell Communication,"CDH5, CLDN5, CLDN12, FYN, F11R",4.633463424990716e-05
Reactome,R-HSA-3928663,EPHA-mediated Growth Cone Collapse,"ROCK1, ROCK2, FYN",4.633463424990716e-05
Reactome,R-HSA-421270,Cell-cell Junction Organization,"CDH5, CLDN5, CLDN12, F11R",7.880566543944827e-05
Reactome,R-HSA-216083,Integrin Cell Surface Interactions,"KDR, PECAM1, F11R, JAM2",0.00010322682538080796
Reactome,R-HSA-8980692,RHOA GTPase Cycle,"ROCK1, TFRC, ROCK2, CAV1, TJP2",0.0001054890133327433
Reactome,R-HSA-210991,Basigin Interactions,"SLC7A5, SLC16A1, CAV1",0.00019278542885714617
Reactome,R-HSA-449147,Signaling By Interleukins,"NFKBIA, MMP2, MAPK1, FYN, HIF1A, NFKB2, VEGFA",0.00021311399870247612
Reactome,R-HSA-109581,Apoptosis,"TJP1, OCLN, ROCK1, MAPK1, TJP2",0.0002362131632257635
Reactome,R-HSA-446728,Cell Junction Organization,"CDH5, CLDN5, CLDN12, F11R",0.00024156615539394405
Reactome,R-HSA-420029,Tight Junction Interactions,"CLDN5, CLDN12, F11R",0.0002898956274183986
Reactome,R-HSA-1592389,Activation Of Matrix Metalloproteinases,"MMP14, MMP16, MMP2",0.0003747483078997759
Reactome,R-HSA-3928662,EPHB-mediated Forward Signaling,"ROCK1, ROCK2, FYN",0.0003968230383036592
Reactome,R-HSA-422475,Axon Guidance,"ROCK1, ROCK2, MMP2, MAPK1, ADAM10, FYN, LAMC1",0.00040556837195023816
Reactome,R-HSA-5357801,Programmed Cell Death,"TJP1, OCLN, ROCK1, MAPK1, TJP2",0.00040556837195023816
Reactome,R-HSA-9675108,Nervous System Development,"ROCK1, ROCK2, MMP2, MAPK1, ADAM10, FYN, LAMC1",0.0005275296580013469
Reactome,R-HSA-5603029,IkBA Variant Leads To EDA-ID,"NFKBIA, NFKB2",0.0007467556585229775
Reactome,R-HSA-76002,"Platelet Activation, Signaling And Aggregation","VWF, PECAM1, MAPK1, FYN, VEGFA",0.000939296094297208
Reactome,R-HSA-195399,VEGF Binds To VEGFR Leading To Receptor Dimerization,"KDR, VEGFA",0.000939296094297208
Reactome,R-HSA-3928665,EPH-ephrin Mediated Repulsion Of Cells,"MMP2, ADAM10, FYN",0.000972430695818923
