Category,ID,Term,Genes,adj_pval
BP,GO:0035633,Maintenance Of Blood-Brain Barrier,"TJP1, CDH5, CLDN5, OCLN, CLDN12, PECAM1, LAMC1, F11R, JAM2, TJP2",1.79444212228528e-18
BP,GO:0030334,Regulation Of Cell Migration,"ROCK1, ROCK2, CAV1, ADAM10, VEGFA, TJP1, CDH5, CLDN5, MMP14, KDR, PECAM1, ADAM9, FYN, ENG",5.202665662598591e-12
BP,GO:1903140,Regulation Of Establishment Of Endothelial Barrier,"CDH5, CLDN5, ROCK1, ROCK2, F11R, VEGFA",5.868794238184346e-11
BP,GO:0010605,Negative Regulation Of Macromolecule Metabolic Process,"CLDN5, SLC7A5, OCLN, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",1.9861289515123206e-10
BP,GO:0030335,Positive Regulation Of Cell Migration,"TJP1, CDH5, MMP14, ROCK2, CAV1, KDR, PECAM1, ADAM10, ADAM9, HIF1A, VEGFA",2.1725911472274027e-10
BP,GO:2000147,Positive Regulation Of Cell Motility,"TJP1, CDH5, MMP14, ROCK2, CAV1, KDR, PECAM1, ADAM10, ADAM9, VEGFA",7.409708403488816e-10
BP,GO:2000810,Regulation Of Bicellular Tight Junction Assembly,"TJP1, CLDN5, ROCK1, ROCK2, F11R",6.084127535582472e-09
BP,GO:1905603,Regulation Of Blood-Brain Barrier Permeability,"TJP1, OCLN, TJP2, VEGFA",1.6789925410879585e-08
BP,GO:0010629,Negative Regulation Of Gene Expression,"CLDN5, SLC7A5, OCLN, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",3.051876791749888e-08
BP,GO:0010468,Regulation Of Gene Expression,"LRP1, ROCK1, TFRC, ROCK2, NOS3, ADAM10, HIF1A, NFKB2, VEGFA, CDH5, CLDN5, SLC7A5, OCLN, KDR, ENG",3.0890257006345574e-08
BP,GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,"NFKBIA, CDH5, CLDN5, OCLN, ROCK1, TFRC, ROCK2, NOS3, HIF1A, VEGFA",5.43299124740801e-08
BP,GO:0001932,Regulation Of Protein Phosphorylation,"CDH5, OCLN, TFRC, ROCK2, KDR, PECAM1, FYN, VEGFA, ENG",6.407632716775332e-08
BP,GO:0045765,Regulation Of Angiogenesis,"CDH5, CLDN5, ROCK1, ROCK2, NOS3, KDR, HIF1A, VEGFA",1.9642706393304653e-07
BP,GO:0043117,Positive Regulation Of Vascular Permeability,"TJP1, OCLN, TJP2, VEGFA",2.097387663748816e-07
