Category,ID,Term,Genes,adj_pval
KEGG,,Pathogenic Escherichia coli infection,"NFKBIA, TJP1, CLDN5, OCLN, ROCK1, ROCK2, MAPK1, FYN",1.5053509995161747e-08
KEGG,,Tight junction,"TJP1, CLDN5, OCLN, ROCK1, ROCK2, F11R, JAM2",1.1387744713646553e-07
KEGG,,Focal adhesion,"ROCK1, ROCK2, CAV1, KDR, MAPK1, FYN, VEGFA",1.839379851722287e-07
KEGG,,Proteoglycans in cancer,"ROCK1, ROCK2, CAV1, KDR, MAPK1, HIF1A, VEGFA",1.839379851722287e-07
KEGG,,Leukocyte transendothelial migration,"CLDN5, OCLN, ROCK1, ROCK2, F11R, JAM2",1.839379851722287e-07
KEGG,,Epithelial cell signaling in Helicobacter pylori infection,"NFKBIA, TJP1, ADAM10, F11R, JAM2",6.865036644848315e-07
KEGG,,Pathways in cancer,"NFKBIA, ROCK1, ROCK2, SLC2A1, MAPK1, HIF1A, VEGFA, NFKB2",4.803093606987982e-06
KEGG,,HIF-1 signaling pathway,"TFRC, SLC2A1, MAPK1, HIF1A, VEGFA",4.803093606987982e-06
KEGG,,Renal cell carcinoma,"SLC2A1, MAPK1, HIF1A, VEGFA",2.83305532784501e-05
KEGG,,Central carbon metabolism in cancer,"SLC7A5, SLC2A1, MAPK1, HIF1A",2.83305532784501e-05
KEGG,,Human cytomegalovirus infection,"NFKBIA, ROCK1, ROCK2, MAPK1, VEGFA",0.00012409515611763088
KEGG,,Sphingolipid signaling pathway,"ROCK1, ROCK2, MAPK1, FYN",0.0001958303317521454
KEGG,,Platelet activation,"ROCK1, ROCK2, MAPK1, FYN",0.00021262027386476825
KEGG,,Osteoclast differentiation,"NFKBIA, MAPK1, FYN, NFKB2",0.0002169234513035568
KEGG,,Yersinia infection,"NFKBIA, ROCK1, ROCK2, MAPK1",0.0002727158261750019
KEGG,,Cell adhesion molecules,"CLDN5, OCLN, F11R, JAM2",0.00034599965420410066
KEGG,,Hepatitis C,"NFKBIA, CLDN5, OCLN, MAPK1",0.0004100912618811589
KEGG,,VEGF signaling pathway,"KDR, MAPK1, VEGFA",0.0004899880611313119
