Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-4420097,VEGFA-VEGFR2 Pathway,"ROCK1, ROCK2, CAV1, KDR, FYN, VEGFA",5.880677721253674e-07
Reactome,R-HSA-194138,Signaling By VEGF,"ROCK1, ROCK2, CAV1, KDR, FYN, VEGFA",5.880677721253674e-07
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"ROCK1, ROCK2, CAV1, KDR, MAPK1, ADAM10, FYN, HIF1A, VEGFA",8.645491149265058e-07
Reactome,R-HSA-202733,Cell Surface Interactions At Vascular Wall,"SLC7A5, SLC16A1, CAV1, FYN, F11R, JAM2",1.424937877072146e-06
Reactome,R-HSA-8935964,RUNX1 Regulates Expression Of Components Of Tight Junctions,"TJP1, CLDN5, OCLN",1.424937877072146e-06
Reactome,R-HSA-1643685,Disease,"SLC16A1, ROCK1, ROCK2, CAV1, SLC2A1, ADAM10, VEGFA, NFKB2, NFKBIA, TJP1, KDR, MAPK1, FYN",3.2763614610015627e-06
Reactome,R-HSA-9013407,RHOH GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1",6.7159431704786186e-06
Reactome,R-HSA-109582,Hemostasis,"SLC7A5, SLC16A1, CAV1, MAPK1, FYN, F11R, JAM2, VEGFA",2.037897478571733e-05
Reactome,R-HSA-3928663,EPHA-mediated Growth Cone Collapse,"ROCK1, ROCK2, FYN",3.571183570856682e-05
Reactome,R-HSA-1474244,Extracellular Matrix Organization,"MMP16, KDR, ADAM10, ADAM9, F11R, JAM2",5.9432657791815344e-05
Reactome,R-HSA-9013026,RHOB GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1",6.092825245392272e-05
Reactome,R-HSA-9013106,RHOC GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1",7.007066139152754e-05
Reactome,R-HSA-162582,Signal Transduction,"TFRC, ROCK1, ROCK2, CAV1, ADAM10, F11R, HIF1A, VEGFA, NFKBIA, TJP1, KDR, MAPK1, FYN",9.009914078442178e-05
Reactome,R-HSA-210991,Basigin Interactions,"SLC7A5, SLC16A1, CAV1",0.00011505484513163796
Reactome,R-HSA-2682334,EPH-Ephrin Signaling,"ROCK1, ROCK2, ADAM10, FYN",0.00013548446956013432
Reactome,R-HSA-420029,Tight Junction Interactions,"CLDN5, CLDN12, F11R",0.000176946005476324
Reactome,R-HSA-3928662,EPHB-mediated Forward Signaling,"ROCK1, ROCK2, FYN",0.00024461369687832124
Reactome,R-HSA-111465,Apoptotic Cleavage Of Cellular Proteins,"TJP1, OCLN, ROCK1",0.0003204620641443668
Reactome,R-HSA-1500931,Cell-Cell Communication,"CLDN5, CLDN12, FYN, F11R",0.0003204620641443668
Reactome,R-HSA-5663205,Infectious Disease,"TJP1, ROCK1, ROCK2, CAV1, MAPK1, FYN, VEGFA, NFKB2",0.00035664244949484174
Reactome,R-HSA-449147,Signaling By Interleukins,"NFKBIA, MAPK1, FYN, HIF1A, VEGFA, NFKB2",0.00035664244949484174
Reactome,R-HSA-5603029,IkBA Variant Leads To EDA-ID,"NFKBIA, NFKB2",0.00056544835890263
Reactome,R-HSA-8980692,RHOA GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1",0.0005875967145114148
Reactome,R-HSA-75153,Apoptotic Execution Phase,"TJP1, OCLN, ROCK1",0.0006300619271325009
Reactome,R-HSA-195399,VEGF Binds To VEGFR Leading To Receptor Dimerization,"KDR, VEGFA",0.0006629305775392927
Reactome,R-HSA-421270,Cell-cell Junction Organization,"CLDN5, CLDN12, F11R",0.000939815681329322
Reactome,R-HSA-373755,Semaphorin Interactions,"ROCK1, ROCK2, FYN",0.0010148994909166
Reactome,R-HSA-109581,Apoptosis,"TJP1, OCLN, ROCK1, MAPK1",0.0010148994909166
Reactome,R-HSA-216083,Integrin Cell Surface Interactions,"KDR, F11R, JAM2",0.0010148994909166
Reactome,R-HSA-351906,Apoptotic Cleavage Of Cell Adhesion Proteins,"TJP1, OCLN",0.0010148994909166
Reactome,R-HSA-1234158,Regulation Of Gene Expression By Hypoxia-inducible Factor,"HIF1A, VEGFA",0.0010148994909166
Reactome,R-HSA-4755510,SUMOylation Of Immune Response Proteins,"NFKBIA, NFKB2",0.0010148994909166
Reactome,R-HSA-9679506,SARS-CoV Infections,"TJP1, ROCK1, ROCK2, CAV1, VEGFA",0.0011030048257497
Reactome,R-HSA-5357801,Programmed Cell Death,"TJP1, OCLN, ROCK1, MAPK1",0.0015284234947511
Reactome,R-HSA-446728,Cell Junction Organization,"CLDN5, CLDN12, F11R",0.0019429310139489
