Category,ID,Term,Genes,adj_pval
BP,GO:0010605,Negative Regulation Of Macromolecule Metabolic Process,"SLC7A5, CLDN5, OCLN, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",1.6501040157908166e-11
BP,GO:0035633,Maintenance Of Blood-Brain Barrier,"TJP1, CLDN5, OCLN, CLDN12, F11R, JAM2",5.623559267818988e-10
BP,GO:0030334,Regulation Of Cell Migration,"TJP1, CLDN5, ROCK1, ROCK2, CAV1, KDR, ADAM10, ADAM9, FYN, VEGFA, ENG",7.931394016722493e-10
BP,GO:0010629,Negative Regulation Of Gene Expression,"SLC7A5, CLDN5, OCLN, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",1.3690026330477892e-09
BP,GO:2000810,Regulation Of Bicellular Tight Junction Assembly,"TJP1, CLDN5, ROCK1, ROCK2, F11R",1.3690026330477892e-09
BP,GO:1903140,Regulation Of Establishment Of Endothelial Barrier,"CLDN5, ROCK1, ROCK2, F11R, VEGFA",1.6579595389348306e-09
BP,GO:0010468,Regulation Of Gene Expression,"LRP1, TFRC, ROCK1, ROCK2, ADAM10, HIF1A, VEGFA, NFKB2, SLC7A5, CLDN5, OCLN, KDR, ENG",3.7569091135524884e-08
BP,GO:0030335,Positive Regulation Of Cell Migration,"TJP1, ROCK2, CAV1, KDR, ADAM10, ADAM9, HIF1A, VEGFA",1.5544338657825277e-07
BP,GO:0051493,Regulation Of Cytoskeleton Organization,"TJP1, LRP1, ROCK1, ROCK2, MAPK1, F11R",6.523219261054686e-07
BP,GO:0051893,Regulation Of Focal Adhesion Assembly,"ROCK1, ROCK2, KDR, FYN, VEGFA",6.967485364478893e-07
BP,GO:2000147,Positive Regulation Of Cell Motility,"TJP1, ROCK2, CAV1, KDR, ADAM10, ADAM9, VEGFA",8.526837155592574e-07
BP,GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,"NFKBIA, CLDN5, OCLN, TFRC, ROCK1, ROCK2, HIF1A, VEGFA",1.0020650346304129e-06
BP,GO:1901890,Positive Regulation Of Cell Junction Assembly,"CLDN5, ROCK1, CAV1, KDR, VEGFA",1.0020650346304129e-06
BP,GO:1901888,Regulation Of Cell Junction Assembly,"TJP1, ROCK1, ROCK2, F11R",1.3001915350429956e-06
BP,GO:0001932,Regulation Of Protein Phosphorylation,"OCLN, TFRC, ROCK2, KDR, FYN, VEGFA, ENG",2.182923246324229e-06
BP,GO:1905603,Regulation Of Blood-Brain Barrier Permeability,"TJP1, OCLN, VEGFA",2.2659011892452137e-06
BP,GO:0010232,Vascular Transport,"SLC7A5, SLC16A1, LRP1, TFRC, SLC2A1",3.668460383495237e-06
BP,GO:0150104,Transport Across Blood-Brain Barrier,"SLC7A5, SLC16A1, LRP1, TFRC, SLC2A1",3.907334630231887e-06
BP,GO:0001570,Vasculogenesis,"CAV1, KDR, VEGFA, ENG",4.388486781635843e-06
BP,GO:0010634,Positive Regulation Of Epithelial Cell Migration,"ROCK2, KDR, ADAM9, HIF1A, VEGFA",6.157535611192592e-06
BP,GO:0045765,Regulation Of Angiogenesis,"CLDN5, ROCK1, ROCK2, KDR, HIF1A, VEGFA",9.280922887932968e-06
BP,GO:0043117,Positive Regulation Of Vascular Permeability,"TJP1, OCLN, VEGFA",1.3061558305589129e-05
BP,GO:0007249,I-kappaB kinase/NF-kappaB Signaling,"NFKBIA, ROCK1, ROCK2, NFKB2",1.3061558305589129e-05
BP,GO:0001934,Positive Regulation Of Protein Phosphorylation,"TFRC, ROCK2, CAV1, KDR, MAPK1, VEGFA, ENG",1.5000768801679564e-05
BP,GO:0001569,Branching Involved In Blood Vessel Morphogenesis,"KDR, VEGFA, ENG",2.0613460045114356e-05
BP,GO:0048514,Blood Vessel Morphogenesis,"CAV1, KDR, VEGFA, ENG",2.2549136358865263e-05
BP,GO:0043434,Response To Peptide Hormone,"ROCK1, ROCK2, CAV1, SLC2A1",2.5245944172614647e-05
BP,GO:0051894,Positive Regulation Of Focal Adhesion Assembly,"ROCK1, KDR, VEGFA",5.22864762202482e-05
BP,GO:0032970,Regulation Of Actin Filament-Based Process,"LRP1, ROCK1, ROCK2, F11R",6.040308055023074e-05
BP,GO:0010628,Positive Regulation Of Gene Expression,"CLDN5, OCLN, TFRC, ROCK1, ROCK2, HIF1A, VEGFA",6.040308055023074e-05
BP,GO:0090109,Regulation Of Cell-Substrate Junction Assembly,"ROCK1, ROCK2, FYN",7.458893204441876e-05
BP,GO:0051492,Regulation Of Stress Fiber Assembly,"TJP1, ROCK1, ROCK2, F11R",7.458893204441876e-05
BP,GO:0031032,Actomyosin Structure Organization,"TJP1, ROCK1, ROCK2, F11R",8.0388670233485e-05
BP,GO:0010875,Positive Regulation Of Cholesterol Efflux,"NFKBIA, LRP1, CAV1",8.098483196898923e-05
BP,GO:0150117,Positive Regulation Of Cell-Substrate Junction Organization,"ROCK1, KDR, VEGFA",9.039375956303608e-05
BP,GO:1902533,Positive Regulation Of Intracellular Signal Transduction,"TFRC, ROCK1, ROCK2, CAV1, KDR, VEGFA, ENG",9.108428480625497e-05
BP,GO:0010595,Positive Regulation Of Endothelial Cell Migration,"ROCK2, KDR, HIF1A, VEGFA",0.00010652253602487236
BP,GO:0032956,Regulation Of Actin Cytoskeleton Organization,"LRP1, ROCK1, ROCK2, F11R",0.0001361858559426717
