Category,ID,Term,Genes,adj_pval
KEGG,,JAK-STAT signaling pathway,"CDKN1A, STAT1, LIFR, OSMR, IL6ST, SOCS6, PIAS2, SOCS4, JAK1, SOCS5, BCL2L1",7.17896300651081e-17
KEGG,,Kaposi sarcoma-associated herpesvirus infection,"NFKBIA, CDKN1A, STAT1, MAPK1, IL6ST, HIF1A, VEGFA, JAK1",2.3577040252892737e-10
KEGG,,Th17 cell differentiation,"NFKBIA, IL1R1, STAT1, MAPK1, IL6ST, HIF1A, JAK1",2.3577040252892737e-10
KEGG,,Pathways in cancer,"NFKBIA, CDKN1A, STAT1, MAPK1, IL6ST, HIF1A, NFKB2, VEGFA, JAK1, BCL2L1",4.292104968552882e-10
KEGG,,Osteoclast differentiation,"NFKBIA, IL1R1, STAT1, MAPK1, FYN, NFKB2, JAK1",4.79686606039262e-10
KEGG,,Pancreatic cancer,"CDKN1A, STAT1, MAPK1, VEGFA, JAK1, BCL2L1",1.540914485820646e-09
KEGG,,Human T-cell leukemia virus 1 infection,"NFKBIA, CDKN1A, IL1R1, MAPK1, NFKB2, JAK1, BCL2L1",1.5894257963530354e-08
KEGG,,Prolactin signaling pathway,"STAT1, MAPK1, SOCS6, SOCS4, SOCS5",9.14858363832786e-08
KEGG,,PD-L1 expression and PD-1 checkpoint pathway in cancer,"NFKBIA, STAT1, MAPK1, HIF1A, JAK1",2.758162233280882e-07
KEGG,,Viral carcinogenesis,"NFKBIA, CDKN1A, MAPK1, IL6ST, NFKB2, JAK1",3.553634286632629e-07
KEGG,,Human cytomegalovirus infection,"NFKBIA, CDKN1A, IL1R1, MAPK1, VEGFA, JAK1",5.959833881141174e-07
KEGG,,Toxoplasmosis,"NFKBIA, STAT1, MAPK1, JAK1, BCL2L1",6.596590845418699e-07
KEGG,,Hepatitis C,"NFKBIA, CDKN1A, STAT1, MAPK1, JAK1",3.2953977411469903e-06
KEGG,,Hepatitis B,"NFKBIA, CDKN1A, STAT1, MAPK1, JAK1",3.5760092549383906e-06
KEGG,,Renal cell carcinoma,"CDKN1A, MAPK1, HIF1A, VEGFA",4.641335379653986e-06
KEGG,,NOD-like receptor signaling pathway,"NFKBIA, STAT1, MAPK1, JAK1, BCL2L1",5.423197554417222e-06
KEGG,,PI3K-Akt signaling pathway,"CDKN1A, MAPK1, OSMR, VEGFA, JAK1, BCL2L1",5.575673737887912e-06
KEGG,,Chronic myeloid leukemia,"NFKBIA, CDKN1A, MAPK1, BCL2L1",5.70841791774796e-06
KEGG,,Leishmaniasis,"NFKBIA, STAT1, MAPK1, JAK1",5.70841791774796e-06
KEGG,,Epstein-Barr virus infection,"NFKBIA, CDKN1A, STAT1, NFKB2, JAK1",7.462736442336206e-06
