Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-449147,Signaling By Interleukins,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, MAPK1, FYN, IL6ST, JAK1, SOCS5, BCL2L1",2.077062001796389e-19
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, MAPK1, FYN, IL6ST, SOCS6, JAK1, SOCS5, BCL2L1",6.8211187860747555e-19
Reactome,R-HSA-168256,Immune System,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, MAPK1, FYN, IL6ST, SOCS6, JAK1, SOCS5, BCL2L1",4.999894582467319e-12
Reactome,R-HSA-6785807,Interleukin-4 And Interleukin-13 Signaling,"CDKN1A, STAT1, HIF1A, VEGFA, JAK1, SOCS5, BCL2L1",4.2487791289067135e-10
Reactome,R-HSA-6783589,Interleukin-6 Family Signaling,"STAT1, LIFR, OSMR, IL6ST, JAK1",1.2686605315028215e-09
Reactome,R-HSA-6788467,IL-6-type Cytokine Receptor Ligand Interactions,"LIFR, OSMR, IL6ST, JAK1",7.918286842170186e-08
Reactome,R-HSA-112411,MAPK1 (ERK2) Activation,"MAPK1, IL6ST, JAK1",3.0066724884048785e-06
Reactome,R-HSA-9020956,Interleukin-27 Signaling,"STAT1, IL6ST, JAK1",4.58806382766936e-06
Reactome,R-HSA-1059683,Interleukin-6 Signaling,"STAT1, IL6ST, JAK1",4.58806382766936e-06
Reactome,R-HSA-8984722,Interleukin-35 Signaling,"STAT1, IL6ST, JAK1",5.502396390253636e-06
Reactome,R-HSA-1643685,Disease,"NFKBIA, CDKN1A, IL1R1, STAT1, MAPK1, FYN, NFKB2, VEGFA, JAK1, BCL2L1",3.307525371316075e-05
Reactome,R-HSA-112409,RAF-independent MAPK1/3 Activation,"MAPK1, IL6ST, JAK1",3.667004055737199e-05
Reactome,R-HSA-162582,Signal Transduction,"NFKBIA, CDKN1A, STAT1, MAPK1, FYN, IL6ST, SOCS6, HIF1A, VEGFA, JAK1, BCL2L1",7.589403578323841e-05
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"STAT1, MAPK1, FYN, SOCS6, HIF1A, VEGFA",0.00011245314885573224
Reactome,R-HSA-5684996,MAPK1/MAPK3 Signaling,"MAPK1, FYN, IL6ST, JAK1, BCL2L1",0.00011245314885573224
Reactome,R-HSA-1433557,Signaling By SCF-KIT,"STAT1, FYN, SOCS6",0.00017625947027070983
Reactome,R-HSA-5683057,MAPK Family Signaling Cascades,"MAPK1, FYN, IL6ST, JAK1, BCL2L1",0.0001940550989168006
Reactome,R-HSA-447115,Interleukin-12 Family Signaling,"STAT1, IL6ST, JAK1",0.00030974017127609067
Reactome,R-HSA-5663205,Infectious Disease,"IL1R1, STAT1, MAPK1, FYN, NFKB2, VEGFA, JAK1",0.00030974017127609067
Reactome,R-HSA-5603029,IkBA Variant Leads To EDA-ID,"NFKBIA, NFKB2",0.00030974017127609067
Reactome,R-HSA-8985947,Interleukin-9 Signaling,"STAT1, JAK1",0.0005051280678238213
Reactome,R-HSA-5663202,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,"CDKN1A, STAT1, MAPK1, FYN, BCL2L1",0.000530085107880607
Reactome,R-HSA-9020958,Interleukin-21 Signaling,"STAT1, JAK1",0.000530085107880607
Reactome,R-HSA-110056,MAPK3 (ERK1) Activation,"IL6ST, JAK1",0.000530085107880607
Reactome,R-HSA-9702518,STAT5 Activation Downstream Of FLT3 ITD Mutants,"CDKN1A, BCL2L1",0.000530085107880607
Reactome,R-HSA-1234158,Regulation Of Gene Expression By Hypoxia-inducible Factor,"HIF1A, VEGFA",0.0005995518154027883
Reactome,R-HSA-4755510,SUMOylation Of Immune Response Proteins,"NFKBIA, NFKB2",0.0005995518154027883
