Category,ID,Term,Genes,adj_pval
BP,GO:0071345,Cellular Response To Cytokine Stimulus,"PTPRT, NFKBIA, STAT1, LIFR, OSMR, IL6ST, HIF1A, JAK1, SOCS5",2.2457370177216846e-09
BP,GO:0034097,Response To Cytokine,"IL1R1, STAT1, LIFR, OSMR, IL6ST, NFKB2, BCL2L1",4.776185299533483e-09
BP,GO:0019221,Cytokine-Mediated Signaling Pathway,"NFKBIA, IL1R1, STAT1, LIFR, OSMR, IL6ST, JAK1, SOCS5",9.541243297730344e-09
BP,GO:0071354,Cellular Response To Interleukin-6,"PTPRT, IL6ST, JAK1",0.0002041228269176256
BP,GO:0097696,Receptor Signaling Pathway Via STAT,"STAT1, SOCS6, JAK1",0.0004082813610457089
BP,GO:0008284,Positive Regulation Of Cell Population Proliferation,"CDKN1A, STAT1, LIFR, OSMR, IL6ST, VEGFA",0.0004082813610457089
BP,GO:0007167,Enzyme-Linked Receptor Protein Signaling Pathway,"PTPRT, LIFR, FYN, IL6ST",0.0004082813610457089
BP,GO:0007259,Receptor Signaling Pathway Via JAK-STAT,"STAT1, SOCS6, JAK1",0.0004082813610457089
BP,GO:0038113,Interleukin-9-Mediated Signaling Pathway,"STAT1, JAK1",0.0008214914548104626
BP,GO:0071355,Cellular Response To Interleukin-9,"STAT1, JAK1",0.0008214914548104626
BP,GO:0061418,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia,"HIF1A, VEGFA",0.0010449458221715
BP,GO:0060333,Type II Interferon-Mediated Signaling Pathway,"STAT1, JAK1",0.0015815457220882
BP,GO:0000302,Response To Reactive Oxygen Species,"MAPK1, FYN, HIF1A",0.0015815457220882
BP,GO:0042127,Regulation Of Cell Population Proliferation,"CDKN1A, STAT1, LIFR, OSMR, IL6ST, VEGFA",0.0024015631948055
BP,GO:0007175,Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity,"SOCS6, SOCS5",0.0024015631948055
BP,GO:0070102,Interleukin-6-Mediated Signaling Pathway,"IL6ST, JAK1",0.0026593194696232
BP,GO:1901522,Positive Regulation Of Transcription From RNA Polymerase II Promoter Involved In Cellular Response To Chemical Stimulus,"HIF1A, VEGFA",0.0027562542551544
BP,GO:0002675,Positive Regulation Of Acute Inflammatory Response,"OSMR, IL6ST",0.0027562542551544
BP,GO:1903672,Positive Regulation Of Sprouting Angiogenesis,"VEGFA, JAK1",0.0028683728371278
BP,GO:0001936,Regulation Of Endothelial Cell Proliferation,"STAT1, HIF1A, VEGFA",0.0028683728371278
BP,GO:0034112,Positive Regulation Of Homotypic Cell-Cell Adhesion,"IL6ST, JAK1",0.0031118683179466
BP,GO:0036003,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress,"HIF1A, VEGFA",0.003364572365953
BP,GO:0050729,Positive Regulation Of Inflammatory Response,"NFKBIA, OSMR, IL6ST",0.0034772031715857
BP,GO:0007169,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,"PTPRT, MAPK1, FYN, VEGFA",0.0034881730221657
BP,GO:0002673,Regulation Of Acute Inflammatory Response,"OSMR, IL6ST",0.0037185912986267
BP,GO:0045766,Positive Regulation Of Angiogenesis,"HIF1A, VEGFA, JAK1",0.0045837392337279
BP,GO:0042059,Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway,"SOCS6, SOCS5",0.004901195704418
BP,GO:0061099,Negative Regulation Of Protein Tyrosine Kinase Activity,"SOCS6, SOCS5",0.004901195704418
BP,GO:0010575,Positive Regulation Of Vascular Endothelial Growth Factor Production,"IL6ST, HIF1A",0.0051594678892744
BP,GO:2000272,Negative Regulation Of Signaling Receptor Activity,"SOCS6, SOCS5",0.0053330024279726
BP,GO:0007176,Regulation Of Epidermal Growth Factor-Activated Receptor Activity,"SOCS6, SOCS5",0.0053330024279726
BP,GO:0010574,Regulation Of Vascular Endothelial Growth Factor Production,"IL6ST, HIF1A",0.0053330024279726
BP,GO:0045648,Positive Regulation Of Erythrocyte Differentiation,"STAT1, HIF1A",0.0053330024279726
BP,GO:0048010,Vascular Endothelial Growth Factor Receptor Signaling Pathway,"FYN, VEGFA",0.0060134507064512
BP,GO:0042981,Regulation Of Apoptotic Process,"STAT1, FYN, IL6ST, VEGFA, BCL2L1",0.0074354464078807
BP,GO:0038061,NIK/NF-kappaB Signaling,"NFKBIA, NFKB2",0.0074354464078807
BP,GO:1903670,Regulation Of Sprouting Angiogenesis,"VEGFA, JAK1",0.0076968729784978
BP,GO:0045646,Regulation Of Erythrocyte Differentiation,"STAT1, HIF1A",0.0086980283166153
BP,GO:0045639,Positive Regulation Of Myeloid Cell Differentiation,"STAT1, HIF1A",0.0086980283166153
BP,GO:0060337,Type I Interferon-Mediated Signaling Pathway,"STAT1, JAK1",0.0087930644596272
BP,GO:0033209,Tumor Necrosis Factor-Mediated Signaling Pathway,"NFKBIA, STAT1",0.0087930644596272
BP,GO:0071357,Cellular Response To Type I Interferon,"STAT1, JAK1",0.0087930644596272
BP,GO:1901652,Response To Peptide,"STAT1, FYN",0.0087930644596272
BP,GO:0043542,Endothelial Cell Migration,"STAT1, VEGFA",0.0095236590206583
BP,GO:1990928,Response To Amino Acid Starvation,"CDKN1A, MAPK1",0.0097840241812589
BP,GO:0034198,Cellular Response To Amino Acid Starvation,"CDKN1A, MAPK1",0.0100442096611774
BP,GO:0046854,Phosphatidylinositol Phosphate Biosynthetic Process,"SOCS6, SOCS5",0.0107887786388082
BP,GO:0007249,I-kappaB kinase/NF-kappaB Signaling,"NFKBIA, NFKB2",0.0110491086687291
BP,GO:0043536,Positive Regulation Of Blood Vessel Endothelial Cell Migration,"HIF1A, VEGFA",0.0113091989920939
BP,GO:0045765,Regulation Of Angiogenesis,"STAT1, HIF1A, VEGFA",0.0116970630152321
BP,GO:0140888,Interferon-Mediated Signaling Pathway,"STAT1, JAK1",0.0123250195437928
BP,GO:0002690,Positive Regulation Of Leukocyte Chemotaxis,"MAPK1, VEGFA",0.0141243328932495
BP,GO:0051893,Regulation Of Focal Adhesion Assembly,"FYN, VEGFA",0.0141243328932495
BP,GO:0043535,Regulation Of Blood Vessel Endothelial Cell Migration,"HIF1A, VEGFA",0.0141243328932495
BP,GO:0042531,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein,"IL6ST, VEGFA",0.0143826917414828
BP,GO:0072001,Renal System Development,"STAT1, VEGFA",0.0156972756261864
BP,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II,"NFKBIA, STAT1, HIF1A, NFKB2, VEGFA",0.01695499837092
BP,GO:0098586,Cellular Response To Virus,"HIF1A, JAK1",0.0184216388451422
BP,GO:0042509,Regulation Of Tyrosine Phosphorylation Of STAT Protein,"IL6ST, VEGFA",0.018673746331408
BP,GO:0071346,Cellular Response To Type II Interferon,"STAT1, JAK1",0.0189256405202729
BP,GO:0018108,Peptidyl-Tyrosine Phosphorylation,"FYN, JAK1",0.0191773177449708
BP,GO:0001932,Regulation Of Protein Phosphorylation,"CDKN1A, FYN, VEGFA",0.0196183200783381
BP,GO:0009967,Positive Regulation Of Signal Transduction,"IL6ST, HIF1A, VEGFA",0.0196183200783381
BP,GO:0048522,Positive Regulation Of Cellular Process,"LIFR, OSMR, IL6ST, VEGFA",0.0206826488470804
BP,GO:0071456,Cellular Response To Hypoxia,"HIF1A, VEGFA",0.0206826488470804
BP,GO:0036294,Cellular Response To Decreased Oxygen Levels,"HIF1A, VEGFA",0.0206826488470804
BP,GO:0034614,Cellular Response To Reactive Oxygen Species,"MAPK1, FYN",0.0206826488470804
BP,GO:0043524,Negative Regulation Of Neuron Apoptotic Process,"IL6ST, HIF1A",0.0209327235376346
BP,GO:0001938,Positive Regulation Of Endothelial Cell Proliferation,"HIF1A, VEGFA",0.0223099572953388
BP,GO:0071347,Cellular Response To Interleukin-1,"IL1R1, HIF1A",0.024296208440828
BP,GO:1903829,Positive Regulation Of Protein Localization,"FYN, JAK1",0.0256126808865638
BP,GO:0070555,Response To Interleukin-1,"IL1R1, HIF1A",0.0256126808865638
BP,GO:0010595,Positive Regulation Of Endothelial Cell Migration,"HIF1A, VEGFA",0.0256126808865638
BP,GO:0051100,Negative Regulation Of Binding,"NFKBIA, CDKN1A",0.0258535330357893
BP,GO:0006469,Negative Regulation Of Protein Kinase Activity,"PTPRT, CDKN1A",0.0266860343100007
BP,GO:0001819,Positive Regulation Of Cytokine Production,"IL1R1, IL6ST, HIF1A",0.0271640384352076
BP,GO:0050730,Regulation Of Peptidyl-Tyrosine Phosphorylation,"FYN, VEGFA",0.0271640384352076
BP,GO:0010634,Positive Regulation Of Epithelial Cell Migration,"HIF1A, VEGFA",0.0298114057677388
BP,GO:0006661,Phosphatidylinositol Biosynthetic Process,"SOCS6, SOCS5",0.0307472061942881
BP,GO:0036211,Protein Modification Process,"PTPRT, MAPK1, FYN, JAK1",0.0307472061942881
BP,GO:1904018,Positive Regulation Of Vasculature Development,"HIF1A, VEGFA",0.0307472061942881
BP,GO:0097193,Intrinsic Apoptotic Signaling Pathway,"CDKN1A, BCL2L1",0.0307472061942881
BP,GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,"NFKBIA, HIF1A, VEGFA",0.0307472061942881
BP,GO:1900449,Regulation Of Glutamate Receptor Signaling Pathway,FYN,0.0307472061942881
BP,GO:1901725,Regulation Of Histone Deacetylase Activity,VEGFA,0.0307472061942881
BP,GO:0046885,Regulation Of Hormone Biosynthetic Process,HIF1A,0.0307472061942881
BP,GO:0036324,Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway,VEGFA,0.0307472061942881
BP,GO:0048845,Venous Blood Vessel Morphogenesis,VEGFA,0.0307472061942881
BP,GO:0120040,Regulation Of Macrophage Proliferation,MAPK1,0.0307472061942881
BP,GO:0060753,Regulation Of Mast Cell Chemotaxis,VEGFA,0.0307472061942881
BP,GO:0070106,Interleukin-27-Mediated Signaling Pathway,STAT1,0.0307472061942881
BP,GO:0035771,Interleukin-4-Mediated Signaling Pathway,JAK1,0.0307472061942881
BP,GO:0032364,Intracellular Oxygen Homeostasis,HIF1A,0.0307472061942881
BP,GO:0010749,Regulation Of Nitric Oxide Mediated Signal Transduction,VEGFA,0.0307472061942881
BP,GO:0090259,Regulation Of Retinal Ganglion Cell Axon Guidance,VEGFA,0.0307472061942881
BP,GO:0072161,Mesenchymal Cell Differentiation Involved In Kidney Development,STAT1,0.0307472061942881
BP,GO:0070417,Cellular Response To Cold,NFKBIA,0.0307472061942881
BP,GO:2000556,Positive Regulation Of T-helper 1 Cell Cytokine Production,IL1R1,0.0307472061942881
BP,GO:2000554,Regulation Of T-helper 1 Cell Cytokine Production,IL1R1,0.0307472061942881
BP,GO:0045893,Positive Regulation Of DNA-templated Transcription,"NFKBIA, STAT1, HIF1A, NFKB2, VEGFA",0.0314752440036836
BP,GO:0001934,Positive Regulation Of Protein Phosphorylation,"CDKN1A, MAPK1, VEGFA",0.0314752440036836
BP,GO:0043069,Negative Regulation Of Programmed Cell Death,"IL6ST, VEGFA, BCL2L1",0.0314752440036836
BP,GO:0034599,Cellular Response To Oxidative Stress,"MAPK1, HIF1A",0.0314752440036836
BP,GO:0071356,Cellular Response To Tumor Necrosis Factor,"NFKBIA, STAT1",0.0314752440036836
BP,GO:0032352,Positive Regulation Of Hormone Metabolic Process,HIF1A,0.0314752440036836
BP,GO:0097084,Vascular Associated Smooth Muscle Cell Development,VEGFA,0.0314752440036836
BP,GO:0061042,Vascular Wound Healing,VEGFA,0.0314752440036836
BP,GO:0002829,Negative Regulation Of Type 2 Immune Response,SOCS5,0.0314752440036836
