Category,ID,Term,Genes,adj_pval
BP,GO:0098659,Inorganic Cation Import Across Plasma Membrane,"KCNJ4, CACNA2D1, HCN2, SCN1A",3.205143966304649e-05
BP,GO:0086001,Cardiac Muscle Cell Action Potential,"CACNA2D1, HCN2, SCN1A",3.205143966304649e-05
BP,GO:1904646,Cellular Response To Amyloid-Beta,"GRIN2A, GRM5, CACNA2D1",3.205143966304649e-05
BP,GO:0007215,Glutamate Receptor Signaling Pathway,"GRIN2A, GRM5, GRM1",3.205143966304649e-05
BP,GO:1904645,Response To Amyloid-Beta,"GRIN2A, GRM5, CACNA2D1",4.821787022079884e-05
BP,GO:0051966,"Regulation Of Synaptic Transmission, Glutamatergic","GRIN2A, GRM5, GRM1",7.702282831070596e-05
BP,GO:1901653,Cellular Response To Peptide,"GRIN2A, GRM5, CACNA2D1",7.702282831070596e-05
BP,GO:0006821,Chloride Transport,"GABRB3, GABRA1, CLCN5",0.0001682299296047475
BP,GO:0070588,Calcium Ion Transmembrane Transport,"GRIN2A, TRPC6, CACNA2D1",0.0001682299296047475
BP,GO:0097553,Calcium Ion Transmembrane Import Into Cytosol,"GRIN2A, CACNA2D1, SCN1A",0.0001682299296047475
BP,GO:0007268,Chemical Synaptic Transmission,"GABRB3, GABRA1, GRIN2A, CACNB4",0.0001682299296047475
BP,GO:0007216,G Protein-Coupled Glutamate Receptor Signaling Pathway,"GRM5, GRM1",0.0002170739140750197
BP,GO:1904862,Inhibitory Synapse Assembly,"GABRB3, GABRA1",0.00023672936418165283
BP,GO:0051932,"Synaptic Transmission, GABAergic","GABRB3, GABRA1",0.00025637171295120315
BP,GO:0086012,Membrane Depolarization During Cardiac Muscle Cell Action Potential,"CACNA2D1, HCN2",0.00031532493152546426
BP,GO:0086003,Cardiac Muscle Cell Contraction,"CACNA2D1, SCN1A",0.000376661454773256
BP,GO:0007214,Gamma-Aminobutyric Acid Signaling Pathway,"GABRB3, GABRA1",0.0004399422707290212
BP,GO:0030001,Metal Ion Transport,"KCNJ4, CACNA2D1, SCN1A",0.0008386161465292892
BP,GO:0034765,Regulation Of Monoatomic Ion Transmembrane Transport,"KCNJ4, GRIN2A",0.0008386161465292892
BP,GO:0086002,Cardiac Muscle Cell Action Potential Involved In Contraction,"CACNA2D1, SCN1A",0.0008533073994757357
BP,GO:0060078,Regulation Of Postsynaptic Membrane Potential,"GABRA1, GRIN2A",0.0010897808859321
BP,GO:0098916,Anterograde Trans-Synaptic Signaling,"GABRB3, GRIN2A, CACNB4",0.0010897808859321
BP,GO:0098703,Calcium Ion Import Across Plasma Membrane,"CACNA2D1, SCN1A",0.0011333933257139
BP,GO:1904062,Regulation Of Monoatomic Cation Transmembrane Transport,"GRIN2A, HCN2",0.0012076804167395
BP,GO:0086091,Regulation Of Heart Rate By Cardiac Conduction,"CACNA2D1, HCN2",0.0012460934345004
BP,GO:1990573,Potassium Ion Import Across Plasma Membrane,"KCNJ4, HCN2",0.0012460934345004
BP,GO:0006812,Monoatomic Cation Transport,"GRIN2A, TRPC6",0.0012460934345004
BP,GO:0061337,Cardiac Conduction,"CACNA2D1, HCN2",0.0014424973744053
BP,GO:1902476,Chloride Transmembrane Transport,"GABRB3, GABRA1",0.0015168915780667
BP,GO:0098656,Monoatomic Anion Transmembrane Transport,"GABRB3, GABRA1",0.0018564956158791
BP,GO:2001257,Regulation Of Cation Channel Activity,"CACNB4, HCN2",0.0019321696729652
BP,GO:0051924,Regulation Of Calcium Ion Transport,"TRPC6, CACNA2D1",0.001939208395424
BP,GO:0098655,Monoatomic Cation Transmembrane Transport,"GRIN2A, TRPC6, HCN2",0.0019983133289873
BP,GO:0098661,Inorganic Anion Transmembrane Transport,"GABRB3, GABRA1",0.0022289324372044
BP,GO:0032412,Regulation Of Monoatomic Ion Transmembrane Transporter Activity,"TRPC6, HCN2",0.0025957657577753
BP,GO:0007416,Synapse Assembly,"GABRB3, GABRA1",0.0026714070789435
BP,GO:0007200,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway,"GRM5, GRM1",0.0035451957129146
BP,GO:0006814,Sodium Ion Transport,"HCN2, SCN1A",0.0039643405857911
BP,GO:0071417,Cellular Response To Organonitrogen Compound,"GABRB3, HCN2",0.0053570401606654
BP,GO:0006816,Calcium Ion Transport,"TRPC6, CACNA2D1",0.0059324634302811
BP,GO:0006813,Potassium Ion Transport,"KCNJ4, HCN2",0.0067948233522874
BP,GO:0050804,Modulation Of Chemical Synaptic Transmission,"GRM5, GRM1",0.0067948233522874
BP,GO:0050808,Synapse Organization,"GRM5, CACNB4",0.0075119251078778
BP,GO:0071805,Potassium Ion Transmembrane Transport,"KCNJ4, HCN2",0.007991074746383
BP,GO:0034767,Positive Regulation Of Monoatomic Ion Transmembrane Transport,TRPC6,0.007991074746383
BP,GO:0098976,Excitatory Chemical Synaptic Transmission,GRIN2A,0.0084765123654556
BP,GO:0098907,Regulation Of SA Node Cell Action Potential,HCN2,0.0084765123654556
BP,GO:0062149,Detection Of Stimulus Involved In Sensory Perception Of Pain,SCN1A,0.0084765123654556
BP,GO:0010359,Regulation Of Anion Channel Activity,GRM5,0.0084765123654556
BP,GO:0071420,Cellular Response To Histamine,GABRB3,0.0084765123654556
BP,GO:0071407,Cellular Response To Organic Cyclic Compound,"GABRB3, HCN2",0.0084765123654556
