ID,logFC
Rps6kb2,0.3197774797973677
Irs1,0.0046654067060645
Mtor,0.0810233980225103
Bcl2l1,0.2702204723339087
Nfkbia,0.7811430590132886
Kras,0.2860562099281055
Pik3r3,-0.2624127929136529
Gsk3a,0.9609686340286724
Fyn,2.260464333866312
Pdpk1,-0.1468596272299211
Mapk1,1.1180066982974668
Bad,0.255031064513786
Irs2,-0.1630209637201136
Rictor,0.0510688915156224
Nras,-0.124610379651837
Kdr,2.579222388751128
Hras,0.8743098337772472
Ulk1,-0.3087649316453812
Map1lc3a,0.6993584093063528
Gsk3b,-0.1743255084748688
Gab1,-0.4917396221858954
Xiap,-0.3539697092128073
Phlpp1,-0.118005465635533
Cdkn1a,0.5787234060592998
Pik3r1,-0.2345046931077463
Pik3cb,-0.2051788284513174
Creb1,-0.357407340770269
Ulk2,-0.1863758925244281
Sos1,-0.1272521698270753
Creb5,-0.4242962901558127
Foxo1,-0.2795896015564323
Grb2,0.6543567803519524
Foxo3,-0.0624231589735116
Pik3c2a,-0.2724284695630798
Rheb,-0.0955172827635013
Eif4ebp1,0.5853954954541503
Vegfa,-0.2128985320070028
Pten,-0.4349346554232862
Nfkb2,0.6330114204093285
Bax,0.3565963120038755
