Category,ID,Term,Genes,adj_pval
KEGG,,PI3K-Akt signaling pathway,"GSK3B, CDKN1A, PHLPP1, IRS1, PTEN, PIK3R3, PIK3R1, PIK3CB, FOXO3, NRAS, KDR, EIF4EBP1, MAPK1, HRAS, PDPK1, BAD, MTOR, VEGFA, CREB1, RHEB, RPS6KB2, KRAS, GRB2, SOS1, BCL2L1, CREB5",3.5567022816180354e-34
KEGG,,Prostate cancer,"GSK3B, CDKN1A, PDPK1, BAD, PTEN, PIK3R3, PIK3R1, PIK3CB, FOXO1, MTOR, NFKBIA, NRAS, CREB1, MAPK1, KRAS, GRB2, SOS1, HRAS, CREB5",1.711403697421441e-32
KEGG,,mTOR signaling pathway,"GSK3B, IRS1, PDPK1, PTEN, PIK3R3, PIK3R1, PIK3CB, MTOR, NRAS, RHEB, RPS6KB2, EIF4EBP1, MAPK1, ULK2, RICTOR, KRAS, ULK1, GRB2, SOS1, HRAS",1.0411094945330644e-30
KEGG,,Longevity regulating pathway,"IRS1, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, MTOR, NRAS, CREB1, RHEB, RPS6KB2, EIF4EBP1, BAX, KRAS, ULK1, HRAS, CREB5",4.996372486229071e-30
KEGG,,Endometrial cancer,"GSK3B, CDKN1A, PDPK1, BAD, PTEN, PIK3R3, PIK3R1, PIK3CB, FOXO3, NRAS, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS",5.312822421161337e-30
KEGG,,Insulin signaling pathway,"GSK3B, IRS1, PDPK1, BAD, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO1, MTOR, NRAS, RHEB, RPS6KB2, EIF4EBP1, MAPK1, KRAS, GRB2, SOS1, HRAS",6.907312939850673e-30
KEGG,,Human papillomavirus infection,"GSK3B, CDKN1A, BAD, PTEN, PIK3R3, PIK3R1, PIK3CB, FOXO1, MTOR, VEGFA, NRAS, CREB1, RHEB, RPS6KB2, EIF4EBP1, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS, CREB5",6.898488914444882e-28
KEGG,,Autophagy,"IRS1, PDPK1, BAD, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, MTOR, NRAS, RHEB, RPS6KB2, MAPK1, ULK2, KRAS, ULK1, HRAS, BCL2L1",7.467677713664441e-28
KEGG,,Human cytomegalovirus infection,"GSK3B, CDKN1A, PIK3R3, PIK3R1, PIK3CB, MTOR, VEGFA, NFKBIA, NRAS, CREB1, RHEB, RPS6KB2, EIF4EBP1, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS, CREB5",9.690949977985006e-28
KEGG,,ErbB signaling pathway,"GSK3B, CDKN1A, BAD, GAB1, PIK3R3, PIK3R1, PIK3CB, MTOR, NRAS, RPS6KB2, EIF4EBP1, MAPK1, KRAS, GRB2, SOS1, HRAS",2.536274577357712e-27
KEGG,,Neurotrophin signaling pathway,"GSK3B, IRS1, PDPK1, BAD, GAB1, PIK3R3, PIK3R1, PIK3CB, FOXO3, NFKBIA, NRAS, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS",5.550745754896584e-27
KEGG,,Hepatocellular carcinoma,"GSK3B, CDKN1A, BAD, PTEN, GAB1, PIK3R3, PIK3R1, PIK3CB, MTOR, NRAS, RPS6KB2, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS, BCL2L1",2.3699484385960555e-26
KEGG,,Colorectal cancer,"GSK3B, CDKN1A, BAD, PIK3R3, PIK3R1, PIK3CB, MTOR, NRAS, RPS6KB2, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS",4.296550648816865e-25
KEGG,,FoxO signaling pathway,"CDKN1A, IRS1, PDPK1, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, NRAS, MAPK1, KRAS, GRB2, SOS1, HRAS",3.026207058432482e-24
KEGG,,Non-small cell lung cancer,"CDKN1A, PDPK1, BAD, PIK3R3, PIK3R1, PIK3CB, FOXO3, NRAS, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS",3.9779251817532684e-24
KEGG,,Chronic myeloid leukemia,"CDKN1A, BAD, PIK3R3, PIK3R1, PIK3CB, NFKBIA, NRAS, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS, BCL2L1",8.535636726955329e-24
KEGG,,Pathways in cancer,"GSK3B, CDKN1A, BAD, PTEN, PIK3R3, XIAP, PIK3R1, PIK3CB, FOXO1, MTOR, VEGFA, NFKB2, NFKBIA, NRAS, RPS6KB2, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS, BCL2L1",1.0269151363978633e-23
KEGG,,Breast cancer,"GSK3B, CDKN1A, PTEN, PIK3R3, PIK3R1, PIK3CB, MTOR, NFKB2, NRAS, RPS6KB2, MAPK1, BAX, KRAS, GRB2, SOS1, HRAS",1.6272831883387358e-23
KEGG,,"Growth hormone synthesis, secretion and action","GSK3B, IRS1, PIK3R3, IRS2, PIK3R1, PIK3CB, MTOR, NRAS, CREB1, MAPK1, KRAS, GRB2, SOS1, HRAS, CREB5",5.374394100806484e-23
