Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-2219528,PI3K/AKT Signaling In Cancer,"GSK3B, GSK3A, CDKN1A, IRS1, PDPK1, BAD, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, MTOR, CREB1, RPS6KB2, FYN, RICTOR, GRB2, SOS1",2.584616969242631e-33
Reactome,R-HSA-1257604,PIP3 Activates AKT Signaling,"GSK3B, GSK3A, CDKN1A, PHLPP1, IRS1, PDPK1, BAD, PTEN, PIK3R3, XIAP, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, MTOR, CREB1, RHEB, RPS6KB2, MAPK1, FYN, RICTOR, GRB2, SOS1",5.6428707845022685e-33
Reactome,R-HSA-9006925,Intracellular Signaling By Second Messengers,"GSK3B, GSK3A, CDKN1A, PHLPP1, IRS1, PDPK1, BAD, PTEN, PIK3R3, XIAP, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, MTOR, CREB1, RHEB, RPS6KB2, MAPK1, FYN, RICTOR, GRB2, SOS1",1.008161604846066e-31
Reactome,R-HSA-5663202,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,"GSK3B, GSK3A, CDKN1A, IRS1, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, NRAS, KDR, MAPK1, FYN, RICTOR, HRAS, PDPK1, BAD, MTOR, CREB1, RPS6KB2, GRB2, SOS1, BCL2L1",2.940729274833632e-30
Reactome,R-HSA-5674400,Constitutive Signaling By AKT1 E17K In Cancer,"GSK3B, CDKN1A, GSK3A, CREB1, BAD, PDPK1, RPS6KB2, RICTOR, FOXO3, FOXO1, MTOR",3.772481822555008e-22
Reactome,R-HSA-162582,Signal Transduction,"GSK3B, GSK3A, CDKN1A, PHLPP1, IRS1, PTEN, PIK3R3, XIAP, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, NRAS, KDR, EIF4EBP1, MAPK1, FYN, RICTOR, HRAS, PDPK1, BAD, MTOR, VEGFA, NFKBIA, CREB1, RHEB, RPS6KB2, BAX, GRB2, SOS1, BCL2L1",1.740552557469083e-20
Reactome,R-HSA-1643685,Disease,"GSK3B, GSK3A, CDKN1A, IRS1, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, NRAS, KDR, MAPK1, FYN, RICTOR, HRAS, PDPK1, BAD, MTOR, VEGFA, NFKB2, NFKBIA, CREB1, RPS6KB2, GRB2, SOS1, BCL2L1",2.433705927171345e-19
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"IRS1, PDPK1, PIK3R3, IRS2, PIK3R1, PIK3CB, MTOR, VEGFA, NRAS, CREB1, KDR, MAPK1, BAX, FYN, RICTOR, GRB2, SOS1, HRAS",4.3845648422007685e-17
Reactome,R-HSA-449147,Signaling By Interleukins,"CDKN1A, IRS1, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, VEGFA, NFKB2, NFKBIA, CREB1, MAPK1, FYN, GRB2, SOS1, BCL2L1",2.7203391212493593e-16
Reactome,R-HSA-74751,Insulin Receptor Signaling Cascade,"NRAS, IRS1, PDPK1, MAPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",3.053334161604425e-16
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"CDKN1A, IRS1, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, VEGFA, NFKB2, NFKBIA, NRAS, CREB1, MAPK1, FYN, GRB2, SOS1, HRAS, BCL2L1",5.960634481060075e-16
Reactome,R-HSA-166520,Signaling By NTRKs,"NRAS, CREB1, IRS1, MAPK1, BAX, IRS2, FYN, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",9.000085364913698e-16
Reactome,R-HSA-112412,SOS-mediated Signaling,"NRAS, IRS1, GRB2, IRS2, SOS1, HRAS",1.833698518281475e-15
Reactome,R-HSA-199418,Negative Regulation Of PI3K/AKT Network,"PHLPP1, IRS1, PTEN, PIK3R3, MAPK1, IRS2, FYN, GRB2, PIK3R1, PIK3CB, SOS1",9.03456982865186e-15
Reactome,R-HSA-112399,IRS-mediated Signaling,"NRAS, IRS1, PDPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",9.22651047810816e-15
Reactome,R-HSA-74752,Signaling By Insulin Receptor,"NRAS, IRS1, PDPK1, MAPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",1.0390806839034974e-14
Reactome,R-HSA-9703648,Signaling By FLT3 ITD And TKD Mutants,"CDKN1A, NRAS, GRB2, PIK3R1, SOS1, HRAS, BCL2L1",1.5169248899253008e-14
Reactome,R-HSA-2428928,IRS-related Events Triggered By IGF1R,"NRAS, IRS1, PDPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",1.7070983161698174e-14
Reactome,R-HSA-2428924,IGF1R Signaling Cascade,"NRAS, IRS1, PDPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",1.9530246259930476e-14
Reactome,R-HSA-2404192,Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),"NRAS, IRS1, PDPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",2.179975884762673e-14
Reactome,R-HSA-9034015,Signaling By NTRK3 (TRKC),"NRAS, IRS1, BAX, GRB2, PIK3R1, SOS1, HRAS",2.179975884762673e-14
Reactome,R-HSA-4420097,VEGFA-VEGFR2 Pathway,"NRAS, PDPK1, KDR, FYN, RICTOR, PIK3R1, PIK3CB, HRAS, MTOR, VEGFA",5.4455284454743885e-14
Reactome,R-HSA-9669938,Signaling By KIT In Disease,"NRAS, PIK3R3, FYN, GRB2, PIK3R1, SOS1, HRAS",8.36562011949232e-14
Reactome,R-HSA-9671555,Signaling By PDGFR In Disease,"NRAS, KDR, GRB2, PIK3CB, PIK3R1, SOS1, HRAS",8.36562011949232e-14
Reactome,R-HSA-194138,Signaling By VEGF,"NRAS, PDPK1, KDR, FYN, RICTOR, PIK3R1, PIK3CB, HRAS, MTOR, VEGFA",1.2479594722191234e-13
Reactome,R-HSA-187037,Signaling By NTRK1 (TRKA),"NRAS, CREB1, IRS1, MAPK1, IRS2, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",3.771632819557346e-13
Reactome,R-HSA-9673770,Signaling By PDGFRA Extracellular Domain Mutants,"NRAS, GRB2, PIK3CB, PIK3R1, SOS1, HRAS",4.0501372461931333e-13
Reactome,R-HSA-9006335,Signaling By Erythropoietin,"NRAS, IRS2, GRB2, PIK3CB, PIK3R1, SOS1, HRAS",4.890092567785398e-13
Reactome,R-HSA-5683057,MAPK Family Signaling Cascades,"IRS1, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, NRAS, MAPK1, FYN, GRB2, SOS1, HRAS, BCL2L1",5.062257343683096e-13
Reactome,R-HSA-9682385,FLT3 Signaling In Disease,"CDKN1A, NRAS, GRB2, PIK3R1, SOS1, HRAS, BCL2L1",1.16601206121124e-12
Reactome,R-HSA-2454202,Fc Epsilon Receptor (FCERI) Signaling,"NFKBIA, NRAS, PDPK1, MAPK1, FYN, GRB2, PIK3R1, PIK3CB, SOS1, HRAS",1.2114017142985445e-12
Reactome,R-HSA-168256,Immune System,"CDKN1A, IRS1, PDPK1, PTEN, PIK3R3, IRS2, PIK3R1, PIK3CB, FOXO3, FOXO1, MTOR, VEGFA, NFKB2, NFKBIA, NRAS, CREB1, MAPK1, FYN, RICTOR, GRB2, SOS1, HRAS, BCL2L1",1.3551914878168549e-12
Reactome,R-HSA-2424491,DAP12 Signaling,"NRAS, FYN, GRB2, PIK3CB, PIK3R1, SOS1, HRAS",1.4113174568406769e-12
Reactome,R-HSA-2730905,Role Of LAT2/NTAL/LAB On Calcium Mobilization,"PDPK1, FYN, GRB2, PIK3CB, PIK3R1, SOS1",2.081569792087352e-12
Reactome,R-HSA-389356,CD28 Co-Stimulation,"PDPK1, PIK3R3, FYN, RICTOR, GRB2, PIK3R1, MTOR",5.993848082442732e-12
Reactome,R-HSA-881907,Gastrin-CREB Signaling Pathway Via PKC And MAPK,"NRAS, CREB1, MAPK1, GRB2, SOS1, HRAS",7.848910294118744e-12
Reactome,R-HSA-210993,Tie2 Signaling,"NRAS, GRB2, PIK3CB, PIK3R1, SOS1, HRAS",7.848910294118744e-12
