Category,ID,Term,Genes,adj_pval
BP,GO:0008286,Insulin Receptor Signaling Pathway,"GSK3B, GSK3A, IRS1, GAB1, PIK3R3, IRS2, GRB2, PIK3R1, PIK3C2A, FOXO1",1.5312611428843602e-15
BP,GO:0007169,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,"GSK3B, GSK3A, IRS1, GAB1, PIK3R3, IRS2, PIK3R1, PIK3CB, PIK3C2A, FOXO1, VEGFA, KDR, MAPK1, FYN, GRB2",2.0091728036579805e-15
BP,GO:0032869,Cellular Response To Insulin Stimulus,"GSK3B, GSK3A, IRS1, PDPK1, GAB1, PIK3R3, IRS2, GRB2, PIK3R1, PIK3C2A, FOXO1",1.7445396312738314e-14
BP,GO:0031331,Positive Regulation Of Cellular Catabolic Process,"GSK3B, GSK3A, IRS1, BAD, ULK2, IRS2, ULK1, PIK3CB, FOXO3, PIK3C2A, FOXO1, MTOR",1.7517026064228042e-14
BP,GO:0010508,Positive Regulation Of Autophagy,"GSK3B, GSK3A, BAD, KDR, ULK2, ULK1, PIK3CB, FOXO3, PIK3C2A, FOXO1",1.9149458778867534e-12
BP,GO:0010506,Regulation Of Autophagy,"GSK3B, GSK3A, BAD, ULK2, ULK1, PIK3CB, FOXO3, PIK3C2A, FOXO1, MTOR",5.696797219216787e-09
BP,GO:0042981,Regulation Of Apoptotic Process,"GSK3B, PHLPP1, BAD, XIAP, PIK3R1, FOXO3, FOXO1, MTOR, VEGFA, KDR, BAX, FYN, RICTOR, BCL2L1",5.8996282148467104e-09
BP,GO:0038127,ERBB Signaling Pathway,"PDPK1, GAB1, MAPK1, GRB2, PIK3C2A, SOS1",1.3447075432452878e-07
BP,GO:0006468,Protein Phosphorylation,"GSK3B, GSK3A, CREB1, PDPK1, KDR, MAPK1, ULK2, FYN, RICTOR, ULK1, MTOR",2.9471753141433773e-07
BP,GO:0097191,Extrinsic Apoptotic Signaling Pathway,"GSK3B, GSK3A, PDPK1, BAD, BAX, BCL2L1",4.078709885744214e-07
BP,GO:0014065,Phosphatidylinositol 3-Kinase Signaling,"IRS1, PTEN, PIK3CB, PIK3R1, PIK3C2A",4.491810448070528e-07
BP,GO:1902531,Regulation Of Intracellular Signal Transduction,"NFKBIA, PHLPP1, PDPK1, PTEN, KDR, RICTOR, GRB2, MTOR, VEGFA",4.895857421063297e-07
BP,GO:0016310,Phosphorylation,"GSK3B, GSK3A, CREB1, PDPK1, MAPK1, FYN, RICTOR, ULK1, PIK3CB, MTOR",7.044716275314484e-07
BP,GO:0032868,Response To Insulin,"GSK3A, IRS1, PDPK1, IRS2, PIK3R1, FOXO1",7.973865957615694e-07
BP,GO:0071375,Cellular Response To Peptide Hormone Stimulus,"GSK3A, IRS1, PDPK1, IRS2, PIK3R1, FOXO1",1.5308053720593226e-06
BP,GO:0097192,Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,"GSK3B, GSK3A, BAX, BCL2L1",1.5308053720593226e-06
