ID,logFC
Fkbp5,0.8321640859125016
Plin4,1.382484292676555
Hif3a,0.8990094968985244
Rbm3,0.220637230526647
Mpp5,-0.2417417529338782
Xdh,0.7290676352468002
Cdkn1a,0.5787234060592998
Vstm2a,-0.2403786766688321
Ednrb,-0.4194065269906772
Cd53,4.339430567899964
Msantd2,2.15899109320343
Mertk,1.4320253568647223
Map3k6,0.7261603478665091
Zbtb16,0.575160418772313
Dbp,0.446249133362194
Ank3,0.1087075988860994
Epm2aip1,0.0142272360398857
Tjp1,0.0064141589536271
Fam126b,-0.261061696183388
Homer1,-0.2666180143701608
Papola,-0.275707503518674
Gramd3,-0.2795019771446961
Stam,-0.2904601662458357
Nr4a3,-0.3142733371961297
Tmem47,-0.3527687699904739
Hspa1a,-0.5921610393802871
Ccdc9b,5.41883090451594
Slc4a7,3.835920433509731
Zfp52,2.8228837863579987
Zfp771,2.369315981277101
Sgpp1,1.2913478839027517
Bmpr2,1.1258402324758798
Ubqln1,1.0876337411172523
Cnksr2,0.9116621671888496
Arl4d,0.8873665220961525
Arrdc2,0.761320643051867
Rap1b,0.4718863794350271
Rps27,0.3786904023866659
Klf15,0.3696180465096692
Rps9,0.3308949533586159
Hspe1,0.1625700930493162
Pom121,0.1256597474684767
Kif1b,0.1064643754502719
Aldh6a1,0.0610284408167993
Fosb,0.0508991127534972
Srp54a,0.0329255382544764
Kcna1,0.0097622146483506
Mtmr1,-0.0061364199335362
Klhl11,-0.0186693838333979
Srsf10,-0.0362163483202908
Eif4g2,-0.0617806099733843
Bmpr1a,-0.0789110738450983
Atp2b2,-0.1044534369115032
Ivns1abp,-0.1638991360332402
Gsk3b,-0.1743255084748688
Kcnd2,-0.190219554375367
Sobp,-0.2119120327350117
Kbtbd7,-0.2273273932253418
Dusp4,-0.2519729761134183
Fos,-0.2606512323917716
Chm,-0.2708778081062225
Mef2a,-0.2761973940324809
Sox2,-0.2816881826447384
Edil3,-0.2871076497585642
Spred1,-0.2945003044912384
Atf2,-0.3038337966013777
Cacnb4,-0.3223760436019577
Ube3a,-0.3264348010205303
Trim59,-0.3747044300342443
Cav1,-0.3991277453283162
Echdc2,6.957791662312391
