Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-168255,Influenza Infection,"RPL30, RPL32, RPL31, RPL34, RPL10A, RPL8, RPS15, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, KPNA4, RPL38, RPL37, RPS11, KPNA3, RPL39, RPS10, RPS13, KPNA1, RPS12, NUP214, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, GTF2F1, RPL27, NUP98, RPL26, RPL29, RPL28, UBA52, KPNB1, POM121, SEH1L, AAAS, MRPL13, NUP160, NUP88, CPSF4, RPL41, NUP155, EIF2AK2, NUP153, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, CALR, RPS21, RSL24D1, RPS24, RPS23, RPLP1, CLTC, CLTA, RPL7A, XPO1, RPLP2, NDC1, HSP90AA1, PBRM1, RPL13A, DNAJC3, RPL37A, RPL11, RPL36A, RPS27L, PABPN1, POLR2A, POLR2E, RPL14, RPS3, POLR2F, POLR2G, RPL15, RPS2, POLR2I, RPL18, RPS27A, POLR2J, POLR2K, POLR2L, RPL19, RANBP2, RPL35A, RPL23A, XK, RPL22L1, FAU, HSPA1A",3.7067442580833073e-23
Reactome,R-HSA-1799339,SRP-dependent Cotranslational Protein Targeting To Membrane,"SRP19, RPL30, TRAM1, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, SRP14, RPS15, RPS14, RPL7A, RPS17, RPS16, RPL18A, RPS19, RPL36AL, SEC61G, RPL36, RPL35, RPLP2, RPL38, RPL37, SEC61B, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, SSR4, RPS8, RPL23, SSR2, RPL22, RPS6, SSR3, RPL13A, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, SEC11A, RPL19, SEC11C, RPL41, RPL35A, RPL23A, RPS25, SPCS3, RPS28, RPS27, SPCS1, RPS29, RPL27A, RPS20, RPL22L1, FAU, RPS21, RSL24D1, RPS24, RPS23",1.4570526803923765e-21
Reactome,R-HSA-156842,Eukaryotic Translation Elongation,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, EEF1B2, RPS15, RPL7A, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, EEF1A2, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, EEF2, RPS25, RPS28, RPS27, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",1.8478371450087882e-21
Reactome,R-HSA-192823,Viral mRNA Translation,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPL7A, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, PBRM1, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, DNAJC3, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, RPS25, RPS28, RPS27, XK, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",1.8478371450087882e-21
Reactome,R-HSA-156902,Peptide Chain Elongation,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPL7A, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, EEF2, RPS25, RPS28, RPS27, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",1.8478371450087882e-21
Reactome,R-HSA-168273,Influenza Viral RNA Transcription And Replication,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPS14, RPL7A, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, NUP214, NDC1, RPS9, HSP90AA1, PBRM1, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, GTF2F1, DNAJC3, RPL37A, RPL27, NUP98, RPL26, RPL29, RPL28, UBA52, POM121, SEH1L, RPL11, RPL36A, RPS27L, AAAS, MRPL13, NUP160, POLR2A, POLR2E, RPL14, RPS3, POLR2F, NUP88, POLR2G, RPL15, RPS2, POLR2I, RPL18, RPS27A, POLR2J, POLR2K, POLR2L, RPL19, RANBP2, RPL41, NUP155, RPL35A, NUP153, RPL23A, RPS25, RPS28, RPS27, XK, RPS29, RPL27A, RPS20, RPL22L1, FAU, RPS21, RSL24D1, RPS24, RPS23",2.5942678853766802e-21
Reactome,R-HSA-975956,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC),"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPL7A, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, NCBP2, RPS8, RPL23, RPL22, RPS6, RPL13A, RPL37A, RPL27, PABPC1, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, GSPT1, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, RPS25, RPS28, RPS27, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",9.43043926111161e-21
Reactome,R-HSA-72764,Eukaryotic Translation Termination,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPL7A, RPS14, TRMT112, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, GSPT1, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, RPS25, RPS28, RPS27, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",9.43043926111161e-21
Reactome,R-HSA-2408557,Selenocysteine Synthesis,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPL7A, RPS14, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, PSTK, RPS12, RPS9, RPL21, RPS8, RPL23, RPL22, RPS6, RPL13A, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, RPS25, RPS28, RPS27, RPS29, RPL27A, RPL22L1, RPS20, FAU, RPS21, RSL24D1, RPS24, RPS23",7.206110148293301e-20
Reactome,R-HSA-72689,Formation Of A Pool Of Free 40S Subunits,"RPL30, RPL32, RPL31, RPL34, RPLP1, RPL10A, RPL8, RPS15, RPS14, RPL7A, RPS17, RPS16, RPL18A, RPS19, RPL36AL, RPL36, RPL35, RPLP2, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, EIF1AX, RPS8, RPL23, RPL22, RPS6, RPL13A, RPL37A, RPL27, RPL26, RPL29, RPL28, UBA52, RPL11, RPL36A, RPS27L, MRPL13, RPL14, RPS3, RPL15, RPS2, RPL18, RPS27A, RPL19, RPL41, RPL35A, RPL23A, RPS25, RPS28, RPS27, EIF3K, RPS29, RPL27A, EIF3G, RPS20, RPL22L1, FAU, RPS21, RSL24D1, RPS24, RPS23",1.9987566846455603e-18
