Category,ID,Term,Genes,adj_pval
BP,GO:0014742,Positive Regulation Of Muscle Hypertrophy,"MEF2A, NR4A3",0.0694229011686185
BP,GO:0010613,Positive Regulation Of Cardiac Muscle Hypertrophy,"MEF2A, NR4A3",0.0694229011686185
BP,GO:0010611,Regulation Of Cardiac Muscle Hypertrophy,"MEF2A, NR4A3",0.0834232675923364
BP,GO:0000122,Negative Regulation Of Transcription By RNA Polymerase II,"SOX2, MEF2A, EDNRB, NR4A3, ZBTB16, HSPA1A",0.0834232675923364
BP,GO:0010647,Positive Regulation Of Cell Communication,"HOMER1, ANK3",0.0834232675923364
BP,GO:1902807,Negative Regulation Of Cell Cycle G1/S Phase Transition,"SOX2, CDKN1A",0.0834232675923364
MF,GO:0030291,Protein Serine/Threonine Kinase Inhibitor Activity,"CDKN1A, SPRED1",0.0434427109301833
MF,GO:0001228,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific","MEF2A, DBP, NR4A3, ZBTB16",0.0434427109301833
MF,GO:0004860,Protein Kinase Inhibitor Activity,"CDKN1A, SPRED1",0.0434427109301833
MF,GO:0000987,Cis-Regulatory Region Sequence-Specific DNA Binding,"SOX2, MEF2A, DBP, NR4A3, ZBTB16, HIF3A",0.0470104155940493
MF,GO:0000976,Transcription Cis-Regulatory Region Binding,"SOX2, MEF2A, DBP, HIF3A",0.0470104155940493
MF,GO:0035639,Purine Ribonucleoside Triphosphate Binding,"ARL4D, PAPOLA, MAP3K6, HSPA1A",0.0470104155940493
MF,GO:0000978,RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding,"SOX2, MEF2A, DBP, NR4A3, ZBTB16, HIF3A",0.0470104155940493
MF,GO:0055131,C3HC4-type RING Finger Domain Binding,HSPA1A,0.0470104155940493
MF,GO:0005524,ATP Binding,"PAPOLA, MAP3K6, HSPA1A",0.0470104155940493
MF,GO:0000977,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding,"SOX2, MEF2A, DBP, NR4A3, ZBTB16, HIF3A",0.0470104155940493
MF,GO:0044389,Ubiquitin-Like Protein Ligase Binding,"CDKN1A, STAM, HSPA1A",0.0470104155940493
MF,GO:0042826,Histone Deacetylase Binding,"MEF2A, HSPA1A",0.0470104155940493
MF,GO:0035256,G Protein-Coupled Glutamate Receptor Binding,HOMER1,0.0470104155940493
MF,GO:0032559,Adenyl Ribonucleotide Binding,"PAPOLA, MAP3K6, HSPA1A",0.0470104155940493
MF,GO:0045296,Cadherin Binding,"TJP1, ANK3, HSPA1A",0.0470104155940493
MF,GO:0035259,Nuclear Glucocorticoid Receptor Binding,NR4A3,0.0470104155940493
MF,GO:0035497,cAMP Response Element Binding,NR4A3,0.0497397210116248
CC,GO:0005923,Bicellular Tight Junction,"TJP1, ANK3",0.0703262214110527
CC,GO:0030425,Dendrite,"RBM3, HOMER1, ANK3",0.0703262214110527
CC,GO:0070160,Tight Junction,"TJP1, ANK3",0.0703262214110527
CC,GO:0014731,Spectrin-Associated Cytoskeleton,ANK3,0.0703262214110527
CC,GO:0043296,Apical Junction Complex,"TJP1, ANK3",0.0703262214110527
CC,GO:0016323,Basolateral Plasma Membrane,"TJP1, ANK3",0.141929429946091
