Term,NES,NOM p-val,FDR q-val,Lead_genes
Androgen Response,-2.0147108457853515,0.01,0.011197014129565449,PA2G4;ACSL3;PDLIM5;DHCR24;ZMIZ1;INSIG1;TSC22D1;PLPP1;APPBP2;NCOA4;GPD1L;UBE2I;DNAJB9;ITGAV;ARID5B;CCND3;SLC38A2;CDC14B;BMPR1B;SPCS3;VAPA;TMEM50A;XRCC6;PIAS1;TNFAIP8;ABHD2;CCND1;DBI;HERC3;SRP19;B2M;RPS6KA3
TNF-alpha Signaling via NF-kB,-1.963488047762133,0.01,0.01,FJX1;INHBA;CDKN1A;FOSB;EGR2;NFIL3;EDN1;FOS;NR4A2;PDLIM5;NR4A3;KLF2;GADD45A;GADD45B;DUSP4;SPHK1;DNAJB4;KLF4;BTG1;PTPRE;PHLDA1;KLF6;NFE2L2;TSC22D1;CEBPB;BIRC2;BTG3;IRS2;KDM6B;EGR1;RCAN1;SPSB1;DRAM1;PLPP3;SERPINB8;ATP2B1;EGR3;TNFAIP8;EHD1;NAMPT;CSF1;CCND1;RELB;IRF1;IL7R;TNC;IFNGR2;BCL6;TNIP2;ID2;TANK;STAT5A;TRIP10;SIK1;SERPINB2;BMP2;IL6ST;CCL4
Epithelial Mesenchymal Transition,-1.8840408968315507,0.01,0.01,INHBA;IGFBP2;EDIL3;RGS4;FMOD;GADD45A;PCOLCE2;VIM;GADD45B;MEST;CDH11;CXCL12;DCN;MSX1;BDNF;GREM1;ACTA2;TNFRSF12A;PCOLCE;TGFBR3;SERPINH1;DAB2;COL1A1;MGP;IGFBP3;FBLN1;PRRX1;TIMP3;LOXL1;ITGB1;ITGAV;MMP2;LUM;CALU;CDH2;FBLN2;TIMP1;TGFBI;P3H1;MMP14;WNT5A;LAMA2;LOX;WIPF1;ELN;CALD1;NID2;TNC;ECM1;SDC1;BMP1;SGCB;ID2;FAP;VCAM1;COL4A2;THBS2;DST;MAGEE1;CD44;IGFBP4
UV Response Dn,-1.845292352763237,0.01,0.01,MAP1B;PDLIM5;ADD3;RGS4;ZMIZ1;CDK13;AGGF1;WDR37;MAGI2;ATXN1;INSIG1;BDNF;SFMBT1;CITED2;ATRX;ADORA2B;TGFBR3;VLDLR;DAB2;COL1A1;MMP16;ANXA2;ATP2C1;BCKDHB;RBPMS;NIPBL;PTEN;GRK5;YTHDC1;ID1;PLPP3;ATP2B1;DLC1;BMPR1A;SRI;APBB2
Oxidative Phosphorylation,1.8107858163075452,0.01,0.012810248198558846,SLC25A3;ECH1;OGDH;SLC25A11;PDHB;SDHB;ACO2;ATP6V0C;GRPEL1;IDH3G;DLAT;MGST3;RETSAT;ECHS1;NDUFS6;COX4I1;ETFB;CASP7;POR;MDH2;GPX4;NDUFA8;NDUFS8;BAX;MRPL11;ATP6AP1;ACAA2;UQCR11;MTRF1;NNT;NDUFA3;NDUFB8;MFN2;CYB5R3;NDUFS3;COX6B1;NDUFA4;ATP6V1E1;MRPS11;TIMM50;SURF1;MDH1;POLR2F;IDH3B;CS;IDH2;HSPA9;UQCRQ;UQCR10;GOT2;NDUFC1;BCKDHA;SDHC;NDUFB3;IDH3A;ALAS1;COX5A;NDUFB7;COX10;NDUFV1;ATP6V1F;UQCRC2;AIFM1;NDUFS7;PHB2;TIMM8B;COX15;ATP6V0B;NDUFS4;ATP6V1C1;COX7B;NDUFB5;SLC25A5
TGF-beta Signaling,-1.8105818757698817,0.01,0.01,SPTBN1;CDKN1C;SMAD1;SMAD6;BMPR2;WWTR1;ID1;BMPR1A;UBE2D3;PPM1A;ARID4B;IFNGR2;FNTA;FURIN;ID2;BMP2;TRIM33;SMURF2;FKBP1A;CDH1;JUNB;PMEPA1;CDK9;SMAD3;LTBP2;APC;TGFB1;PPP1CA
Hypoxia,-1.8076828244547303,0.01,0.01,B3GALT6;CDKN1A;NFIL3;FOS;DTNA;P4HA1;RRAGD;CDKN1C;DCN;IDS;P4HA2;CITED2;CP;BCL2;ADORA2B;KLHL24;VLDLR;BTG1;KLF6;ANXA2;HDLBP;EGFR;SAP30;XPNPEP1;IRS2;IGFBP3;RORA;CSRP2;PPARGC1A;STBD1;JMJD6;GCNT2;GPC3;NOCT;RBPJ;PFKP;ATP7A;SULT2B1;EFNA3;TGFBI
IL-2/STAT5 Signaling,-1.6906513984504004,0.01,0.01,ALCAM;NFIL3;FAM126B;CCND2;SPRED2;SNX14;P4HA1;RRAGD;CDKN1C;GADD45B;GLIPR2;EMP1;BCL2;PHLDA1;KLF6;UMPS;PLPP1;NOP2;RORA;RGS16;BMPR2;RABGAP1L;COL6A1;XBP1;ITGAV;SOCS2;CCND3;ARL4A;SYNGR2;ICOS;SNX9;SLC39A8;TNFRSF21;NCS1;SYT11;IFITM3;IKZF4;CISH;CD86;SPRY4;POU2F1;CSF1;SOCS1
mTORC1 Signaling,-1.5506790153702814,0.01,0.03219141562250067,CDKN1A;NFIL3;ACSL3;DHCR24;CALR;ADD3;CCNG1;NUPR1;P4HA1;GSK3B;HSPD1;SLC7A11;INSIG1;SERPINH1;VLDLR;SRD5A1;HSP90B1;SKAP2;XBP1;FKBP2;ATP6V1D;SQLE;STIP1;M6PR;RAB1A;BCAT1;SC5D;PNO1;ME1;CDC25A;UBE2D3;MCM4;HSPA5;CACYBP;POLR3G;HSPE1;NAMPT;ACTR3;SHMT2;LGMN;LTA4H;IFI30;PPA1;SERP1;ELOVL5;DHCR7;GTF2H1;PLK1;UCHL5;EGLN3;UNG;AK4;CXCR4
Apoptosis,-1.528448383481325,0.013888888888888888,0.03732338043188484,CDKN1A;HSPB1;CCND2;ADD1;PDCD4;GADD45A;TSPO;GADD45B;DCN;DNAJC3;EMP1;TNFRSF12A;HMGB2;TGFBR3;BTG3;GSTM1;TIMP3;ROCK1;DNM1L;MMP2;RHOT2;LUM;TGFB2;LEF1;TIMP1;PRF1;SC5D;GNA15;BCL2L2;DFFA;IFITM3;EGR3;PMAIP1
DNA Repair,1.5102443918495811,0.01,0.03522818254603683,MPG;TAF6;RALA;ERCC5;NELFE;SRSF6;AAAS;GPX4;VPS37D;STX3;GTF2F1;VPS28;ERCC3;POLD1;NT5C;POLL;ERCC1;CSTF3;RFC2;TARBP2;POLR2I;APRT;DGCR8;GUK1;POLD4;SNAPC4;RPA2;CCNO;POLR1C;POLA2;POLR2K;SURF1;CANT1;POLR2F;TAF13;RPA3;NFX1;TYMS;EIF1B;POLR2D;POLA1;NELFCD;NME4;NPR2;POLR2J;ITPA;ADCY6;NUDT21;GTF2H3;HCLS1;NME1;MRPL40;REV3L
Mitotic Spindle,-1.491839940471857,0.01,0.048147160757131435,RAPGEF5;KLC1;PDLIM5;SPTBN1;ABI1;KIF1B;KIF3B;SMC1A;PKD2;ACTN4;EZR;CTTN;CSNK1D;NF1;RAPGEF6;SORBS2;KIFAP3;ROCK1;PCGF5;CEP57;RHOT2;LRPPRC;RABGAP1;DYNLL2;ARFIP2;ANLN;NET1;MID1IP1;CLIP1;RASA1;HOOK3;NCK1;BIN1;CNTRL;GSN;PALLD;PRC1;VCL;ABR;KIF23;CYTH2
