Term,NES,NOM p-val,FDR q-val,Lead_genes
Citrate cycle (TCA cycle),2.2106145926354426,0.01,0.01,OGDH;PDHB;SDHB;ACO2;IDH3G;DLAT;MDH2;PCK2;MDH1;IDH3B;CS;IDH2;PDHA2;SDHC;IDH3A
Glioma,-2.0202256033604225,0.01,0.011076692011639914,CDKN1A;CALML4;KRAS;GADD45A;GADD45B;PIK3CA;CAMK1D;MAPK1;PIK3R1;CAMK2D;EGFR;SHC1;TGFA;PTEN;CAMK1G;PRKCG;CALML3;CALM2;GADD45G;MAPK3;E2F3;CCND1
MicroRNAs in cancer,-1.9316895718823988,0.01,0.027691730029099783,CDKN1A;CCND2;EZH2;EP300;CCNG1;KRAS;ZEB2;STAT3;PDCD4;VIM;PIK3CA;MAPK1;BMI1;BCL2;CRK;PIK3R1;EZR;MMP16;EGFR;SHC1;IRS2;SOX4;MAPK7;TNR;BMPR2;TIMP3;ROCK1;PTEN;UBE2I;CRKL;TGFB2;PRKCG;EFNA3;HDAC4;BCL2L2;MAPK3;CDC25A;E2F3;STMN1;KIF23;CCND1;SOCS1;TNC;FZD3;E2F2
cGMP-PKG signaling pathway,-1.8782785399249287,0.01,0.04061453737601301,GNAQ;ATP2B2;CALML4;ATF2;MEF2C;GNA13;PPP1CB;NFATC3;EDNRB;PRKG2;ROCK2;MEF2A;PPP1CC;MAPK1;IRS2;ADORA1;ROCK1;PRKG1;CREB3L2;ADRB1;ATP2A1;CALML3;GTF2I;PIK3CG;CALM2;ADRA2A;CREB1;ATP2B1;PPP3CA;ATP2B3;MAPK3;KCNJ8;ATP2A3;ATF4;CACNA1D;RGS2;ADRA2C;ADCY1;ADRA1A;ATP1B3;INSR;ADRA1D;GNA12
Proteasome,1.8642664034291985,0.01,0.045653533458411506,PSMB10;PSMB1;PSMC3;POMP;PSMB7;PSMA2;PSMD11;PSMB2;PSMB9;PSMB6;PSME1;PSMA5;PSMA7;PSMD8;PSMB3;PSMD6;PSMD13;PSMB5;PSMC2;PSMA3;PSMC6;IFNG;PSMC4
"Growth hormone synthesis, secretion and action",-1.8632696641878537,0.01,0.04153759504364968,GNAQ;FOS;EP300;ATF2;KRAS;STAT3;GSK3B;PIK3CA;MAPK1;GNAS;CRK;PIK3R1;SHC1;MAPK9;IRS2;IGFBP3;MAP2K6;CREB3L2;SSTR1;CRKL;SOCS2;PRKCG;GHSR;SSTR2;STAT1;CREB1;MAPK3;ATF4;CACNA1D;SOCS1;ADCY1
Colorectal cancer,-1.8591096975435353,0.01,0.033230076034919745,CDKN1A;FOS;TCF7L2;KRAS;GADD45A;GSK3B;GADD45B;PIK3CA;MAPK1;BCL2;PIK3R1;MSH3;EGFR;MAPK9;TGFA;TGFB2;RPS6KB1;LEF1;GADD45G;SMAD4;TGFB3;PMAIP1;MAPK3
Circadian entrainment,-1.8481542284298698,0.01,0.0295378453643731,GNAQ;GRIA3;CALML4;FOS;NOS1AP;PRKG2;MAPK1;GNB4;GNAS;GRIN1;CAMK2D;PRKG1;PRKCG;GRIA1;CALML3;CALM2;GNB1;CREB1;MAPK3;KCNJ6;KCNJ9;RASD1;CACNA1D;RYR1;ADCY1;NOS1;ADCYAP1R1;PER2;CACNA1G;GRIN2A;RYR2;ADCY7;GNB3;KCNJ3;GRIA2;GUCY1A2
MAPK signaling pathway,-1.8395125823753458,0.01,0.030065306888736907,HSPA1A;HSPB1;FOS;CACNB4;IL1RAP;ATF2;MEF2C;NFATC3;IGF2;KRAS;GADD45A;ANGPT2;GADD45B;DUSP4;STK3;BDNF;MAPK1;TRAF2;PPM1B;TAB2;DUSP6;CRK;HSPA8;MAPK8IP3;EGFR;DUSP3;NF1;MAPT;RASGRF1;MAPK9;TGFA;FGF1;JUND;MAPK7;CACNA2D1;MAP2K6;MAX;HSPA2;CRKL;CACNG3;TGFB2;PRKCG;CACNG7;TRAF6;CACNB2;EFNA3;NTRK2;CACNA1B;IKBKG;RASA1;FLT1;FGFR2;PTPRR;GADD45G;FGF17;CACNG5;TGFB3;PPP3CA;MAPK3;PPM1A;STMN1;MAP3K14;DUSP8;CSF1;ATF4;CACNA1D;RELB;TNFRSF1A;RPS6KA3
Oxytocin signaling pathway,-1.8351283233510054,0.01,0.026307143527644794,GNAQ;CDKN1A;CALML4;FOS;CACNB4;MEF2C;PPP1CB;NFATC3;KRAS;ROCK2;CAMK1D;PPP1CC;MAPK1;GNAS;PRKAA2;CAMK2D;EGFR;PPP1R12C;MAPK7;ROCK1;CACNA2D1;CACNG3;RCAN1;CAMK1G;PRKCG;CALML3;CACNG7;PIK3CG;CALM2;CACNB2;CACNG5;PPP3CA;KCNJ2;MAPK3;OXT;KCNJ6;KCNJ9;CACNA1D;CCND1;RYR1;RGS2;ADCY1
