Term,NES,NOM p-val,FDR q-val,Lead_genes
Interferon Alpha Response,3.205101276683644,0.01,0.01,ISG15;IFIT3;USP18;IFITM3;LGALS3BP;BST2;PARP14;RSAD2;IRF7;UBA7;IRF9;GBP2;EIF2AK2;IFI27;PSMB9;IFIT2;SAMD9L;IFI35;B2M;TRIM21;DHX58;PARP12;RTP4;IRF1;IFITM2;OGFR;CXCL10;TAP1;MVB12A;PSMB8;RNF31;ELF1;UBE2L6;CMPK2;TDRD7;PSME1;HELZ2;TXNIP;GMPR;STAT2;CMTR1;CNP
Interferon Gamma Response,2.762542908731097,0.01,0.01,ISG15;IFIT3;USP18;IFITM3;LGALS3BP;BST2;PARP14;RSAD2;IRF7;IRF9;MX2;STAT1;EIF2AK2;IFI27;PSMB9;IFIT2;SAMD9L;CD274;IFI35;B2M;TRIM21;DHX58;OAS2;PARP12;RTP4;IRF1;IFITM2;NLRC5;OGFR;CXCL10;TAP1;DDX58;PSMB8;PML;RNF31;SERPING1;PSMB10;UBE2L6;ICAM1;CMPK2;TDRD7;UPP1;PSME1;SAMHD1;HELZ2;TXNIP;VAMP8
mTORC1 Signaling,-1.7247957203800455,0.01,0.06066666666666667,ATP6V1D;CDKN1A;ACSL3;CALR;DHCR24;NFIL3;ADD3;GSK3B;HSPD1;CCNG1;STIP1;P4HA1;AK4;SQLE;VLDLR;ABCF2;HSP90B1;XBP1;INSIG1;DDIT3;DHCR7;SKAP2;CDC25A;SERPINH1;FKBP2;M6PR;HSPA5;IDH1;POLR3G;GLA;PGK1;SLC7A11;ELOVL6;PSAT1;YKT6;UCHL5;EBP;MAP2K3;PHGDH;HSPE1;PSME3;LGMN
UV Response Dn,-1.713828780013537,0.01,0.030333333333333334,ZMIZ1;PDLIM5;ADD3;WDR37;AGGF1;RGS4;MAP1B;MAGI2;ATXN1;MMP16;BMPR1A;CITED2;SFMBT1;BDNF;VLDLR;RASA2;GRK5;PTEN;INSIG1;ATRX;APBB2;YTHDC1;NIPBL;KALRN;SRI;PLPP3;AKT3;MAPK14;ATP2B1;KCNMA1;CDKN1B;INPP4B;CDK13;GCNT1;MGLL;AMPH;ATP2C1;ATP2B4;GJA1;PRKCE;ADORA2B;DLC1;CACNA1A;SIPA1L1;TFPI;PIAS3;SCHIP1;CELF2;IGF1R
Hypoxia,-1.595215465894921,0.01,0.04622222222222222,CDKN1A;FOS;B3GALT6;NFIL3;DTNA;PPARGC1A;IDS;KLHL24;P4HA2;DCN;NOCT;CITED2;RRAGD;GCNT2;P4HA1;HDLBP;IRS2;AK4;BTG1;PFKP;RORA;VLDLR;BCL2;KLF6;EGFR;ANGPTL4;XPNPEP1;DDIT3;GPC3;EFNA3;PPP1R3C;IGFBP3;HSPA5;JMJD6;HK1;SAP30;KIF5A;MXI1;PGK1;CDKN1B;PHKG1;HEXA;KDM3A;CASP6
Coagulation,1.517475021965977,0.01,0.092,CSRP1;VWF;APOC1;LAMP2;MMP2;CD9;TIMP3;C2;SERPING1;MMP11;MASP2;BMP1;TMPRSS6;CTSK;PLAU;PREP;ARF4;CLU;CTSB;S100A13;HPN;THBS1;CAPN5;ANXA1;MSRB2;F3;SERPINC1;APOA1;F10;FBN1;CPB2;MMP3;SERPINE1;CASP9;PEF1;PROS1;CTSE;KLK8;CPQ;PLAT
TNF-alpha Signaling via NF-kB,-1.4813856792132212,0.014492753623188406,0.08883333333333333,CDKN1A;INHBA;FOSB;NR4A2;FOS;PDLIM5;FJX1;EGR2;NFIL3;EDN1;NR4A3;PHLDA1;DNAJB4;DUSP4;GADD45A;CCND1;BTG3;IRS2;BIRC2;BTG1;GADD45B;KLF6;EGR1;TNIP2;TSC22D1;KDM6B;PLPP3;DRAM1;KLF2;ATP2B1;NFE2L2;TNC;RCAN1;SIK1;CEBPB;SERPINB2;SAT1;CD44;MAP2K3;KLF4;SERPINB8;FOSL1;EGR3;MARCKS
Unfolded Protein Response,-1.475328442479516,0.0392156862745098,0.07626666666666666,CALR;CNOT4;DNAJC3;PDIA6;CNOT6;BAG3;WIPI1;DNAJA4;HSP90B1;XBP1;CNOT2;NFYA;EEF2;NABP1;FKBP14;HSPA5;CXXC1;HERPUD1;SHC1;WFS1;NFYB;SRPRB;PSAT1;GOSR2;CEBPB
Pperoxisome,1.4564424848287247,0.034482758620689655,0.117,TTR;NUDT19;CAT;ECH1;SLC27A2;SLC25A17;IDH2;TSPO;CLN6;RETSAT;MLYCD;ERCC3;SLC23A2;HMGCL;ALDH1A1
Androgen Response,-1.4544570710716476,0.01,0.07944444444444444,ZMIZ1;ACSL3;PDLIM5;DHCR24;PA2G4;CCND1;NCOA4;APPBP2;INSIG1;TSC22D1;XRCC6;ITGAV;CAMKK2;PLPP1;ARID5B;INPP4B;SLC38A2;BMPR1B;DBI;SAT1;GPD1L;AKAP12
Xenobiotic Metabolism,1.435070041862694,0.01,0.10559999999999999,XDH;EPHX1;CAT;ECH1;HSD11B1;RETSAT;PSMB10;TMEM176B;SLC22A1;UPP1;POR;DHRS7;FBLN1;SLC6A12;PTS;NDRG2;DCXR;GSTA3;FAH;ETS2;HACL1;CCL25;CYP1A1;ALAS1;GSS;CYP27A1;ID2;ADH5;NMT1;MAOA;ESR1;DDC;GCH1;VTN;SAR1B;CROT;ACO2;PTGES;SPINT2;ACOX3;ALDH2;JUP;ETFDH;F10;SLC46A3;ATP2A2;GART;ALDH3A1;DDAH2
IL-6/JAK/STAT3 Signaling,1.4212481153091279,0.02857142857142857,0.104,IRF9;STAT1;IRF1;CXCL10;CD9;IL1B;ACVRL1;MYD88;STAT2;TLR2;LTBR
Oxidative Phosphorylation,1.3892135263276444,0.01,0.11142857142857142,ECH1;SLC25A11;IDH2;ETFA;RETSAT;OGDH;SLC25A3;POR;ETFB;ECHS1;ATP6AP1;ACAA2;ATP6V1E1;MGST3;SDHB;ALAS1;TOMM22;ACADSB;NDUFS6;COX4I1;SUCLG1;AIFM1;CASP7;VDAC2;NDUFB8;IDH3G;ATP6V0C;MDH2;MFN2;IDH3B;NDUFS8;GPX4;SLC25A5;NDUFS3;DLAT;BCKDHA;BAX;GRPEL1;ACO2;UQCR11;NDUFC1;NDUFA6;NDUFV2;ETFDH;NDUFS7;SUPV3L1;ATP6V1F;MTRF1;TIMM50;MRPL11;GOT2;COX10;HSPA9;COX6B1;ACAT1;ATP6V1H;PDHX;UQCR10;NDUFA4
