Term,NES,NOM p-val,FDR q-val,Lead_genes
Pentose and glucuronate interconversions,2.0715049782168586,0.01,0.01,KL;GUSB;AKR1A1;UGT1A10;DCXR;SORD;CRYL1;DHDH;XYLB
Long-term depression,-2.053801366627426,0.01,0.02373480915159468,GNAQ;GRIA3;PRKG2;GNAS;GNA13;GRID2;MAPK1;PRKCG;PPP2CB;MAPK3;CRHR1;GRM1;PRKG1;GNA12;GRIA1
Sphingolipid signaling pathway,-2.011764533920425,0.01,0.01186740457579734,GNAQ;ROCK2;CERS4;PIK3CA;CERS1;GNA13;MAPK9;MAPK1;ASAH1;ADORA1;PRKCG;SMPD1;BCL2;PPP2CB;MAPK3;SGMS1;PTEN;TRAF2;PDPK1;PPP2R5D;MAPK11;PRKCZ;PPP2R5A;GNA12;AKT3;MAPK14;CERS6;SGPL1;PIK3R1;MAPK10;PLD2
Oxytocin signaling pathway,-2.009832545579127,0.01,0.01,GNAQ;CDKN1A;CAMK2D;FOS;CACNB4;MEF2C;ROCK2;CAMK1D;PPP1CB;PRKAA2;NFATC3;PPP1CC;GNAS;MAPK1;CCND1;CACNA2D1;PRKCG;CACNG7;CACNG3;CACNB2;CAMK1G;MAPK3;CACNB3;EGFR;EEF2;CAMKK2;PPP1R12C;CACNG2;CAMK1;CACNA1D;KCNJ9;NFATC2;GUCY1A2;PIK3CG;RCAN1;KCNJ12;KCNJ2;CACNG5;ADCY8;PIK3R6;KCNJ3
Dopaminergic synapse,-2.0011552331196665,0.01,0.01,GNAQ;CAMK2D;SCN1A;FOS;GRIA3;GSK3B;ATF2;PPP1CB;PPP1CC;GNAS;MAPK9;PRKCG;GNB4;PPP2CB;ARNTL;CLOCK;DRD1;GNB1;PPP2R5D;CACNA1B;MAPK11;CREB1;PPP2R5A;KIF5A;AKT3;MAPK14;CREB3L2;GRIA1;MAPK10;CACNA1D;KCNJ9;GNAL;GRIN2B;ARRB1
Ascorbate and aldarate metabolism,1.9890632309508578,0.01,0.01510506243924325,KL;GUSB;AKR1A1;UGT1A10
"Growth hormone synthesis, secretion and action",-1.976447034169597,0.01,0.01,GNAQ;FOS;GSK3B;ATF2;EP300;GNAS;PIK3CA;STAT3;MAPK9;MAPK1;IRS2;PRKCG;CRKL;SSTR1;SOCS2;MAPK3;MAP2K6;CRK;IGFBP3;MAPK11;CREB1;SHC1;AKT3;MAPK14;CREB3L2;PIK3R1;MAPK10;MTOR;CACNA1D;JAK2
MicroRNAs in cancer,-1.9504306440221666,0.01,0.01,CDKN1A;CCND2;EZH2;CCNG1;EP300;PDCD4;MMP16;PIK3CA;BMI1;STAT3;MAPK1;CCND1;IRS2;PRKCG;CRKL;FZD3;BMPR2;BCL2;MAPK3;ZEB2;EGFR;PTEN;SOX4;HDAC4;CRK;EFNA3;CDC25A;ATM;SHC1;FOXP1;PIK3R1;MTOR;TNR;CDKN1B;ST14;BCL2L11;CCNE1;TNC;CDC25C;E2F3
Choline metabolism in cancer,-1.935091343775846,0.01,0.01,FOS;GPCPD1;DGKE;CHPT1;PIK3CA;RPS6KB1;MAPK9;MAPK1;LYPLA1;PRKCG;MAPK3;EGFR;SLC44A1;PDPK1;DGKQ;PIP5K1A;PLPP1;DGKB;SLC44A2;PLPP3;RALGDS;AKT3;PIK3R1;MAPK10;MTOR;PLD2;DGKG;SLC22A5;PCYT1A;WASF3
Synaptic vesicle cycle,-1.9174550037085023,0.01,0.01,ATP6V1D;RIMS1;STXBP1;SLC1A2;STX3;DNM1;ATP6V0A1;ATP6V0A2;SLC6A1;SLC6A7;ATP6V1A;CACNA1B;AP2B1;STX2
Glycerophospholipid metabolism,-1.8839698895951222,0.01,0.018460407117906974,GPCPD1;DGKE;LPIN2;CHPT1;CRLS1;LYPLA1;PLPP4;LCAT;MBOAT7;GPAM;DGKQ;MBOAT2;PLPP1;DGKB;PCYT2;PLPP3;LPCAT2;PLD2;LPIN1;DGKG;PISD;ETNPPL;LPCAT3;PCYT1A;GPD1L;PLPP5;PLA2G6
Adrenergic signaling in cardiomyocytes,-1.8731011871939631,0.01,0.01780110686369601,GNAQ;CAMK2D;ATP2B2;CACNB4;ATF2;PPP1CB;PPP1CC;CREM;GNAS;MAPK1;CACNA2D1;CACNG7;CACNG3;CACNB2;BCL2;PPP2CB;MAPK3;CACNB3;PPP2R5D;MAPK11;ATP2A1;CREB1;ADRA1A;PPP2R5A;AKT3;MAPK14;CREB3L2;CACNG2;ATP2B1;TNNC1;CACNA1D;ATP2A3;PIK3CG;CACNG5;ADRB1;ADCY8;SCN1B;PPP2R3C;PIK3R6
FoxO signaling pathway,-1.8682703723227894,0.01,0.01726167938297795,CDKN1A;CCND2;HOMER1;EP300;PRKAA2;PIK3CA;STAT3;MAPK9;MAPK1;GADD45A;CCND1;IRS2;GADD45B;MAPK3;FBXO32;EGFR;PTEN;PDPK1;FOXO6;MAPK11;SKP2;GRM1;USP7;ATM;AKT3;MAPK14;KLF2;PIK3R1;MAPK10;CDKN1B;BCL2L11;SMAD4;SGK3;TGFBR1;GADD45G;RBL2;INSR;GABARAP
Circadian entrainment,-1.8677841075875021,0.01,0.01582320610106312,GNAQ;CAMK2D;FOS;GRIA3;NOS1AP;PRKG2;GRIN1;GNAS;MAPK1;PRKCG;GNB4;MAPK3;GNB1;CACNA1G;CREB1;PRKG1;GRIA1;CACNA1D;PER2;KCNJ9;GUCY1A2;GRIN2B;ADCY8;KCNJ3;ADCYAP1R1;PER1;ADCY5;GNAO1;GNG4;RYR1;GNB5;KCNJ6
Melanogenesis,-1.8677830711600176,0.01,0.014606036400981343,GNAQ;CAMK2D;EDNRB;TCF7L2;EDN1;GSK3B;EP300;GNAS;MAPK1;PRKCG;FZD3;MAPK3;WNT4;WNT7B;CREB1;WNT5A;DVL1;CREB3L2;WNT9A
Thyroid cancer,-1.8654778386211988,0.01,0.013562748086625533,CDKN1A;TCF7L2;MAPK1;GADD45A;CCND1;RXRG;NCOA4;GADD45B;MAPK3
NOD-like receptor signaling pathway,1.861270381228844,0.01,0.037762656098108124,GBP3;IRF7;IRF9;GBP2;STAT1;HSP90AB1;GBP7;OAS2;GBP5;DHX33;RNF31;FADD;RELA;TAB1;ITPR3;TXNIP;IL1B;GSDMD;MYD88;STAT2;MAPK12;TRAF6;NLRX1;CASP8;VDAC2;CTSB;ANTXR1;MFN2;IFNA5;HSP90AA1;MAPK13
"Parathyroid hormone synthesis, secretion and action",-1.8599690406048408,0.01,0.01424088549095681,GNAQ;CDKN1A;NR4A2;FOS;MEF2C;PDE4A;ATF2;MEF2A;MMP16;GNAS;GNA13;MAPK1;RXRG;PRKCG;BCL2;PDE4D;MAPK3;EGR1;EGFR;JUND
Colorectal cancer,-1.8589366826181892,0.01,0.014092542933759342,CDKN1A;FOS;TCF7L2;GSK3B;PIK3CA;RPS6KB1;MSH3;MAPK9;MAPK1;GADD45A;CCND1;GADD45B;BCL2;MAPK3;EGFR;TGFA;RALGDS;AKT3;PIK3R1;MAPK10;MTOR;BCL2L11;SMAD4;TGFBR1;GADD45G;PMAIP1;APPL1;APC
Fatty acid biosynthesis,-1.8543417318024904,0.01,0.013961652442114518,ACSL3;ACSL6;ACSL4;ACSL1;MCAT;ACSBG1
Metabolism of xenobiotics by cytochrome P450,1.8471497968861494,0.01,0.03398639048829731,EPHX1;HSD11B1;GSTM2;UGT1A10;GSTA3;MGST3;CYP1A1;ALDH3B1;ADH5;MGST1;GSTK1;DHDH;GSTO2;GSTP1;ALDH3A1
Small cell lung cancer,-1.843724629624774,0.01,0.014504605592641195,CDKN1A;APAF1;PIK3CA;GADD45A;CCND1;RXRG;BIRC2;ITGB1;GADD45B;BCL2;PTEN;TRAF2;ITGAV;COL4A1;SKP2;RARB;TRAF3;COL4A2;AKT3;MAX;PIK3R1;BCL2L1;CDKN1B;LAMA2;CCNE1;E2F3;GADD45G
Tyrosine metabolism,1.8312838872552446,0.01,0.02718911239063785,AOC3;FAH;HPD;ALDH3B1;IL4I1;ADH5;MAOA;DDC;ALDH3A1;GOT1L1;TH;GOT2
