Term,NES,NOM p-val,FDR q-val,Lead_genes
TNF-alpha Signaling via NF-kB,-2.2325300631502785,0.01,0.01,CDKN1A;FOS;INHBA;EGR2;FOSB;KLF2;NFIL3;DUSP4;SPHK1;NR4A2;FJX1;KLF4;EGR1;SIK1;PDLIM5;PER1;BTG1;GADD45B;NFE2L2;EHD1;PHLDA1;EDN1;NR4A3;GCH1;IRS2;SAT1;CEBPB;DRAM1;CCND1;BTG3;TNC;JUNB;TRIP10;RCAN1;IL6ST;PTPRE;DUSP1;NFKB1;KDM6B;TANK;BIRC2;KLF6;JUN;YRDC;EFNA1;PMEPA1;GADD45A;NINJ1;CCNL1;TSC22D1;CXCL3;TNIP2;CCL4;TNIP1;IL18;ID2;EGR3;MAP3K8;BCL6;DNAJB4;TLR2;SPSB1;PFKFB3;SERPINB2
Epithelial Mesenchymal Transition,-2.1107810499869903,0.01,0.01,INHBA;IGFBP2;MEST;TNFRSF12A;BDNF;RGS4;COL1A1;FBLN1;FMOD;DCN;SERPINH1;ACTA2;GADD45B;PRRX1;DAB2;VIM;GREM1;PCOLCE;PCOLCE2;MGP;MYLK;MMP14;SAT1;TIMP1;TNC;VEGFC;TIMP3;LAMA2;COL4A1;CDH11;CXCL12;MSX1;TPM2;LOX;PVR;HTRA1;JUN;MMP2;ELN;EMP3;WNT5A;DKK1;TPM1;TGFB1;PMEPA1;GADD45A;EDIL3;WIPF1;TNFRSF11B;COL5A3;TGM2;ITGB1;COL6A2;ID2;COL7A1;IGFBP3;COMP;COL4A2;QSOX1;TGFBI;SFRP1;DST
p53 Pathway,-1.9651460698453138,0.01,0.01,CDKN1A;FOS;SPHK1;SLC7A11;RGS16;KLF4;TAX1BP3;CCND2;NUPR1;FBXW7;ERCC5;CCNG1;BTG1;PITPNC1;STOM;DDIT3;SAT1;IP6K2;DRAM1;DEF6;MKNK2;PTPRE;TXNIP;CGRRF1;SOCS1;MDM2;TPD52L1;HEXIM1;UPP1;VAMP8;APAF1;BAIAP2;S100A10;TCN2;IFI30;JUN;TRIAP1;TGFB1;RHBDF2;MXD4;EPS8L2;RRAD;GADD45A;RAD51C;CEBPA;NINJ1;TSC22D1;FGF13;CCND3;INHBB
Oxidative Phosphorylation,1.9456512034007518,0.01,0.01,MDH2;ECH1;SLC25A11;MFN2;COX4I1;TOMM22;GOT2;ATP6AP1;VDAC1;SDHB;SLC25A12;POR;PDHX;ALAS1;DLAT;NDUFB8;ACO2;NDUFA6;MTRF1;CASP7;UQCRC2;IDH3G;IDH2;NDUFS8;ETFA;NDUFA4;ETFB;COX6B1;NDUFV2;ATP6V1E1;NDUFV1;COX5A;UQCR10;ECHS1;POLR2F;ACAT1;SUCLG1;NDUFS3;PDHA1;HSPA9;COX5B;MGST3;SDHC;ATP6V1H;GRPEL1;UQCR11;SLC25A5;NNT;UQCRC1;PRDX3;ATP1B1;NDUFS7;COX17;UQCRH;OPA1;NDUFB6;CYB5R3;PHB2;MRPL11;DLD;IDH3B;IDH3A;UQCRQ;NDUFS6;ACAA2;COX11;GPX4;OGDH;ATP6V0C;MRPS30;NDUFB2;COX7C;MDH1;ATP6V1D;IMMT;COX8A
Androgen Response,-1.78611020433831,0.01,0.01,DHCR24;PA2G4;ACSL3;PDLIM5;BMPR1B;MAP7;SAT1;PLPP1;B2M;CCND1;MERTK;DBI;DNAJB9;MYL12A;SPCS3;AKAP12;ABHD2;TPD52;GPD1L;VAPA;ZMIZ1;CAMKK2;PMEPA1;ARID5B;TSC22D1;CCND3;SLC38A2;RPS6KA3;INPP4B;CDC14B;UAP1;MAK;APPBP2;RAB4A
Hypoxia,-1.769938182750585,0.01,0.01,CDKN1A;FOS;NFIL3;DTNA;P4HA1;ADORA2B;CITED2;NOCT;B3GALT6;P4HA2;DCN;EGFR;ANXA2;BTG1;CDKN1B;ANGPTL4;MXI1;BCL2;CP;SAP30;IRS2;DDIT3;HDLBP;RRAGD;EFNA3;PHKG1;MAP3K1;RORA;JMJD6;SULT2B1;SIAH2;DUSP1;AKAP12;HSPA5;LOX;TGFB3;TPD52;KLF6;PDGFB;JUN;HEXA;GPC3;EFNA1;KLHL24
IL-2/STAT5 Signaling,-1.7544652133218155,0.01,0.01,NFIL3;SPRED2;P4HA1;RGS16;EMP1;XBP1;CCND2;GADD45B;FAM126B;EEF1AKMT1;PHLDA1;BCL2;UMPS;ALCAM;IKZF4;RABGAP1L;PLPP1;RRAGD;CISH;RORA;ARL4A;SOCS1;CD86;IFITM3;GALM;BCL2L1;SNX14;POU2F1;NCS1;KLF6;IGF1R;ITGA6;BMPR2;SPRY4;PLSCR1;ENPP1;SOCS2;GLIPR2;CCNE1;TGM2;NOP2;MAP6;CCND3;EOMES;IFNGR1;ICOS;MAP3K8
Apoptosis,-1.6772267039708082,0.01,0.01,CDKN1A;HSPB1;DNAJC3;TNFRSF12A;EMP1;CCND2;DCN;HMGB2;ADD1;CDKN1B;GADD45B;GCH1;ROCK1;DDIT3;SAT1;CCND1;TIMP1;F2;BTG3;TIMP3;PDCD4;TXNIP;GSTM1;IFITM3;BCL2L1;EBP;NEDD9;TSPO;JUN;MMP2;GADD45A;GNA15;SLC20A1;RHOT2;IL18;EGR3;IFNGR1;DIABLO;SC5D;BCAP31;CASP6;PAK1;CDK2;ATF3;BID;CAV1;IGF2R;DFFA;BCL2L2;PSEN1
UV Response Up,-1.6245379346064708,0.014285714285714285,0.02243493867783428,FOS;FOSB;NPTX2;IGFBP2;SLC6A12;AGO2;DNAJB1;BTG1;PRPF3;MARK2;GCH1;TYRO3;STIP1;MMP14;NXF1;FKBP4;FMO1;BTG3;LHX2;JUNB;IL6ST;PDLIM3;TACR3;WIZ;RXRB;EIF5;MSX1;PRKCD;SIGMAR1
KRAS Signaling Up,-1.5915794716087661,0.01,0.0226011234087812,INHBA;PRKG2;RGS16;KLF4;EMP1;CCND2;ETV5;TMEM100;DUSP6;WNT7A;ANGPTL4;PRRX1;GADD45G;MAP7;PLVAP;RABGAP1L;IGF2;LAT2;SNAP91;MAP3K1;NGF;PECAM1;PEG3;PPBP;ALDH1A2;AKAP12;SEMA3B;BTBD3;YRDC;RBM4;ADAM17;GNG11;CSF2RA;USP12;SCN1B;ID2;ENG;IGFBP3
