Term,NES,NOM p-val,FDR q-val,Lead_genes
Pyruvate metabolism,2.132623880727022,0.01,0.01,MDH2;DLAT;ALDH1B1;LDHD;AKR1A1;ME1;PCK2;PKM;ACAT1;PKLR;PDHA1;HAGH;GRHPR;GLO1;ADH5;DLD;MDH1;ALDH2;LDHC
Basal cell carcinoma,-2.076581847045108,0.01,0.02149527834298534,CDKN1A;TCF7L2;WNT7A;GADD45B;FZD3;GADD45G;BMP4;WNT6;WNT10A;WNT4;GSK3B;WNT9A;WNT5B;WNT5A;GADD45A;WNT2B;FZD7
Citrate cycle (TCA cycle),2.038411473586614,0.01,0.01,MDH2;SDHB;DLAT;ACO2;IDH3G;IDH2;PCK2;SUCLG1;PDHA1;SDHC;DLD;IDH3B;IDH3A;ACO1;OGDH;MDH1
Glycolysis / Gluconeogenesis,2.037975733059503,0.01,0.01,PFKM;TPI1;GAPDH;DLAT;ALDH1B1;PFKL;AKR1A1;ENO2;PCK2;PKM;PKLR;PDHA1;ALDOA;FBP1;ENO1;ADH5;ENO4;PGAM1;DLD;HKDC1;PGM2;G6PC2;ALDH2;GCK;LDHC
Proteasome,2.0231465781104094,0.01,0.01,PSMA3;PSMB6;PSMB5;PSMB1;PSME4;PSMD13;PSMB10;PSMA7;PSMD8;PSMB7;PSMA2;PSMD14;PSMA5;PSMD7;PSMC3;POMP;PSMB2;PSMD11;PSMB4;IFNG
Steroid biosynthesis,-1.9811304623164563,0.01,0.03761673710022435,DHCR24;MSMO1;LIPA;LSS;DHCR7;SOAT1;NSDHL;EBP
MicroRNAs in cancer,-1.9275516382510909,0.01,0.04657310307646823,CDKN1A;STAT3;CCND2;EGFR;CCNG1;CDKN1B;EP300;HDAC4;CRKL;EZH2;BCL2;FZD3;VIM;FSCN1;ROCK1;IRS2;SOX4;CCND1;MMP16;PTEN;EFNA3;TNC;SHC1;TIMP3;PDCD4;EZR;SOCS1;MDM2;PIK3CA;NFKB1;KIF23;PDGFB;BMPR2;EFNA1;TPM1;CDCA5;STMN1;CCNE1;PRKCE;CYP1B1;EFNA5;MAPK3;E2F2;SIRT1;E2F3;IRS1;BMI1;PIK3R1;CRK;CDC25A;MARCKS
Transcriptional misregulation in cancer,-1.92093643337436,0.01,0.04030364689309752,CDKN1A;CCND2;ETV5;NUPR1;MEF2C;DUSP6;CDKN1B;GADD45B;MLLT3;NR4A3;GADD45G;MEIS1;DDIT3;PBX1;MLLT1;FLT1;CEBPB;MAX;CD86;MDM2;MEN1;CCNT1;RXRB;FUT8;BCL2L1;NFKB1;FOXO1;BMP2K;BIRC2;IGF1R;SMAD1;KDM6A;PRCC;PPARG;GADD45A;PER2;PAX3;FLI1;CEBPA;PBX3;GRIA3;HOXA10;TGFBR2;ID2;IGFBP3;BCL6
Pentose and glucuronate interconversions,1.8847952237985373,0.01,0.01755731696923208,KL;AKR1A1;UGT1A10;CRYL1;XYLB;SORD;DCXR;UGP2;DHDH;GUSB
Small cell lung cancer,-1.8769746132756857,0.01,0.04299055668597068,CDKN1A;CDKN1B;GADD45B;BCL2;GADD45G;TRAF2;SKP2;CCND1;PTEN;MAX;LAMA2;COL4A1;RXRB;APAF1;BCL2L1;PIK3CA;NFKB1;BIRC2;ITGA6;GADD45A;TRAF3;LAMC3;CCNE1;ITGB1;RARB;COL4A5;CHUK;COL4A2;RB1;E2F2;E2F3;PIK3R1;CDK2;CYCS;TRAF4;IKBKG;LAMC1;CDKN2B;AKT2;POLK;NFKBIA;PIK3R3
Ascorbate and aldarate metabolism,1.8494352035851909,0.024390243902439025,0.0219466462115401,KL;ALDH1B1;AKR1A1;UGT1A10
Thyroid cancer,-1.842849656176522,0.01,0.05015564946696579,CDKN1A;TCF7L2;GADD45B;GADD45G;CCND1;RXRB;PPARG;GADD45A;RET
TGF-beta signaling pathway,-1.838555073766836,0.01,0.047596687759467536,INHBA;E2F4;FMOD;DCN;BMPR1B;EP300;ID1;RPS6KB1;SMAD6;GREM1;BMP4;ROCK1;GREM2;ID4;BMP5;BMP7;BMPR1A;THSD4;TGFB3;NOG;BMPR2;SMAD1;TGFB1;SMAD5;AMHR2;TGFBR2;INHBB;ID2;TGFBR1;MAPK3;PPP2R1B
Pentose phosphate pathway,1.8315194128829715,0.01,0.022573693246155532,TKT;PFKM;PRPS2;PFKL;TALDO1;PGLS;H6PD;GLYCTK;ALDOA;FBP1;TKTL1;RBKS;PGM2;IDNK
Signaling pathways regulating pluripotency of stem cells,-1.8264175773468894,0.01,0.04702092137528043,INHBA;STAT3;KLF4;BMPR1B;WNT7A;ID1;FZD3;BMP4;MEIS1;TBX3;WNT6;WNT10A;WNT4;PCGF5;MAPK11;ID4;IL6ST;SOX2;FGFR2;ZFHX3;PIK3CA;GSK3B;WNT9A;BMPR1A;WNT5B;LHX5;IGF1R;JAK3;FGFR4;BMPR2;SMAD1;WNT5A;SMAD5;PCGF6;WNT2B;INHBB;MAPK14;FZD7;ID2
Aminoacyl-tRNA biosynthesis,1.8150822729237348,0.01,0.020849313900963097,VARS2;GATC;AARS2;MARS2;PARS2;GATB;FARSB;DARS2;MTFMT;IARS2;RARS2;FARS2
JAK-STAT signaling pathway,-1.7840350571503594,0.01,0.06329165289879017,CDKN1A;STAT3;CCND2;EGFR;EP300;BCL2;STAM;IRF9;IL20RA;GFAP;IL20RB;CCND1;IL17D;CISH;IL6ST;SOCS1;SOCS6;BCL2L1;PIK3CA;IL13RA1;IFNAR2;STAT2;PIAS4;PRLR;JAK3;PDGFB;STAT6;IFNA16;SOCS2;CSF2RA;OSMR;IL11;CCND3;IL22RA1
FoxO signaling pathway,-1.7819503715526275,0.01,0.058037251526060415,CDKN1A;KLF2;STAT3;HOMER1;CCND2;EGFR;PRKAA2;CDKN1B;GADD45B;EP300;FOXO6;GADD45G;SKP2;IRS2;CCND1;MAPK9;PTEN;MAPK11;MDM2;SGK3;PIK3CA;FOXO1;TGFB3;IGF1R;TGFB1;GADD45A;SETD7;NLK;TGFBR2;MAPK14;CHUK;BCL6;TGFBR1;MAPK3;CCNG2;SIRT1;USP7;AGAP2;IRS1;PIK3R1;CDK2
"Parathyroid hormone synthesis, secretion and action",-1.772962870084434,0.01,0.05666937017696135,CDKN1A;FOS;NR4A2;EGR1;MEF2C;EGFR;BCL2;JUND;ATF2;GNAQ;PDE4A;MMP14;MMP16;CREB3L2;CREB1;GNAS;PDE4D;RXRB;MEF2A;ATF4;ARRB1;GNAI2
