Term,NES,NOM p-val,FDR q-val,Lead_genes
TGF-beta Signaling,1.7313747522946763,0.01,0.01,BMPR1A;TJP1;SLC20A1;TRIM33;UBE2D3;SMAD1;CTNNB1;ID2;SPTBN1;IFNGR2;ACVR1;TGFBR1
Protein Secretion,1.5465118066933043,0.01,0.12897406989853438,PAM;DST;RER1;GOSR2;CLCN3;ARCN1;STAM;NAPA;TMED2;KIF1B;VAMP7;BET1;CLTA;DNM1L;SEC24D;VPS4B;SCRN1;LAMP2;ATP7A;TMX1;M6PR;RAB5A;ZW10;TSG101;AP2B1;COG2;LMAN1;COPB2;SNAP23
Androgen Response,1.5033213835908559,0.012195121951219513,0.14550920706501316,VAPA;SLC38A2;HERC3;UBE2J1;INSIG1;DNAJB9;NDRG1;INPP4B;UAP1;CDC14B;SEC24D;BMPR1B;TNFAIP8;XRCC6;PA2G4;AKAP12;PLPP1;STK39;LMAN1;ITGAV
Myc Targets V1,1.4818044037613471,0.01,0.13889515219842166,YWHAE;VBP1;PTGES3;KPNB1;RPS3;EEF1B2;PABPC1;SLC25A3;DHX15;EIF4G2;NCBP2;HNRNPA2B1;HSPE1;DDX21;CUL1;TCP1;MCM6;HSP90AB1;USP1;CCT5;EIF4E;ABCE1;APEX1;PCNA;PSMD14;PRPS2;LSM2;DEK;CCT7;HSPD1;HDDC2;KPNA2;HNRNPA1;SNRPG;RFC4;CCT2;XRCC6;PA2G4;YWHAQ;RACK1;PWP1
E2F Targets,1.4340250357569848,0.01,0.1984216459977452,STMN1;SMC3;EED;MCM6;USP1;NUDT21;PCNA;STAG1;EXOSC8;CCP110;UBR7;SMC6;DEK;SPC24;LUC7L3;CTCF;KPNA2;SPAG5;XRCC6;DCLRE1B;PA2G4;TIMELESS;POLE4;PRPS1;LBR;RPA2;ZW10;PMS2;HUS1;NASP;PSIP1;GINS3;LYAR;LIG1;DNMT1;DIAPH3;SRSF2;TFRC;PAICS;CSE1L
DNA Repair,1.3935156415462424,0.011235955056179775,0.2447200300638858,POM121;TAF13;MPC2;POLR1C;NCBP2;ERCC5;BCAP31;RALA;CETN2;CSTF3;POLR2G;TAF9;TMED2;NUDT21;PCNA;PDE4B;DCTN4;REV3L;ZNRD1;RAD52;SRSF6;POLR2K;NPR2;ERCC4;RFC4;CLP1;UMPS;POLE4;CMPK2;RPA2;TSG101;TAF12;SDCBP;LIG1;SNAPC5;NT5C;AK1;SMAD5;RNMT;AK3;GTF2H3
heme Metabolism,1.3196069039670533,0.033707865168539325,0.4266065388951522,MXI1;ALDH6A1;UBAC1;CLCN3;DCUN1D1;NUDT4;KLF3;MINPP1;DCAF11;ASNS;ACSL6;TRAK2;PICALM;CDR2;ALAS2;MYL4;XPO7;MOSPD1;NR3C1;CIR1;CAT;LAMP2;MBOAT2;CTSB;FBXO7;KAT2B;SLC25A38;BMP2K;RCL1;SLC30A1;BTRC;LMO2;TFDP2;SLC7A11;SDCBP;SLC30A10;ENDOD1;ADD1;RHAG;TFRC;SLC22A4
Mitotic Spindle,1.3092650270922261,0.052083333333333336,0.4129650507328072,CCDC88A;YWHAE;SMC3;DST;VCL;PAFAH1B1;LRPPRC;KIF1B;HDAC6;KIFAP3;PPP4R2;RAPGEF6;NET1;SPTBN1;ACTN4;ANLN;ARL8A;NCK1;RICTOR;EPB41L2;MYH10;BIN1;SORBS2;ABR;CEP57;CDC42EP2;BCAR1;TUBD1;LLGL1;SUN2;ABI1;HOOK3;NCK2;MAP3K11
Spermatogenesis,1.2774146175421288,0.12359550561797752,0.45857447075034447,SNAP91;TSN;JAM3;STAM2;SIRT1;PEBP1;RFC4;NEFH;HSPA4L;GAD1;CHFR;GMCL1;ART3;COIL;CLGN;ARL4A;SLC12A2;PARP2
Complement,1.2676620640961676,0.08695652173913043,0.45438556933483654,ADAM9;PRKCD;ME1;DUSP6;GPD2;PLA2G7;CTSS;USP14;GNB4;PREP;PDP1;JAK2;PIK3CA;LRP1;KIF2A;LTA4H;CSRP1;LAMP2;HSPA5;CTSB;PFN1;MSRB1
