Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,-2.1936182581129957,0.01,0.01,RPS13;RPLP1;RPS15;MRPL23;RPL37;RPL34;RPL38;RPS17;MRPL33;MRPS12;RPS27;RPL36AL;RPL23A;RPS8;RPS24;RPS19;RPS26;RPS20;RPS12;RPL35;MRPL9;MRPL34;RPL41;MRPL17;RPL23;RPL28;FAU;MRPL14;MRPS16;RPS2;MRPL11;RPL31;RPS21;RPL9;RPL18;RPS4X;MRPL2;RPS10;RPS6;MRPL10;MRPL12;MRPS11;RPL30;MRPS18A;MRPS21
Oxidative phosphorylation,-2.1469534784801314,0.01,0.01,NDUFS6;NDUFC2;NDUFV3;ATP6V1G2;UQCR11;COX6B1;COX6A2;NDUFA13;NDUFB3;NDUFA3;NDUFA12;NDUFA10;UQCR10;NDUFC1;COX5B;NDUFB8;ATP6V0B;COX6A1;ATP6V1F;CYC1;NDUFA2;NDUFA4;ATP6V1B2;NDUFB6;COX5A;NDUFV1;NDUFV2;COX17;NDUFA6;NDUFA8;COX8A;SDHC;NDUFS8;UQCRH;NDUFA7;COX4I1;ATP6V0D1
Thermogenesis,-1.9726630917991308,0.01,0.012184873949579832,KRAS;ACTL6B;ACTB;HRAS;NDUFS6;PRKAA2;NDUFC2;NDUFV3;UQCR11;COX6B1;COX6A2;NDUFA13;NDUFB3;NDUFA3;NDUFA12;NDUFA10;UQCR10;NDUFC1;COX5B;NDUFB8;COX6A1;COX14;CYC1;NDUFA2;NDUFA4;NDUFB6;COX5A;NDUFV1;NDUFV2;COA3;CNR1;DPF1;COX17;COX19;NDUFA6;NDUFA8;COX8A;SDHC;NDUFS8;UQCRH;GNAS;NDUFA7;ACSL3;PPARGC1A;COX4I1;PRKACB
Aldosterone-regulated sodium reabsorption,-1.8981007960651317,0.01,0.022846638655462184,KRAS;PRKCG;ATP1B1;PDPK1;IGF1;ATP1A1;PIK3R1;MAPK1;MAPK3;PIK3R2;ATP1B2;ATP1A2
Huntington disease,-1.8245105314172432,0.01,0.0365546218487395,DCTN3;APAF1;NDUFS6;NDUFC2;NDUFV3;HAP1;UQCR11;COX6B1;COX6A2;POLR2F;NDUFA13;NDUFB3;NDUFA3;NDUFA12;NDUFA10;UQCR10;NDUFC1;COX5B;NDUFB8;COX6A1;AP2S1;CYC1;NDUFA2;SLC25A5;NDUFA4;NDUFB6;HIP1;TUBB2B;COX5A;NDUFV1;DNAL1;NDUFV2;GRIA3;PSMA2;PSMC3;GRIA1;BDNF;PSMB1;SOD1;STX1A;PSMB3;NDUFA6;NDUFA8;GRIN1;COX8A;SDHC;NDUFS8;UQCRH;PSMB4;NDUFA7;TUBB4B;PPARGC1A;PSMB2;COX4I1;PSMC2;KLC1;DCTN6;POLR2H;SIN3A;ACTR1A;NDUFA1;KLC2;PSMD4
Parkinson disease,-1.8096893397675395,0.01,0.0365546218487395,UBC;APAF1;NDUFS6;NDUFC2;NDUFV3;UQCR11;COX6B1;COX6A2;CALM3;NDUFA13;NDUFB3;NDUFA3;NDUFA12;NDUFA10;UQCR10;NDUFC1;COX5B;NDUFB8;UCHL1;COX6A1;CAMK2A;CYC1;NDUFA2;SLC25A5;NDUFA4;NDUFB6;SNCA;TUBB2B;COX5A;MAPT;NDUFV1;NDUFV2;PSMA2;PSMC3;PSMB1;PSMB3;PARK7;NDUFA6;NDUFA8;MCU;COX8A;SDHC;NDUFS8;UQCRH;PSMB4;GNAS;NDUFA7;TUBB4B;PSMB2;COX4I1;PRKACB;PSMC2;KLC1
Coronavirus disease,-1.808815218717915,0.01,0.03133253301320529,MASP2;RPS13;RPLP1;RPS15;RPL37;RPL34;C1QB;RPL38;RPS17;PRKCG;RPS27;RPL36AL;RPL23A;RPS8;RPS24;C1QC;RPS19;CASP1;RPS26;RPS20;RPS12;RPL35;RPL41;RPL23;RPL28;FAU;MAS1;VWF;RPS2;TRAF3;RPL31;RPS21;EIF2AK2;RPL9;RPL18;RPS4X;RPS10;RPS6
Synaptic vesicle cycle,-1.79329542595599,0.01,0.031985294117647056,CPLX2;ATP6V1G2;SLC17A7;SLC6A7;NSF;ATP6V0B;ATP6V1F;AP2S1;SLC6A13;ATP6V1B2;CPLX1;STX1A;RAB3A;ATP6V0D1;DNM1;SYT1;VAMP2;CACNA1B;STXBP1;ATP6V0A1;AP2A1;ATP6V1H;CLTB;STX3
Staphylococcus aureus infection,-1.758230751963429,0.01,0.04264705882352941,MASP2;C1QB;C1QC;KRT12;FPR2;SELPLG;KRT10;C1QA;C2;KRT33A
Retrograde endocannabinoid signaling,-1.7367475044960208,0.01,0.05300420168067227,NDUFS6;NDUFC2;NDUFV3;SLC17A7;NDUFA13;NDUFB3;NDUFA3;NDUFA12;NDUFA10;NDUFC1;NDUFB8;PRKCG;NDUFA2;NDUFA4;NDUFB6;NDUFV1;GNG13;NDUFV2;GRIA3;CNR1;GRIA1;GABRB1;GNAO1;GNG2;NDUFA6;NDUFA8;NDUFS8;GNGT2;NDUFA7;GNG8;PRKACB
