Term,NES,NOM p-val,FDR q-val,Lead_genes
DNA Repair,1.7107954316426102,0.01,0.046882919412062844,MPC2;POLR1C;POM121;TAF13;NCBP2;ZNRD1;CSTF3;BCAP31;ERCC5;POLR2G;REV3L;TAF9;CETN2;NUDT21;RAD52;POLR2K;PCNA;SNAPC4;AK1;PDE4B;DDB2;UMPS;NT5C;TMED2;POLE4;GTF2H3;TAF12;RPA2;CLP1;SRSF6;RFC4;ERCC4;GPX4;SMAD5;SNAPC5;POLB;AK3
Myogenesis,-1.48259860423019,0.01,0.18500948766603414,TNNT1;PFKM;MEF2A;KCNH1;SPARC;DTNA;MEF2C;IGFBP3;PGAM2;COX6A2;BAG1;TPM2;APP;CLU;FHL1;KLF5;SPHK1;SYNGR2;NCAM1;GSN;PVALB;CKB;ATP2A1;PRNP;PTGIS;ITGB4;GAA;IGF1;GPX3;PICK1;FDPS;CRAT;ACHE;APOD;CRYAB;HSPB8
Myc Targets V1,1.4685441139415132,0.01,0.3094272681196148,SLC25A3;RPS3;VBP1;YWHAE;PTGES3;HSPE1;KPNB1;EEF1B2;PABPC1;EIF4G2;CUL1;NCBP2;CCT5;DHX15;LSM2;MCM6;DDX21;SNRPG;PSMD14;RNPS1;ABCE1;USP1;CCT7;HDDC2;APEX1;PCNA;ERH;EIF4E;TARDBP;DEK;TCP1;EIF4A1;STARD7;COPS5;RFC4;SNRPA1;RACK1;PRPS2;XRCC6;PSMC6;CCT2
Oxidative Phosphorylation,1.430766565338435,0.01,0.3031762121980064,ATP6V1D;NDUFA5;SLC25A3;DLD;IDH2;NDUFS4;ACADSB;NDUFB5;ALDH6A1;SDHD;NDUFB4;HADHB;AIFM1;UQCRB;CYCS;NDUFB2;COX7B;COX7A2;TOMM22;LRPPRC;PDHB;ETFA;COX11;MRPS15;CYB5A;MDH1;ATP6V0C
TGF-beta Signaling,1.4233882068192094,0.030303030303030304,0.24379118094272678,TJP1;BMPR1A;SLC20A1;IFNGR2;TRIM33;SMAD1;CTNNB1;UBE2D3;ACVR1;ID2
Cholesterol Homeostasis,-1.3737947327893862,0.07142857142857142,0.19734345351043642,SQLE;NSDHL;FADS2;ANXA5;LPL;CLU;LSS;CPEB2;ACSS2;HMGCS1;GPX8;CBS;FDPS;ETHE1;LGMN;HSD17B7;S100A11;GSTM2;ALCAM;GUSB;MVD
Mitotic Spindle,1.365825297027857,0.03409090909090909,0.3206791687785099,DST;YWHAE;SMC3;PAFAH1B1;CCDC88A;KIFAP3;LRPPRC;KLC1;KIF1B;SMC1A;VCL;PPP4R2;HDAC6;PXN;ITSN1;RICTOR;RASA2;OPHN1;RAPGEF6;ALS2;ABR;NCK1;ARL8A;MYH10;RANBP9;NET1;TUBD1;SORBS2;KATNA1;MAP3K11;NCK2;TBCD;DYNC1H1;ACTN4;MYH9;PREX1;PCNT;INCENP;BIN1;SPTBN1;MYO9B;SUN2;MARK4;HOOK3;NEDD9;ARAP3;EPB41L2;TUBA4A;EPB41;ATG4B;TLK1;SHROOM1;PKD2;RALBP1;FGD6
E2F Targets,1.3136780084278588,0.07058823529411765,0.41725798276735937,STMN1;SMC3;EED;SMC6;STAG1;MCM6;EXOSC8;USP1;SMC1A;CCP110;NUDT21;PCNA;UBR7;CTCF;SPC24;SPAG5;PMS2;RAD50;DEK;POLE4;TFRC;RPA2;CSE1L;PSMC3IP;PAICS;PAN2;PRPS1;DNMT1;XRCC6;LYAR;PRIM2;DCTPP1;PRKDC;KPNA2;DCLRE1B;ZW10;NCAPD2;MCM2
Protein Secretion,1.3014224347977335,0.056338028169014086,0.3978350590109333,DST;PAM;RER1;GOSR2;ARCN1;STAM;KIF1B;CLCN3;AP2B1;CLTA;SCRN1;NAPA;VPS4B;COG2;AP3B1;GOLGA4;TMED2;VAMP7;YKT6;ATP7A;M6PR;LMAN1
Interferon Gamma Response,1.1702836742085203,0.19753086419753085,0.9329700963000506,PTPN1;NAMPT;PELI1;LYSMD2;AUTS2;STAT3;JAK2;ST8SIA4;PDE4B;RAPGEF6;STAT2;IRF8;TOR1B;VAMP8;IFIT2;ARL4A;B2M;ADAR;MX2;USP18;IRF9;SAMD9L;PARP12;NOD1;CD74;IFIT3;IRF1;CASP1;IL10RA;PTPN6;ISG15
Adipogenesis,1.1562190482695027,0.18072289156626506,0.8876499408683899,SPARCL1;NDUFA5;DLD;GPD2;ME1;AIFM1;DDT;CCNG2;COX7B;UCK1;AGPAT3;RAB34;MCCC1;DRAM2;TANK;GPHN;PHLDB1;DHRS7;COQ3;DNAJB9;PTCD3;CHUK;ITSN1;GHITM;BCL2L13;CMBL
