Term,NES,NOM p-val,FDR q-val,Lead_genes
Biosynthesis of unsaturated fatty acids,-1.8648913430617755,0.01,0.07112299465240643,ACOT2;FADS2;ACOT7;TECR;ACOT1;HACD3;ELOVL1;SCP2;FADS1;HACD4
Aldosterone-regulated sodium reabsorption,-1.8146240904547786,0.01,0.10668449197860963,KRAS;PIK3R1;MAPK1;SLC9A3R2;SGK1;PDPK1;ATP1B1;ATP1B3;IGF1;PRKCG;MAPK3;ATP1A2;ATP1A1
Vasopressin-regulated water reabsorption,-1.7519137417439825,0.01,0.11853832442067737,DYNLL2;AQP4;GNAS;VAMP2;NSF;PRKACA;RAB11B;PRKACB;RAB5A;DCTN6;DCTN2;CREB1;DCTN4;DYNC2LI1;DCTN1;DYNLL1
Dilated cardiomyopathy,-1.72395594758307,0.01,0.12446524064171123,ACTB;CACNB4;CACNG7;CACNB2;CACNA2D1;GNAS;AGT;PRKACA;PRKACB;ITGAV;TPM2;ATP2A1;CACNB3;ITGB4;IGF1
Oxytocin signaling pathway,-1.6803053855971382,0.01,0.14580213903743316,ACTB;EEF2;KRAS;CACNB4;CACNG7;PPP1CA;CACNB2;CACNA2D1;HRAS;GNAS;MEF2C;PRKAA2;ROCK2;CALM3;MAPK1;PRKACA;PPP1CC;PRKACB;NFATC3;CALML4;KCNJ9;CAMK1G
Neuroactive ligand-receptor interaction,-1.6393334000949318,0.01,0.1748440285204991,EDNRB;ADCYAP1;GRIA3;CNR1;NTSR2;SSTR1;GRIN1;TRHR;OPRL1;GRP;HRH3;GABRG2;TRH;AGT;RXFP3;GABBR1;GABRB1;CORT;GLRB;ADORA1;PRLR;GRIA1;GLRA2;GRIK1;OPRK1;CCKBR;NPY;F2R;CHRNA7;MCHR1;GABRB2;CHRNA4;TAC1;RLN1;ADRA2A;RLN3;HTR4;ADRA1D;MC4R
Protein export,1.6357346285684178,0.01,0.9668766876687669,SEC11C;SRP9;SRP72;SRP19;HSPA5;SEC61B;SRP14
Cardiac muscle contraction,-1.6347940094094155,0.01,0.15494652406417114,CACNB4;SLC9A6;CACNG7;CACNB2;CACNA2D1;COX6A2;CYC1;ASPH;TPM2;COX6B1;COX5B;ATP2A1;ATP1B1;SLC9A1;CACNB3;COX6A1;ATP1B3
Nicotine addiction,-1.6271175509321252,0.01,0.14446858288770054,SLC17A6;GRIA3;GRIN1;GABRG2;GABRB1;GRIA1;CHRNA7;GABRB2;CHRNA4
Non-homologous end-joining,1.591104246225726,0.015873015873015872,0.7491449144914492,RAD50;XRCC4;XRCC6;PRKDC;LIG4
Vibrio cholerae infection,-1.5889521229015942,0.01,0.18966131907308378,ACTB;KDELR2;ATP6V1G2;ATP6V0B;ATP6V0D1;GNAS;PRKACA;PRKACB;ATP6V1B2;ARF1;SLC12A2;ATP6V0A2;SEC61A2;ATP6V0A1
Phototransduction,-1.5821319637286877,0.01,0.17425133689839573,GNB1;CALM3;CALML4
Longevity regulating pathway,-1.5531934432194503,0.043478260869565216,0.20851968886728248,KRAS;HSPA8;ATF2;EHMT1;KL;PIK3R1;HRAS;PRKAA2;PPARGC1A;PRKACA;EIF4EBP2;PRKACB
Renin secretion,-1.5517208318628652,0.041666666666666664,0.19262477718360071,PDE1A;ADCYAP1;GNAS;CALM3;AGT;PRKACA;AQP1;PRKACB;CALML4;ADORA1
Hypertrophic cardiomyopathy,-1.549878124461949,0.01,0.18191073632250104,ACTB;CACNB4;CACNG7;CACNB2;CACNA2D1;PRKAA2;AGT;ITGAV;TPM2;ATP2A1;CACNB3;ITGB4;IGF1;PRKAG2
Tyrosine metabolism,-1.5355760805925136,0.06818181818181818,0.18669786096256685,ADH5;GOT2;MIF
Inflammatory bowel disease,1.5278405564168522,0.027777777777777776,0.9201320132013202,SMAD2;IFNGR2;STAT3;IL18;JUN;NFATC1;TGFB3;SMAD3
Pentose and glucuronate interconversions,-1.503375719137305,0.06382978723404255,0.22166666666666668,KL;AKR1A1;CRYL1;GUSB;DCXR;SORD;AKR1B10
Thyroid hormone signaling pathway,-1.4907622665039588,0.01,0.22337065508021392,ACTB;KRAS;PFKM;DIO3;PIK3R1;HRAS;GSK3B;MAPK1;PRKACA;RXRG;PRKACB;ITGAV;SIN3A;PFKL;PLCD4;PDPK1;WNT4;ATP2A1;ATP1B1;SLC9A1;ATP1B3;CCND1;MDM2;PFKFB2;PFKP
Gastric acid secretion,-1.4877472926926607,0.037037037037037035,0.2144149103491664,ACTB;KCNE2;GNAS;CALM3;PRKACA;PRKACB;CALML4;CAMK2A;ATP1B1;SLC9A1;ATP1B3;CCKBR;KCNK10
Relaxin signaling pathway,-1.4813803981497504,0.01,0.2074420677361854,EDNRB;KRAS;GNB1;ATF2;ACTA2;PRKCZ;PIK3R1;HRAS;GNG2;MAPK9;GNAS;MAPK1;PRKACA;PRKACB;GNG7;VEGFD;RXFP3
Legionellosis,-1.4474978457654262,0.01,0.24986631016042785,EEF1A2;HSPD1;HSPA8;VCP;ARF1;APAF1
RNA polymerase,1.4390631663577835,0.09375,1.0,POLR1C;POLR2G;POLR3H;POLR3K;POLR2K
NOD-like receptor signaling pathway,1.4359004012771153,0.012048192771084338,1.0,JAK1;YWHAE;GABARAPL2;HSP90AA1;NAMPT;BIRC2;DHX33;BRCC3;SHARPIN;GBP3;TANK;TRAF6;IL18;CHUK;ANTXR1;STAT2;MAPK10;JUN;CTSB;VDAC2;MAPK14;IRF9;TAB3;NOD1;MAPK11;CASP1;MAPK12;NLRX1;IKBKB;DNM1L;GBP7;GSDMD;BCL2
Platelet activation,-1.4313640974371313,0.01,0.26582219251336897,ACTB;GNA13;PRKCZ;PPP1CA;PIK3R1;GNAS;MYL12B;ROCK2;MAPK1;PRKACA;PPP1CC;PRKACB
Synaptic vesicle cycle,-1.4300805041343057,0.041666666666666664,0.257397504456328,SLC17A6;ATP6V1G2;CPLX2;ATP6V0B;ATP6V0D1;VAMP2;CPLX1;NSF;SLC6A13;ATP6V1B2;ATP6V0A2;STX1A;RAB3A;STXBP1;ATP6V0A1;SLC6A9;SLC6A11;SLC1A3;SYT1;DNM1
Steroid biosynthesis,-1.4213638344249484,0.06060606060606061,0.25862907146329606,MSMO1;SQLE;NSDHL
Base excision repair,1.4101460561581056,0.029411764705882353,1.0,APEX1;PCNA;PARP2;POLE4;POLB;MBD4;POLD3;PARP1;POLD1;SMUG1
Hedgehog signaling pathway,-1.4073514501672981,0.08333333333333333,0.2682573820041851,KIF3A;CSNK1D;GSK3B;PRKACA;PRKACB;CSNK1E;MGRN1;SHH;CCND2;CCND1;SPOP
