Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative Phosphorylation,2.2201881613471417,0.01,0.01,PDHB;OGDH;UQCR10;COX6B1;COX8A;COX4I1;NDUFB8;NDUFS7;COX5B;MRPL35;NDUFA3;UQCRH;UQCR11;NDUFC1;ECH1;NDUFA7;ACO2;ATP6V1F;ETFB;MRPL34;COX17;COX7C;NDUFS6;MRPS12;NDUFB6;SDHB;NDUFA2;POLR2F;NDUFA6;SDHC;NDUFB3;NDUFA4;SURF1;NDUFA1;UQCRC1;COX5A;MTRR;TIMM8B;MGST3;MDH2;NDUFA8;GOT2;TIMM10;IDH3B;NDUFV2;COX6A1;BCKDHA;ATP6V1E1;GPX4;RHOT2;PDK4;COX7A2L;PHB2;NDUFB2;COX6C;GRPEL1;SUCLG1;NDUFA5;FXN
UV Response Dn,-1.9203873261185411,0.01,0.01,MMP16;AGGF1;ATP2B1;WDR37;ADD3;RGS4;ANXA4;DAB2;RND3;MAP1B;PRKCA;FZD2;SFMBT1;INSIG1;NIPBL;BMPR1A;BHLHE40;IGF1R;PDLIM5;MAGI2;CAV1;PMP22;SCN8A;TGFBR3;SCHIP1;KCNMA1;INPP4B;TGFBR2;VLDLR;MIOS;GCNT1;SYNE1;KALRN;ATXN1;RASA2;LAMC1;MRPS31;MGLL;BDNF;YTHDC1;CDK13;CDKN1B;PTEN;SMAD3;CELF2;ADORA2B;CITED2;PLPP3
Epithelial Mesenchymal Transition,-1.735789660229423,0.01,0.01,ACTA2;BGN;VIM;MMP14;SPOCK1;RGS4;DAB2;FBLN1;CDH2;CXCL12;WNT5A;MYLK;DCN;NTM;FMOD;LUM;TPM2;COL5A1;DST;PRRX1;IGFBP2;LOXL1;EDIL3;CDH6;IGFBP3;MGP;PMP22;TGFBR3;TIMP3;EMP3;NID2;NT5E;P3H1;LAMC1;ECM1;DPYSL3;PLOD2;BDNF;BMP1;IL15;VEGFC;ID2;LAMA2;PCOLCE
G2-M Checkpoint,-1.7303487484868671,0.01,0.01,SQLE;HSPA8;CCND1;G3BP1;NASP;ILF3;PDS5B;NUP50;TOP1;SRSF10;PML;TFDP1;EZH2;HIF1A;TNPO2;PRMT5;SFPQ;MTF2;SS18;ORC6;NUP98;HIRA;TLE3;CUL5;HUS1;ARID4A;ODF2;FOXN3;UCK2;TMPO;CENPA;SRSF1;YTHDC1;CDKN1B;MCM6;CUL3;SMC1A;SMAD3;CDC7;STAG1;RAD23B
Angiogenesis,-1.6298103728246036,0.01,0.02866154690071311,TNFRSF21;CCND2;LPL;LUM;SLCO2A1;THBD;JAG2;FGFR1;VTN
TGF-beta Signaling,-1.5756316443087206,0.018518518518518517,0.05002742731760834,SPTBN1;PPM1A;APC;UBE2D3;ARID4B;BMPR1A;SMAD6;TRIM33;NOG;CDH1;TGFBR1;SMAD1;SMURF2;CDK9;ID2
Notch Signaling,-1.560893722209254,0.028985507246376812,0.04690071311025782,CCND1;TCF7L2;WNT5A;PRKCA;ARRB1
Fatty Acid Metabolism,1.5201982827588263,0.05263157894736842,0.08862629246676514,APEX1;PDHB;ALAD;MIF;BCKDHB;ECH1;ACO2;GABARAPL1;CBR1;ALDOA;SDHC;GLUL;S100A10;ACADS;NTHL1;PSME1;ENO2;INMT;PTS;MDH2;IDH3B;GRHPR;PCBD1;ACADL;LGALS1;CIDEA;ERP29;SUCLG1;HSD17B10;GPD1;UROD;LTC4S
KRAS Signaling Up,-1.4971064646611152,0.01,0.09826816080244496,PEG3;EMP1;IGF2;GABRA3;HBEGF;CCND2;ETS1;EPB41L3;FCER1G;F13A1;ETV4;PECAM1;SNAP91;BTBD3;PRRX1;NIN;ALDH1A2;IGFBP3;ETV1;PTPRR;PRKG2;RELN;PLVAP;RGS16;WNT7A;TMEM100;ETV5;RABGAP1L;YRDC;USP12;ID2;TMEM158
Adipogenesis,1.481897707664876,0.01,0.09748892171344166,CCNG2;RMDN3;SNCG;UQCR10;COX8A;CHCHD10;UQCR11;ECH1;ACO2;QDPR;ETFB;PTCD3;SOD1;YWHAG;PIM3;SDHB;ALDOA;SDHC;DDT;SULT1A1;UQCRC1;TKT;ACADS;TALDO1;MGST3;MDH2;PREB;AGPAT3;PLIN2;COX6A1;PFKL;BCKDHA;ACADL;DGAT1;GPX4;BCL6;APLP2;VEGFB;CIDEA;ADCY6;ESYT1;ELMOD3;GRPEL1;SUCLG1;NDUFA5;ALDH2;ENPP2
