Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,3.1899627774159804,0.01,0.01,MRPL27;RPS3;RPL23;RPL37A;RPL39;RPL38;RPS26;RPL37;RPLP1;RPL41;RPS27;RPL31;RPS10;MRPL35;RPL34;RPS8;RPL35A;RPS20;MRPS21;RPL28;RPS14;RPL36A;FAU;RPL12;RPS21;MRPL23;RPS12;RPL35;MRPL34;RPS19;RPL5;RPS17;RPS15A;RPL3;RPS24;MRPS12;RPL10;RPS25;RPL19;RPS27L;RPS15;RPL24;RPL23A;RPL18;MRPS18C;MRPL20;RPL13A;MRPS6;MRPS18A;RPS9;MRPL33;RPS16;RPS5;MRPL17;RPL36AL;RPS13;MRPL14;RPL9;MRPL28
Oxidative phosphorylation,2.606344537061075,0.01,0.01,NDUFV3;UQCR10;COX6B1;COX8A;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;ATP6V1F;COX17;COX7C;NDUFS6;NDUFB6;SDHB;NDUFA2;NDUFA6;SDHC;NDUFB3;NDUFA4;NDUFA1;UQCRC1;COX5A;NDUFA8;NDUFV2;COX6A1;ATP6V1E1;NDUFA12;COX7A2L;NDUFB2;COX6C
Parkinson disease,2.5151470890327734,0.01,0.01,KLC1;PSMB5;NDUFV3;UQCR10;COX6B1;COX8A;UBB;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;KLC2;PSMD1;COX7C;NDUFS6;TH;TUBB4A;GNAI2;NDUFB6;SDHB;NDUFA2;NDUFA6;SLC6A3;SDHC;NDUFB3;UCHL1;MAPT;NDUFA4;PINK1;PSMB4;CALM3;PARK7;NDUFA1;UQCRC1;COX5A;KLC4;NDUFA8;MFN1;DDIT3;NDUFV2;PRKACA;COX6A1;DAXX;PSMD4;PSMB3;PSMB7;PSMD13;NDUFA12;CAMK2B;TUBA1B;COX7A2L;NDUFB2;COX6C;PSMA3;CALM2;PSMD9;NDUFA5;TUBB4B
Prion disease,2.3218027602519413,0.01,0.01,KLC1;PSMB5;NDUFV3;UQCR10;COX6B1;COX8A;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;KLC2;PRNP;SOD1;PSMD1;COX7C;NDUFS6;TUBB4A;NDUFB6;SDHB;NDUFA2;NDUFA6;SDHC;NDUFB3;NDUFA4;PSMB4;NCAM1;NDUFA1;UQCRC1;COX5A;KLC4;NDUFA8;DDIT3;NDUFV2;GRIN3B;C1QA;PRKACA;COX6A1;PSMD4;PSMB3;PSMB7;PSMD13;NDUFA12;PIK3R2;TUBA1B;COX7A2L;NDUFB2;COX6C;PSMA3;PSMD9;STIP1;NDUFA5;TUBB4B;CSNK2A1
Non-alcoholic fatty liver disease,2.247349622437732,0.01,0.01,PRKAG2;NDUFV3;UQCR10;COX6B1;COX8A;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;COX7C;NDUFS6;NDUFB6;SDHB;NDUFA2;NDUFA6;PRKAG1;SDHC;NDUFB3;NDUFA4;NDUFA1;UQCRC1;COX5A;NDUFA8;DDIT3;NDUFV2;BID;COX6A1;NDUFA12;PIK3R2;COX7A2L;NDUFB2;COX6C;NDUFA5;RELA
Huntington disease,2.2103080106568185,0.01,0.01,KLC1;PSMB5;NDUFV3;UQCR10;COX6B1;COX8A;AP2S1;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;KLC2;SOD1;PSMD1;COX7C;NDUFS6;TUBB4A;NDUFB6;SDHB;NDUFA2;POLR2F;NDUFA6;POLR2J;SDHC;NDUFB3;NDUFA4;PSMB4;NDUFA1;UQCRC1;SLC1A3;CLTA;COX5A;POLR2I;KLC4;NDUFA8;NDUFV2;COX6A1;PSMD4;PSMB3;DCTN3;PSMB7;AP2A1;PSMD13;NDUFA12;TUBA1B;SOD2;COX7A2L;NDUFB2;COX6C;PSMA3;MAP2K7;PSMD9;NDUFA5;TUBB4B
Coronavirus disease,2.168165190119753,0.01,0.01,RPS3;RPL23;RPL37A;RPL39;RPL38;RPS26;RPL37;RPLP1;RPL41;RPS27;RPL31;RPS10;RPL34;RPS8;RPL35A;RPS20;RPL28;RPS14;RPL36A;FAU;RPL12;RPS21;NFKBIA;MASP2;RPS12;RPL35;RPS19;RPL5;RPS17;RPS15A;RPL3;RPS24;RPL10;RPS25;RPL19;RPS27L;RPS15;RPL24;RPL23A;RPL18;RPL13A;RPS9;RPS16;RPS5;C1QA;RPL36AL;RPS13;IRF3;RPL9;PIK3R2;CSF3
Thermogenesis,2.089268760879986,0.01,0.01,ACTB;PRKAG2;NDUFV3;UQCR10;COX6B1;COX8A;NDUFA13;ACSL6;COX4I1;COX14;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;NDUFA7;COX17;COX7C;NDUFS6;NDUFB6;SDHB;NDUFA2;NDUFA6;PRKAG1;SDHC;NDUFB3;NDUFA4;NDUFA1;UQCRC1;COX5A;NDUFAF3;COA6;NDUFA8;NDUFV2;SMARCC2;AKT1S1;PRKACA;COX6A1;COA3;PNPLA2;NDUFA12;COX7A2L;NDUFB2;COX6C;ADCY6;SMARCD2;NDUFA5;CPT1C
Diabetic cardiomyopathy,2.0492253620885843,0.01,0.01,PDHB;NDUFV3;UQCR10;COX6B1;COX8A;NDUFA13;COX4I1;NDUFB8;NDUFS7;COX5B;NDUFA3;UQCRH;UQCR11;COX7A1;NDUFB10;NDUFC1;PDK2;NDUFA7;GAPDH;COX7C;NDUFS6;NDUFB6;SDHB;NDUFA2;NDUFA6;SDHC;SLC2A1;NDUFB3;NDUFA4;NDUFA1;UQCRC1;COX5A;NDUFA8;NDUFV2;COX6A1;NDUFA12;CAMK2B;PIK3R2;PDK4;COX7A2L;PPP1CA;NDUFB2;COX6C;PTPA;NDUFA5;RELA;CAMK2G
Signaling pathways regulating pluripotency of stem cells,-1.979354749949527,0.01,0.011002385472956526,IL6ST;FGFR3;WNT4;GSK3B;KRAS;PCGF3;SMAD2;WNT5A;APC;SOX2;FZD2;MAPK1;JAK2;PIK3R1;BMPR1A;PCGF6;PCGF5;FGFR2;IGF1R;SETDB1;DVL1;BMP4;ACVR1C;FGFR1;STAT3;JAK3;WNT7A;SMAD1;FZD6;WNT6;SMAD4;MAPK12;SMARCAD1;ID2;PIK3CB;INHBB;SMAD3;POU5F1;BMI1;RAF1;APC2;WNT7B;RIF1;PIK3R3;CTNNB1;SMAD5
TGF-beta signaling pathway,-1.9693039473499447,0.01,0.01,BMP7;SMAD2;DCN;FMOD;ROCK1;MAPK1;THSD4;TFDP1;RGMB;BMPR1A;EP300;SMAD6;TGFB2;NBL1;BMP4;NOG;ACVR1C;TGFBR2;BMP5;TGFBR1;ZFYVE16;SMAD1;SMURF2;SMAD4;ID2;INHBB;SMAD3;RPS6KB1
Folate biosynthesis,1.9377022760658584,0.01,0.01,QDPR;TH;CBR1;PCBD2;SPR;GCH1;PTS;PCBD1
Gastric cancer,-1.9122923783440215,0.01,0.011002385472956525,RARB;CCND1;TCF7L2;RB1;FGF1;WNT4;GSK3B;KRAS;LRP6;SMAD2;WNT5A;CDK2;APC;FZD2;MAPK1;PIK3R1;SHC3;EGFR;TGFB2;FGFR2;BCL2;DVL1;CDH1;LRP5;TGFBR2;TGFBR1;ARAF;WNT7A;DDB2;FZD6;WNT6;SMAD4;LEF1;RXRB;SHH;PIK3CB;CDKN1B;SMAD3;POLK;RPS6KB1;RAF1
Adrenergic signaling in cardiomyocytes,-1.893438871623783,0.01,0.01,SLC8A2;CAMK2A;ATF4;CAMK2D;CACNB4;PPP1CB;RAPGEF4;ATP2B2;ATP2B1;PPP2R5C;TPM3;CACNG8;PRKCA;CACNG5;ATP2B3;MAPK1;TPM2;GNAS;ADRB1;PPP2R3C;BCL2;PPP2R5D;CACNB2;CACNA2D1;CREM;CACNB1;ADRA1A;CACNG7;CACNG3;CREB1;ATF2;CACNA2D3;ADCY2;ATP2A2;CREB5
