Term,NES,NOM p-val,FDR q-val,Lead_genes
UV Response Up,-1.5856356982333748,0.01,0.19409660107334528,SHOX2;PRKCD;RET;GAL;ONECUT1;FOS;HTR7;PDLIM3;NAT1;CREG1;KCNH2;CCNE1;GPX3;FGF18;BID;FKBP4;CNP;IL6ST;DNAJB1;BAK1;CCK;MMP14;CHRNA5;NR4A1;HYAL2;STIP1;NPTX2;PTPRD;OLFM1;NPTXR
Wnt-beta Catenin Signaling,-1.5344568045437832,0.01,0.14557245080500897,LEF1;WNT6;NKD1;FZD1;JAG1;WNT5B;PPARD;PTCH1;FZD8;PSEN2;HDAC5;NOTCH1
Pperoxisome,1.4949130728129856,0.0196078431372549,0.4605643994211288,TTR;TOP2A;CRABP2;ESR2;SULT2B1
Hedgehog Signaling,-1.453869057484671,0.017857142857142856,0.21720333929636254,UNC5C;SHH;GLI1;PTCH1;NRP1;ADGRG1;CNTFR;AMOT;VEGFA;L1CAM;TLE3;NF1;CRMP1;THY1;NRCAM;SLIT1;HEY2;CDK5R1;MYH9;ACHE;SCG2
Notch Signaling,-1.4428660748785767,0.06818181818181818,0.1767665474060823,TCF7L2;FZD1;HEYL;NOTCH3;JAG1;PPARD
Oxidative Phosphorylation,-1.3668936188415655,0.021739130434782608,0.26341681574239717,MGST3;MAOB;PDP1;NQO2;PHYH;ECI1;ATP1B1;MDH1;IDH3A;PDHX;DLAT;CS;SUCLA2;NDUFB8;FXN;LDHB;UQCRFS1;GLUD1;PRDX3;COX6A1;PDHA1;NDUFAB1;MFN2;GOT2;NDUFS3;MDH2;IMMT;COX7B;NDUFA9;COX10;NDUFA4;DLST;BDH2;MRPL34;MPC1;UQCRC1;NDUFV2;VDAC3;MTX2;MRPS22;COX5A;ACO2;ATP6V0C;CASP7;ATP6AP1;MTRF1;VDAC2;COX6B1;CPT1A;PDHB;ATP5PB;GRPEL1;HADHB;NDUFS1;SLC25A12;OGDH;ISCU;UQCRC2;IDH1;OAT;OXA1L;NDUFS2;VDAC1;CYC1;LRPPRC;SLC25A11;SLC25A3;ATP6V1F;IDH3G;SLC25A5;AFG3L2;NDUFA7;NDUFA3;HCCS;ACAT1;SDHA;HSPA9;NDUFS8;ATP6V1C1;MRPS12;NDUFV1;NDUFS7;COX5B;ALAS1;NDUFS4;TIMM10;UQCRQ;ALDH6A1;DLD;NDUFA6;SDHD;COX7A2L;SDHC
UV Response Dn,-1.3441995926265167,0.01,0.26341681574239717,MET;PLCB4;INPP4B;FBLN5;SYNJ2;DLC1;PMP22;CAV1;IRS1;PTGFR;BDNF;INSIG1;PTPRM;APBB2;RND3;DDAH1;PDGFRB;NRP1;DAB2;IGFBP5;LDLR;MAP1B;GJA1;PIK3CD;BHLHE40;NR3C1;TFPI;TJP1;PLPP3;NEK7;AMPH;LTBP1;ADD3;PDLIM5;COL3A1;ZMIZ1;DUSP1;PTPN21;PIAS3;ADORA2B;TGFBR2;F3;GRK5;SCN8A;BMPR1A;CCN1
Pancreas Beta Cells,-1.311440315697924,0.16,0.30104778941988247,DPP4;NEUROD1;VDR;SYT13;GCK;NKX2-2;PCSK1;CHGA;PAX6;ELP4;STXBP1
IL-6/JAK/STAT3 Signaling,-1.2494629533993553,0.1,0.4124552772808587,LTB;TNFRSF12A;A2M;PIM1;CD36;CD38;IL17RB;JUN;MAP3K8;IL15RA;IFNGR2;ITGA4;CNTFR;IL6ST;BAK1;TNFRSF1B;MYD88;HMOX1;SOCS3;STAT3;LTBR;CD44
Myogenesis,-1.2425403129302037,0.06976744186046512,0.39281454979129393,TNNT1;DAPK2;PVALB;COX6A2;PYGM;IGF1;CASQ1;CD36;SPHK1;SPARC;COX7A1;BDKRB2;TEAD4;HRC;SH3BGR;KCNH2;SMTN;MYLK;ERBB3;MYBPC3;APOD;LAMA2;MYH8;MYO1C;GPX3;EPHB3;MYL6B;FKBP1B;PPP1R3C;WWTR1;ITGB4;ITGA7;KIFC3;CRYAB;BHLHE40;MAPK12;MYH11;PSEN2;FLII;AGL;GJA5;HDAC5;TPM2;NOTCH1
