Term,NES,NOM p-val,FDR q-val,Lead_genes
Basal cell carcinoma,-2.0058359482281443,0.01,0.014573825997350213,WNT9B;FZD10;TCF7L2;WNT3;LEF1;WNT6;WNT9A;FZD1;WNT2B;GADD45A;SHH;FZD6;WNT5B;GLI1;FZD9;PTCH1;FZD8;GLI2
Cushing syndrome,-1.931346421378151,0.01,0.029147651994700426,WNT9B;FZD10;TCF7L2;WNT3;LEF1;RASD1;PLCB4;AGT;ADCY8;WNT6;CACNA1S;CACNA1G;WNT9A;FZD1;CREB5;WNT2B;ADCY4;KCNK3;ADCY1;CCNE1;FZD6;WNT5B;ADCY7;CAMK2D
Breast cancer,-1.8873715483422557,0.01,0.03400559399381716,WNT9B;FZD10;TCF7L2;WNT3;LEF1;FOS;WNT6;FGF22;WNT9A;FZD1;IGF1;WNT2B;FGF7;SHC3;HEYL;FGF1;FLT4;GADD45A;NOTCH3;FZD6;JAG1;WNT5B;FGF9;FGF18;FZD9;FZD8;JUN
Melanogenesis,-1.8816811838174317,0.01,0.025504195495362873,WNT9B;FZD10;TCF7L2;WNT3;LEF1;PLCB4;ADCY8;WNT6;DCT;WNT9A;FZD1;WNT2B;ADCY4;ADCY1;EDNRB;FZD6;WNT5B;ADCY7;CAMK2D;FZD9;FZD8
Wnt signaling pathway,-1.8674088581955843,0.01,0.03206241719417047,WNT9B;FZD10;TCF7L2;WNT3;LEF1;PLCB4;VANGL1;LGR6;SFRP2;WIF1;WNT6;PRICKLE4;NKD1;WNT9A;FZD1;SERPINF1;WNT2B;SFRP5;ROR2;NOTUM;NKD2;DKK2;BAMBI;CTNNBIP1;FZD6;WNT5B;CAMK2D;PPARD;FZD9;FZD8;LGR5;JUN;RSPO3
Hippo signaling pathway,-1.8239777125607168,0.01,0.053437361990284114,WNT9B;FZD10;TCF7L2;WNT3;LEF1;PATJ;RASSF6;CRB1;WNT6;NKD1;WNT9A;FZD1;CTNNA3;WNT2B;TEAD4;FAT4;FGF1;NKD2;FZD6;RASSF4;WNT5B;FZD9;WWTR1;FZD8;GLI2
Hepatocellular carcinoma,-1.822081655322219,0.01,0.04580345313452924,WNT9B;FZD10;TCF7L2;WNT3;LEF1;MET;WNT6;WNT9A;FZD1;WNT2B;MGST3;TXNRD3;SHC3;GADD45A;GAB1;DPF3;FZD6;WNT5B;FZD9;FZD8
Vascular smooth muscle contraction,-1.8100604859080245,0.01,0.04372147799205064,PRKCD;RAMP3;ADRA1B;PLCB4;CALCA;AGT;ADCY8;ADM;CACNA1S;KCNMB2;ADRA1D;ADCY4;NPPC;NPR1;AVPR1A;ADCY1;MYLK;ADCY7;MYL6B;GNA12;PLA2G4A;GNAS;ARHGEF11;ITPR2;MYH11;GUCY1A2;CALCRL
Gastric cancer,-1.78735480977863,0.01,0.04534079199175622,WNT9B;FZD10;TCF7L2;WNT3;LEF1;MET;WNT6;FGF22;WNT9A;FZD1;CTNNA3;WNT2B;FGF7;SHC3;FGFR2;FGF1;GADD45A;GAB1;SHH;CCNE1;FZD6;WNT5B;FGF9;FGF18;FZD9;FZD8
Protein digestion and absorption,1.7369804438156087,0.01,0.553064457170708,KCNJ13;COL8A2;COL8A1;COL4A4;COL5A1;COL10A1;COL9A3;COL6A5;COL24A1;COL17A1;COL6A3;SLC16A10;SLC7A7;COL4A3;COL7A1;COL6A2;FXYD2;COL11A1;COL9A1;COL20A1;COL23A1;COL13A1;COL4A5;SLC8A2;COL19A1;COL6A1
Insulin secretion,-1.712248271854775,0.01,0.08598557338436626,ADCYAP1;PLCB4;CCKAR;ADCY8;CACNA1S;KCNMB2;CREB5;GCK;ADCY4;ATP1B2;ADCY1;ATP1A2;ADCY7;CAMK2D;KCNN4;ATP1A3;GNAS;KCNN2;CCK;CREB3L2;ATP1B1;ATP1B3;ATF4;ITPR3;CAMK2G;ADCYAP1R1
Signaling pathways regulating pluripotency of stem cells,-1.7121031439194798,0.01,0.0781687030766966,WNT9B;FZD10;WNT3;ONECUT1;ESRRB;WNT6;WNT9A;FZD1;IGF1;WNT2B;ZFHX3;LHX5;TBX3;FGFR2;INHBB;SMAD9;KLF4;FZD6;WNT5B;FZD9;FZD8;ZIC3;OTX1;NODAL
mTOR signaling pathway,-1.7028457511893365,0.01,0.07772707198586781,WNT9B;FZD10;WNT3;RNF152;WNT6;WNT9A;FZD1;IGF1;LPIN3;WNT2B;DEPTOR;IRS1;FZD6;WNT5B;FZD9;FZD8;SESN2
Cocaine addiction,-1.6791907524555743,0.024390243902439025,0.09304827367538981,SLC6A3;GRM2;CREB5;GRIN2D;MAOB;BDNF;GRIN3A;GRIN2C;JUN;GNAS
Taste transduction,-1.6655274293910949,0.046511627906976744,0.0957708565540157,GNB3;GABRA6;HCN4;PLCB4;ADCY8;PKD2L1;GABBR2;ADCY4;GRM1
Pathways in cancer,-1.6366741300187913,0.01,0.12144854997791843,WNT9B;FZD10;TCF7L2;WNT3;NKX3-1;LEF1;GNB3;RET;MET;F2R;CKS2;PLCB4;DAPK2;FLT3;AGT;ADCY8;FOS;WNT6;NOS2;CKS1B;FGF22;WNT9A;VEGFC;FZD1;CTNNA3;IGF1;WNT2B;MGST3;PIM1;FGF7;ADCY4;GNG8;TXNRD3;BDKRB2;FGFR2;ITGA3;HEYL;FADD;FGF1;FLT4;GADD45A;NOTCH3;ADCY1;RASSF5;SHH;ITGA6;EDNRB;CCNE1;PTGER2;FZD6;LAMC3;JAG1;WNT5B;ADCY7;CAMK2D;PPARD;LAMA2;FGF9;EGLN3;FGF18;GLI1;FZD9;PTCH1;GNA12;FZD8;PDGFRB;GLI2;RASGRP3;BID;JUN;GNAS;CXCL12;GNG11;ARHGEF11;PIK3CD;NFKB2;IL15RA;IFNGR2;LAMA4;IL6ST;CRKL;EGFR;BAK1;RAC3;FGFR3;VEGFA;TFG;FGF17;NOTCH1;ETS1;EPAS1
Pancreatic secretion,-1.6363979822787207,0.01,0.11385801560429852,PLCB4;CCKAR;ADCY8;CTRL;KCNQ1;ADCY4;CD38;ATP1B2;ADCY1;ATP1A2;ADCY7;ATP2A3;SLC4A4;ATP1A3;GNAS;ITPR2;CCK;ATP1B1;ATP2A2;ATP1B3;ITPR3;RAP1A
Circadian entrainment,-1.6274551284988261,0.01,0.11573332409660465,GNB3;RASD1;ADCYAP1;PLCB4;ADCY8;FOS;CACNA1G;KCNJ5;GRIN2D;ADCY4;GNG8;KCNJ9;ADCY1;PRKG2;KCNJ3;ADCY7;CAMK2D;GRIN2C
Gap junction,-1.6252835583891896,0.023255813953488372,0.11011335197997939,PLCB4;ADCY8;ADCY4;GRM1;ADCY1;PRKG2;ADCY7;TUBB2A;TUBA1B;PDGFRB;TUBB3;TUBB4A;GNAS;GJA1;ITPR2;TUBB4B;GUCY1A2;TUBA1C;GJD2;EGFR;PDGFD;TJP1;ITPR3;SRC;TUBA1A;SOS1;PDGFRA;GNAI1;ADCY2;ADRB1;PDGFB;CSNK1D;PRKACA;TUBB6;SOS2;TUBA4A;LPAR1;PRKCG;RAF1
Thyroid cancer,-1.6233752815113436,0.021739130434782608,0.10508495587563049,TCF7L2;LEF1;RET
Nicotine addiction,-1.6164888032001414,0.024390243902439025,0.101288090681584,SLC17A6;GABRA6;CHRNA4;GRIN2D;GABRB2;GRIN3A;GABRQ;CHRNB2;GRIN2C;GABRA1
Cholinergic synapse,-1.5894481180225475,0.01,0.11728459969296123,GNB3;PLCB4;CHRNA3;CHRNA4;ADCY8;FOS;CACNA1S;CREB5;KCNQ1;KCNJ12;CHRM2;ADCY4;GNG8;CHRM5;ADCY1;KCNJ3;CHRNB2;ADCY7;CAMK2D;GNG11;PIK3CD;CHRNB4;ITPR2
Calcium signaling pathway,-1.5885657777955469,0.01,0.11195348152509937,RET;MET;F2R;ADRA1B;PLCB4;CCKAR;TBXA2R;ADCY8;CACNA1S;NGF;HTR7;NOS2;CACNA1G;FGF22;VEGFC;ADRA1D;GRIN2D;PTAFR;CASQ1;CHRM2;SPHK1;PLCD4;FGF7;ADCY4;CD38;BDKRB2;GRM1;CHRM5;FGFR2;HRC;GRPR;ITPKB;NOS3;KDR;FGF1;AVPR1A;FLT4;ADCY1;MYLK;ERBB3;PTGFR;EDNRB;HRH1;ADCY7;CAMK2D;FGF9;GRIN2C;FGF18;ATP2A3;PDGFRB;P2RX3;SLC8A1;FLT1;GNAS;PHKA1;P2RX7;HRH2;ITPR2;EGFR;TRHR;FGFR3;VEGFA;GNA15;FGF17;CYSLTR2;PDGFD;ATP2A2;PLCD1;ADRA1A;ORAI1;ITPR3;CAMK2G
Pentose and glucuronate interconversions,1.5774260959911781,0.08928571428571429,0.9818447666626051,KL
Adherens junction,-1.5693962071153802,0.027777777777777776,0.12102612023886482,TCF7L2;LEF1;MET;NECTIN4;CTNNA3;SNAI1;NECTIN1
GnRH secretion,-1.564951798867226,0.01,0.11962682172824966,PLCB4;CACNA1S;CACNA1G;KCNJ5;GABBR2;SPP1;TRPC5;KCNJ9;KCNJ3;HCN2;KCNN4;PIK3CD;ITPR2;KCNN2
GABAergic synapse,-1.5569172909542472,0.01,0.12416899749742381,GNB3;GABRA6;ADCY8;SLC6A11;CACNA1S;SLC38A5;GABBR2;ADCY4;GNG8;GABRB2;ADCY1;GABRQ;ADCY7;GABRA1;SLC38A1;GNG11;NSF;SRC;SLC38A2;GABRA3;CACNA1C;SLC38A3;PLCL1;GLUL;SLC6A1;ABAT;GABARAPL2;GNAI1;ADCY2;GABRG1;KCNJ6;PRKACA;GNB1;GLS2;PRKCG;GAD1;GABRA4;GNG2
Retrograde endocannabinoid signaling,-1.5470101898379776,0.01,0.1289223068996365,SLC17A6;GNB3;GABRA6;PLCB4;ADCY8;CACNA1S;KCNJ5;NAPEPLD;ADCY4;GNG8;GRM1;KCNJ9;GABRB2;ADCY1;KCNJ3;GABRQ;ADCY7;NDUFA4L2;GABRA1;GNG11;ITPR2;MAPK12
Insulin resistance,-1.5463726592431568,0.01,0.1252269493105648,PRKCD;PPP1R3A;AGT;PYGM;CREB5;CD36;PPARGC1A;NOS3;IRS2;IRS1
Phospholipase D signaling pathway,-1.52566487341782,0.01,0.14365628483102355,F2R;PLCB4;GRM2;AGT;ADCY8;DGKK;SPHK1;ADCY4;SHC3;GRM1;AVPR1A;GAB1;ADCY1;PTGFR;PIP5K1B;ADCY7;GAB2;GNA12;PLPP2;PDGFRB;PLA2G4A;GNAS;GRM8;PIK3CD;EGFR;AGPAT3;PDGFD;PLPP3;DNM3;GRM4
Glutamatergic synapse,-1.5233719032309991,0.01,0.14222043990517622,SLC17A6;GNB3;PLCB4;GRM2;ADCY8;GRIN2D;ADCY4;GNG8;GRM1;ADCY1;HOMER2;KCNJ3;GRIN3A;ADCY7;GRIN2C;SLC38A1;PLA2G4A;GNAS;GRM8;GNG11;ITPR2;GRM4;ITPR3;SHANK1;HOMER3;SLC38A2;PLD2;SHANK3;CACNA1C;SLC38A3;SLC1A6;DLGAP1;SLC1A2;GLUL;PLD1
Staphylococcus aureus infection,1.523287059298922,0.01,0.973559156817351,KRT18;CFB;C3;ITGAL;MASP2;KRT20;KRT9;KRT10;C5AR1;C1QB;C1QA;ITGB2;C4B
Neuroactive ligand-receptor interaction,-1.50922561544718,0.01,0.15691152657147064,VIPR2;ADCYAP1;GLRA1;F2R;ADRA1B;GABRA6;GAL;NMBR;CCKAR;CHRNA3;CALCA;GRM2;AGT;CHRNA4;TBXA2R;ADM;ADRA2B;HTR7;MC5R;GPR50;PMCH;ADRA2A;GALR1;ADRA1D;APLN;GRIN2D;PTH1R;PTAFR;RXFP3;GABBR2;CHRM2;P2RY2;HCRTR2;BDKRB2;GRM1;MC3R;CHRM5;GRPR;AVPR1A;GABRB2;CALCR;SSTR1;PTGFR;EDNRB;S1PR5;PTGER2;HRH1;GRIN3A;GABRQ;CHRNB2;GRIN2C;SSTR3;P2RX3;GABRA1;MAS1;GRM8;TRH;OPRM1;P2RX7;HCRTR1;HRH2;PTH2R;CHRNB4;NR3C1;CALCRL;OPRL1;TRHR;GLRA2;CCK;NTS;CHRNA5;CYSLTR2;S1PR3;S1PR4;GRM4;HTR1D;CNR1;ADRA1A;P2RY14
Proteoglycans in cancer,-1.5029191980993712,0.01,0.16031208597085234,WNT9B;FZD10;WNT3;MET;VAV3;WNT6;WNT9A;FZD1;IGF1;ANK1;WNT2B;CAV1;SDC1;KDR;GAB1;ERBB3;SHH;HSPG2;FZD6;WNT5B;CAMK2D;FZD9;PTCH1;FZD8
Systemic lupus erythematosus,1.4881839970768902,0.05555555555555555,0.9492201778969173,H3C14;C7;C3;H2AC6;H2BC8;CD86;H2AC19;H4C9;C1QB;ACTN1;C1QA;H2BC6;C4B;SNRPD3;H2AJ;C2;C1QC
Bile secretion,1.4763734022152393,0.017857142857142856,0.8202753746801512,SLC4A5;AQP1
Morphine addiction,-1.4750744534399018,0.05263157894736842,0.19219233034005592,GNB3;GABRA6;ADCY8;KCNJ5;GABBR2;ADCY4;GNG8;KCNJ9;GABRB2;ADCY1;PDE4D;KCNJ3;GABRQ;ADCY7;GABRA1;GNAS;GNG11;OPRM1;PDE11A
Cell adhesion molecules,1.459358196239448,0.019230769230769232,0.7581333008407457,CLDN2;CDH3;CD6;CLDN1;MPZ;ITGAL;ITGA8
Ovarian steroidogenesis,-1.4562939684206582,0.10638297872340426,0.2102163992345061,ADCY8;IGF1;ADCY4;ALOX5;ADCY1;ADCY7;PLA2G4A;LDLR;GNAS
Complement and coagulation cascades,1.4522372977301812,0.05263157894736842,0.6782363487615102,F5;F2RL2;CFB;C7;C3;MASP2;ITGAX;F12
Citrate cycle (TCA cycle),-1.4410783069815871,0.041666666666666664,0.22632294490002683,ACO1;MDH1;IDH3A;DLAT;CS;SUCLA2;PDHA1;OGDHL;MDH2;DLST;ACO2;PDHB;OGDH;IDH1;ACLY;IDH3G;SDHA;DLD;SDHD;SDHC
Alzheimer disease,-1.4240603066558473,0.01,0.2494206220689365,WNT9B;FZD10;WNT3;PLCB4;WNT6;IRS4;CACNA1S;NOS2;COX6A2;WNT9A;FZD1;WNT2B;GRIN2D;COX7A1;CHRM5;FADD;IRS2;IRS1;DKK2;FZD6;WNT5B;TUBB2A;GRIN2C;NDUFA4L2;ATP2A3;TUBA1B;FZD9;FZD8;TUBB3;BID;TUBB4A;PIK3CD;ITPR2;TUBB4B;IL1A;TUBA1C;PSEN2;EIF2AK2;ATG2B;ATP2A2;ATF4;ITPR3;APC;EIF2AK3;TUBA1A;LRP1;NDUFB8;UQCRFS1;RTN3;MTOR;CACNA1C;BACE2;COX6A1;IDE;GAPDH;NDUFAB1;CASP8;CSNK2B;RTN4;CHRM3;NDUFS3;APC2;WIPI1;COX7B;TNFRSF1A;PSMC4;KLC2;NDUFA9;CTNNB1;CAPN2;WNT4;NDUFA4;NDUFA10;NDUFB11;PSMA5;CASP9;MAPK8;UQCRC1;NDUFV2;VDAC3;RB1CC1;ULK1;DVL3;COX5A;PSMA2;TUBB6;MAPK10;CASP7;TUBA4A;VDAC2;COX6B1;PSMD8;APBB1;CAPN1;ATP5PB;COX4I2;NDUFS1;BACE1;CSNK1E;PIK3CA;TRAF2;RAF1;MAPK9;UQCRC2;LRP5;APP;CDK5R1;NDUFS2;VDAC1;CYC1;NDUFV3;NDUFA12;CSNK2A3;PSEN1;PSMD2;SLC25A5;NDUFA7;PIK3CB;KLC4;PSMC3;CSF1;NDUFA3;MAPT;WNT7A
