Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative Phosphorylation,-1.420703001747765,0.01,0.3679814385150812,MAOB;PDP1;NQO2;MGST3;ECI1;MRPL34;MRPS22;VDAC3;COX7B;PHYH;NDUFA4;MPC1;ISCU;FXN;NDUFB4;MDH1;LDHB;GLUD1;NDUFAB1;COX5A;MRPL15;HCCS;ATP1B1;BDH2;HADHB;NDUFB8;IDH1;MTX2;VDAC2;SUCLA2;COX6B1;LRPPRC;NDUFC1;MTRF1;UQCRQ;NDUFS4;COX11;NDUFV2;SDHC;UQCRH;UQCRFS1;IMMT;DLAT;NDUFB2;BCKDHA;NDUFB6;NDUFA6;COX7C;CS;NDUFA3;NDUFA2;NDUFA5;NDUFB5;MRPL35;ACAT1;MRPS15;IDH3A;COX4I1;ATP5PB;PRDX3;SLC25A5;CASP7;MDH2;AIFM1;TIMM50;SLC25A11;NDUFS1;UQCR10;ALDH6A1;PDHB;NDUFS3;SDHA;ETFA;NDUFA9;PDHX;OXA1L;CYC1;NDUFB3;COX7A2L;NDUFV1;HSPA9;UQCRC2;SLC25A4;UQCRC1;NDUFB7;NDUFS7;VDAC1;DLST;POLR2F;MRPS30;PDHA1;NDUFA7;ECHS1;NDUFS6;SURF1;ATP6V1G1;ACADVL;ATP6V1F;ECH1;DECR1;SUCLG1;OAT;NDUFS2;IDH3B;ETFDH;ACADSB;COX5B;ABCB7;DLD;SDHB;NDUFC2;IDH3G;ETFB;NDUFS8;CYB5R3
Pperoxisome,1.4143234392087158,0.04918032786885246,1.0,TTR;TOP2A;SULT2B1;RXRG
Wnt-beta Catenin Signaling,-1.4006698261406247,0.075,0.217169373549884,LEF1;WNT6;NKD1;FZD8;FZD1;PTCH1;DLL1;JAG1
Epithelial Mesenchymal Transition,1.393376002385579,0.01,0.7282952548330404,FAP;COL8A2;IGFBP2;MSX1;FBLN2;COL5A1;NT5E;PCOLCE;FAS;EMP3;ITGA5;LUM;FSTL3;SFRP1;ABI3BP;TGFBR3;GADD45B;SERPINE1;CRLF1;PMEPA1;COL6A2;CCN2;ITGB3;BDNF;IGFBP4;COL5A2;MATN2;POSTN;P3H1;OXTR;RGS4;TNFAIP3;MGP;SNAI2;FLNA;LAMC2;NOTCH2;SLIT3;FBN1;BASP1;COL12A1;RHOB;CCN1;LAMA3;TAGLN;IGFBP3;LGALS1;CAPG;COL4A1;TPM1;CAP2;ID2
UV Response Up,-1.3522553751500355,0.043478260869565216,0.21314771848414538,SHOX2;PRKCD;RET;HTR7;GAL;FGF18;ONECUT1;CREG1;PDLIM3;SLC6A12;TST;KCNH2;GPX3;ICAM1;CNP;FOS
TNF-alpha Signaling via NF-kB,1.292654926939667,0.06666666666666667,0.9927357937902753,SERPINB8;NR4A2;CDKN1A;SGK1;CEBPD;NFKBIA;TNFRSF9;SPSB1;BIRC3;PTGS2;KLF9;GCH1;KLF10;EGR3;SOCS3;B4GALT1;MAFF;GADD45B;SERPINE1;CEBPB;DUSP5;PMEPA1;HES1;ACKR3;DRAM1;ATP2B1;IER5;BMP2;TNFAIP3;SMAD3;BTG2;ZC3H12A;EHD1;MSC;RHOB;EGR2;SLC16A6;MXD1;SNN;REL;CCN1;CFLAR;TRIB1;DUSP1
KRAS Signaling Dn,1.265115525600157,0.07017543859649122,0.9168717047451669,KCNE2;PKP1;OXT;NR4A2;ALOX12B;CACNG1;IGFBP2;PDE6B;ZBTB16;SGK1;SCN10A;SLC30A3;MSH5;SSTR4;YPEL1;PLAG1;SPTBN2;SYNPO;SKIL;INSL5;SIDT1;HTR1B;ATP4A;FGF16;RGS11;P2RX6;RYR2;SLC16A7;RYR1;MAST3;RSAD2;BTG2;TENT5C;NPHS1;KCNMB1;MTHFR;SNN;KCNQ2;CELSR2;THRB
Hypoxia,1.238284549952314,0.09090909090909091,0.9103690685413005,PKP1;CXCR4;CDKN1A;COL5A1;GCNT2;DDIT4;GPC4;ANGPTL4;CDKN1C;SULT2B1;CASP6;TPST2;ERRFI1;MAFF;SERPINE1;SRPX;CCN2;ACKR3;HMOX1;EXT1;SAP30;SLC2A1;LARGE1;PRKCA;TNFAIP3;LDHA;FOXO3;DPYSL4;NEDD4L;PDK1;EFNA3;SLC37A4;CCN1;DUSP1;TGFB3;IGFBP3;PFKP;ISG20;B3GALT6;IDS;STBD1;KIF5A
Estrogen Response Late,1.2241432120419127,0.11475409836065574,0.8323374340949034,S100A9;OVOL2;SEMA3B;TOP2A;TJP3;TNNC1;MAPK13;SGK1;LLGL2;PRSS23;FKBP5;CDC6;SULT2B1;CYP26B1;GINS2;NRIP1;EGR3;AFF1;IGFBP4;NAB2;RAPGEFL1;CISH;LARGE1;ST6GALNAC2;LAMC2;ATP2B4;PRLR;HMGCS2
Estrogen Response Early,1.2194595123193859,0.12727272727272726,0.730153150891288,OVOL2;KRT18;KRT8;SEMA3B;TJP3;FHL2;PRSS23;FKBP5;SULT2B1;CYP26B1;MLPH;NRIP1;KLF10;EGR3;B4GALT1;ADCY9;ADCY1;HES1;AFF1;IGFBP4;RAPGEFL1;BCL11B;CISH;SLC2A1;RHOD;RARA;TSKU;CELSR1;PMAIP1;KDM4B;MED13L;ABHD2;OLFM1;CELSR2
Notch Signaling,-1.1860494271146524,0.22857142857142856,0.4961716937354988,TCF7L2;HEYL;FZD1;DLL1;JAG1
