Term,NES,NOM p-val,FDR q-val,Lead_genes
IL-17 signaling pathway,1.911112804864792,0.01,0.032688738549961086,S100A9;S100A8;MAPK13;IL17RE;NFKBIA;S100A7A;PTGS2;MAPK11;CEBPB;TRAF5;IL17RA;TNFAIP3;IKBKE
Protein digestion and absorption,1.6700715804133128,0.01,0.5175716937077172,KCNJ13;COL8A2;COL8A1;COL4A4;COL24A1;COL5A1;SLC16A10;COL19A1;SLC8A2;COL6A2;SLC7A7;COL22A1;COL5A2;MME;SLC9A3;COL9A1;SLC1A5;FXYD2;ATP1A1;COL9A3;COL12A1;COL20A1;COL13A1;SLC36A1;COL15A1;SLC3A1;SLC7A8;COL4A1
Cell adhesion molecules,1.6201710883846692,0.01,0.6319822786325809,CLDN2;CDH3;CD6;CLDN1;ITGA8;ITGAL;MPZ;NTNG2;CD4;CLDN23
Neuroactive ligand-receptor interaction,-1.606157439649039,0.01,1.0,PMCH;HCRT;GLRA1;ADRA2B;F2R;AGT;ADRA1B;PTGDR;HTR7;GAL;NTS;HTR4;P2RX5;CCKAR;AGTR2;AVPR1A;GALR1;GLP1R;HCRTR2;NPFFR2;S1PR4;MC5R;GNRH1;PTGER2;GRIN2D;DRD3;TRHR;CALCR;RXFP3;VIPR2;CALCA;TBXA2R;PTH1R;OPRM1;LPAR2;PTH2R;LHCGR;MC3R;GLRA3;BRS3;CHRNA3;UCN3;ADM;GLRA2;EDNRB;NPY1R;CHRNA2;GRM1;CHRNA4;P2RY1;POMC;GRIN3A;S1PR5;GABRA6;GABRQ;CNR2;ADCYAP1;PTGER3;ADORA3;TSHR;PTAFR
Collecting duct acid secretion,1.5926873235723016,0.016666666666666666,0.6319822786325809,SLC4A1;ATP4A;SLC12A7
Systemic lupus erythematosus,1.5919525423101175,0.017543859649122806,0.5077650721427288,H3C14;H4C12;H2AC6;C3;H3C15;C7;CD86;H4C11;ACTN1;H2BC8;H4C9;H2BC6;H2AC18;H2AW;H2AC19;H4C14;GRIN2B;H2BC4;GRIN2A;ACTN4;TRIM21;C1QB;C1QC;H2AX
Glioma,1.5858978101959498,0.034482758620689655,0.452194216607795,CALML4;CDKN1A;E2F2;GADD45B;CAMK2A;CAMK1G;PRKCB;PRKCA;CAMK4;E2F1;AKT2;PIK3R2;DDB2;CAMK2B;PIK3R1;CAMK1D;TGFA;IGF1R;CALM1;SHC2;CALM2;HRAS;CCND1;PDGFB;MAPK1;EGF;GRB2;PTEN;CALM3;MDM2;PRKCG;AKT3
Gastric acid secretion,1.5828191070138147,0.03389830508474576,0.3953780757947674,KCNE2;MYLK3;CALML4;SSTR2;SLC26A7;CHRM3;CCKBR;PLCB1;ITPR1;CAMK2A;ADCY9;ADCY1;KCNK2;PRKCB;PLCB2;EZR;ATP4A;PRKCA
Leukocyte transendothelial migration,1.5381520208657906,0.03773584905660377,0.48079686283901096,CLDN2;CLDN1;ITGAL;MAPK13;CXCR4;CLDN23;MAPK11;RAPGEF4;ACTN1;CYBB;PRKCB;EZR;RHOH;PRKCA;NCF1
Basal cell carcinoma,-1.5174367881236366,0.01,1.0,WNT9B;TCF7L2;FZD10;WNT3;LEF1;WNT6;GLI1;FZD8;SHH;WNT7A;WNT11;FZD1;PTCH1
