Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative Phosphorylation,-1.8567500649228674,0.01,0.04425075427422059,COX17;NDUFA3;NDUFA4;UQCR10;COX7C;NDUFA2;NDUFC1;NDUFA5;COX7B;ETFB;NDUFB4;FXN;COX6B1;TIMM8B;COX6A1;COX4I1;ATP6V1F;UQCRQ;NDUFS3;UQCR11;NDUFB2;NDUFB7;UQCRH;NDUFA7;COX5A;COX8A;COX6C;MRPS15;ECI1;NDUFS6;NDUFS7;NDUFB8;NDUFS4;ACAA2;TIMM13;UQCRB;NDUFB6;HSD17B10;COX7A2;NDUFA6;NDUFV2;NDUFB3;GPX4;VDAC3;IDH2;MPC1;SDHB;COX5B;COX7A2L;ATP6V1E1;NDUFS8;ATP6V1G1;NDUFA1;SDHC;ACADVL;TIMM9;CYB5R3;MDH1;NDUFA8;TIMM10;NDUFAB1;NDUFB5;POLR2F;SUCLG1;LDHA;MGST3;NDUFV1;SDHD;MRPL34;LDHB;ATP5PB;MRPL11;SLC25A5;SURF1;FDX1;ATP6V0B;NDUFC2;BAX;ISCU;NDUFS2;ATP6V0C;AIFM1;MRPS12;MTRF1;UQCRFS1;PMPCA;TIMM50;TCIRG1;TOMM22;PDHB;SLC25A3;IDH3G;SLC25A4;PHB2;ECH1;UQCRC1;ATP6V1D;GRPEL1;MDH2;SLC25A11;PRDX3;ECHS1;POR;CYC1;ATP6AP1;ALAS1
Epithelial Mesenchymal Transition,-1.8181111464043658,0.01,0.038719409989943006,MSX1;MFAP5;COL8A2;FOXC2;LUM;FAP;PCOLCE;NID2;MGP;SNAI2;IGFBP2;FMOD;IL15;PTHLH;MATN2;CD44;LGALS1;TAGLN;DCN;COL3A1;LOXL2;FBN2;VEGFC;VIM;COL5A2;SERPINH1;COL5A1;ECM2;FBLN1;LOXL1;MYL9;ECM1;CXCL12;ACTA2;ELN;SFRP4;COMP;FBLN5;THBS1;COL1A1;BGN;COL6A2;GAS1;FSTL3;COL11A1;MYLK;EFEMP2;SNTB1;POSTN;COL1A2;SPP1;FLNA;LOX;TNFRSF12A;VEGFA;COL5A3;DAB2;CRLF1;BMP1;TPM4;LAMA3;GPX7;GADD45B;SGCG
Myogenesis,1.7270220641904488,0.01,0.02528507684680218,TNNT3;ACTA1;TCAP;MYLPF;COX6A2;ACTN3;PGAM2;DES;CD36;ADCY9;HRC;NOS1;SORBS1;SGCD;FGF2;CASQ1
Hedgehog Signaling,1.6264665281697244,0.022222222222222223,0.05057015369360436,SLIT1;NRCAM;PTCH1;NF1;AMOT;NKX6-1;UNC5C;L1CAM;RASA1;NRP2;CDK5R1
Angiogenesis,-1.6082544924346898,0.03636363636363636,0.11800201139792156,MSX1;LUM;THBD;COL3A1;COL5A2;VTN;KCNJ8;APOH;POSTN;SPP1;VEGFA
Cholesterol Homeostasis,-1.479496375473358,0.0196078431372549,0.20742541066040898,SEMA3B;GPX8;GSTM2;S100A11;CXCL16;PPARG;TM7SF2;MVD;PLSCR1;FDPS;FBXO6;PMVK;TNFRSF12A;FABP5;CBS;ANTXR2;PCYT2;NFIL3;MVK;ANXA5;IDI1;ETHE1;TMEM97;ATF5;FDFT1;NSDHL;ACAT2;PNRC1;DHCR7;EBP
Myc Targets V1,-1.475287262705307,0.015151515151515152,0.1681528662420382,SNRPG;SNRPD2;NHP2;RPL34;HDDC2;SNRPA1;RPL14;PPIA;COX5A;EEF1B2;RFC4;SSBP1;RRP9;MRPS18B;RPS10;PSMA7;PSMA4;RPL22;RPL18;VDAC3;RPLP0;RPS5;HSPE1;RPS6;PSMA2;NME1;PSMB3;SNRPD1;RPS3;LSM7;LSM2;NDUFAB1;U2AF1;RPL6;MCM6;PSMD14;XRCC6;POLE3;LDHA;HNRNPA2B1;H2AZ1;NOP16;CBX3;RPS2;SRSF3;EXOSC7;EIF2S2;PSMA1;NPM1;MRPL23;CNBP;GNL3;PSMD8;CDK4;EIF4A1;RACK1;RUVBL2;SNRPB2;PSMC4;FBL;SNRPD3;IFRD1;CCT7;CLNS1A;ERH;PCNA;PSMA6;SLC25A3;AP3S1;ACP1;SRSF2;DUT;PHB2;TFDP1;PRDX4;NOP56;CCT3;TCP1;RAN;HNRNPA1;PSMB2;MCM7;PHB;RNPS1;NAP1L1;IMPDH2;PRDX3;PCBP1;AIMP2;UBE2E1;COPS5;CYC1;HNRNPC;PGK1;C1QBP;SNRPA;POLD2;PRPS2;SRSF7;CCT5;EIF4E;GLO1;PTGES3;NCBP2
Mitotic Spindle,1.4482276832633483,0.02857142857142857,0.13204429019996694,TOP2A;CENPE;ECT2;PCM1;DOCK4;KIF1B;APC;ITSN1;SOS1;ARHGAP5;DST;NF1;DYNC1H1;CLASP1;FGD4;KIF11;ARFGEF1;KIF20B;DOCK2;ARHGEF12;CDC42BPA;RICTOR;MYH10;RASAL2;TUBGCP5;KIF3C;TUBGCP6;TRIO;BCR;SSH2;RAPGEF5;BCL2L11;PREX1;WASF2;CKAP5;RASA1;ARHGEF11;PCGF5;SASS6;SPTAN1;SPTBN1;KIF3B;RAPGEF6;PRC1;KIF5B;ABR;BRCA2;CLIP2;PCNT;WASL;ANLN;SHROOM2;LATS1;PAFAH1B1;NUMA1;RABGAP1;FARP1;HOOK3;ABL1;TIAM1;KIF15;EPB41L2;TSC1;CDC27;RANBP9;KIFAP3;MID1;DLG1;RASA2;CCDC88A;LRPPRC;TLK1;TAOK2;RFC1;AURKA;MARK4;MARCKS;STK38L;CLIP1;RHOF
Apoptosis,-1.4163396132047736,0.01639344262295082,0.1991283942339926,KRT18;LUM;EGR3;HSPB1;ISG20;IGFBP6;ANXA1;CASP6;CD44;DCN;TGFB2;CASP8;LEF1;CAV1;IFITM3;DDIT3;EMP1;IER3;BTG3;BGN;CASP1;CDC25B;GNA15;TSPO;SOD1;BCAP31;TNFRSF12A;GPX1;IRF1;FDXR;GPX4;GADD45B;SAT1;DIABLO;LMNA;BMF;TNFSF10;MMP2;FAS
Coagulation,-1.3971009070560219,0.07272727272727272,0.1912264738278818,ACOX2;F2RL2;CTSE;A2M;ANXA1;SERPING1;DPP4;THBD;C2;COMP;CRIP2;HPN;THBS1;PECAM1;KLK8;C8G;CFH;PDGFB;CTSK;S100A1;GDA;BMP1;DUSP14;MSRB2;MAFF;CPN1;CPQ;PLG;S100A13;MMP2
