Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,-2.559273882415703,0.01,0.01,RPS27L;MRPS18C;RPL38;MRPS6;RPS27A;MRPL14;RPS14;RPS17;RPL35A;MRPL13;RPL39;RPL22L1;RPL24;RPS19;RPL27;RPS18;RPL34;RPL26;FAU;RPS27;RPS25;RPL37A;RPL29;RPL36AL;RPS28;RPL14;RPS9;RPL13A;RPL36;RPL5;RPS20;RPL32;RPL41;RPL31;RPS23;RPS21;RPL28;UBA52;MRPS15;RPS12;RPS29;RPL7;RPL36A;RPS4X;RPS13;MRPL21;RPL8;RPL37;MRPL20;MRPS21;RPLP2;MRPL18;RPL35;RPS8;RPS11;RPS10;RPL19;RPS24;RPL11;RPL9;RPL13;RPS26;RPL30;MRPL28;MRPL33;RPLP1;RPS7;RPL22;RPL17;MRPL2;RPL18;RPS15;RPL12;RPL23;RPL27A;RPLP0;MRPS10;RPS5;RPL10;MRPS7;MRPS16;RPS16;RPL21;MRPS18A;RPS6;MRPL30;RPS3;RPL18A;RPL6;RPL23A;MRPL36;RPL7A;MRPL34;MRPL16;MRPS9;RPL4;RPS2;MRPL11;MRPL12;RPL3
Cortisol synthesis and secretion,2.060919557672811,0.01,0.06169486264162656,POMC;CACNA1S;ADCY9;CACNA1I;CREB3L3;ITPR2;STAR;ADCY5;KCNA4;PLCB1;CACNA1C;ADCY3;ADCY8;ADCY1;PLCB4;ATF2
Adipocytokine signaling pathway,2.0096006796044947,0.01,0.0431864038491386,POMC;CD36;PPARA;IRS4;IRS2;PPARGC1A;MTOR
Oxidative phosphorylation,-1.961302755768437,0.01,0.0992305041920294,COX6B2;ATP4A;COX17;NDUFA3;NDUFA4;UQCR10;COX4I2;COX7C;NDUFA2;NDUFC1;NDUFA5;COX7B;NDUFA13;NDUFB4;COX6B1;NDUFS5;COX6A1;NDUFV3;COX4I1;ATP6V1F;UQCRQ;NDUFB9;NDUFS3;UQCR11;COX7A1;NDUFB2;NDUFB7;UQCRH;NDUFA7;COX5A;COX8A;COX6C;NDUFA11;NDUFS6;NDUFS7;NDUFB8;NDUFS4;NDUFB11;UQCRB;NDUFB6;COX7A2;NDUFA6;NDUFV2;NDUFB3;SDHB;COX5B;COX7A2L;ATP6V1E1;NDUFS8;ATP6V1G1;NDUFA1;SDHC;NDUFB10;NDUFA8;NDUFAB1;NDUFB5;NDUFA4L2;NDUFV1;SDHD;ATP5PB;ATP6V0B;NDUFC2;NDUFS2;ATP6V0C;PPA2;UQCRFS1;NDUFA12;TCIRG1
Aldosterone synthesis and secretion,1.8840203217555203,0.01,0.08637280769827721,POMC;CACNA1S;ADCY9;CACNA1I;ATP2B3;CREB3L3;KCNJ5;ATP2B4;ATP2B2;CAMK4;ITPR2;STAR;ADCY5;PLCB1;CACNA1C;CAMK1D;ADCY3;ADCY8;ADCY1;PLCB4;PDE2A;ATF2;PRKCA;KCNK9;PRKCE;PRKACB;ATP2B1
Protein digestion and absorption,-1.7735127973188578,0.015873015873015872,0.26185827495118874,KCNJ13;COL8A2;COL8A1;COL9A3;COL4A3;COL17A1;COL13A1;DPP4;COL3A1;COL5A2;COL20A1;COL4A6;COL5A1;COL22A1;COL24A1;ELN;COL6A1;COL4A4;COL1A1;COL6A2;KCNQ1;KCNK5;COL11A1;ATP1A1;COL4A5;COL23A1;SLC7A7;COL1A2;ATP1B3;COL14A1;COL5A3
Metabolism of xenobiotics by cytochrome P450,-1.7642363006668549,0.021739130434782608,0.20259561272539336,CYP2E1;GSTM2;CYP1B1;GSTT1;ALDH3B2;GSTT2;GSTA3;GSTM5;GSTA4;GSTK1;GSTP1;EPHX1;CBR3;MGST1;MGST3;CBR1
Retinol metabolism,-1.7573242222733458,0.034482758620689655,0.16703801538991617,ALDH1A2;LRAT;ALDH1A3;RDH5
Arachidonic acid metabolism,-1.7523493735626856,0.01,0.140576547605375,PLA2G5;GPX8;CYP2E1;PTGS2;ALOX12;PTGDS;LTC4S;GGT5;PTGES;PTGIS
Parkinson disease,-1.7138354386425978,0.01,0.1594775960229044,CALML4;COX6B2;UBE2L6;TUBB6;KLC3;RPS27A;NDUFA3;NDUFA4;UQCR10;COX4I2;DDIT3;COX7C;NDUFA2;NDUFC1;NDUFA5;COX7B;NDUFA13;NDUFB4;SLC18A1;COX6B1;NDUFS5;COX6A1;NDUFV3;COX4I1;DRD1;PSMB4;UQCRQ;NDUFB9;ADORA2A;NDUFS3;UQCR11;COX7A1;HSPA5;NDUFB2;NDUFB7;UQCRH;NDUFA7;UBA52;COX5A;COX8A;COX6C;PSMA3;NDUFA11;NDUFS6;NDUFS7;NDUFB8;NDUFS4;NDUFB11;SEM1;PSMD13;UQCRB;PARK7;NDUFB6;PSMA7;COX7A2;PSMC3;NDUFA6;PSMA4;NDUFV2;PSMB5;PSMB7;NDUFB3;SNCA;VDAC3;PRKN;PSMB1;PSMB6;SDHB;CALM2;COX5B;PSMC5;PSMA5;COX7A2L;UCHL1;NDUFS8;TUBA1C;PSMA8;NDUFA1;PSMA2;SDHC;PSMB3;ITPR3;NDUFB10;NDUFA8;NDUFAB1;NDUFB5;NDUFA4L2;PSMD14;PSMD4;NDUFV1;SDHD;UBB;ATP5PB;TUBB4B;PSMA1;SLC25A5;ATF4;NDUFC2;BAX;DUSP1;XBP1;PSMD8;PSMC1;NDUFS2;CAMK2A
Pentose and glucuronate interconversions,-1.7031851252969796,0.020833333333333332,0.14987940737337777,KL
Proteasome,-1.6933164060165105,0.01,0.13965774664063396,POMP;PSMB4;PSME2;PSMA3;SEM1;PSMD13;PSMA7;PSMC3;PSMA4;PSMB5;PSMB7;PSMB1;PSMB6;PSMC5;PSMA5;PSMA8;PSMA2;PSMB3;PSMD14;PSMD4;PSMB10;PSMA1;PSME1;PSMD8;PSMC1;PSMC4;ADRM1;PSMA6
GnRH secretion,1.659538210958334,0.01,0.3825081483780847,CACNA1S;TRPC5;ESR2;KCNJ6;CACNA1I;KCNJ5;GABBR2;ITPR2;KCNN3;PLCB1;HCN1;CACNA1C;PLCB4;PRKCA;PIK3R1;HCN3;TRPC4;PIK3CB;ARRB1;AKT3;PIK3CA;PRKCB;KCNJ11;KISS1R;MAPK1;PIK3CD;GNAQ;PLCB2;KCNN2;GABBR1;HCN2;CACNA1D
Spliceosome,-1.6557851932718428,0.01,0.1629034110485816,HSPA1B;HSPA1L;HSPA1A;SNRPG;SNRPD2;SNRPE;RBMXL2;LSM3;MAGOH;SNRPA1;BUD31;PPIH;U2AF1L4;SF3B5;PPIL1;PHF5A;SNRPB;SNRNP27;SF3B6;SYF2;CCDC12;ZMAT2;LSM4;SRSF9;SNRPD1;LSM5;LSM7;LSM2;SNRPC;U2AF1;SNRPF;SNRNP70;PRPF38A;PQBP1;SRSF3;SF3A3;SNU13;BCAS2;DDX39B;HNRNPM;PRPF38B;CTNNBL1;SNRPB2;CWC15;PRPF40B;SNRPD3;MAGOHB;SRSF2;RBM17;RBM8A;LSM8;SNW1;PLRG1;RBM25;SRSF4;HNRNPA1;SART1;HSPA2;SNRNP40;PCBP1;XAB2;PUF60;SRSF5;HNRNPC;SF3B4;SNRPA;ALYREF;SRSF6;LSM6;SRSF7;RP9;SLU7;THOC1;PRPF6;RBMXL1;NCBP2
Calcium signaling pathway,1.625069697757544,0.01,0.3849759428837498,MYLK4;CACNA1S;ADCY9;PTAFR;ADRA1A;CHRM5;HRC;GRPR;CHRNA7;ERBB4;SLC8A1;GRM5;HTR2A;CACNA1I;CHRM3;ATP2B3;PTGER3;NOS1;MET;CHRM2;FGF2;CCKAR;CASQ1;ATP2B4;GRIN2A;PPP3R2;P2RX3;ATP2B2;CAMK4;PLCE1;NTRK2;HTR4;ITPR2;LHCGR;GRM1;ATP2A2;HTR6;RYR2;PDGFRA;VEGFD;CACNA1E;PLCB1;CACNA1C;CAMK1D;GNAL;FGF17;ADCY3;HGF;ITPKB;EGFR;ADCY8;GRIN2D;SLC8A3;ADCY1;CACNA1A;PLCB4;FGF23;CACNA1B;PRKCA;ADRA1D;CD38;HRH2;HTR5A;PRKACB;ATP2B1;EGF
