Term,NES,NOM p-val,FDR q-val,Lead_genes
UV Response Dn,-1.966368887488159,0.01,0.01,SLC22A18;VLDLR;MYC;NR3C1;ATRN;MMP16;TOGARAM1;GCNT1;BMPR1A;PIK3R3;DLC1;COL3A1;IGFBP5;TJP1;KIT;NOTCH2;SYNJ2;PTGFR;ATP2C1;SCAF8;IRS1;GRK5;GJA1;CDK13;SIPA1L1;PMP22;MAP1B;LDLR;ACVR2A;ADD3;MAGI2;APBB2;BHLHE40;ITGB3;DAB2;FHL2;AKT3;PDLIM5;NR1D2;PLPP3;PTEN;ARHGEF9;DYRK1A;INPP4B;PRKCA;PRKAR2B;INSIG1;LTBP1;COL1A1;ADORA2B;RASA2;CDKN1B;PPARG;LPAR1;MET;EFEMP1;PLCB4;PTPRM;NRP1;PRDM2;SFMBT1;SLC7A1;ZMIZ1;NIPBL;NFIB;TGFBR3;PHF3;ATP2B1;ATXN1;CDC42BPA;AMPH;SMAD3;NEK7;ERBB2;WDR37;DDAH1;DLG1;MIOS;SMAD7;ATP2B4;CDON;FYN;RND3;SCN8A
Protein Secretion,-1.8762582546885935,0.01,0.01,TSPAN8;EGFR;ATP7A;KRT18;KIF1B;CLTC;ADAM10;LAMP2;STAM;CLCN3;ARFGEF1;VAMP7;IGF2R;ARFGEF2;ABCA1;CAV2;ARFIP1;GLA;RPS6KA3;RAB5A;ARCN1;COPB1;TOM1L1;MAPK1;DNM1L;CTSC;AP3B1;LMAN1;GALC;SH3GL2;MON2;ATP1A1;SSPN;CLN5;AP1G1;DST;SEC31A;COPB2;GBF1;YIPF6;SNX2;USO1;RAB14;NAPG;SCAMP1;DOP1A
TGF-beta Signaling,-1.7676533316733536,0.01,0.01,CDH1;KLF10;BMPR1A;BMPR2;TJP1;TGFBR1;THBS1;SKIL;CDKN1C;BMP2;SMURF2;HIPK2;APC;SPTBN1;TRIM33;IFNGR2;SMAD6;TGIF1;WWTR1;ARID4B;XIAP;UBE2D3;CTNNB1;BCAR3;SKI;ID3;PPM1A;SMAD3;SLC20A1;ACVR1
Inflammatory Response,-1.7110598887429254,0.01,0.01430084745762712,APLNR;LIF;NLRP3;KCNA3;ITGB8;IL1A;FZD5;IL15;TNFAIP6;KCNJ2;PCDH7;GNA15;CXCL10;MYC;KCNMB2;TLR3;KIF1B;SLC4A4;ATP2A2;CD55;HIF1A;ICAM1;ADM;SLC1A2;AQP9;SLC7A2;TNFSF10;MARCO;RASGRP1;AHR;CYBB;CLEC5A;P2RX7;C3AR1;TLR1;SGMS2;TLR2;RGS16;ATP2C1;EIF2AK2;PTAFR;ABCA1;IL10RA;PDE4B;AXL;LDLR;ACVR2A;ITGB3;IFNGR2;PTPRE;SEMA4D;PIK3R5;TACR1;NOD2;CD14;IFNAR1;GNAI3;MMP14;NAMPT;ADORA2B;LPAR1;SLC31A1;GPC3;MET
Estrogen Response Early,-1.607077310243481,0.01,0.030508474576271184,KRT8;EGR3;KCNK5;ADCY9;FOS;CD44;CALCR;KRT15;KLF10;SEMA3B;SOX3;MYBL1;IL17RB;MYC;KRT18;ELF1;OPN3;TJP3;SLC16A1;CYP26B1;PGR;DLC1;TOB1;KLF4;RHOBTB3;SLC7A2;RASGRP1;ADCY1;NRIP1;FASN;PAPSS2;GFRA1;IL6ST;DEPTOR;FAM102A;MAST4;UGCG;CELSR2;GJA1;LRIG1;ADD3;CLIC3;ABAT;CHPT1;ELOVL2;BHLHE40;INPP5F;GLA;FHL2;RETREG1;ABHD2;XBP1;AR;TBC1D30;GAB2;DHRS3;MED13L;SLC1A1;RRP12;TIAM1;REEP1;SLC26A2;THSD4;RPS6KA2;IGFBP4;FOXC1;WWC1;KAZN;JAK2;HES1;FRK;PODXL;RET;SLC19A2;INHBB;SIAH2;CCND1
KRAS Signaling Up,-1.5894138785393093,0.01,0.03177966101694915,CFB;ITGBL1;LIF;BTC;PRRX1;PTGS2;SEMA3B;SOX9;GALNT3;MPZL2;TRIB2;EMP1;MAFB;CXCL10;HDAC9;ETS1;IL1RL2;RABGAP1L;AVL9;HSD11B1;VWA5A;IGF2;MTMR10;TNFAIP3;MYCN;KLF4;RELN;GUCY1A1;SPRY2;PRKG2;BMP2;ETV5;PLAU;C3AR1;ALDH1A2;DOCK2;GYPC;RGS16;EPB41L3;IL33;IL10RA;ETV1;DUSP6;LCP1;SNAP91;STRN;CCSER2;NAP1L2;BTBD3;GPRC5B;IKZF1;WNT7A;JUP;SPARCL1
DNA Repair,1.587009856640076,0.015873015873015872,0.10796915167095116,ADA;PDE6G;NME4;POLR2I;NT5C;POLR2F;UPF3B;POLD4;POLR2K;APRT;ERCC1;NME1;COX17;EDF1;TARBP2;DDB2;SNAPC4;GTF2F1;NME3;CCNO;VPS37D;RAD52;BOLA2;TAF1C;SNAPC5;POLR2C;GPX4;POLR1D;POLA2;RFC3;RBX1;POLR2E;DGUOK;TAF10;POLR2J;DAD1;VPS28;POLR2H;ELL;BCAP31;GTF2A2;ERCC2;POLR3GL;GTF2H3;GUK1;NPR2;NUDT9;SURF1;STX3;DUT;POLL;AAAS;GMPR2;ADRM1;POLR2D;POLR2G;MPG;USP11;MPC2;GTF2H5;TAF13;RFC2;SAC3D1;EIF1B;AGO4;TK2;MRPL40;POLR3C;GTF3C5;TAF12;LIG1;RPA2;BCAM;ITPA;POLD1;TYMS;SSRP1;POLD3;ADCY6;NELFCD;CETN2;IMPDH2;XPC;ERCC5;CSTF3;BRF2;CANT1;CDA;TAF6
Oxidative Phosphorylation,1.5538186639204017,0.01,0.06748071979434447,NDUFA5;NDUFS6;BDH2;NDUFA6;MRPL11;PDK4;UQCR11;NDUFA2;NDUFB7;POLR2F;NDUFC1;UQCRQ;NDUFS7;TIMM13;COX7A2;MRPS12;NDUFB5;BAX;NDUFA1;UQCRH;NDUFA8;NDUFA3;COX6C;COX17;COX7A2L;COX4I1;UQCR10;ATP6V1F;TIMM8B;NDUFA7;COX5B;IDH2;MRPL34;GPX4;ATP6V0B;NDUFB3;COX6B1;TCIRG1;UQCRB;COX5A;MRPS11;NDUFS8;NDUFA4;COX8A;ETFB;NDUFB8;HTRA2;MRPS15;ATP6V0C;NDUFB2;ATP6V1G1;NDUFAB1;COX7C;ECH1;SURF1;NDUFS2;FXN;ISCU;NDUFS4;NDUFB6;TOMM22;BCKDHA;VDAC3;COX6A1;CYB5A;TIMM10;ACADVL;NNT;SDHB;TIMM50;HSD17B10;SUCLG1;COX7B;CYC1;NDUFB4;NDUFV2;NDUFS3;MGST3;RHOT2;IDH3G;NDUFV1;UQCRFS1;SDHC;POR;TIMM9;PHB2;NDUFA9;CYB5R3;LDHA
Mitotic Spindle,-1.5524031922726393,0.01,0.038135593220338986,CDK1;PIF1;ARHGAP5;CDC42EP1;FGD6;ANLN;KIF1B;PCM1;MYO1E;CDC42EP2;KIF23;RASA1;NF1;TPX2;ARFGEF1;GEMIN4;NOTCH2;APC;RAPGEF5;DOCK4;DOCK2;TUBGCP5;SOS1;EPB41L2;RASAL2;KIF3C;ARHGEF12;PAFAH1B1;SPTBN1;SPTAN1;SASS6;ARHGEF11;WASL;CDC27;SHROOM2;FSCN1;MYH10;LATS1;CKAP5;PDLIM5;PREX1;CLASP1;ARHGEF2;CLIP2;STK38L;LRPPRC;TLK1;RABGAP1;DYNC1H1;TIAM1;SMC4;RASA2;ALS2;DST;VCL;ABL1;TOP2A;PCGF5;NEDD9;HOOK3;NEK2;CCDC88A;KIF20B;EZR;ARHGAP29;RAB3GAP1;KIFAP3;MARCKS;ABI1;CDC42BPA;MAP3K11;BCR;FGD4;PKD2;LLGL1;TBCD;ABR;WASF1;STAU1;PCNT;ITSN1;SMC3;DLG1;SUN2;CD2AP;TUBGCP6;SHROOM1;ARF6;MAPRE1;SSH2;ARHGEF3;RICTOR;PPP4R2;TRIO;NCK1;ALMS1;ARHGAP27;CDK5RAP2;KIF3B
Apical Surface,-1.460941954560141,0.08571428571428572,0.09533898305084745,GATA3;BRCA1;ATP8B1;SLC2A4;GAS1;ADAM10
