Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,2.5381087437107186,0.01,0.01,RPS21;RPL3L;RPL41;RPL26;RPS15;RPS29;RPS8;MRPL11;RPL37;FAU;RPL36;RPL24;RPL36A;RPSA;RPS19;RPL31;RPS12;RPL13A;RPL37A;RPL17;RPS23;RPL23;RPL30;RPL8;RPL13;RPS11;RPL35A;RPL38;RPL35;RPS10;MRPS12;RPS24;RPL32;RPL21;MRPS14;RPL39;RPS14;RPS16;RPL34;RPS9;RPL36AL;RPL28;UBA52;RPLP1;RPS27;RPS27A;RPS26;RPS28;MRPS21;RPL27A;MRPS9;RPS20;RPL14;RPL19;RPL18A;RPS5;RPL10A;RPL9;MRPS16;MRPS18A;MRPL13;MRPL12;RPL11;RPS4X;MRPL28;RPL12;RPS25;RPL18;RPS18;RPL27;MRPL34;MRPL20;RPS7;MRPS18C;MRPL23;RPS6;MRPL2;RPS17;RPLP2;MRPL24;MRPS11;RPL7;RPL23A;RPL3;RPS2;RPL10;MRPS15;RPS13;RPL6;RPS3;RPL4;RSL24D1;RPL5;RPL29;MRPS7;MRPL22;MRPL4;MRPL30;MRPL18
Serotonergic synapse,-2.1931389255073848,0.01,0.01,SLC6A4;TPH2;GABRB2;SLC18A2;HTR1F;KCNJ6;PTGS2;HTR1B;SLC18A1;HTR4;PLA2G4A;HTR3A;HTR2C;GNAI1;HTR5A;HTR1D;DDC;KCND2;PTGS1;HTR2A;KCNJ5;GABRB3;CACNA1S;HTR1A;MAOA;PLCB1;APP;PRKACB;BRAF;KRAS;KCNJ3;ALOX12;MAPK1;GNG7;GNG12;PRKCA;GNAI3;ITPR1;ADCY5;GNAO1;PLCB4;GABRB1
Estrogen signaling pathway,-2.158842641154441,0.01,0.01,HSPA1B;ESR2;HSPA1A;KCNJ6;ADCY9;FOS;HSPA1L;KRT15;EGFR;SHC3;CREB5;OPRM1;GRM1;TGFA;KRT18;GNAI1;NCOA2;PGR;PIK3R3;SP1;GPER1;SHC4;ADCY1;SOS2;PIK3R1;KCNJ5;SOS1;PIK3CB;PLCB1;PRKACB;CREB3L2;ATF2;AKT3;KRAS;KCNJ3;CREB1;MAPK1;GABBR2;ADCY3;GNAI3;ESR1;ITPR1;ADCY5;GNAO1;MMP9;PLCB4;ADCY2;MMP2
Gap junction,-2.1179835410609353,0.01,0.01,CDK1;DRD1;GUCY1A2;ADCY9;EGFR;GRM5;GRM1;HTR2C;GNAI1;TJP1;GUCY1A1;PDGFD;PRKG2;ADCY1;HTR2A;SOS2;SOS1;PDGFRA;GJA1;PLCB1;PRKACB;ADRB1;PDGFC;KRAS;MAPK1;PRKCA;ADCY3;GNAI3;ITPR1;LPAR1;ADCY5;PLCB4;ADCY2
Cell adhesion molecules,-2.0780267076459613,0.01,0.014193469785575048,CDH1;CLDN3;CDH3;ITGB8;ITGA8;NCAM2;ITGAV;ITGAL;CLDN2;CD22;CNTN1;CLDN1;MPZL1;NLGN1;ITGAM;ICAM1;CD80;CDH2;NEO1;LRRC4;NRXN1;CNTNAP2;ITGA6;NECTIN1;CNTN2;ALCAM;NECTIN3;LRRC4C;NRXN3;CLDN9;CLDN5;PTPRC;CD274;NRCAM;NEGR1;ITGB1;VCAN;PTPRM;JAM2;ITGA9;NCAM1;IGSF11;F11R;GLG1;NFASC;CLDN11;MAG;VCAM1;CD86;JAM3;NRXN2;CADM3;NLGN3;ICAM2;PTPRF;CDH4
Oxidative phosphorylation,2.0760065350615364,0.01,0.011674449633088725,COX6A2;NDUFA5;NDUFS6;NDUFA6;UQCR11;NDUFA2;NDUFB7;NDUFC1;UQCRQ;NDUFS7;NDUFB10;NDUFA11;COX7A2;NDUFA13;NDUFB5;NDUFA1;UQCRH;NDUFA8;NDUFA3;COX6C;NDUFS5;COX17;NDUFA12;COX7A2L;COX4I1;UQCR10;ATP6V1F;NDUFA7;COX5B;ATP6V0B;NDUFB9;NDUFB3;COX6B1;TCIRG1;UQCRB;COX5A;NDUFV3;NDUFA4L2;NDUFS8;NDUFA4;COX8A;ATP6V1G2;NDUFB8;NDUFB11;ATP6V0C;NDUFB2;ATP6V1G1;NDUFAB1;COX7C;NDUFS2;NDUFS4;NDUFB6;COX6A1;SDHB;LHPP;COX4I2;COX7B;CYC1;NDUFB4;NDUFV2;NDUFS3;NDUFV1;NDUFA10;UQCRFS1;SDHC
Morphine addiction,-1.9339992065537002,0.01,0.0492040285899935,GABRB2;DRD1;KCNJ6;GABRA1;ADCY9;PDE4D;OPRM1;PDE11A;GNAI1;PDE7B;GABRG2;GABRA4;GABRA5;ADCY1;KCNJ5;PDE3A;GABRB3;GRK5;PRKACB;PDE4B;PDE1C;KCNJ3;GABBR2;GNG7;GNG12;PRKCA;ADCY3;PDE10A;GNAI3;PDE8A;ADCY5;GNAO1;GABRA6;GABRB1;ADCY2;GABRG1;GNG11;SLC32A1
Signaling pathways regulating pluripotency of stem cells,-1.9282978667276442,0.01,0.04731156595191683,FGFR4;LIF;ONECUT1;OTX1;SOX2;FZD5;FGFR2;WNT2;ACVR1C;FZD10;BMPR1B;MYC;ISL1;GSK3B;WNT10B;BMPR1A;BMPR2;KAT6A;PIK3R3;KLF4;NODAL;SMAD9;SKIL;ESRRB;JAK1;FZD8;APC;IL6ST;PIK3R1;TBX3;PIK3CB;FZD3;BMI1;ACVR2A;WNT9B;LIFR;WNT7A;ACVR2B;AKT3;KRAS;SMAD2;WNT6;RIF1;JARID2;SMAD4;MAPK1;REST;FZD9;TCF7;CTNNB1;FZD1;JAK2;PCGF5;INHBB;WNT10A;HOXD1;APC2;PIK3CA;DVL3;STAT3;PCGF3;ACVR1B;NRAS;ID3;FGFR1;SMAD3;LHX5;ACVR1
Bacterial invasion of epithelial cells,-1.8826046411317554,0.01,0.062180915251090686,CDH1;GAB1;SHC3;CTNNA3;DNM3;CLTC;DOCK1;PIK3R3;ARHGEF26;SHC4;PIK3R1;CRK;PIK3CB;CAV2;CRKL;WASL;CTNNA2;SEPTIN2;ACTR2;MET;ITGB1;CBL;VCL;CTNNB1;PTK2;PIK3CA;ITGA5;ACTR3;ELMO1;SEPTIN8;WASF1;CD2AP
GABAergic synapse,-1.8582601253664943,0.01,0.06387061403508772,GABRB2;KCNJ6;GABRA1;ADCY9;GNAI1;GAD2;GABRG2;PLCL1;GABRA4;SLC6A12;GABRA5;ADCY1;GABRB3;CACNA1S;SLC38A2;SLC38A1;PRKACB;ABAT;SLC12A5;GPHN;SLC6A11;GABBR2;GNG7;GNG12;PRKCA;ADCY3;GNAI3;ADCY5;GNAO1;GABRA6;GABRB1;ADCY2;NSF;GABRG1;GNG11;GAD1;SLC32A1
