Term,NES,NOM p-val,FDR q-val,Lead_genes
Myogenesis,1.6752192972698365,0.01,0.02724177071509648,CASQ1;MYH4;MYH1;ANKRD2;CDKN1A;SPHK1;VIPR1;FXYD1;SPDEF;TNNI1;SGCD;ACTN2;MYLPF;RYR1;LSP1;MYH8;NOTCH1;BDKRB2;SORBS1;DES;TPM2;ADCY9;ACTA1;PYGM;MYL2;TNNT3;SPEG;CDH13;COL6A3;MYH11;FABP3;APOD;MYH7;KCNH1;SVIL;ACTN3;FKBP1B;SPTAN1;MYH2;SOD3;GAA;PVALB;NOS1;SMTN;MRAS;ITGB4;BAG1;AEBP1;TPM3;SORBS3;GSN;AK1;ITGB5;HRC;ACSL1;PGAM2;SSPN;TGFB1;CAMK2B;GADD45B;DMPK;BIN1;MEF2D;GPX3;KCNH2;PFKM;NAV2;GJA5;IGFBP7;MYH9;CACNA1H;FLII;LARGE1;SPARC;CLU;TSC2;GNAO1;PTP4A3;AKT2;PDE4DIP;SH2B1;COL1A1;NCAM1;PDLIM7;MB;PSEN2;LAMA2;SIRT2;PPFIA4
Coagulation,1.509115988988791,0.01,0.14982973893303064,APOA1;HMGCS2;CFB;C1QA;C3;TMPRSS6;HTRA1;PF4;S100A1;FBN1;FN1;F12;LRP1;S100A13;MASP2;RAPGEF3;GP1BA;F3;MMP11;CSRP1;LGMN;GSN;MMP15;CAPN5;CRIP2;A2M;DCT;ISCU;MSRB2;SH2B2;F2RL2;SERPING1;ITGB3;USP11;FURIN;CTSH;SPARC;CLU
KRAS Signaling Dn,1.445041776323594,0.09090909090909091,0.19069239500567536,ZBTB16;WNT16;SCN10A;KCNE2;CAPN9;SLC6A3;TFCP2L1;TCF7L1;GDNF;MAST3;RYR1;SSTR4;PDK2;ADRA2C;PRODH;PDE6B;SYNPO;MAGIX;EDN1;SGK1;CELSR2;NTF3;TENM2;SPTBN2;MYH7;CNTFR;KCNN1;COPZ2;ARPP21;KRT4;GP1BA;CCDC106;SLC25A23;NPHS1;COQ8A;ZC2HC1C;SNCB;NOS1;PTPRJ;LFNG;FGF22;SLC12A3
Pperoxisome,1.3866114331885893,0.01,0.2043132803632236,ALB;TTR
Protein Secretion,-1.317756578962475,0.04225352112676056,1.0,CAV2;AP3S1;ARFIP1;RPS6KA3;TMX1;SNAP23;BET1;LAMP2;TPD52;STAM;STX7;ADAM10;RAB14;VAMP4;RAB5A;YIPF6;DNM1L;NAPG;SCAMP1;STX12;VAMP3;TMED2;RAB2A;CLCN3;TOM1L1;VPS4B;SH3GL2;STX16;BNIP3;CTSC;COPB1;ARFGEF1;SNX2;ANP32E;ATP6V1H;CLN5;MAPK1;TMED10;CLTC;SEC22B
Estrogen Response Early,1.2950839363611761,0.07142857142857142,0.2724177071509648,KRT19;HR;KRT18;MLPH;FKBP5;TJP3;CCN5;WFS1;OLFML3;EGR3;AFF1;BCL11B;NCOR2;SEMA3B;THSD4;ADCY9;IGFBP4;LAD1;SLC2A1;HES1;CYP26B1;CELSR2;RARA;SYT12;SCNN1A;TSKU;SFN;MAST4;MYC;ITPK1;TGM2;SVIL;MUC1;SLC7A5;CBFA2T3;ALDH3B1;BAG1;ARL3;RAB31;CELSR1;GAB2;CLDN7;RET;UNC119;DHRS3;RPS6KA2
Cholesterol Homeostasis,-1.2497378459159139,0.14285714285714285,1.0,IDI1;CPEB2;STARD4;MAL2;PPARG;HMGCS1;GNAI1;ATF3;SC5D;HSD17B7;PLSCR1;PNRC1;HMGCR;ACAT2;JAG1;CHKA;ALCAM;SQLE;MVD;CD9;TM7SF2;FDPS;TNFRSF12A
G2-M Checkpoint,-1.2461252808335006,0.08791208791208792,0.9468317552804079,MARCKS;CKS2;SYNCRIP;DR1;XPO1;STIL;DBF4;SRSF10;KIF20B;TRA2B;BARD1;TMPO;SMC4;SRSF1;PLK4;MTF2;NSD2;RBL1;CHEK1;PURA;TPX2;CDKN1B;KIF15;NUSAP1;MAD2L1;PAFAH1B1;SFPQ;CUL5;CDC27;ORC5;CDC7;CCNA2;SMC2;CUL3;PRPF4B;STAG1;SRSF2;HIF1A;ORC6;HIRA;YTHDC1;SLC12A2;PDS5B;LBR;BIRC5;TFDP1;CCNT1;CCNB2;CBX1;ATRX;DMD;SQLE;SUV39H1;AMD1;HNRNPU;CENPA;EFNA5;TOP1;MAP3K20;RAD21;CASP8AP2
E2F Targets,-1.2095701773521648,0.10227272727272728,0.9499878611313425,CKS2;SYNCRIP;XPO1;ATAD2;DIAPH3;TRA2B;UBE2T;BARD1;TFRC;TMPO;NUDT21;MMS22L;SMC4;RRM2;SRSF1;PLK4;RPA3;DCK;HELLS;CHEK2;RAD51C;CHEK1;CDKN1B;RAD51AP1;CSE1L;ASF1A;MAD2L1;IPO7;DEK;RAD1;CCP110;ORC2;DONSON;STAG1;SRSF2;EED;ORC6;CBX5;LUC7L3;PDS5B;EIF2S1;LBR;POLE4;PRKDC;BIRC5;NAP1L1;ING3;CCNB2;TRIP13;WEE1;NME1;SUV39H1;RAN;SPC24;RAD21;ANP32E;PSIP1;USP1;SMC6;BRMS1L;HNRNPD;PRDX4;UBR7;CDCA8;UNG;PSMC3IP;MKI67
Androgen Response,-1.1695252224683395,0.18072289156626506,0.974605486768633,IDI1;STEAP4;RPS6KA3;INPP4B;NKX3-1;HMGCS1;DNAJB9;ZBTB10;SPCS3;VAPA;TPD52;HPGD;TNFAIP8;MAF;SAT1;MYL12A;ITGAV;BMPR1B;UBE2J1;GNAI3;CDK6;ELOVL5;ELL2;INSIG1;HMGCR;APPBP2;GSR;PDLIM5;ADAMTS1;SLC38A2;SMS;NGLY1
mTORC1 Signaling,-1.1528191007012454,0.19101123595505617,0.8952820263818078,IDI1;UBE2D3;SLC7A11;SERP1;STARD4;TFRC;HMGCS1;STC1;RRM2;SERPINH1;GMPS;PLOD2;SC5D;RAB1A;ACTR2;CACYBP;TCEA1;AK4;EDEM1;FGL2;HSPE1;PIK3R3;ELOVL5;ME1;PRDX1;INSIG1;HMGCR;GSR;PSPH;PSMC6;IDH1;CCNG1;CANX;SDF2L1;EEF1E1;COPS5;XBP1;P4HA1;UCHL5;CXCR4;PNP;PGK1;CTSC;SSR1;ETF1;SQLE;UFM1;EIF2S2;GSK3B;GLRX;CD9;VLDLR;TM7SF2;NUFIP1;DHFR;UNG;PNO1;HSPA5;ATP2A2;DDIT4;TXNRD1;BTG2;RDH11;QDPR;ACTR3;SKAP2;PSMA3;IFRD1;NAMPT;USO1;CCNF;PSMD14;PSMD12;GLA;CDC25A;MTHFD2L;CORO1A;LDLR;CCT6A;SLC2A3;ELOVL6;MLLT11;DHCR7
Wnt-beta Catenin Signaling,1.1463704141412807,0.22580645161290322,0.64472190692395,WNT1;NOTCH4;FRAT1;NCOR2;NOTCH1;MYC;HDAC11
Estrogen Response Late,1.1257179255116108,0.2,0.6499108156315874,KRT19;HR;FKBP5;HMGCS2;TJP3;ST14;TRIM29;CCN5;WFS1;EGR3;AFF1;CDC6;ZFP36;NCOR2;SEMA3B;PTPN6;DCXR;ASCL1;IGFBP4;ATP2B4;ST6GALNAC2;CYP26B1;MDK;TH;SGK1;CELSR2;SCNN1A;GPER1;GINS2;CXCL14;SFN;ITPK1;SLC7A5;ALDH3B1;CACNA2D2;BAG1;ARL3;NAB2;RAB31;IDH2;RET;CHST8;RPS6KA2
Myc Targets V1,-1.0923999387078627,0.32926829268292684,1.0,VBP1;SYNCRIP;AP3S1;XPO1;SRSF7;SRSF3;TRA2B;PTGES3;SRSF1;CBX3;EIF1AX;RFC4;PRPS2;SET;MAD2L1;DEK;YWHAQ;HNRNPA2B1;NDUFAB1;ACP1;CCNA2;TARDBP;HSPE1;ORC2;SRSF2;EIF4E;CNBP;SNRPB2;EIF2S1;PSMC6;EIF4G2;CANX;NAP1L1;TFDP1;COPS5;PRDX3;CDK2;PGK1;CSTF2;NME1;ERH;ETF1;EIF2S2;RAN;HNRNPU;SLC25A3;USP1;ABCE1;HNRNPD;PRDX4;RPS10;CCT4;GNL3;PSMB3;HNRNPA3;DHX15;HNRNPR;PSMA1;SERBP1;IFRD1;UBE2L3;NOP16;RAD23B;NCBP2;PSMD14
p53 Pathway,1.091444774504742,0.25,0.7389330306469921,ZBTB16;ADA;CDKN2B;ST14;CDKN1A;SPHK1;TNNI1;TSPYL2;NOTCH1;BAIAP2;DCXR;XPC;POM121;NUDT15;DEF6;CDH13;SFN;PPP1R15A;COQ8A;EPHX1;TAP1;RRP8;PRKAB1;ITGB4;RAD9A;OSGIN1;RPS12;SOCS1;AK1;CTSD;KRT17;CEBPA;H2AJ;TGFB1;RPL36;CCNK;TCN2;TXNIP;SLC3A2;ISCU;RXRA;PTPRE;RALGDS;LDHB;FUCA1;HRAS;IL1A;PMM1
Myc Targets V2,1.08511990947374,0.34615384615384615,0.6719636776390465,MAP3K6;MCM5;MYC;TCOF1;PPAN;HK2;PUS1;NOLC1;MRTO4;SRM;PES1;SUPV3L1;AIMP2;WDR74;RCL1;BYSL;RRP9;NOP56;EXOSC5;RRP12;SLC29A2;PPRC1;SORD;PA2G4;MPHOSPH10;WDR43;MYBBP1A;LAS1L;NOP2
Apical Surface,1.0418790542066552,0.35,0.8254256526674234,PLAUR;SLC22A12;IL2RG;SULF2;MDGA1;SLC34A3;CROCC;FLOT2;NCOA6;CX3CL1;TMEM8B;EPHB4;ADIPOR2
Bile Acid Metabolism,1.018393129498909,0.25,0.837065318336601,TTR;APOA1;TFCP2L1;EFHC1;RBP1;CH25H;ALDH1A1;GNMT;HSD17B4;LIPE;SOD1;GSTK1;RXRG;DIO2;IDH2;ACSL1;RXRA;SLC27A5;BMP6;PFKM;CYP46A1;PECR;ABCA4;ABCA2;KLF1;ABCD1;EPHX2;PRDX5
Notch Signaling,0.9940706128288669,0.42857142857142855,0.923950056753689,WNT2;NOTCH1;HES1;LFNG;DTX1;ARRB1;PPARD;HEYL;NOTCH2;PSEN2;DTX2;KAT2A;PRKCA
Apical Junction,0.9527712988875807,0.6153846153846154,1.0,NRTN;CLDN14;ICAM5;ACTN2;GTF2F1;WNK4;BAIAP2;DMP1;ACTA1;AMH;CDH15;NRXN2;ACTN4;FBN1;MDK;SPEG;LAMB3;CNN2;ITGA9;ATP1A3;PFN1;MYL9;ACTN3;LAMA3;CD276;EVL;TUBG1;MYH10;ITGB4;CADM3;CDH4;CAP1;SYMPK;SDC3;SORBS3;CLDN7;NF2;ACTB;CX3CL1;NLGN2;VCL;TMEM8B;PARVA;KCNH2;ZYX;NECTIN1;HRAS;MPZL2;MYH9;GAMT;TAOK2;AKT2;NFASC;VAV2;CTNNA1;NECTIN4;TNFRSF11B;RHOF;ADAM15;NRAP;NECTIN2;SIRPA
Interferon Alpha Response,0.9348601235265943,0.6666666666666666,1.0,TRIM14;IFIT3;IRF7;EPSTI1;SP110;LGALS3BP;CXCL10;IFI35;GMPR;DHX58;TAP1;TRIM26;GBP2;CMTR1;ADAR;UBA7;PSMB8;LY6E;PARP14;RSAD2;IRF2;IFITM2;TXNIP;SLC25A28
IL-2/STAT5 Signaling,-0.9294307868257449,0.5853658536585366,1.0,FAM126B;GBP4;PTGER2;EOMES;RABGAP1L;RORA;PHTF2;BMPR2;MAP3K8;EMP1;TNFSF10;POU2F1;PLSCR1;TNFRSF9;KLF6;ITGAV;RHOH;SLC39A8;TTC39B;WLS;ITGA6;SCN9A;TWSG1;FGL2;MAPKAPK2;CDCP1;LRRC8C;MAFF;CD48;PLAGL1;AHR;SPRY4;BCL2;RGS16;CD86;XBP1;P4HA1;CASP3;PNP;ALCAM;ETFBKMT;CDC42SE2;SHE;BATF3;SH3BGRL2;RNH1;HOPX
UV Response Dn,-0.9188038869638867,0.6551724137931034,1.0,PTGFR;CAV1;INPP4B;PPARG;PTEN;RASA2;TFPI;ACVR2A;NR1D2;WDR37;RND3;CDKN1B;NR3C1;CELF2;BDNF;BMPR1A;DMAC2L;GCNT1;GJA1;PIK3R3;NEK7;ATXN1;CITED2;INSIG1;YTHDC1;PRKAR2B;NFIB;TOGARAM1;SDC2;SNAI2;PDLIM5;ATRX;ATP2C1;COL3A1;RGS4;COL5A2;SFMBT1;VLDLR
