Term,NES,NOM p-val,FDR q-val,Lead_genes
Staphylococcus aureus infection,2.2682090980054506,0.01,0.021987686895338608,KRT9;KRT19;KRT18;CFB;C1QA;KRT25;C3;KRT20;C5AR1;C1QB;C1QC;SELPLG;KRT28;FCGR2B;PTAFR;C4B;MASP2
Thyroid hormone synthesis,1.7304096057865648,0.01,0.32981530343007914,ALB;TTR;DUOX2;PLCB2;TSHR;ADCY9;ADCY5;CREB3L1;ATP1A3;FXYD2;ATP1B2;ADCY3;ADCY2;GNAS;GPX1;PRKCB;ATP1A1;GPX3;PLCB3;ITPR2
Olfactory transduction,1.7058895142370374,0.01,0.2638522427440633,ANO2;SLC24A4;GNG7;PDE2A;CAMK2A;CNGB1;CALM3;SLC8A2;CNGA4;SLC8A3;ADCY3;CAMK2B;GNG13;PDE1B;ARRB1;GNAL
beta-Alanine metabolism,1.6629936543208692,0.03225806451612903,0.2748460861917326,DPYS;ALDH3A1;UPB1;ALDH2;SMOX;ALDH3B1;AOC3;ALDH3B2;ALDH1B1;GADL1;ALDH7A1;ACOX3;EHHADH;HADHA;MLYCD
Salivary secretion,1.6565151897054418,0.01,0.237467018469657,PLCB2;ADCY9;ADCY5;ATP2B4;GUCY1A2;ATP2B3;ADRB2;CST3;CALM3;ATP2B2;ADRB3;ATP1A3;FXYD2;LPO;ATP1B2;NOS1;ADRA1A;SLC9A1;ADCY3;ADCY2;GNAS;PRKCB;ATP1A1;PLCB3;ITPR2
Complement and coagulation cascades,1.6181529186745265,0.041666666666666664,0.2565230137789504,PLAUR;CFB;C1QA;C3;C7;C5AR1;C1QB;C1QC;BDKRB2;F12;F13A1;C4B;MASP2;F3;F5
Ribosome,1.6116883155927042,0.01,0.2198768689533861,RPS29;RPL23A;RPS26;RPL36A;RPL17;RPL21;RPL28;RPL18A;RPL27A;RPLP1;RPS27;RPLP2;RPL11;RPS16;MRPS21;MRPL2;RPL23;RPS24;MRPS15;RPL41;MRPL34;RPS15;RPS6;MRPS12;RPS12;RPSA;RPL35;RPL13;MRPL4;RPL36;MRPL21;RPL31;RPL10A;MRPL23;RPL9;MRPS18A;RPL7A;RPS2;RPL4;UBA52;RPLP0;MRPL11;RPS28;RPL5;RPL37;MRPL22
Primary immunodeficiency,1.5597804844450491,0.034482758620689655,0.2638522427440633,CD4;ADA;CD79A;IL2RG
Carbohydrate digestion and absorption,1.4896070233219885,0.07142857142857142,0.40799374572461644,PLCB2;HK1;ATP1A3;FXYD2;ATP1B2;HK3;AKT1;HK2;SLC2A5;TAS1R3;PIK3R2;PRKCB;ATP1A1;PLCB3;ATP1A2;AKT2
Endocrine and other factor-regulated calcium reabsorption,1.4841561914255783,0.01,0.38038698328935794,PLCB2;BDKRB2;ADCY9;ATP2B4;ATP2B3;DNM2;SLC8A2;ATP2B2;ATP1A3;FXYD2;DNM1;ATP1B2;CLTB;SLC8A3;CLTA;KL;GNAS;AP2S1;PRKCB;ATP1A1;PLCB3
Other glycan degradation,1.4439325681657311,0.0625,0.4417526185336212,MAN2B2;GBA;GLB1;HEXA;FUCA1;GBA2;MANBA;NEU4;NEU1
Bile secretion,1.416207000686458,0.045454545454545456,0.48372911169744937,ADCY9;ABCC3;ADCY5;SLC2A1;SLC4A5;SLC9A3;ABCC4;ATP1A3;FXYD2;EPHX1;ATP1B2;SLC22A7;SLC9A1;ADCY3;ADCY2;GNAS;RXRA;ATP1A1;SLC27A5
Phenylalanine metabolism,1.3929100501561582,0.125,0.520939043366484,ALDH3A1;DDC;ALDH3B1;AOC3;ALDH3B2
Tyrosine metabolism,1.3868047183281291,0.07317073170731707,0.5025757004648824,TYRP1;ALDH3A1;TH;AOX1;DDC;ALDH3B1;AOC3;ALDH3B2;COMT;DCT
Gastric acid secretion,1.3799471083365709,0.041666666666666664,0.485194957490472,MYLK4;KCNE2;PLCB2;SST;EZR;ADCY9;ADCY5;CAMK2A;CALM3;CCKBR;ATP1A3;ATP1B2;SLC9A1;ADCY3;ADCY2;GNAS;CAMK2B;ACTB;PRKCB;ATP1A1;PLCB3;ITPR2
Glycosaminoglycan degradation,1.3667191909986887,0.15625,0.5194591029023746,HYAL3;GALNS;SGSH;HYAL1;GLB1;HEXA;NAGLU;GNS
PPAR signaling pathway,1.3499220337904976,0.04,0.5393450256091883,PLIN4;APOA1;HMGCS2;ANGPTL4;SORBS1;APOA2;PPARA;FABP3;RXRG;CPT1A;ACSL1;CPT1C;ACSBG1;DBI;RXRA;SLC27A5;SLC27A1;ME3;PPARD;ACADL;ACOX3;EHHADH;APOC3
Calcium signaling pathway,1.3489549031585097,0.01,0.513046027557901,ADORA2A;CASQ1;FGF5;FGF3;ITPKA;HGF;MYLK4;HTR6;SPHK1;PLCB2;PTK2B;DRD1;GDNF;GRIN1;RYR1;BDKRB2;CHRM1;VEGFB;ADCY9;ATP2B4;CAMK2A;CAMK1G;ATP2B3;FLT4;ADRB2;GNA15;PLCG2;CALM3;GRPR;PTAFR;SLC8A2;CHRM5;CCKBR;ATP2B2;ADRB3;GRIN2D;VEGFD;CACNA1I;SLC8A3;NOS1;CHRNA7;ADRA1A;CACNA1A;ITPKC;PLCE1;FGF22;ITPKB;ADCY3;P2RX4;ADCY2;FGFR1;P2RX2;RET;NTSR1;HRC;P2RX5;GNAS;CAMK2B
Coronavirus disease,1.340592681326762,0.01,0.508031291950192,RPS29;CFB;RPL23A;C1QA;C3;C7;NFKBIB;C5AR1;RPS26;RPL36A;RPL17;C1QB;C1QC;OAS2;RPL21;RPL28;RPL18A;NLRP3;RPL27A;RPLP1;RPS27;RPLP2;RPL11;RPS16;RPL23;RPS24;RPL41;PLCG2;F13A1;CXCL10;C4B;MASP2;RPS15;RPS6;ACE;RPS12;ADAR;RPSA;RPL35;RPL13;MASP1;RPL36;RPL31;RPL10A;PIK3R2;RPL9;PRKCB;RPL7A;RPS2;RPL4;UBA52;RPLP0;STING1;RPS28;MAPK3;RPL5
Fructose and mannose metabolism,1.334561378287422,0.1,0.5002198768689534,HK1;GMDS;HK3;TPI1;HK2;ALDOC;PFKFB1;PFKM;PMM1;PFKL;PFKP;ALDOA;PMM2;MPI;AKR1B10;GMPPA;KHK;SORD
Cardiac muscle contraction,1.3304137504933602,0.037037037037037035,0.48791724253465674,CACNG3;COX5B;TPM2;CACNG8;MYL2;COX4I2;CACNG7;UQCRH;SLC8A2;MYH7;ATP1A3;COX8A;FXYD2;ATP1B2;COX6A1;SLC8A3;CACNA2D2;SLC9A1;SLC9A7;TPM3;CACNG4;CACNB1;HRC
Gastric cancer,1.326888474431868,0.01,0.4727352682497801,WNT1;WNT16;FGF5;FGF3;HGF;CDKN2B;WNT2;CDKN1A;SHC3;WNT10B;RARB;FRAT1;FZD2;CTNNA3;TCF7L1
Glycolysis / Gluconeogenesis,1.3188037727686688,0.07407407407407407,0.47321326144315706,ALDH3A1;HK1;ALDH2;ALDH3B1;GAPDH;HK3;TPI1;HK2;ALDOC;PKM;PGAM2;PGM1;ALDH3B2;BPGM;ALDH1B1;LDHB;PFKM;ENO2;PFKL;PFKP;ALDOA;ALDH7A1;GALM
Notch signaling pathway,1.3178277657551611,0.0967741935483871,0.45716065669891526,NOTCH4;NCOR2;RBPJL;NOTCH1;DLL4;HES1;MAML3;DLL3;LFNG;PSEN1;NUMBL;DTX1;TLE3;EP300;ATXN1L;HEYL;DVL2;SNW1;NOTCH2;PSEN2;DTX3;DTX2;TLE2;KAT2A
Legionellosis,-1.3087661094492773,0.1111111111111111,1.0,HSPA1B;HSPA1A;TLR4;CLK4;SAR1B;CLK1;RAB1A;HSPA1L;NLRC4;CR1L;IL12A;CASP3;BNIP3;PYCARD;IL18;CASP1
Cocaine addiction,1.3047445379683018,0.01,0.4758135444151275,PPP1R1B;RGS9;DRD2;SLC6A3;DRD1;GRIN1;GRM3;GRIN3B;ADCY5;CREB3L1;TH;DLG4;GRIN2D;DDC
Cytokine-cytokine receptor interaction,1.2916876857155952,0.01,0.49810567620594004,CD4;LTA;IL17RE;IL23A;CD27;BMP5;IL2RG;IFNLR1;CXCL5;GDF10;CD70;EBI3;IL16;PF4;IL20RB;IL12RB1;CCL17;CSF2RB;AMH;TNFSF13;TNFRSF8;BMP4;IL27RA;CRLF2;CXCL10;CXCL14;CCR9;IL3RA;CNTFR;CCR10;EDA;ACVR2B;IL17RC;ACKR4;TGFB3;IL17RA;IL1R1;TNFRSF18;CSF1R;TGFB1;CX3CL1;GDF9;TNFSF12;BMP6;TNFRSF1B;LTB;IL17D;IL1A
Cell cycle,-1.2896492831064494,0.10975609756097561,1.0,CCNE2;ORC4;SMC1B;WEE2;DBF4;CCNH;E2F5;RB1;CHEK2;RBL1;CHEK1;CDKN1B;MAD2L1;SKP2;CDC27;YWHAQ;ORC5;ATR;CCNA1;CDC7;CDK6;CCNA2;STAG2;SMAD4;ORC2;STAG1;ORC3;ORC6;PRKDC;TFDP1;CCNB2;ANAPC10;CDK2;TGFB2;WEE1;YWHAB
Collecting duct acid secretion,1.2856270640751648,0.10810810810810811,0.49675885207987236,ATP6V1C2;ATP6V1G2;SLC12A7;ATP6V1F;ATP6V0A1;ATP6V0C;ATP6V0E2
Propanoate metabolism,1.2836809206149624,0.12121212121212122,0.4852996607614022,ACACB;BCKDHA;MCEE;ACACA;PCCB;LDHB;ECHDC1;ACOX3;EHHADH;HADHA;MLYCD;ACSS1
p53 signaling pathway,-1.2621118396915492,0.12,1.0,CCNE2;IGF1;PTEN;RRM2;GORAB;CHEK2;RRM2B;CHEK1;CCNG2;RCHY1;ATR;CDK6;PMAIP1;MDM4;CCNG1;CCNB2;BCL2;CASP3;CDK2;TNFRSF10B;PERP
RNA polymerase,1.251748796460876,0.15625,0.5747126436781609,POLR2K;POLR2J;POLR2A;POLR3D;POLR2E;POLR3B;POLR1A;POLR3A;POLR2F;POLR2I;POLR2B
Basal cell carcinoma,1.2502659524166475,0.08,0.5614189387276458,WNT1;WNT16;WNT2;CDKN1A;WNT10B;FZD2;TCF7L1
Vascular smooth muscle contraction,1.237757177231981,0.06666666666666667,0.582319062615258,ADORA2A;MYLK4;PLCB2;PLA2G4F;PPP1R14A;RAMP2;PLA2G3;ADM;MYH14;ADCY9;ADCY5;PLA2G5;GUCY1A2;EDN1;MYL6;PRKCQ;MYH11;CALM3;MYL9;MYH10;ADRA1A;ADCY3;EDN3;ADCY2;AGT;KCNU1;GNAS;PRKCB;RAMP1;PLCB3;ITPR2;MYH9;MAPK3
Galactose metabolism,1.2374795155088039,0.2222222222222222,0.5648087071240105,HK1;GAA;HK3;GLB1;HK2;PGM1;GANC;B4GALT2;PFKM;PFKL;PFKP;GALM;GALT;AKR1B10;G6PC3;GCK
Systemic lupus erythematosus,1.2346164363608907,0.18181818181818182,0.5583539884331441,H4C8;C1QA;C3;C7;C1QB;C1QC;H2AX;ACTN4;C4B;H4C3
Ubiquitin mediated proteolysis,-1.2196843988418664,0.1518987341772152,1.0,UBE2D3;UBE3A;UBE2G1;UBA6;XIAP;UBE2W;ELOC;UBE2E3;KLHL9;UBE2Q2;UBE2A;UBE2N;CUL4B;MID1;SOCS3;WWP1;RCHY1;UBE2J1;SKP2;CUL5;CDC27;HERC4;CUL3;CUL2;PIAS2;UBC;VHL;UBE2B;UBE2D1;BIRC2;FANCL;ANAPC10
Purine metabolism,1.2185672037291135,0.14285714285714285,0.598841119561281,XDH;ADA;NT5C1A;PDE10A;NME4;AK9;PDE2A;ADCY9;PDE4C;ADCY5;ADCY10;PDE6B;GUCY1A2;GUCY2C;PDE11A;GMPR;PDE8B;NUDT9;HDDC3;ADCY3;AK7;ADCY2;NT5C3B;AK1;AK5;PKM;PGM1;PDE4D;PDE9A;ENTPD6;PDE1B;PDE6D;NT5C;ENTPD3
Protein export,-1.2160993714837074,0.21311475409836064,1.0,SPCS3;IMMP1L;SEC61B;SEC62;SEC61G;SEC61A2;SRP19;IMMP2L;HSPA5;SRP9;SEC11A;SEC63;SRP72;SPCS1;SPCS2
Fat digestion and absorption,1.2154293069268507,0.17142857142857143,0.5905264480462369,APOA1;PLA2G3;PLA2G5;NPC1L1
Viral protein interaction with cytokine and cytokine receptor,1.2104644895634804,0.17647058823529413,0.590002931691586,LTA;IL2RG;CXCL5;PF4;IL20RB;CCL17;CXCL10;CXCL14;CCR9;CCR10;ACKR4;CSF1R;CX3CL1;TNFRSF1B
Maturity onset diabetes of the young,1.2095998889622441,0.17142857142857143,0.5764339537426608,ONECUT1;FOXA2;HNF1B;HES1;BHLHA15
Progesterone-mediated oocyte maturation,-1.2045448285782525,0.1518987341772152,1.0,IGF1;RPS6KA6;CPEB2;SPDYA;KRAS;RPS6KA3;GNAI1;CPEB4;MAPK8;PGR;MAD2L1;PDE3B;GNAI3;CDC27;CCNA1;CCNA2;PIK3R3;CPEB1;CCNB2;ANAPC10;CDK2
