Term,NES,NOM p-val,FDR q-val,Lead_genes
Apical Surface,1.7377988616985558,0.01,0.01,GATA3;SLC34A3;SCUBE1;IL2RG;SLC22A12;CD160;SRPX;MAL;ADIPOR2;CRYBG1;GHRL
Epithelial Mesenchymal Transition,-1.6233305336198678,0.01,0.07456724367509987,ITGA2;FOXC2;FMOD;TNFAIP3;COL3A1;COL6A2;SERPINH1;LAMC2;LOXL1;TIMP1;PRRX1;SDC1;COL1A1;MGP;PCOLCE;COL1A2;VIM;TNFRSF11B;DCN;VCAM1;NID2;GAS1;THBS2;ECM1;COL5A2;PDGFRB;NNMT;MMP14;SERPINE1;GLIPR1;TIMP3;BDNF;ECM2;PLOD1;TPM4;NOTCH2;LAMA1;ABI3BP;THBS1;VEGFA;MFAP5;BGN;JUN;CALD1;PTHLH;FBN2;ADAM12;ELN;LRP1;SFRP4;EFEMP2;SCG2;COL5A3;LOX;CDH2;COL7A1;CADM1;FBLN1;SGCD;PDLIM4;PLOD3;COL4A1;IGFBP2;GREM1;MMP2;COL4A2
Cholesterol Homeostasis,-1.588163015694313,0.01,0.04660452729693742,PPARG;GSTM2;FDPS;LDLR;IDI1;STARD4;MVD;CXCL16;HMGCS1;FASN;FADS2;PLSCR1;SEMA3B;SQLE;FDFT1;SREBF2;HMGCR;MVK;ATF5;ANTXR2
Hedgehog Signaling,-1.5077450707266993,0.07142857142857142,0.06835330670217488,NRP1;PTCH1;SHH;SLIT1;VEGFA;MYH9;SCG2;RASA1;CELSR1;ADGRG1;GLI1;CRMP1;L1CAM;NKX6-1;NRP2;HEY2;HEY1
Pperoxisome,1.350245905707983,0.057692307692307696,0.43710691823899367,ALB;TTR;ALDH1A1;TOP2A
IL-6/JAK/STAT3 Signaling,1.3458153204977825,0.014925373134328358,0.3081761006289308,IL2RG;IL12RB1;CXCL10;MAP3K8;OSMR;IL15RA;A2M;IL1R2;IL3RA;IL1R1;IL17RA;LTB;CSF2RB;TLR2;PIM1;ITGB3;CD38
Angiogenesis,-1.2831798318688077,0.10416666666666667,0.4054593874833556,PF4;COL3A1;APOH;TIMP1;THBD;STC1;NRP1;COL5A2;VTN;VEGFA
TGF-beta Signaling,-1.1453806406549292,0.23684210526315788,0.9768308921438082,CDH1;SERPINE1;BCAR3;ID3;THBS1;TJP1;WWTR1;BMPR1A;HIPK2;SMAD3;HDAC1;NCOR2;NOG;CDKN1C;SMURF1
Hypoxia,-1.1309454819027323,0.01,0.9258766089658235,TNFAIP3;KDELR3;STC1;FOSL2;P4HA1;STC2;DCN;CAV1;AK4;ACKR3;CXCR4;HSPA5;TMEM45A;GPC4;GCK;PPP1R3C;SERPINE1;CSRP2;PLIN2;ETS1;BRS3;PFKFB3;GPC3;VEGFA;MYH9;BGN;JUN;MAFF;HMOX1;P4HA2;ANXA2;JMJD6;ISG20;NCAN;GAA;CCN5;LOX;PGAM2;HAS1;SDC3;EGFR;HK1;LDHA;NR3C1;AKAP12;SULT2B1;BCAN;BCL2;CDKN1C;PAM;IGFBP3;PDGFB;RBPJ;ATF3;SCARB1;ENO3;SLC6A6;DDIT3;PPFIA4;PHKG1;PGM2;XPNPEP1;DPYSL4;EFNA3;EXT1;PKLR;GAPDH;PFKL;NDST1;INHA;BHLHE40
Bile Acid Metabolism,1.1235371639809493,0.20689655172413793,1.0,TTR;CH25H;APOA1;ALDH1A1;DIO2;CYP27A1;CYP39A1;KLF1;GNMT
