Term,NES,NOM p-val,FDR q-val,Lead_genes
Protein digestion and absorption,-1.9820859447744412,0.01,0.01,KCNJ13;COL17A1;COL3A1;COL6A2;COL13A1;COL6A6;COL8A1;COL1A1;COL1A2;COL9A1;COL6A5;KCNN4;COL5A2;KCNQ1;COL4A6;COL19A1;SLC36A2;COL6A1;COL18A1;COL22A1;COL27A1;CPA2;ATP1A2;ELN;SLC8A2;COL11A2;COL4A3;COL4A4;COL5A3;COL9A2;COL7A1
Folate biosynthesis,1.8573603328853874,0.01,0.1188814699533109,TPH2;TH;GCH1
Malaria,-1.6361815507075743,0.01,0.4628648492438108,IL12A;ITGAL;SDC1;GYPC;CD40;ICAM1;VCAM1;THBS2;MET;THBS4;THBS3;THBS1
ECM-receptor interaction,-1.6010012795770658,0.01,0.428025559515782,ITGA2;COL6A2;LAMC2;LAMA4;SDC1;HSPG2;COL6A6;COL1A1;COL1A2;DSPP;COL9A1;THBS2;COL6A5;THBS4;ITGA11;ITGA6;COL4A6;VTN;ITGA4;LAMA1;THBS3;THBS1;COL6A1;ITGA7;LAMB2;DAG1;COL4A3;COL4A4;COL9A2;RELN;ITGA10;COL4A1;ITGB8;COL4A2;COL9A3
Antigen processing and presentation,-1.5939265554023654,0.05263157894736842,0.3434158558905693,HSPA1B;HSPA1A;CD74;KIR3DL2;HSPA5;IFI30;NFYA;HSP90AB1;CD4;CREB1;HSPA2;HSP90AA1;TAP2;HSPA8
Nicotine addiction,1.5419767116222662,0.046875,1.0,CHRNA6;GRIN3B;SLC17A7;GABRD;GABRR2;GRIN2A;CHRNA4
Synaptic vesicle cycle,1.5309311078297796,0.01,0.7999732248941546,SLC6A4;SLC6A3;SLC17A7;SLC18A3;SLC18A2;SLC6A5;CPLX1
Protein processing in endoplasmic reticulum,-1.51765739364081,0.01,0.5733551680955592,HSPA1B;HSPA1A;DERL3;CASP12;PDIA4;DNAJB1;HSPA5;HSPH1;RRBP1;HYOU1;SEC31B;TRAF2;PDIA6;MAP3K5;BAG2;DNAJC3;P4HB;HSP90AB1;LMAN1;SEC61B;SIL1;MAN1C1;BCL2;HSPA2;DNAJB2;BAX;HSP90B1;EIF2S1;HSP90AA1;DDOST;EDEM3;HSPA8;MOGS;DDIT3;RAD23A;LMAN2;PDIA3;CALR;OS9;PLAA;VCP;WFS1;SEC23A;TXNDC5;ERP29;NSFL1C;STUB1;SEL1L;DERL2;XBP1;DNAJC1;UBXN2A;DNAJA1;HSPA4L;PRKCSH;SEC31A
Tryptophan metabolism,1.510743206464151,0.047619047619047616,0.700286158943722,TPH2;INMT;DDC;IDO2;TDO2;KMO;IDO1;EHHADH
Estrogen signaling pathway,-1.5079451321371928,0.01,0.5325434286998684,HSPA1B;HSPA1A;KRT28;KRT19;CREB3L4;KRT26;ESR1;CREB5;NOS3;KCNJ5;CREB3L3;SHC3;POMC;JUN;CREB3L1;PLCB3;ADCY7;OPRM1;PGR;FKBP4;SRC;HSP90AB1;GNAI2;ESR2;ADCY8;EGFR;KCNJ9;RAF1;SOS2;KRT18;CREB1;BCL2;HSPA2;MMP2;ADCY3;HSP90B1;HSP90AA1
Legionellosis,-1.5018481221895235,0.01,0.4735299379360645,HSPA1B;IL12A;HSPA1A
Th17 cell differentiation,1.5004186618337663,0.029411764705882353,0.6122395702595511,GATA3;IL2RG;IL12RB1;FOXP3;PRKCQ;RUNX1;IL23A;NFKBIA;PPP3R2;IL27RA;IL1R1;IRF4
Thiamine metabolism,-1.486316331918022,0.06521739130434782,0.4609984587226664,AK8;AK4;ALPL;AK5;AK2;THTPA
Amoebiasis,-1.4818195965853116,0.024390243902439025,0.42138950432949085,IL12A;COL3A1;HSPB1;LAMC2;LAMA4;MUC2;ARG2;NOS2;COL1A1;COL1A2;GNA14;COL4A6;NFKB1;LAMA1;PLCB3;VCL;LAMB2;ACTN1;COL4A3;COL4A4;C8G;TGFB2;COL4A1;COL4A2
Toxoplasmosis,-1.4817881899197394,0.01,0.3792505538965418,HSPA1B;IL12A;HSPA1A;LAMC2;LAMA4;NOS2;CD40;LDLR;IL10RB;ITGA6;NFKB1;CASP8;LAMA1;LY96;BIRC3;STAT3;SOCS1;LAMB2;PIK3CG;GNAI2
Complement and coagulation cascades,1.4802429480783588,0.07692307692307693,0.6154592767374534,ITGAX;CFB;C7;C1QC;A2M;C1QB;C3;C5AR1;C3AR1;CD46;C1QA;F3;MASP2;PLAU;ITGAM;C2;SERPIND1;F2RL3;C4B;PLAUR;PLAT;F2R
Vitamin digestion and absorption,1.4676041814265273,0.03508771929824561,0.581670049414414,APOA1;CUBN;LRAT;SLC19A3;FOLH1;TCN2
Maturity onset diabetes of the young,1.4650773620614275,0.07142857142857142,0.5210351925297454,FOXA2;BHLHA15;NEUROD1;MAFA
Nucleotide excision repair,-1.4412720828337222,0.01,0.4533632247725302,RFC5;POLE2;XPA;POLD1;ERCC8;POLD2;CUL4A;LIG1;CDK7;RAD23A;ERCC3;POLD3;CUL4B;POLE;MNAT1;DDB1;GTF2H3;POLE3;RPA3
Phototransduction,-1.4260399499860517,0.06818181818181818,0.4641091095912404,PDE6G;PDE6B;GNAT2;SAG;RHO
Base excision repair,-1.4208439028660902,0.075,0.4410424369965839,FEN1;PARP3;UNG;OGG1;POLE2;POLD1;APEX1;POLD2;XRCC1;LIG1;MUTYH;APEX2;POLD3;POLE;NTHL1;POLE3
IL-17 signaling pathway,1.4190536313332112,0.047619047619047616,0.6637548739059859,S100A8;S100A9;IL25;CXCL10;IL17RE;CXCL5;CEBPB;NFKBIA;IL17RA
Serotonergic synapse,1.4137032062674624,0.03278688524590164,0.6166976253828003,TPH2;SLC6A4;GNG8;PLA2G4F;SLC18A2;DUSP1;DDC
Oxidative phosphorylation,1.402021007842778,0.05,0.6112939222031044,COX6A2;COX8A;COX5B;NDUFA12;COX7B;NDUFA4;NDUFC1;NDUFB4;COX15;COX5A;NDUFA1;NDUFA3;COX6A1;ATP6V1G2;COX6B1;COX6C;COX7A2;NDUFB2;UQCR10;UQCRB;UQCRH;NDUFS5;ATP6V0E2;NDUFS3;COX6B2;UQCR11;NDUFV2;NDUFAB1;NDUFA11;ATP6V1F;NDUFB9;ATP6V1G1;NDUFS6;ATP5PB;NDUFA6;COX7C;COX10;UQCRQ;ATP6V0B;UQCRFS1;SDHC;COX17;COX7A2L;NDUFB3;NDUFB5;CYC1;NDUFS2;NDUFB10
Focal adhesion,-1.3634203854723808,0.01,0.5961784578969821,ITGA2;COL6A2;LAMC2;LAMA4;MYL7;COL6A6;ILK;COL1A1;COL1A2;CAV1;COL9A1;THBS2;COL6A5;MET;KDR;THBS4;PDGFRB;ITGA11;PAK4;ITGA6;COL4A6;VTN;ITGA4;LAMA1;THBS3;THBS1;ERBB2;VEGFA;COL6A1;SHC3;JUN;BIRC3;DIAPH1;VCL;CCND2;ITGA7;LAMB2;SRC;PIP5K1B;CCND1;PAK6;ACTN1;COL4A3;COL4A4;PDGFC;COL9A2;EGFR;RELN;PAK3;RAF1;RAC3;SOS2;PARVB;ITGA10;COL4A1;TLN1;RAPGEF1;BCL2;ITGB8;COL4A2;BAD;COL9A3;PPP1R12B;PDGFB;FLNA;VEGFC;FYN;TNXB;FLNB;ROCK2;CRKL;ARHGAP35;AKT1;FLNC;SHC1;PIP5K1C;ARHGAP5;RASGRF1;PDGFA;PAK2;SHC2;DOCK1;EGF
Viral myocarditis,-1.3590539550175582,0.08888888888888889,0.5693735349837845,ITGAL;CD40;CAV1;ICAM1;CASP8;LAMA1;DAG1;DMD;CCND1;MYH7;SGCD;RAC3
Retinol metabolism,-1.3504796269257044,0.08163265306122448,0.5496520084770253,ADH7;ALDH1A3;BCO1;ALDH1A2
Hippo signaling pathway,-1.350271100975565,0.07407407407407407,0.5199544416552865,CDH1;BMP5;WNT6;FZD10;BMP6;WNT7A;AJUBA;BIRC5;BBC3;TEAD3;CRB2;FAT4;SERPINE1;SOX2;YAP1;TEAD1;LLGL2;DCHS2;WNT7B;PARD6B;WWC1;BMPR1B;BMP7;WNT5B;BMP4;BIRC3;WNT9A;APC2;CCND2;WWTR1;BMPR1A;MYC;SMAD3;CCND1;DCHS1;RASSF1;AXIN1;TGFB2;WNT10B;SCRIB;WNT4;DLG5;CTNNA3;PPP2R1B;PPP2R2B;NKD2
Fanconi anemia pathway,-1.3417581288173575,0.11764705882352941,0.5184418114289996,EME1;RMI2;POLN;RAD51C;RAD51;BRCA1;UBE2T;SLX4;POLI;FAAP24;ATRIP;FANCE;REV3L;FANCB;FAN1;FANCA;FAAP100
NF-kappa B signaling pathway,-1.3339699643381941,0.029411764705882353,0.5233751945609134,EDA2R;EDAR;CARD14;TNFAIP3;CD40;ICAM1;VCAM1;RELB;EDARADD;NFKB1;TRADD;LCK;DDX58;LY96;TRAF2;MAP3K14;BCL10;BIRC3;PTGS2;LBP;ERC1;ZAP70
Th1 and Th2 cell differentiation,1.3261910576879337,0.11475409836065574,0.9498134109811402,GATA3;IL2RG;IL12RB1;DLL4;PRKCQ;RBPJL;IL12RB2;NFKBIA;PPP3R2
Alcoholism,1.3030072963520578,0.058823529411764705,1.0,SLC6A3;GRIN3B;H4C3;GNG8;ADORA2A;H3C15;SLC18A2;PPP1R1B;TH;H4C8;DDC;DRD2;GNG13;H2BC6;NPY;GNB3;GRIN2A
Glycosphingolipid biosynthesis,1.3024230518839268,0.125,0.9648505016746394,B3GNT3;B3GALT4;B3GNT5;B3GALT5;ST8SIA5;GCNT2;ST6GALNAC3;HEXB;GBGT1;B4GALT4;B4GALT1;ST3GAL4;FUT7;ST3GAL6;B3GALT1;B3GNT2
Systemic lupus erythematosus,1.3013001030694138,0.12698412698412698,0.9084525662265508,H4C3;H3C15;H4C8;C7;CD86;C1QC;C1QB;H2BC6;C3;C1QA;GRIN2A;H2AW;C2;C4B;H4C11;H2BC4
Cocaine addiction,1.2991454726049025,0.06779661016949153,0.8637481801295246,SLC6A3;GRIN3B;SLC18A2;PPP1R1B;TH;DDC;DRD2
Amphetamine addiction,1.2964567005943284,0.05,0.8304220327620983,SLC6A3;GRIN3B;SLC18A2;PPP1R1B;TH;DDC;PPP3R2
Vasopressin-regulated water reabsorption,-1.2933352337105164,0.125,0.6569694634428282,CREB3L4;CREB5;AVP;CREB3L3;CREB3L1;CREB1;DYNC1H1;DCTN1;ADCY3;PRKACB;DYNLL1
Cortisol synthesis and secretion,-1.2857858340245827,0.1,0.6662125403094481,CACNA1F;CREB3L4;LDLR;CREB5;CACNA1S;CREB3L3;NR0B1;POMC;CREB3L1;PLCB3;ADCY7;CACNA1G;ADCY8;CREB1;KCNK3;ADCY3;CACNA1H;GNA11;PRKACB;SCARB1;ITPR2;CACNA1I;ADCY5;PLCB1;AGT;ATF2
B cell receptor signaling pathway,1.2850465823350674,0.07462686567164178,0.8429026445995168,LILRA5;FCGR2B;CD22;CD72;NFKBIA;PPP3R2;VAV2;CARD11;DAPP1;VAV1;INPP5D;BLNK;LYN;PTPN6
AGE-RAGE signaling pathway in diabetic complications,-1.2675927896432202,0.08333333333333333,0.714657897732746,COL3A1;THBD;COL1A1;COL1A2;ICAM1;VCAM1;NOS3;SERPINE1;COL4A6;NFKB1;AGER;NOX4;VEGFA;JUN;PLCB3;STAT3;DIAPH1;STAT5B;SMAD3;CCND1;COL4A3;COL4A4;PLCD3;TGFB2;COL4A1;BCL2;MMP2;COL4A2;BAX;PLCE1;PLCD1;VEGFC;MAPK11
Inflammatory bowel disease,1.2673539459902774,0.22580645161290322,0.9064712083939958,GATA3;IL2RG;IL12RB1;FOXP3;IL23A;IL12RB2
Measles,-1.2608198057740787,0.0625,0.7108513463141274,HSPA1B;IL12A;HSPA1A;TNFAIP3;OAS3;BBC3;NFKB1;CASP8;APAF1;TRADD;IFNAR2;DDX58;JUN;IKBKE;STAT3;CCND2;STAT5B;CCND1;IRF9;MX1;MAVS;IFNAR1;TRAF3;JAK3;BCL2;HSPA2;BAX;BAD;TYK2;ADAR;EIF2S1
Mucin type O-glycan biosynthesis,1.2524959656394092,0.14545454545454545,0.9436216677544053,GALNT15;B3GNT3;ST6GALNAC2;GALNT12;ST6GALNAC3;GALNT4
Arrhythmogenic right ventricular cardiomyopathy,-1.248763850287239,0.09375,0.735357865330893,ITGA2;CACNA1F;ACTN3;CACNA1S;ITGA11;ITGA6;CACNB1;LMNA;ITGA4;LAMA1;ITGA7;DAG1;SLC8A2;DMD;CDH2;DSG2;SGCD;ITGA10;ITGB8
Pantothenate and CoA biosynthesis,1.244276714706465,0.2641509433962264,0.9478674345384521,GADL1;DPYS;UPB1;ENPP3
TGF-beta signaling pathway,-1.2438898228154787,0.06666666666666667,0.7304305943550717,BMP5;FMOD;BMP6;FST;NBL1;DCN;ACVR2B;ID3;THBS1;BMPR1B;BMP7;TGIF2;RBL1;BMP4;INHBB;BMPR1A;PITX2;MYC;SMAD3;RGMA;NOG
"Growth hormone synthesis, secretion and action",-1.243254157861875,0.1,0.7034856579698117,SOCS3;CACNA1F;CREB3L4;CREB5;CACNA1S;CREB3L3;IRS4;SHC3;CREB3L1;PLCB3;ADCY7;STAT3;SOCS1;SSTR5;STAT5B;GNAI2;SSTR1;ADCY8;RAF1;SOS2;CREB1;ADCY3;IGFBP3;GNA11;PRKACB;MAPK11;EP300;MTOR;ITPR2;CRKL;AKT1;SST;SHC1;SHC2;JAK2;IRS1;ADCY5;PLCB1;ATF2;GSK3B;PIK3R2;SSTR3;MAP2K2;PRKACA;GNAQ;CRK;MAP2K3;GHSR;MAP2K4;SSTR2;PRKCG;PIK3R3;ADCY6;MAP2K1
Spliceosome,-1.2362370161845866,0.13636363636363635,0.7100579049331578,HSPA1B;HSPA1A;DHX8;SRSF10;CTNNBL1;SRSF4;PPIL1;LSM3;SYF2;SART1;CCDC12;HSPA2;MAGOHB;DHX16;ACIN1;LSM8;RBM8A;HSPA8;SF3B2;CDC5L;PRPF6;DHX38;SF3A1;ALYREF;SF3B3;TXNL4A;PRPF40A;CWC15;DDX23;DDX42;LSM4;LSM5;SNW1;SNRNP27;PQBP1;AQR;U2AF2;DHX15;PRPF3;EFTUD2;LSM6;WBP11;XAB2;SNRNP200;PRPF18;USP39;SNRPD3;BCAS2;SRSF9;PRPF40B;PRPF8;HNRNPM;LSM7;RP9;SNRPB;SNRNP70;PCBP1;SF3A2;HNRNPA1;EIF4A3
Hedgehog signaling pathway,-1.2339276475782384,0.15789473684210525,0.6921642561272655,LRP2;GLI3;GAS1;PTCH1;SHH;DISP1;CCND2;CCND1;SMO;PTCH2;EVC2;KIF7;BCL2;SMURF1;GLI1;BOC;IQCE;PRKACB;SMURF2;CSNK1G2;CSNK1D;MEGF8;GPR161;CDON;GRK2;GSK3B;KIF3A
Human papillomavirus infection,-1.2337053616744407,0.01,0.6688113895080203,ITGA2;WNT6;COL6A2;LAMC2;FZD10;LAMA4;COL6A6;WNT7A;CREB3L4;MFNG;COL1A1;COL1A2;HEYL;COL9A1;CREB5;CCNA1;THBS2;COL6A5;THBS4;HES5;PDGFRB;ITGA11;NOTCH3;ITGA6;COL4A6;VTN;LLGL2;CREB3L3;NFKB1;ITGA4;TLR3;WNT7B;CASP8;NOTCH2;TRADD;LAMA1;PARD6B;THBS3;IFNAR2;THBS1;VEGFA;COL6A1;CREB3L1;WNT5B;RBL1;IKBKE;WNT9A;APC2;CCND2;ITGA7;LAMB2;PTGS2;HES7;HDAC1;CCND1;IRF9;PTGER4;COL4A3;MX1;COL4A4;ATP6V1C2;COL9A2;IFNAR1;CHD4;EGFR;RELN;RAF1;AXIN1;HES6;SOS2;CREB1;WNT10B;ITGA10;TRAF3;SCRIB;COL4A1;ITGB8;COL4A2;BAX;BAD;COL9A3;WNT4;TYK2;TADA3
Proteoglycans in cancer,-1.231362922816505,0.13793103448275862,0.6539832386089973,TWIST2;ITGA2;IGF2;WNT6;FZD10;SDC1;HSPG2;HSPB2;WNT7A;COL1A1;COL1A2;ESR1;DCN;CAV1;TWIST1;HPSE2;PTCH1;MET;KDR;TIMP3;SHH;VTN;WNT7B;GPC3;THBS1;ERBB2;VEGFA;WNT5B;ERBB3;WNT9A;STAT3;SRC;MYC;CCND1;MRAS;IQGAP1;EGFR;RAF1;SMO;SOS2;TGFB2;WNT10B;MMP2;WNT4;PLCE1;HIF1A;PPP1R12B;FLNA;TFAP4;PRKACB;MAPK11;MTOR;FLNB;ROCK2;ITPR2;ARHGEF12;AKT1;FLNC
Adherens junction,-1.230033360241282,0.06666666666666667,0.6377034967729506,CDH1;SNAI1;MET;ERBB2;TJP1;VCL;NECTIN1;AFDN;SRC;SMAD3;ACTN1;IQGAP1;EGFR;RAC3;CTNNA3;PTPRF;FYN;EP300;NECTIN3;BAIAP2;CSNK2A2;FGFR1;CTNNB1;FER
Mineral absorption,1.2231635519839983,0.15151515151515152,1.0,SLC34A3;SLC39A4;STEAP1;TRPV6;SLC6A19;FTH1;TRPM6
Primary bile acid biosynthesis,1.2181913537474696,0.25925925925925924,1.0,CH25H;CYP27A1;CYP39A1
Cytokine-cytokine receptor interaction,1.1930408095888287,0.125,1.0,IL20RB;IL2RG;IL12RB1;IFNLR1;IL31RA;TNFRSF13B;TNFSF9;IL25;CXCL10;IL16;IL17RE;NODAL;LTA;TNFRSF14;OSMR;CXCL5;CD70;IL23A;IL15RA;IL12RB2;IL1R2;IL27RA;IL3RA;CCR9;IL33;IL1R1;IL17RA;CCR10;LTB;CSF2RB;LIFR;BMP2;NGF;ACVR1C;CD27
DNA replication,-1.1925493535588414,0.23333333333333334,0.7848172141412195,FEN1;RFC5;POLE2;POLD1;MCM6;POLA1;PRIM2;POLD2;POLA2;LIG1;RNASEH2A;POLD3;POLE;RNASEH2C;POLE3;RPA3;MCM5
beta-Alanine metabolism,1.182818062308617,0.23728813559322035,1.0,GADL1;DPYS;CARNS1;UPB1;AOC3;ALDH3A1
Fatty acid degradation,-1.1725923115326844,0.2702702702702703,0.8501691610255333,ADH7;CPT1B;ALDH1B1;ACADM;ACADS;ACADVL;ALDH7A1;ACSL4;ACSBG1;ACAT2;ACSL6;HADHA;ACSL5
JAK-STAT signaling pathway,1.1663447588145952,0.15584415584415584,1.0,IL20RB;CDKN1A;IL2RG;IL12RB1;IFNLR1;OSMR;IL23A;IL15RA;IL12RB2;IL27RA;IL3RA;CSF2RB;LIFR;SOCS2;CISH
MicroRNAs in cancer,-1.1613926273350634,0.1111111111111111,0.8862061345104462,TRIM71;EFNA4;VIM;HDAC4;MET;PDGFRB;NOTCH3;PAK4;SOX4;TIMP3;MMP16;NFKB1;EFNA5;NOTCH2;THBS1;ERBB2;VEGFA;BRCA1;CDC25A;DNMT1;HMOX1;ZFPM2;ERBB3;STAT3;APC2;SOCS1;CCND2;DNMT3B;BCL2L2;PTGS2;MYC;HDAC1;CCND1;E2F2;BMF;RASSF1;EGFR;FGFR3;RAF1;SOS2;TGFB2;BCL2;SLC7A1;PDGFB;EFNA2;TNXB;EP300;MTOR;KIF23;CRKL;SHC1;NOTCH1;FSCN1;ZEB1;PDGFA;EFNA3;IRS1;FZD3;ZEB2;E2F3
Lipid and atherosclerosis,-1.1605718774264604,0.17857142857142858,0.8672850124540714,HSPA1B;IL12A;HSPA1A;PPARG;NCF4;CD40;LDLR;ICAM1;VCAM1;NOS3;HSPA5;TNFSF10;RXRG;NFKB1;AGER;CASP8;APAF1;LY96;TRAF2;JUN;PLCB3;IKBKE;MAP3K5;STAT3
"Glycine, serine and threonine metabolism",1.1602648167002938,0.2463768115942029,1.0,DAO;GAMT;GCAT;GNMT;AOC3;SHMT1;GATM;GLYCTK;PSAT1
Glycolysis / Gluconeogenesis,-1.1561385892038436,0.18181818181818182,0.862272420768712,ADH7;HKDC1;GCK;ALDH1B1;ALDH3B2;PGAM2;HK1;LDHA;ALDH7A1;ACSS1;ENO3;PGM2;PFKM;PKLR;GAPDH;PFKL
Thyroid hormone synthesis,1.1549208396495436,0.2459016393442623,1.0,ALB;TTR
Hepatitis C,1.1543606468106609,0.14705882352941177,1.0,CLDN14;CLDN7;CDKN1A;CLDN15;IRF7;OAS2;CXCL10;RSAD2;CLDN11;CLDN2;NFKBIA;CLDN19;CLDN1;CLDN23;MX2
alpha-Linolenic acid metabolism,1.1474175920510477,0.3389830508474576,1.0,PLA2G4F;PLA2G3
Endocrine and other factor-regulated calcium reabsorption,-1.1455335374824838,0.2,0.8994993452174841,ESR1;KL;PLCB3;ATP1A2;SLC8A2;ATP2B4;FXYD2;PRKACB;AP2A1;AP2M1;PLCB1;ATP1A1;PRKACA;GNAQ;CALB1;PRKCG;SLC8A3;ADCY6;AP2B1;ATP1B3;DNM1
Cholinergic synapse,1.1431273350220361,0.25,1.0,CHRNB4;CHRNA6;CHRNA3;GNG8;SLC18A3;CHAT;SLC5A7;GNG13;GNB3;CHRNA4
Aldosterone synthesis and secretion,-1.137683117090167,0.2,0.9092268770375028,CACNA1F;CREB3L4;LDLR;CREB5;CACNA1S;KCNJ5;CREB3L3;POMC;CREB3L1;ATF1;PLCB3;ADCY7;PDE2A;CACNA1G;ATP1A2;ATP2B4;ADCY8;CREB1;KCNK3;ADCY3;CACNA1H;DAGLA;GNA11;CAMK1;PRKACB;SCARB1;ITPR2;CAMK2G;PRKD3;CACNA1I;ADCY5;PLCB1;AGT;ATF2;ATP1A1
Viral protein interaction with cytokine and cytokine receptor,1.1285082514499307,0.3090909090909091,1.0,IL20RB;IL2RG;CXCL10;LTA;TNFRSF14;CXCL5;CCR9;CCR10
Non-homologous end-joining,-1.1224529341009124,0.3829787234042553,0.9582718921896266,FEN1
Parkinson disease,1.1131433048468082,0.17567567567567569,1.0,SLC6A3;ADORA2A;SLC18A2;TH;DUSP1;DRD2;COX6A2;COX8A;UBA7;COX5B;NDUFA12;UBC;COX7B;NDUFA4;NDUFC1;NDUFB4;ATF6;MCU;BCL2L1;KIF5B;TUBA8;COX5A;NDUFA1;NDUFA3;COX6A1;SLC25A5;UBA52;COX6B1;COX6C;COX7A2;PSMB2;NDUFB2;PINK1;UQCR10;UQCRB;UQCRH;NDUFS5;NDUFS3;COX6B2;UQCR11;PSMA8;GNAL;NDUFV2;UBE2J2;TUBB4A;NDUFAB1;NDUFA11;GPR37;RPS27A;TUBA1A;NDUFB9;NDUFS6;ATP5PB;NDUFA6
Peroxisome,1.1064920189912748,0.23880597014925373,1.0,XDH;DAO;NUDT7;PEX10;MPV17L2;GSTK1;EHHADH;PEX3;PEX5L;PEX2;HACL1;FAR2;PXMP2;MPV17;EPHX2;PECR;PRDX5;PEX16;SLC27A2;PEX12;PEX13;ABCD4;AGPS;CAT;ECI2;DHRS4;ACOX3;PXMP4
Prolactin signaling pathway,-1.0939984699759855,0.28125,1.0,SOCS3;ESR1;GCK;PRLR;NFKB1;SHC3;STAT3;SOCS1;CCND2;STAT5B;SRC;CCND1;ESR2;RAF1;SOS2;MAPK11;SOCS7;AKT1;SHC1;SOCS4;SHC2;JAK2;IRF1;GSK3B;PIK3R2;MAP2K2
Leukocyte transendothelial migration,1.0865090826515622,0.265625,1.0,CLDN14;CLDN7;CLDN15;MYL2;CLDN11;CLDN2;NCF1;VAV2;CLDN19;CLDN1;CLDN23;VAV1;RHOH;ITGAM;RAPGEF4;MYLPF;ESAM;CTNND1;PTK2B;MYL12B
GnRH secretion,-1.085631158542939,0.2682926829268293,1.0,GNRH1;CACNA1F;KCNN4;CACNA1S;KCNJ5;TRPC5;PLCB3;KISS1R;CACNA1G;ESR2;KCNJ9;RAF1;TRPC4;CACNA1H;GNA11;ITPR2;AKT1;CACNA1I;PLCB1;PIK3R2;MAP2K2;GNAQ;ARRB1;KCNJ6;PRKCG;PIK3R3;MAP2K1
Terpenoid backbone biosynthesis,-1.085215183661614,0.29411764705882354,1.0,FDPS;IDI1;MVD;HMGCS1;HMGCR;MVK
Relaxin signaling pathway,-1.0848753775068551,0.25806451612903225,1.0,COL3A1;NOS2;CREB3L4;RLN1;COL1A1;COL1A2;CREB5;NOS3;EDNRB;GNGT2;COL4A6;CREB3L3;NFKB1;VEGFA;SHC3;JUN;CREB3L1;PLCB3;ADCY7;RXFP3;RXFP1;SRC;GNAI2;COL4A3;COL4A4;ADCY8;EGFR;RAF1;SOS2;CREB1;COL4A1;MMP2;COL4A2;NOS1;ADCY3;GNG10;VEGFC;PRKACB;MAPK11;GNG2
Arginine biosynthesis,-1.0827047153515597,0.3888888888888889,1.0,ARG2;NOS2;NAGS;GOT1L1;NOS3
Metabolism of xenobiotics by cytochrome P450,-1.0819008401168342,0.2682926829268293,1.0,ADH7;CYP2E1;GSTM2
Cell adhesion molecules,1.0689902790935244,0.38461538461538464,1.0,CLDN14;CLDN7;MADCAM1;CDH3;CLDN15;CD22;CLDN11;CLDN2;CD86;CLDN19;CDH15;CLDN1;CLDN23;MAG;ITGAV;NTNG2;ITGB7;CD34;ITGAM
Vascular smooth muscle contraction,1.0644068770355402,0.36231884057971014,1.0,ADORA2A;PLA2G4F;PLA2G3;MYLK4;EDN1;PRKCD;PRKCQ;RAMP2;NPR1;PPP1R14A;EDN3;ADM;KCNMB4;KCNMA1;KCNMB1;KCNMB2
Axon guidance,-1.0621540792585162,0.2727272727272727,1.0,ILK;NRP1;EFNA4;EPHB3;CXCR4;PTCH1;MET;PAK4;EPHB2;EFNB1;SEMA3B;SHH;EFNA5;SEMA4A;SLIT1;PLXNB2;TRPC5;RND1;PARD6B;BMPR1B;ABLIM3;PLXNA1;BMP7;WNT5B;SEMA6B;EPHA1;SRC;GNAI2;PAK6;SEMA4F;RGMA;EFNB2;UNC5D;PAK3;RAF1;EPHA2;SMO;RAC3;TRPC4;RASA1;PLXNB1;WNT4;EPHA6;BOC;UNC5A;NCK1;EFNA2;SEMA4C;SEMA6D;FYN;SEMA3A;ROCK2;ARHGEF12;SRGAP3;SLIT2;L1CAM;CAMK2G;PLXNC1;PAK2;SSH3;EFNA3;LRRC4;SEMA4B;FZD3
Staphylococcus aureus infection,1.0602826383072632,0.4098360655737705,1.0,CFB;FCGR2B;C1QC;C1QB;KRT20;C3;KRT25;C5AR1;KRT12;C3AR1;C1QA;MASP2;KRT10;ITGAM;C2;C4B
PPAR signaling pathway,1.0601518793532456,0.41509433962264153,1.0,PLIN4;APOA2;APOA1;HMGCS2;LPL;ANGPTL4;CYP27A1
African trypanosomiasis,-1.059829862563293,0.3953488372093023,1.0,IL12A;LAMA4;ICAM1;VCAM1
Cytosolic DNA-sensing pathway,1.05858274293764,0.390625,1.0,IRF7;ZBP1;CXCL10;RIPK3;NFKBIA;IL33
Fat digestion and absorption,1.0465530280953002,0.45454545454545453,1.0,APOA1;PLA2G3;AGPAT2
Fc epsilon RI signaling pathway,1.0427445344098587,0.4262295081967213,1.0,PLA2G4F;FCER1G;VAV2;VAV1;INPP5D;MAP2K6;LYN;LAT;ALOX5;VAV3;ALOX5AP
