Term,NES,NOM p-val,FDR q-val,Lead_genes
Myc Targets V1,-1.8324779823262274,0.01,0.01,VBP1;XPO1;CCNA2;SRSF7;PTGES3;SRSF3;TRA2B;SYNCRIP;NDUFAB1;HNRNPA2B1;HSPE1;SRSF1;MAD2L1;TFDP1;ERH;NOP16;FBL;SET;AP3S1;DEK;RPS10;SRSF2;NAP1L1;CDC45;YWHAQ;NME1;SNRPB2;ACP1;CBX3;RFC4;ORC2;CNBP;RPL14;CCT4;EIF2S1;CANX;TARDBP;HNRNPU;HNRNPA1;USP1;PSMB3;MCM6;RAN;EIF4E;CCT7;CCT3;HNRNPC;RPS5;SLC25A3;PSMC6;CSTF2;PGK1;TXNL4A;COPS5;LDHA;SNRPG;IFRD1;SRPK1;PSMA6;SERBP1;HDAC2;UBE2L3;RSL1D1;PRDX3;TCP1;H2AZ1;PSMA1;EXOSC7;VDAC3;EIF1AX;ETF1;COX5A;HNRNPR;HSPD1;RPL6;PRPS2;RPL22;HNRNPA3;NCBP2;PSMD14;EIF2S2;PSMA2;PHB;CCT5;TRIM28;EIF4G2;UBA2;HNRNPD;CLNS1A;GNL3;RPS3;SNRPA1;STARD7;MRPL9;PRDX4;CCT2;CUL1;SSB;G3BP1;RAD23B;U2AF1;PSMA7;NPM1;CDK2
E2F Targets,-1.6203501024935882,0.01,0.016955538809344386,UBE2T;CCNB2;BIRC5;CHEK1;XPO1;RAD51AP1;ATAD2;RRM2;TRA2B;SYNCRIP;RAD51C;SPC24;HELLS;CHEK2;DIAPH3;SRSF1;MAD2L1;LMNB1;CDCA8;EED;BUB1B;DONSON;RPA3;DEK;BRCA2;POLD1;NUDT21;CKS1B;SRSF2;NAP1L1;RAD1;PLK1;MMS22L;RACGAP1;TRIP13;RFC3;PLK4;TMPO;NME1;BRCA1;JPT1;LUC7L3;SLBP;ORC6;ORC2;IPO7;CDKN1B;GINS1;CSE1L;PSMC3IP;PHF5A;STAG1;EIF2S1;WEE1;ZW10;EXOSC8;CDKN1A;USP1;RPA2;MCM6;EZH2;SMC4;RAN;SUV39H1;POLE4;PRPS1;PSIP1;UBR7;POLE;RBBP7;CDC25A;LBR;TK1;DCK;RFC2;CCP110;WDR90;BRMS1L;UNG;H2AZ1;POLD3
G2-M Checkpoint,-1.490595077624404,0.01,0.0828937452901281,STIL;CCNB2;MARCKS;BIRC5;DBF4;CHEK1;XPO1;CCNA2;SRSF10;TRA2B;SYNCRIP;NUSAP1;DR1;KIF23;CDC7;SRSF1;MAD2L1;HIRA;TFDP1;KIF15;MTF2;SFPQ;LMNB1;CDC6;RBL1;BRCA2;CUL5;CKS1B;SRSF2;EFNA5;CBX1;PLK1;KATNA1;RACGAP1;CDC45;PLK4;TMPO;YTHDC1;TOP1;KIF20B;JPT1;CCNF;PRPF4B;ORC6;MNAT1;CDKN1B;RAD54L;STAG1;CENPF;HNRNPU;ORC5;RPA2;FANCC;MCM6;EZH2;SAP30;SQLE;SMC4;SUV39H1;SMC2
Interferon Alpha Response,-1.3923271525251248,0.02,0.18933685003767897,CXCL10;CCRL2;TRIM5;PROCR;TENT5A;IL15;TMEM140;GBP4;PSMB9;SAMD9L;IRF9;IFI44;BST2;IFI27;CASP1;PNPT1;HERC6;IFITM2;TRIM21;ISG15;PSME1;RTP4;LPAR6;UBE2L6;PSME2;IFITM3;PARP14;IFIH1;PSMA3;GBP2;LAP3;CASP8;PSMB8;MOV10;CD47;RSAD2;TRIM25;USP18;RIPK2;PARP12;TXNIP
mTORC1 Signaling,-1.3660493165900225,0.021739130434782608,0.19216277317256972,UBE2D3;SERPINH1;SDF2L1;IDI1;RRM2;P4HA1;CACYBP;AK4;SERP1;DDIT4;HSPE1;HSPA5;HMGCS1;GMPS;STC1;TRIB3;STARD4;PLK1;UCHL5;PLOD2;XBP1;SLC7A11;GGA2;ELOVL5;CCNF;SEC11A;PNP;SSR1;RAB1A;NFIL3;CANX;CORO1A;SC5D;CDKN1A;PSPH;IDH1;ACTR3;PRDX1;SQLE;MAP2K3;PSMD13;ACTR2;QDPR;CFP;NUFIP1;PSMC6;INSIG1;PGK1;TM7SF2;COPS5;CDC25A;LDHA;PSMD12;EEF1E1;CTSC;FGL2;IFRD1;ME1;PSMB5;PSMA3;SKAP2;EDEM1;CCT6A;PIK3R3;TCEA1;PITPNB;UNG;ETF1;HSPD1;ARPC5L;DHFR;PSMD14;CALR;CD9;MTHFD2L;EIF2S2;HSP90B1;DDIT3;GSR;TXNRD1
Myogenesis,1.3217814470655125,0.0392156862745098,1.0,MYH1;MB;CASQ1;COX6A2;ANKRD2;TNNT1;SPHK1;ADCY9;NOTCH1;TNNI1;SGCD;SORBS1;ATP2A1;MYL2;PVALB;MYH2;TPM2;FXYD1;SPDEF;PGAM2;LAMA2;DES;DAPK2;BDKRB2;PYGM;SSPN;APOD;SMTN;SCHIP1;NAV2;CDH13;ITGB4;ACSL1;LARGE1;IGFBP7;LSP1;SPTAN1;SLC6A8;MYH4;BHLHE40;FKBP1B;SLN;GSN;TEAD4;SVIL;FABP3;KCNH2;SORBS3;AGL;MEF2D
Pperoxisome,1.2301604421035275,0.13333333333333333,1.0,ALB;TTR
TNF-alpha Signaling via NF-kB,-1.2009958964224063,0.17777777777777778,0.661266013564431,CXCL10;MAFF;DUSP2;CCRL2;FOSL2;MARCKS;NR4A3;MSC;SGK1;SAT1;PNRC1;CEBPD;DRAM1;EGR3;ATF3;SOCS3;BTG3;FOSB;RELB;DNAJB4;BTG1;ZBTB10;GADD45A;VEGFA;PTGS2;CCNL1;TRAF1;SERPINE1;PHLDA1;TNFAIP8;LAMB3;NFKBIA;INHBA;ACKR3;EIF1;PANX1;GEM;BIRC2;DUSP5;NFIL3;IL18;ETS2;REL;CDKN1A;PTGER4;MCL1;MAP2K3;PFKFB3;CLCF1;JAG1;TIPARP
Hypoxia,-1.180728494879014,0.12962962962962962,0.6636882333943374,CCN5;LOX;MAFF;FOSL2;SRPX;BRS3;STC2;B4GALNT2;P4HA1;PNRC1;ATF3;AK4;DDIT4;CAV1;BTG1;HSPA5;WSB1;STC1;VEGFA;UGP2;GPC4;COL5A1;P4HA2;SERPINE1;TMEM45A;SDC2;VHL;SIAH2;CCNG2;RBPJ;STBD1;CITED2;ACKR3;INHA;CDKN1B;TPD52;NFIL3;GPC3;B3GALT6;PLIN2;CDKN1A;JMJD6;DPYSL4;BCL2;SAP30;PFKFB3;NOCT;PPP1R3C;TIPARP;TPBG
DNA Repair,-1.179641166414037,0.1791044776119403,0.5863790504898267,PDE6G;SRSF6;GSDME;COX17;RPA3;TMED2;POLD1;NUDT21;FEN1;CCNO;GTF2A2;RFC3;UMPS;CSTF3;NME1;POLR1C;RFC4;RALA;PNP;MPC2;SDCBP;RAD51;ITPA;RRM2B;ARL6IP1;UPF3B;PRIM1;TAF9;TSG101;CETN2;RPA2;GMPR2;POLR2H;AGO4;RFC5;POLE4;SMAD5;RAD52;CDA;RBX1;POLH;ZWINT;APRT;EIF1B;RFC2;ERCC2;NELFCD;POLD3;BOLA2;TARBP2;NCBP2;NELFB;POLR2G;BCAP31;STX3;LIG1;ADCY6;GUK1;RNMT;DCTN4
