Term,NES,NOM p-val,FDR q-val,Lead_genes
Vascular smooth muscle contraction,1.8409822191056726,0.01,0.13298240753566978,PLA2G4F;MYLK4;GUCY1A2;ADCY1;PRKCQ;PRKCD;ADRA1D;NPR1;CALML4;ADRA1A;ADCY9;ADM;KCNMA1;CACNA1S;NPPA;KCNMB1;PRKCH;ADRA1B;KCNMB2;PPP1R14A;PLCB2;ITPR1;PRKCG;ARHGEF12;RAMP3;PLCB4;ITPR2;CACNA1C;CALM3;ARHGEF11;ADORA2B;PLA2G3;PRKCB;MYH14;MYH10;GUCY1A1
Salivary secretion,1.796211691842301,0.01,0.13298240753566978,GUCY1A2;ADCY1;ADRA1D;CALML4;ADRA1A;ADCY9;ATP2B3;KCNMA1;ATP2B2;ADRA1B;PLCB2;SLC9A1;ADRB2;ATP1B2;ITPR1;PRKCG;PLCB4;ITPR2;CALM3;PRKCB;LPO;GUCY1A1;ADCY3;ATP1A3
Cholinergic synapse,1.743354855216141,0.01,0.18174262363208202,CHRNB4;GNG8;CHRNA3;CHRNA6;CHAT;ADCY1;SLC18A3;KCNJ6;ADCY9;CHRNA4;SLC5A7;CACNA1S;CHRM5;CAMK4;CHRNA7;PLCB2;ITPR1;PRKCG;CAMK2A;KCNJ12;PLCB4;ITPR2;CACNA1C;CHRNB2;CACNA1A
Nicotine addiction,1.7331985147144584,0.01,0.15292976866602023,SLC17A7;CHRNA6;GABRB2;CHRNA4;GABRD;GRIN2B;GRIN3B;CHRNA7;SLC17A8;GRIN1;GRIN3A;CHRNB2;CACNA1A
Tyrosine metabolism,1.6720995343064438,0.01,0.2127718520570716,TYRP1;TH;ALDH3A1;DCT;AOC3;DDC;ALDH3B1;MAOB;AOX1;COMT
Carbohydrate digestion and absorption,1.6399153927017291,0.01,0.25045020085884473,LCT;PLCB2;ATP1B2;PLCB4;HK1;SLC2A5;PRKCB;PIK3CD;ATP1A3;HK3;AKT3
Synaptic vesicle cycle,1.6250489076445214,0.01,0.23746858488512457,SLC6A4;SLC17A7;SLC6A3;SLC18A3;CPLX3;CPLX1;UNC13C;SLC17A8;ATP6V1G2;STX1B;CACNA1A;SLC6A11;RIMS1;ATP6V0A1;DNM1;SYT1;STXBP1;SLC6A9;CPLX2;NSF;DNM3;AP2A1;AP2B1;DNM2;VAMP2;ATP6V0E2;SLC18A2;CACNA1B
Inflammatory bowel disease,1.6205114950370703,0.01,0.21110957196287577,IL23A;GATA3;IL12RB2;NOD2;IL12RB1;FOXP3;TLR5;RORA
Glutamatergic synapse,1.6150052876218277,0.01,0.20095119360945654,PLA2G4F;GNG8;SLC17A7;ADCY1;ADCY9;SHANK3;GRIN2B;GRIN3B;GRM2;SHANK1;PLCB2;GRM3;DLGAP1;ITPR1;PRKCG;SLC17A8;GRM4;HOMER2;SHANK2;GRIN1;GRIK3;PLCB4;ITPR2;GRIN3A;CACNA1C;CACNA1A;PRKCB;GRM1;ADCY3;GRIN2D;GRIK4;ADCY2;GLUL;CACNA1D;DLG4;HOMER3;PPP3CC;GRIN2C;PRKCA;GNAO1;MAPK3
Thyroid hormone synthesis,1.614035582514577,0.01,0.18351572239922428,ALB;DUOX2;ADCY1;TTR;ADCY9;TSHR;PLCB2;ATP1B2;ITPR1;PRKCG;PLCB4;ITPR2;SLC26A4
