Term,NES,NOM p-val,FDR q-val,Lead_genes
Xenobiotic Metabolism,2.2459185795290844,0.01,0.01,FETUB;FABP1;G6PC;CYP2E1;CRP;HSD17B2;PLG;CYP1A2;IGFBP1;HRG;FBP1;TAT;HNF4A;CD36;RETSAT;PTGDS;GNMT;ITIH4;ARG1;CDA;RBP4;ENPEP;FBLN1;ITIH1;HGFAC;VNN1;SLC6A12;FMO3;PEMT;PDLIM5;NDRG2;DDC;PROS1;EPHX1;ALDH3A1;ATOH8;PYCR1;DCXR;CFB;HSD11B1
Pancreas Beta Cells,2.126548064466453,0.01,0.01,FOXA2;SLC2A2;VDR;DPP4;NKX6-1;PAX6;SST
Coagulation,1.912763746719181,0.01,0.01,F9;F2;CFI;KLK8;PLG;SERPINC1;DPP4;SERPINA1;FGA;PROC;HRG;HNF4A;C9;APOC2;COMP;HPN;LEFTY2;TMPRSS6;APOC3;ITIH1;TIMP1;APOC1;FGG;THBS1;THBD;MST1;C8A;CFH;PROS1;PLEK;APOA1;CFB;HMGCS2;GNG12;TFPI2;MMP2;SPARC;FN1;CLU;A2M;MMP14;TIMP3;SERPING1;GDA
Fatty Acid Metabolism,1.6778135214745125,0.01,0.01,FABP1;HAO2;CD36;RETSAT;VNN1;EHHADH;ALDH1A1;EPHX1;ALDH3A1;S100A10;SUCLG2;TP53INP2;CPT1A;CCDC58;PRDX6;HMGCS2;ECI2;UROS;ACO2;ECHS1;IDI1;ACAA2;DHCR24;APEX1;ACADS;ECI1;HADHB;HSD17B10;BMPR1B;SDHC;LTC4S;ACSS1;HPGD;IDH1;CRAT;ECH1;HSD17B4;D2HGDH;PTPRG;PTS;BPHL;CPT2;DECR1;SMS;FASN;GAD2;GLUL;ACAT2;BCKDHB;ACOX1;ODC1;ACSM3;IDH3B;ME1;ADIPOR2;ELOVL5;SUCLA2;SDHA;HSDL2;MLYCD;HIBCH;HCCS;ALDH9A1
Oxidative Phosphorylation,1.6580937370040614,0.01,0.01,RETSAT;BDH2;GLUD1;CPT1A;ETFA;ALDH6A1;PDHX;ACO2;OGDH;ECHS1;ACAA2;NDUFB8;ECI1;NNT;HADHB;HSD17B10;SDHC;GRPEL1;OAT;UQCR10;IDH1;MAOB;BCKDHA;ECH1;COX6C;ISCA1;NDUFS6;NDUFA8;MPC1;DECR1;NDUFS1;UQCRC2;GPX4;CYB5A;SLC25A5;ATP6V0E1;MGST3;NDUFS8;CYB5R3;COX11;ISCU;NDUFB2;IDH3B;PHB2;ATP6V1E1;UQCRC1;HSPA9;ATP6V1F;ATP6V1D;SUCLA2;SDHA;SLC25A11;PRDX3;SLC25A4;COX7B;HCCS;MRPS15;NDUFV2;DLD;NDUFA4;TIMM9;ATP6AP1;COX6A1;NDUFA9;COX7C;BAX;TOMM70;SUCLG1;IDH2;MFN2;SLC25A3;CYCS;LDHA;NDUFA5;IMMT;COX4I1;COX10;IDH3A;NDUFS4;CYC1;ETFDH;ATP6V0B;COX7A2L;FH;UQCRQ;HADHA;NDUFV1;COX5B;NDUFA7;NDUFA2;NDUFA6;COX6B1;TOMM22;POR;PHYH;MTRR;ATP6V1H;ACADM;TIMM8B;MRPS22;GOT2;MRPL15;VDAC2;RHOT1;NDUFB6;NDUFS3;ABCB7;DLAT;ATP6V1C1;NDUFB5;IDH3G;FXN;SDHD;CS;AIFM1;MDH2;PDHA1;COX5A;NDUFAB1;OXA1L
Bile Acid Metabolism,1.5068648452907172,0.01,0.025384615384615387,AKR1D1;GC;SULT1B1;RETSAT;CH25H;GNMT;ABCA1;BBOX1;BMP6;ALDH1A1;GSTK1;PEX11G;APOA1;EPHX2;ABCA4;FADS2;NR3C2;PIPOX;FADS1;ISOC1;TTR;IDI1;PNPLA8;DHCR24;ABCD2;SLC22A18;PAOX;IDH1;SLC35B2;PXMP2;SCP2;HSD17B4;GCLM;PFKM
KRAS Signaling Dn,1.3786194519669683,0.01,0.10153846153846154,FSHB;SLC6A3;KRT4;CACNG1;KLK8;CLDN8;PTGFR;ATP4A;NPHS1;PNMT;ABCB11;MX1;MSH5;SHOX2;SMPX;PROP1;KRT1
Complement,1.3143651697407048,0.01,0.17769230769230768,F2;PLG;CR2;SERPINC1;DPP4;SERPINA1;HNF4A;CD36;C9;CCL5;CDA;TMPRSS6;GATA3;ITIH1;TIMP1;APOC1;GNGT2;DUSP5;PCSK9;PLA2G7;CFH;TNFAIP3;DGKG;ZFPM2;PLEK;HPCAL4;GMFB;CFB;CP;TFPI2;PLSCR1;CXCL1;FN1;CLU;LYN;CDK5R1;C1QC;MMP14;LAP3;PLA2G4A;ANXA5;SERPING1;EHD1;GNAI3;GNAI2
Pperoxisome,1.296794041791915,0.05263157894736842,0.18051282051282053,HAO2;ALB;RETSAT;EHHADH;ALDH1A1;CRABP2;GSTK1;EPHX2;ESR2;ECI2;FADS1;ISOC1;TTR;PRDX1;IDI1;DHCR24;ABCD2;ERCC3;PEX2;SLC25A17;IDH1;SLC35B2;DHRS3;CRAT;ECH1;SCP2;HSD17B4;CDK7;ITGB1BP1;SEMA3C;ACOX1;GNPAT;PRDX5;DLG4;ELOVL5;CAT;FIS1;SLC25A4;MLYCD;ALDH9A1;SOD2
TGF-beta Signaling,1.2639569681576786,0.2,0.23353846153846153,CDH1;LEFTY2;THBS1;WWTR1;TGIF1;TGFB1;SMAD6;BMPR1A;SMAD3;HIPK2;ACVR1;PPP1CA;RAB31
