Term,NES,NOM p-val,FDR q-val,Lead_genes
Complement and coagulation cascades,2.052755224799996,0.01,0.025299375948726596,F9;C4BPA;FGB;F2;KNG1;CFI;PLG;CR2;SERPINC1;SERPINA1;FGA;PROC;C9;C7;F13A1;MASP1;FGG;THBD;C8A;CFH;PROS1;PROCR;CFB;ITGB2;C5AR1;TFPI
Prolactin signaling pathway,-2.017598964336075,0.01,0.10799726589200274,PRL
JAK-STAT signaling pathway,-1.9388599175144372,0.01,0.11117365606529693,PRL;IL12RB1;GH1
Metabolism of xenobiotics by cytochrome P450,1.7196952245704644,0.01,0.27829313543599254,CYP2E1;GSTA5;GSTA2;CYP1A2;GSTM2;GSTA1;GSTK1;UGT1A6;EPHX1;ALDH3A1;AKR7A3;HSD11B1;UGT1A1;UGT1A9;UGT1A3;UGT1A5;UGT1A8
Primary bile acid biosynthesis,1.663488528855592,0.01,0.29515938606847697,AKR1D1;CH25H
Phenylalanine metabolism,1.6460955654862086,0.01,0.24034407151290266,GLYAT;GOT1L1;TAT;HPD;DDC;ALDH3A1
Cholesterol metabolism,1.6375317044146747,0.038461538461538464,0.19733513240006748,ANGPTL8;APOH;APOB;APOA2;CD36;APOC2;ABCB11;ABCA1;APOC3;APOC1;PCSK9;MYLIP;APOA1
Maturity onset diabetes of the young,1.599505194854113,0.03225806451612903,0.2487771968291449,FOXA2;SLC2A2;HNF4A;NKX6-1;HNF1B;PAX6
Ubiquinone and other terpenoid-quinone biosynthesis,1.59656211163394,0.03125,0.21685179384622796,TAT;HPD
Retinol metabolism,1.5963840462770846,0.07407407407407407,0.18974531961544946,CYP26C1;CYP1A2;DHRS9;CYP26B1;RETSAT;BCO1;RDH5;ALDH1A1;ALDH1A2;UGT1A6;UGT1A1;UGT1A9;UGT1A3;UGT1A5;UGT1A8
PPAR signaling pathway,1.5769423660614543,0.01,0.20801709113397426,FABP1;APOA2;PCK1;CD36;PLIN5;APOC3;FABP4;EHHADH;ADIPOQ;APOA1;CPT1A;SCD;FADS2;ACSBG1;HMGCS2
Arginine biosynthesis,1.5736444289761624,0.0625,0.1897453196154495,GOT1L1;ARG1;CPS1;NOS1;GLUD1;NAGS;OTC;GLS2;ARG2;GPT2
PI3K-Akt signaling pathway,-1.571851151303775,0.01020408163265306,0.5124576146247973,PRL;CREB3L4;FGF20;GH1;COL2A1;LAMC2;FASLG;COL6A6;CDK6;FGF3;PRLR;FGFR4;FGF16;FGF7;IL2;LAMA3;COL4A2;COL9A2;COL9A1;COL6A5;FGF2;NTRK1;COL4A3;NGFR;GNGT1;NR4A1;COL4A1;MTCP1;ITGA4;FGF10;THBS3;ITGA10;COL4A4;PHLPP2;IL3RA;ITGA2;RPS6KB2;COL9A3;PIK3R5;GNB3;ITGA8;LAMA5
