Term,NES,NOM p-val,FDR q-val,Lead_genes
Coagulation,-1.968032587418557,0.01,0.15379786566227244,HRG;KLK8;SERPINC1;C8A;APOC2;APOC3;F9;F2;FGG;DCT;FGA;F2RL2;MEP1A;C9;ITIH1;TMPRSS6;DUSP6;PLG;ANG;PF4;PLAU;F3;DUSP14;F10;PROC;S100A13;MASP2;CD9;GSN;HPN;RGN;S100A1;CTSE;TF;PLEK
Xenobiotic Metabolism,-1.7870952325372271,0.029850746268656716,0.22520401757689895,HRG;FABP1;CYP2E1;CRP;CYP1A2;FETUB;HSD17B2;CYP26A1;ITIH4;TAT;FBP1;G6PC;UPB1;ITIH1
Pancreas Beta Cells,1.7111532964177665,0.022727272727272728,0.03307607497243661,FOXA2;SLC2A2;NKX6-1
KRAS Signaling Dn,-1.6021092353611182,0.03125,0.3149194392132245,FSHB;KLK8;TSHB;SHOX2;SMPX;CLDN8;UGT2B17;CYP11B2;PROP1;SLC30A3;CACNG1;EDN2;C5;NR4A2;KRT13;FGF16;BARD1;BTG2;PCDHB1;LGALS7;HSD11B2
Bile Acid Metabolism,-1.5748458339150926,0.015625,0.2718926553672317,GC;AKR1D1;SLC23A1;NR0B2;NR1I2;SULT1B1;DIO2;DIO1;BBOX1;GNMT;KLF1;ALDH8A1;CYP39A1;SULT2B1;RBP1
Epithelial Mesenchymal Transition,1.564640356769357,0.01,0.03307607497243661,MATN3;FOXC2;SGCD;COL8A2;COMP;ACTA2;FSTL3;SFRP1;FMOD;CXCL1;TGFBR3;COL5A1;COL12A1;MFAP5;FLNA;FBLN1;NNMT;COL11A1;TAGLN;PCOLCE2;PTHLH;THBS2;MYLK;CXCL6;LOXL1;COL3A1;ELN;EMP3;ADAM12;BGN;MYL9;DPYSL3;PCOLCE;COL1A2;TPM2;FN1;DAB2;DCN;MMP3;FGF2;SLIT3;COL6A2;TNFAIP3;COL1A1;SERPINE1;THBS1;CALD1;SFRP4;LAMA2;ITGA5;LOXL2;INHBA;PDGFRB;LRRC15;TIMP3;PRRX1;ECM1;PLOD2;COL4A2;LUM;LRP1;GLIPR1;FBN1
Complement,-1.4337958203410588,0.015873015873015872,0.4020715630885123,SERPINC1;APOA4;F2;CR2;C9;PRKCD;ITIH1;LTF;TMPRSS6;DUSP6;S100A9;PLG;ANG;PLAUR;F5;LGALS3;HSPA1A;DUSP5;GNGT2;F3;F10;GZMK;WAS;KCNIP3;MT3;PDP1;S100A13;DYRK2
TNF-alpha Signaling via NF-kB,-1.432547432577792,0.05084745762711865,0.33505963590709353,SERPINB8;EGR2;PHLDA2;NR4A2;TNFRSF9;AREG;NR4A1;BTG2;NR4A3;CCRL2;TNFSF9;DUSP1;FOS;IL1B;NFIL3;CXCL11;PLAUR;ATF3;SOCS3;PLAU;G0S2;IER2;DUSP5;KLF10;IER5;F3;EDN1;JUNB;IL18;CXCL10;F2RL1;EGR1;EFNA1;LITAF;GEM;CDKN1A;KLF4;TRAF1;CEBPD;HBEGF;ID2;GADD45B;JUN;ZFP36;PLEK
Hedgehog Signaling,1.353173001850875,0.12121212121212122,0.19294377067254684,NKX6-1;PTCH1;NF1;HEY1;SLIT1;CDK5R1;ACHE;GLI1;NRP2;CDK6;SCG2;L1CAM;SHH;ETS2;OPHN1
Oxidative Phosphorylation,-1.3490371861732933,0.1,0.40489642184557434,PDP1;MGST3;COX7A2;TIMM13;COX7C;UQCR11;NDUFB7;NDUFB2;UQCRH;UQCR10;TIMM8B;COX6B1;COX7B;MRPS12;MRPL34;COX4I1;FXN;ATP6V0B;NDUFB1;NDUFA4;COX6C;NDUFB3;GPX4;UQCRFS1;SLC25A20;NDUFC1;HSD17B10;POLR2F;NDUFA1;MPC1;COX6A1;NDUFA7;NDUFB4;NDUFA2;MRPS11;NDUFA3;NDUFB8;UQCRQ;NDUFA6;SLC25A6;NDUFS3;MAOB;COX17;NDUFV2;ECHS1;CYCS;NDUFS6;DECR1;COX8A;NDUFB5;NDUFAB1;NDUFC2;FDX1;ATP6V0C;ETFA;LDHB;COX7A2L;MTX2;FH;SDHD;TIMM17A;COX5B;NDUFS8;NDUFS2;MRPS22;COX5A;TIMM10;SDHC;MRPL35;CYB5A;NDUFA8;NDUFA9;NDUFB6;TIMM50;MRPL15;NDUFS4;ECI1;MDH1;SUCLG1;IDH2;ETFB;UQCRB;SLC25A4;VDAC3;ATP6V0E1;MRPS15;ECH1;ATP6V1G1;ACADVL;SDHB;ATP6V1E1;ATP6V1F;NDUFS7;MRPS30;GRPEL1;CYC1;SURF1;VDAC2;NDUFA5;NDUFV1;ACAA1;SLC25A5;NQO2;ACADM;UQCRC2;TOMM22;MDH2;ATP1B1;ALAS1;BCKDHA;VDAC1;BAX;ACAA2;ATP6V1H;UQCRC1;PDHA1;ATP6V1D;PRDX3;SLC25A3
