Term,NES,NOM p-val,FDR q-val,Lead_genes
Complement and coagulation cascades,-2.085235289609505,0.01,0.2685296365025652,SERPINC1;C8A;FGB;F9;KNG1;F2;FGG;FGA;CR2;F2RL2;C5;C9;PLG;PLAUR;F5;PLAU;SERPINF2;F3;F10;SERPIND1;PROC
Ribosome,-2.079686335527598,0.01,0.13874031219299202,RPS25;RPL26;RPL3L;RPS12;RPS10;RPS28;RPL10L;RPL28;RPL38;RPL21;MRPL27;RPS19;RPL34;RPL37;RPS14;RPS24;RPS15A;RPS18;RPL37A;RPS21;RPL27;RPL31;RPS27;RPS17;RPS11;RPL18;RPL36AL;RPS27A;RPL39;RPLP2;UBA52;RPL27A;MRPS16;RPL12;RPS16;RPL9;RPS8;RPS7;RPS27L;MRPS18C;RPL41;RPLP1;RPL22;RPS4X;RPL5;RPS29;RPS20;RPL17;RPS23;RPL30;RPL24;RPS26;RPLP0;RPS15;RPL23;RPS13;MRPL20;MRPS12;RPL35;RPL7;RPL36;MRPL34;RPS3A;MRPL14;RPL14;RPL15;RPL35A;RPL23A;RPL36A;RPS3;RPL32;RPL11;MRPS21;MRPL33;RPL22L1;RPL19;RPL7A;FAU;MRPL12;RPSA;MRPS6;RPL13A;MRPL18;RPS5;RPL29;MRPS17;MRPL19;RPS9;RPL10;RPL13;RPS6;MRPS11;RPL8;RPL18A;RPL10A;MRPL24;MRPS7;RPL4;MRPL32;RPS2;MRPL28;MRPL36
Ovarian steroidogenesis,-2.062625094678815,0.01,0.11337917985663866,FSHB;CGA;HSD17B2
Cholesterol metabolism,-1.9793699212849845,0.01,0.16335552887239385,APOB;APOA2;APOC2;APOA4;APOC3;APOH
GnRH signaling pathway,-1.9683402229916225,0.01,0.13963541098133392,FSHB;CGA;PRKCD;GNRHR
Cocaine addiction,1.9204043395841688,0.01,0.05770155473633595,SLC6A3;TH;SLC18A2;DRD1;GRIN2A;DRD2;ADCY5;GRIN3A;RGS9;DDC;PDYN;GRIN2B;CDK5R1;ATF2;PPP1R1B;GRIN2D;CREB3L2;SLC18A1
Alcoholism,1.8875799508323465,0.01,0.04039108831543517,SLC6A3;GNGT1;TH;CALML5;SLC18A2;CALML3;ADORA2A;DRD1;GRIN2A;DRD2;ADCY5;GNB3;GNG7;GRIN3A;DDC;SHC3;PDYN;CAMKK2;GRIN2B;GNB4;ATF2;CRH;PPP1R1B;GRIN2D
Vitamin digestion and absorption,-1.8755625513884502,0.017543859649122806,0.20438089000473023,APOB;APOA4;SLC23A1;LRAT
Dopaminergic synapse,1.8556154348775535,0.01,0.0384677031575573,SLC6A3;GNGT1;TH;DRD3;CALML5;SLC18A2;CALML3;DRD1;GRIN2A;DRD5;DRD2;ADCY5;GNB3;GNG7;DDC;GNAQ;ITPR3;CAMK2A;GRIN2B;ITPR1;GRIA1;GNAL;PPP2R2C;GNB4;ATF2;PLCB1;CACNA1B;PPP1R1B
Glycolysis / Gluconeogenesis,-1.8204548866921193,0.01,0.22505340964024514,PCK1;PGAM2;FBP1;ALDOB;FBP2;HK3
Fat digestion and absorption,-1.8114507773739226,0.015151515151515152,0.20139722737692392,FABP1;APOB;APOA4;PLA2G2A;PLA2G5;NPC1L1;AGPAT2;ABCG5;PLA2G1B;CEL;PLPP2
Citrate cycle (TCA cycle),-1.800955628835807,0.01,0.18995985397033316,PCK1
PPAR signaling pathway,-1.788990541138905,0.045454545454545456,0.1799148564567187,FABP1;PCK1;APOA2;APOC3;ACSBG2;FABP7;SLC27A6;ADIPOQ;FABP3;PLIN5
Coronavirus disease,-1.776379728580644,0.014925373134328358,0.17576485298349723,C8A;FGB;F2;FGG;FGA;C5;C9;TMPRSS2;MAS1;FOS;IL1B;CXCL10;RPS25;MASP2;HBEGF;RPL26;RPL3L;RPS12;RPS10;RPS28;RPL10L;RPL28;RPL38;RPL21;JUN;RPS19;RPL34;RPL37;RPS14;RPS24;RPS15A;RPS18;RPL37A;RPS21;RPL27;RPL31;RPS27;RPS17;RPS11;RPL18;RPL36AL;RPS27A;RPL39;RPLP2;UBA52;RPL27A;RPL12;RPS16;FCGR2A;RPL9;MX2;RPS8;RPS7;RPS27L;ISG15;RPL41;RPLP1;RPL22;RPS4X;RPL5;RPS29;RPS20;RPL17;RPS23;RPL30;RPL24;RPS26;RPLP0;RPS15;RPL23;RPS13;RPL35;RPL7;RPL36;RPS3A;RPL14;RPL15;RPL35A;RPL23A;RPL36A;RPS3;RPL32;RPL11;RPL22L1;RPL19;RPL7A;FAU;IL12A;RPSA;RPL13A;RPS5;RPL29;RPS9;RPL10;RPL13;C3;RPS6;PRKCG;RPL8;RPL18A;RPL10A;ADAM17
Steroid hormone biosynthesis,-1.7734656882302313,0.038461538461538464,0.16186369755849073,AKR1D1;CYP2E1;CYP1A2;HSD17B2;UGT2B17;CYP11B2
Drug metabolism,-1.7563503873051531,0.01639344262295082,0.16180631943103288,CYP2E1;CYP1A2;GSTA2;GSTA5;UGT2B17;UPB1;MPO;GSTA3;HPGDS
Amphetamine addiction,1.7289514752635726,0.024390243902439025,0.10674787626222151,SLC6A3;TH;CALML5;SLC18A2;CALML3;DRD1;GRIN2A;ADCY5;GRIN3A;DDC;PDYN;CAMK2A;GRIN2B;GRIA1;ATF2;PPP1R1B;GRIN2D
Calcium signaling pathway,1.7219808104407142,0.01,0.09924667414649783,PTGFR;CALML5;CALML3;NOS1;HGF;ADRB3;TACR2;ADORA2A;HTR2A;DRD1;FGF21;GRIN2A;FGF20;RYR1;ERBB4;TACR3;PLN;P2RX1;GRM5;HTR4;DRD5;FGF19;FGF3;CAMK1D;GDNF;CHRM5;HRC;RET;PHKA2;CCKAR;NTSR1;ADRA1A;SPHK1;TACR1;HTR6;MYLK;MST1;CACNA1I;PDE1B;PDE1A;CHRM2;GNAQ;TRHR;CACNA1H;ITPR3;FGF2;P2RX5;CAMK2A;ADCY7;ITPR1;GNA11;RYR2;FGF17;AVPR1A;GNAL;RYR3;NTRK1;ADCY3;PDGFRB;MYLK3;GRM1;PLCB1;CACNA1B;GRIN2D;ADCY9;ATP2A3
Primary bile acid biosynthesis,-1.6972788924182187,0.017543859649122806,0.20075787109953683,AKR1D1;CYP39A1;BAAT;SLC27A5;ACOX2;CYP27A1;CYP46A1;AMACR;CYP7B1;SCP2
Cysteine and methionine metabolism,-1.6950478749152338,0.01,0.1885674780773569,MAT1A;BHMT;TAT;GOT1L1
Metabolism of xenobiotics by cytochrome P450,-1.6799817085673399,0.021739130434782608,0.19020849252265035,CYP2E1;CYP1A2;GSTA2;GSTA5;UGT2B17
Thyroid hormone synthesis,-1.6665801876514847,0.01,0.19218297514399277,GPX6;CGA;TSHB;ALB;CREB3L4;GPX2;IYD;FXYD2;TSHR
Long-term depression,1.655464925809132,0.01,0.15194742747235135,PLA2G4D;NOS1;GUCY1A2;RYR1;GRID2;GNA13;GNAQ;ITPR3;ITPR1;GNA11;GRIA1;GRM1;PLCB1;CRH;PRKG1;PLA2G4E;BRAF;MAP2K1;IGF1R;CACNA1A;PLCB2;GRIA2
ECM-receptor interaction,1.650906104177357,0.01,0.13848373136720626,DMP1;COMP;SV2C;FREM2;ITGA1;GP1BA;COL9A1;FRAS1;TNR;CD36;IBSP;NPNT;THBS2;HSPG2;ITGA2B;COL6A1;COL4A3;COL1A2;FN1;ITGA11;COL6A2;COL4A6;COL1A1;THBS1;LAMA2;ITGA5;LAMA5;LAMC3;GP5;GP6;COL4A5;ITGA8;COL4A2;LAMB3;LAMB2;ITGA10;ITGB4;LAMC1;ITGB7;AGRN;CHAD;ITGB6;ITGB8
cAMP signaling pathway,-1.645975273632878,0.01,0.20239178158619267,FSHB;CGA;TSHB;EDN2;POMC;VIP;CREB3L4;CNGA3;ATP2A1;CALML4;FOS;CFTR;FXYD2;TSHR;LHB;NPY;PTGER3;NPPA
Morphine addiction,1.6428505575181669,0.01,0.1312710370251643,GNGT1;PDE10A;GABRR3;DRD1;GABRG3;ADCY5;GNB3;GABRB3;GNG7;PDE3A;PDE11A;PDE1B;PDE1A;OPRM1;ADCY7;SLC32A1;PDE8B;GABRQ;GABRB1;ADCY3;GNB4;CACNA1B;ADCY9;GABRA2
Apelin signaling pathway,1.6368162522992042,0.01,0.12822567719185768,GNGT1;CALML5;PRKAG3;CALML3;NOS1;CDH1;PLIN1;ACTA2;RYR1;NOTCH3;ADCY5;GNB3;SMAD3;GNG7;SPHK1;MYLK;PRKCE;GNA13;GNAQ;ITPR3;ADCY7;SERPINE1;ITPR1;RYR2;RYR3;ADCY3;MYLK3;GNB4;PLCB1;MEF2B;ADCY9
Fructose and mannose metabolism,-1.6088458063509872,0.017241379310344827,0.23084126646711747,FBP1;ALDOB;FBP2;HK3
Autoimmune thyroid disease,-1.6046867888433307,0.022727272727272728,0.22332714769130008,CGA;TSHB;PRF1;TSHR;CD86
Linoleic acid metabolism,-1.5893864786702594,0.01,0.2310207348958577,CYP2E1;CYP1A2;PLA2G2A;PLA2G5;PLA2G1B
Glutathione metabolism,-1.5859292997620271,0.05660377358490566,0.22255410782864116,GPX6;GSTA2;GSTA5;GPX2;NAT8;GSTA3;HPGDS;GGT1;MGST3;CHAC2;GSTT2;GSTM1;GSTP1;GPX4;GGCT;GPX7;GSTA1;TXNDC12;GPX8;GSTM3;GSTT1;RRM2;GSTM5;GPX1;ODC1
Arachidonic acid metabolism,-1.5807750524935302,0.020833333333333332,0.21754792290570138,CYP2E1;GPX6;GPX2;PLA2G2A;ALOX15B;PLA2G5;HPGDS;ALOX12B;PLA2G1B;GGT1
Oxidative phosphorylation,-1.576740413638116,0.07272727272727272,0.21109413091729434,COX7B2;ATP6V1E2;ATP12A;COX7A2;COX6B2;COX7C;NDUFB9;UQCR11;NDUFB7;COX7A1;NDUFB2;UQCRH;UQCR10;COX6B1;COX7B;COX4I1;ATP6V0B;NDUFB1;NDUFA4;COX6C;NDUFB3;UQCRFS1;NDUFC1;NDUFA11;NDUFA1;COX6A1;NDUFB10;NDUFA7;NDUFB4;NDUFA2;NDUFA13;NDUFA3;NDUFB11;NDUFB8;UQCRQ;NDUFA6;NDUFA12;NDUFS3;NDUFS5;COX17;NDUFV2;NDUFS6;COX8A;NDUFB5;NDUFAB1;NDUFC2;ATP6V0C;COX7A2L;SDHD;COX5B;PPA2;NDUFS8;NDUFS2;COX5A;SDHC;NDUFA8;NDUFA9;NDUFB6;NDUFS4;UQCRB;ATP6V0E1;ATP6V1G1;ATP6V0D1;LHPP;SDHB;ATP6V1E1;ATP6V1F;NDUFS7;CYC1;NDUFA5;NDUFV1;NDUFA4L2
Staphylococcus aureus infection,-1.5475746298240771,0.07936507936507936,0.23666411963759415,FGG;C5;DSG1;KRT13;KRT32;CAMP;KRT14;KRT9;PLG;KRT23;KRT19;MASP2;FCGR2B;KRT36;FCGR1A;FCGR2A
Pentose phosphate pathway,-1.5285044912822354,0.0196078431372549,0.24890631691199316,FBP1;ALDOB;FBP2;RGN;RBKS;PGM2;DERA;TALDO1;IDNK;ALDOA;PRPS2;TKT;PGLS
Phototransduction,1.5242850500190732,0.0625,0.2942779291553133,GNGT1;CALML5;CALML3;RCVRN;RHO;GNAT2;RGS9;PDE6B
Serotonergic synapse,1.5106953889797643,0.01,0.296900727097874,GNGT1;HTR1F;SLC18A2;PLA2G4D;TPH1;HTR2A;HTR1B;HTR1D;HTR4;ADCY5;GNB3;GABRB3;GNG7;HTR6;HTR1A;DDC;GNAQ;ITPR3;ITPR1;GABRB1;ALOX15;GNB4;PLCB1;CACNA1B;PLA2G4E;SLC18A1;HTR5A;BRAF;MAP2K1
Maturity onset diabetes of the young,1.5017285706906112,0.044444444444444446,0.2865843885238019,FOXA2;SLC2A2;NKX6-1
Gastric acid secretion,1.490812316283761,0.01,0.2849569087748283,CALML5;CALML3;ATP4A;ATP1A4;ADCY5;KCNJ1;KCNJ2;MYLK;GNAQ;ITPR3;CAMK2A;ADCY7;KCNK2;ITPR1;KCNK10;ADCY3;MYLK3;PLCB1;KCNJ10;ADCY9;ATP1A2;SLC9A1;SLC26A7;CAMK2G;PLCB2;HRH2;ADCY6;ITPR2
Gap junction,1.48405509718599,0.023255813953488372,0.27944038650882697,HTR2A;GUCY1A2;DRD1;GRM5;DRD2;ADCY5;GNAQ;ITPR3;GJD2;ADCY7;ITPR1;GNA11;ADCY3;MAP3K2;PDGFRB;GRM1;PLCB1;PRKG1;ADCY9;SOS1;MAP2K1;PLCB2;PDGFD;ADCY6;ITPR2;PDGFRA
TGF-beta signaling pathway,1.4831877852285338,0.02564102564102564,0.2631190895976919,PITX2;BMP5;AMH;BMP7;THSD4;ACVR1C;LEFTY2;FMOD;BMP6;LTBP1;SMAD3;SMAD6;BMP8B;GDF5;DCN;RBL1;ACVR1B;THBS1;INHBA
