Term,NES,NOM p-val,FDR q-val,Lead_genes
TNF-alpha Signaling via NF-kB,1.6902366139980638,0.01,0.07184363444268357,CDKN1A;ZC3H12A;FOSL2;SGK1;TNFAIP6;BCL6;CEBPD;MAFF;TIPARP;TRIB1;FOSB;DUSP2;B4GALT1;F3;DUSP5;SLC16A6;EGR1;EGR2;GFPT2;INHBA;KLF9;GEM;GADD45B;LITAF;LIF;SPSB1;NFKBIA;NR4A3;NFIL3;CCN1;BTG2;NR4A1;ACKR3;TRIP10;TNFAIP3;FOS;ICAM1;SDC4;PER1;ETS2;CEBPB;VEGFA;IER3;FUT4;JUNB;DRAM1;ZFP36;BTG1;ID2;BMP2;ATF3;RELB;PPP1R15A;LAMB3;IRS2;ABCA1;PFKFB3
Interferon Alpha Response,-1.542494839660561,0.038461538461538464,0.15815485996705106,IFITM1;EPSTI1;ISG15;UBE2L6;GBP2;BST2;IL15;PSMB8;IFITM2;ELF1;EIF2AK2;TENT5A;IFITM3;SAMD9L;IRF9;RSAD2;PLSCR1;GBP4;GMPR;PSMB9;TRIM14;NMI;LGALS3BP;MVB12A;TRIM25;TAP1
Inflammatory Response,-1.4405603173444466,0.01,0.15815485996705106,TLR1;GPR183;CLEC5A;IFITM1;EMP3;PIK3R5;KCNMB2;RASGRP1;BST2;EDN1;TNFSF10;IL15;TIMP1;ICAM4;CCL17;AQP9;KCNJ2;EBI3;ITGB3;CYBB;MMP14;NDP;KLF6;RGS16;CD14;TLR2;EIF2AK2;GCH1;LCK;LDLR;ADGRE1;PDPN
Myogenesis,1.434793088957319,0.01,0.4714738510301109,PVALB;ITGB4;MYLPF;CDKN1A;TNNI1;TPM2;IGF1;CHRNA1;MYH11;APOD;SORBS3;GADD45B;SOD3;TAGLN;LPIN1;MYOM1;LDB3;AEBP1;SYNGR2;ERBB3;SLC6A8;CRYAB;FGF2;SMTN;IFRD1;VIPR1;SVIL;CASQ2;NQO1;ADCY9;COL4A2
Androgen Response,1.4251659040959321,0.06172839506172839,0.34125726360274694,SGK1;FKBP5;MERTK;STEAP4;DHCR24;B4GALT1;ELL2;LIFR;PTK2B;NDRG1;MAF;SEC24D;ITGAV;CAMKK2;SELENOP;ABCC4;HOMER2;SAT1;ACSL3;PGM3;BMPR1B;STK39;SLC26A2;CDK6;SLC38A2;PTPN21;PMEPA1;CENPN;ELOVL5;UBE2J1
TGF-beta Signaling,-1.4100660963323364,0.037037037037037035,0.14497528830313014,CDH1;TGIF1;CDKN1C;THBS1;KLF10;SMAD6;BCAR3;NOG;ENG
KRAS Signaling Dn,1.3806848282416773,0.04,0.36595351294241946,ZBTB16;TNNI3;SGK1;FGF16;YBX2;TEX15;EGF;CAPN9;EFHD1;ADRA2C;INSL5;IGFBP2;CAMK1D;COL2A1;BTG2;BARD1;NPY4R;ARPP21;RYR2;PTPRJ;RIBC2;PRKN;SLC29A3;KCNN1;RGS11;PLAG1;TCF7L1;GAMT;HTR1B
Pancreas Beta Cells,1.3706463564569178,0.1320754716981132,0.3232963549920761,PAX6;DPP4;VDR
p53 Pathway,1.3335595705280554,0.022988505747126436,0.36221165698186303,ITGB4;CDKN1A;ZBTB16;TNNI1;PROCR;FAS;EPS8L2;KIF13B;LIF;VDR;BTG2;SLC19A2;RAD51C;STOM;FOS;BAK1;BAIAP2;RAB40C;NDRG1;GLS2;TXNIP;DEF6;IER3;DRAM1;WWP1;BTG1;DDIT4;STEAP3;BMP2;RRP8;ATF3;SESN1;PPP1R15A;POLH
Hypoxia,1.2957801248625302,0.06578947368421052,0.42208135235076605,CDKN1A;SULT2B1;KDELR3;FOSL2;ANGPTL4;MAFF;TIPARP;ERRFI1;CCN2;ISG20;F3;TGFB3;SLC2A1;SAP30;TGM2;NOCT;NFIL3;CCN1;ACKR3;TNFAIP3;FOS;SDC4;PFKP;TPBG;AMPD3;INHA;VEGFA;NDRG1;IER3;GCNT2;P4HA2;ZFP36;BTG1;DDIT4;CAV1;ANKZF1;ATF3;BGN;PPP1R15A;IRS2;TPST2;PFKFB3;PDK3
IL-6/JAK/STAT3 Signaling,-1.2716159125257307,0.075,0.3163097199341021,IL1R2;SOCS3;PIK3R5;LTB;SOCS1;EBI3;ITGB3;IL2RG;CD14;TLR2;IRF9;CD44;IL10RB;HMOX1;IL17RB;IL17RA;LTBR
Allograft Rejection,-1.2614518127705063,0.15789473684210525,0.26095551894563424,TLR1;LTB;BCL3;ETS1;IRF8;GBP2;SOCS1;IL15;TIMP1;GCNT1;ELF4;FYB1;ITGB2;NCF4;LY86;IL2RG;SPI1;TLR2;LCK;PRKCG;PTPN6;GLMN;TAP2;INHBB;TAPBP;EGFR;ST8SIA4;CCR5;TRAF2;CCND2;TAP1
G2-M Checkpoint,1.1894811693028697,0.08860759493670886,0.729661912308505,MEIS2;ESPL1;PLK1;KIF15;EGF;E2F1;KIF20B;EZH2;CDC20;SAP30;AURKA;CENPE;PRIM2;TLE3;BARD1;MEIS1;NOTCH2;FBXO5;CASP8AP2;SLC12A2;MAP3K20
Coagulation,-1.1864007729168222,0.14285714285714285,0.3734211971444261,C3;PLAU;APOA1;CTSK;THBD;SERPING1;THBS1;APOC3;TIMP1;ITGB3;MMP14;HMGCS2;GSN;MMP2;MMP11;DUSP6
Spermatogenesis,1.1755186210334374,0.17333333333333334,0.7144450314022421,TNNI3;YBX2;ZPBP;NCAPH;EZH2;AURKA;SEPTIN4;CLGN;NEFH;GPR182;LPIN1;MLF1;SLC12A2;DDX4
KRAS Signaling Up,-1.152096157508861,0.15,0.4029183337255825,ALDH1A2;PLAU;CXCR4;IGF2;SEMA3B;MYCN;ETS1;IRF8;DOCK2;PSMB8;SOX9;ITGB2;LCP1;BIRC3;CBX8;IL2RG;RGS16;PLVAP;MMP11;DUSP6;MAFB;IKZF1;TMEM100;NRP1;ENG;HBEGF;PTPRR;CD37;G0S2;ANO1;MAP3K1
Reactive Oxygen Species Pathway,1.133811882661448,0.3142857142857143,0.8172213417855256,MBP;FES;PFKP;JUNB;SRXN1;NQO1;TXNRD2;ABCC1;LAMTOR5;CAT
Apoptosis,1.1201118785526138,0.24050632911392406,0.8033424578590981,CDKN1A;BRCA1;PMAIP1;FAS;WEE1;BMF;ISG20;BCL2L11;GADD45B;NEDD9;NEFH;CD38;TGFBR3;BTG2;ERBB3;RNASEL;TXNIP;IER3;LGALS3;CAV1;BMP2;ATF3;BGN
Mitotic Spindle,1.100043924759914,0.30952380952380953,0.8164729705934143,ANLN;ESPL1;PLK1;KIF15;ARHGEF3;KIF20B;BCL2L11;AURKA;CENPE;NEDD9;GEMIN4;MID1;PLEKHG2;NOTCH2;FGD6;FBXO5;SUN2;SHROOM2;DOCK4;RANBP9;FLNB;CD2AP;STK38L;CCDC88A;SASS6;PCGF5;ROCK1;WASF2;PXN;RASA1;NCK2;NCK1
Interferon Gamma Response,-1.0986690449101155,0.20833333333333334,0.5057660626029654,BANK1;SOCS3;EPSTI1;ISG15;APOL6;UBE2L6;IRF8;BST2;SERPING1;SOCS1;TNFSF10;IL15;CASP7;PSMB8;ARID5B;IFITM2;IRF5;EIF2AK2;GCH1;IFITM3;SAMD9L;IRF9;RSAD2;PLSCR1;ITGB7;PTPN6;GBP4;PSMB9;TRIM14;FGL2;NMI;TAPBP;LGALS3BP;ZNFX1
UV Response Up,-1.0698445030722636,0.375,0.5345048508145708,EPCAM;CCK;SHOX2;RASGRP1;CDKN1C;NAT1;MSX1;MMP14;RFC4;GCH1;PRKCD
