Term,NES,NOM p-val,FDR q-val,Lead_genes
Thyroid hormone synthesis,-1.8483899796980263,0.01,0.147126689374794,CGA;ALB;TG;TPO;ADCY4;PLCB3;PRKCG;FXYD2;SLC5A5;CREB5
Fat digestion and absorption,-1.7842692128111473,0.01,0.11883309526425669,FABP1;APOA4;APOB;APOA1;PLA2G5
Ribosome,-1.7669421881055063,0.01,0.1131743764421492,UBA52;MRPL2;RPL35;RPS16;RPL41;RPLP2;RPL24;RPL37A;RPS13;MRPL34;MRPS21;RPL10A;RPS29;RPL36A;RPL27A;MRPL9;RPS2;RPS26;MRPL20;RPL36;RPS21;RPL22L1;MRPL14;RPLP1;RPL28;MRPL28;RPL13;RPS6;RPL35A;MRPL4;RPL37;RPL30;MRPS14;RSL24D1;RPS12;RPS25;MRPL18;FAU;RPL7A;RPL27;MRPL17;RPL39;RPS20;RPS15;MRPL23;MRPL21;RPS8;RPL12;RPL11;RPL38;MRPS9;RPS27A;RPL8;MRPL19;MRPL10;RPL32;RPL13A;RPS5;RPL29;RPL22;RPS3
Prolactin signaling pathway,-1.725211370745593,0.01,0.12166245467531041,CGA;SOCS3;CISH;SOCS1;SOCS2
Oxidative phosphorylation,-1.6993183517070392,0.01,0.10412042632677727,ATP5MC2;ATP6V0C;COX6A2;NDUFS5;ATP5ME;NDUFS6;ATP5MG;NDUFB11;ATP5F1E;UQCRQ;COX7C;NDUFV3;COX4I2;ATP6V1C2;COX6B2;COX5B;NDUFA11;COX11;NDUFA13;UQCR11;NDUFA5;ATP5MC1;NDUFS7;COX6C;NDUFB6;NDUFB3;COX8A;NDUFS8;NDUFA8;COX6A1;NDUFA1;NDUFA7;LHPP;NDUFA3;ATP6V1F;ATP5PD;NDUFB7;NDUFA2;NDUFB5;COX5A;NDUFC1;SDHC;NDUFC2
Histidine metabolism,1.688394585833869,0.017241379310344827,0.6507891369259207,HDC;ASPA;ALDH3B1;CARNMT1
Regulation of lipolysis in adipocytes,-1.6702944350997007,0.01,0.11128813683478006,CGA;NPR1;ADCY4;ADRB2;ADRB1
Phagosome,-1.6130092013347357,0.01,0.15197701979374323,C3;TUBB6;MRC1;THBS1;ITGB3;CYBB;ITGB2;NCF4;COLEC12;ATP6V0C;CD14;TLR2;MRC2;TUBB2B;ACTG1;TAP2;CORO1A;RILP;THBS4;CD36;TAP1;ATP6V1C2
"Glycine, serine and threonine metabolism",1.5953509629694187,0.016666666666666666,0.9384567989004218,AOC3;CHDH;GATM;ALAS2;PSAT1;GAMT;AOC2
"Alanine, aspartate and glutamate metabolism",1.5770827426942722,0.016666666666666666,0.738818585398992,ASPA;GFPT2;GPT2;FOLH1;GPT;GLUL;GLS2;NAT8L;RIMKLA;IL4I1
Intestinal immune network for IgA production,-1.5429441272237212,0.075,0.2249340731787716,CCL28;CXCR4;IL15;TNFSF13B;CXCL12;ITGB7;CCL25;TNFRSF13B;LTBR
Glioma,1.5268405077459453,0.030303030303030304,0.9030878240674913,CDKN1A;IGF1;EGF;E2F1;GADD45B;CAMK1D;CALML4;CAMK1G;PLCG2;BAK1
RNA polymerase,-1.51287004431381,0.02631578947368421,0.2464686420295694,POLR3GL;POLR2L;POLR1H;POLR3C;POLR1D;POLR2D;POLR2A;POLR1E;POLR2F;POLR3G;POLR2I;POLR3B;POLR2K
Inflammatory mediator regulation of TRP channels,1.4964100091088353,0.04285714285714286,0.9544907341580169,IGF1;TRPV4;IL1R1;PLA2G4C;HTR2C;IL1RAP;PRKCH;NGF;CALML4;MAP2K6;ADCY1;ADCY6;PLCG2
beta-Alanine metabolism,1.4872160042030336,0.057971014492753624,0.8598590770494653,AOC3;GADL1;ALDH3B1;SMOX;AOC2
Retinol metabolism,-1.4866989687679093,0.06060606060606061,0.26709152840347217,ALDH1A2;LRAT;CYP26B1;BCO1
Phenylalanine metabolism,1.4780302078687895,0.014084507042253521,0.8124758790193171,AOC3;ALDH3B1;AOC2;IL4I1
GnRH secretion,-1.4742144921381775,0.01,0.2603010658169432,CGA;GNRH1;PLCB3;PRKCG;CACNA1S
Type II diabetes mellitus,-1.4721755535253989,0.01,0.2433249093506208,SOCS3;SOCS1;SLC2A4;SOCS2;HK2;PRKCD;IRS4;HK3
IL-17 signaling pathway,1.4709448170986352,0.04477611940298507,0.7474643348025973,CCL11;IKBKE;FOSB;TRAF3IP2;MMP9;NFKBIA;TRAF5;TNFAIP3;MAPK4;FOS;CEBPB;TRADD
Cholesterol metabolism,-1.4705523200538015,0.01,0.22721932501077652,APOA4;APOB;APOA1;APOH;APOC3;LIPG;APOA2;MYLIP;LDLR
