Term,NES,NOM p-val,FDR q-val,Lead_genes
TNF-alpha Signaling via NF-kB,2.2977394328710656,0.01,0.01,FOSL1;FOSB;PTGS2;FOSL2;AREG;FOS;CDKN1A;NR4A1;JUNB;SERPINB8;EGR1;NR4A3;EGR3;SGK1;MAFF;GEM;CEBPD;DUSP5;IL23A;DUSP2;BTG2;TNFAIP3;PER1;CCN1;SIK1;F3;CEBPB;SERPINE1;INHBA;TRIB1;ZFP36;BCL6;NFKBIA;CCL2;TNC;PLAU;KLF4;ATF3;DUSP1;ICAM1;MAP3K8;TIPARP;IER3;IL7R;NFIL3;SPSB1;KLF9;TNFAIP6;SPHK1;KLF2;IRS2;PLK2;RELB;DUSP4;NFKB2;PFKFB3;SDC4;NR4A2;GADD45A;RHOB;B4GALT1;IL15RA;ZC3H12A;KDM6B
Interferon Gamma Response,1.8676173897147357,0.01,0.01,PTGS2;CDKN1A;USP18;NLRC5;ISG20;TRIM14;TNFAIP3;CASP1;P2RY14;PIM1;CSF2RB;OAS2;NFKBIA;CCL2;CD74;ICAM1;DDX60;PLA2G4A;CD40;FAS;RSAD2;LCP2;IL15;TNFAIP6;IFI44;HELZ2;APOL6;CD86;IFITM3;MTHFD2;CMKLR1;PTPN2;VCAM1;IL10RA;UPP1;ARID5B;TXNIP;IFITM2;CFH;PTPN1;AUTS2;HERC6;IRF7;IL15RA;IRF2;RNF31;GCH1;FGL2;LATS2
UV Response Up,1.7931429176103164,0.01,0.01,FOSB;RRAD;FOS;NR4A1;NPTX2;JUNB;SULT1A1;LHX2;BTG2;NFKBIA;ATF3;CDKN2B;ICAM1;POLG2;PDLIM3;SLC6A8;CDKN1C;RHOB;CHKA;SLC6A12;BCL2L11;GCH1;HTR7
Hypoxia,1.7816020757237432,0.01,0.01,FOSL2;FOS;CDKN1A;MAFF;ISG20;TNFAIP3;CCN1;F3;STC1;CCN2;PIM1;SERPINE1;SLC2A1;ERRFI1;ZFP36;ANGPTL4;ADM;HAS1;SAP30;ATF3;DUSP1;TIPARP;IER3;NFIL3;HS3ST1;CP;PGF;IRS2;DDIT4;NDRG1;PFKFB3;SRPX;SDC4;KDM3A;CDKN1C;RORA;CHST2;DPYSL4;ATP7A;INHA;FOXO3;PYGM;GBE1;KDELR3;SLC2A3;CITED2;MYH9;PFKP
p53 Pathway,1.6797289664062611,0.01,0.01,RRAD;FOS;CDKN1A;ADA;EPHA2;ZBTB16;BTG2;CASP1;TRIB3;KLF4;ATF3;EPS8L2;CDKN2B;IER3;FAS;MXD4;PTPN14;SPHK1;CEBPA;PLK3;BAIAP2;PLK2;RRP8;DDIT4;NDRG1;TM4SF1;UPP1;TXNIP;SFN;FDXR;GADD45A;NUPR1;SLC19A2
Coagulation,-1.5023733528243852,0.01,0.13578356304236855,APOC3;FGG;FGA;HNF4A;F2;C3;HPN;SERPINC1;HMGCS2;F12;APOA1;MASP2;PLG;GDA;MMP14;A2M;ITGB3;FBN1;KLK8;APOC1
Inflammatory Response,1.4833249639646742,0.01,0.09273265373232491,CDKN1A;C5AR1;IL1R1;NLRP3;BTG2;OSMR;F3;SERPINE1;TLR1;INHBA;NFKBIA;CCL2;ADM;PIK3R5;SGMS2;PVR;ICAM1;CD40;IL7R;LCP2;IL15;TNFAIP6;SPHK1;ADGRE1;EMP3;IFITM1;CSF3R;CMKLR1;APLNR;CCL17;IL10RA;TNFRSF1B;CHST2;IRF7;SCN1B;IL15RA;CYBB;GCH1;VIP;KCNMB2;ITGA5;STAB1;EDN1;BEST1;SLC7A2;IL18;TACR1;P2RX4;CD55;ITGB8
Pperoxisome,-1.4670026802499996,0.022222222222222223,0.09647779479326186,TTR;ALB;TOP2A;ABCB4;HSD11B2;EHHADH;IDI1;DHRS3
Allograft Rejection,1.4462734689267664,0.03225806451612903,0.11669093813125382,NLRP3;TLR1;INHBA;CCL2;WAS;CD74;ICAM1;GPR65;CD40;FAS;LCP2;IL15;IGSF6;ELF4;CD86;C2;CCR2;FCGR2B;MAP4K1;FYB1;IRF7;CTSS;IL2RG;ITGB2;SRGN;STAB1;LY75;THY1;CARTPT;CAPG;PTPRC;IL18;BCL3;JAK2;FGR;MTIF2;IKBKB;DYRK3
Epithelial Mesenchymal Transition,1.420925144754324,0.028169014084507043,0.1317000986517593,AREG;TNFRSF12A;GEM;MGP;TNFAIP3;CCN1;CCN2;SERPINE1;INHBA;BDNF;FBN2;HTRA1;TNC;MYLK;PVR;FAS;SPP1;IL15;LGALS1;EMP3;TAGLN;TPM4;ACTA2;VCAM1;SLC6A8;POSTN;SNAI2;NT5E;COL5A3;THBS1;FN1;CDH6;SDC4;TNFRSF11B;GADD45A;RHOB;PCOLCE2;ITGAV;COL6A3;COL6A2;GPX7;WIPF1;ITGA5;PMP22;PMEPA1;THY1;FBLN2;FSTL1;CAPG
