Term,NES,NOM p-val,FDR q-val,Lead_genes
IL-17 signaling pathway,2.135337792479166,0.01,0.01,FOSL1;FOSB;PTGS2;FOS;TNFAIP3;CEBPB;NFKBIA;CCL2;IL17RB;MAPK4;IL17RA;CCL17
Osteoclast differentiation,1.9254410061736928,0.01,0.01,FOSL1;FOSB;FOSL2;FOS;JUNB;IL1R1;BTK;PPP3R2;NCF1;NFKBIA;LCP2;OSCAR;RELB;FCGR2B;MITF;NFKB2;PPARG;TNFRSF11B
Ubiquinone and other terpenoid-quinone biosynthesis,-1.8484060811151537,0.01,0.03911551049732578,HPD;TAT
Glycolysis / Gluconeogenesis,-1.7512276141789462,0.01,0.07823102099465155,PKLR;PGAM2;PCK1;FBP2;GCK;ENO4;ALDOB;ACSS1
Th17 cell differentiation,1.7191945730580978,0.01,0.26489734601902853,FOS;IL1R1;IL23A;PPP3R2;NFKBIA;RUNX1;IL21R;RORA;IL2RG;NFATC2;STAT6;NFKBIE;IL1RAP;JAK2;JUN;IKBKB
Cholesterol metabolism,-1.710416502593009,0.01,0.09909262659322529,APOC3;APOB;APOA4;APOH;APOA1;APOA2;ANGPTL3;LDLR;APOC1;MYLIP
Proximal tubule bicarbonate reclamation,-1.682048358340897,0.01,0.08409834756925043,AQP1;PCK1;FXYD2
Olfactory transduction,1.640671759495903,0.01,0.414621932899349,ANO2;GUCY2D;OR51E1;SLC24A4
Complement and coagulation cascades,-1.6340707099792573,0.01,0.11891115191187035,FGB;KNG1;F5;FGG;FGA;F2;C3;SERPINC1;F12;MASP2;PLG;PROCR;SERPIND1;A2M
B cell receptor signaling pathway,1.6094349488693966,0.01,0.45608412618928396,FOS;BTK;PPP3R2;NFKBIA;RAC2;CD72;INPP5D;IFITM1;PIK3AP1;FCGR2B;VAV1;NFATC2;NFKBIE;SYK
VEGF signaling pathway,1.5739694381470435,0.01,0.5086796861959606,PTGS2;PPP3R2;RAC2;PLA2G4A;SPHK1
GnRH secretion,1.5714005644218938,0.017857142857142856,0.4425924601187496,KCNN4;KCNJ5;SPP1;HCN1;CACNA1S;HCN2;KCNJ6;KCNN2;KCNN1;CACNA1I;TRPC4;PLCB4;PIK3CB;TRPC5;ARRB2;KCNJ3;PIK3R2;PLCB3;PIK3R1;PRKCA;KISS1R;NRAS
Human T-cell leukemia virus 1 infection,1.56849653123861,0.01,0.40166499749624435,FOSL1;FOS;CDKN1A;EGR1;IL1R1;PPP3R2;CDKN2C;SLC2A1;ZFP36;NFKBIA;CDKN2B;ICAM1;CD40;E2F1;IL15;E2F2;ADCY1;RELB;CREB3L2
TNF signaling pathway,1.5652116439866521,0.01,0.36471373727257556,PTGS2;FOS;JUNB;TNFAIP3;CEBPB;NFKBIA;CCL2;ICAM1;MAP3K8;FAS;IL15;VCAM1;CREB3L2;TNFRSF1B
Steroid biosynthesis,-1.5619751601595089,0.021739130434782608,0.17993134828769858,CYP2R1;SQLE;LSS;SC5D;DHCR7;FDFT1;MSMO1;DHCR24;NSDHL
Fat digestion and absorption,-1.5593644610136725,0.02631578947368421,0.1575796280035124,FABP1;APOB;APOA4;APOA1;AGPAT2
Yersinia infection,1.5584048511508803,0.014492753623188406,0.3501251877816725,FOS;NLRP3;CASP1;NFKBIA;CCL2;WAS;RAC2;LCP2;BAIAP2;TLR4;FN1;FYB1;VAV1;RPS6KA3;ARF6;WIPF1;ITGA5;NFATC2;ARPC1B;IL18;ARHGEF28;JUN;IKBKB;WIPF3;LIMK1;PIK3CB;PKN1;PIK3R2;ELMO1;TICAM1;PKN2;ARHGEF7;PLCG1;WIPF2
C-type lectin receptor signaling pathway,1.5455468758503224,0.01,0.3685528292438658,PTGS2;EGR3;IL23A;NLRP3;PPP3R2;CASP1;NFKBIA;PLK3;RELB;CCL17;NFKB2;RRAS2;CARD9;NFATC2;SYK;BCL3;JUN;IKBKB;MAP3K14;PIK3CB;FCER1G;PTPN11;PIK3R2
Colorectal cancer,1.5392060771295086,0.019230769230769232,0.35799532632281755,AREG;FOS;CDKN1A;PMAIP1;RPS6KB2;RAC2
Bile secretion,-1.5334501843661734,0.01,0.17699768500039914,AQP1;SLC22A1;ABCC2;NR1H4;AQP9;ABCB4;FXYD2;SCTR;LDLR;SLC22A7;ADCY4;RXRA;AQP4;CFTR;ADCY8;EPHX1
FoxO signaling pathway,1.5315403108480146,0.017857142857142856,0.34108855591078924,CDKN1A;SGK1;BCL6;PLK1;HOMER1;SKP2;SGK3;CDKN2B;S1PR4;IL7R;PLK3;KLF2;FOXO1;IRS2;PLK2;GADD45A;BCL2L11;FOXO3;SETD7;SIRT1;GADD45G;GRM1;NLK;IKBKB;IGF1R;PRKAB2
PPAR signaling pathway,-1.5289678751748754,0.01,0.16167744338894655,APOC3;FABP1;PCK1;PLIN5;HMGCS2;APOA1;APOA2;EHHADH;FABP7;PPARA
Glycosphingolipid biosynthesis,1.5286853211306186,0.034482758620689655,0.3249517132842121,GBGT1;B3GNT2;B3GNT3;ST8SIA5;ST3GAL4;B4GALT1;B3GALT5;ST3GAL3;FUT4;ST3GAL1;B4GALT4;GLA
Amphetamine addiction,1.5043968712254783,0.01694915254237288,0.357035553329995,FOSB;FOS;PPP3R2;ARC;GRIN3B;PDYN;GRIN2A;CREB3L2
Th1 and Th2 cell differentiation,1.4995818396635434,0.01,0.3440786179268903,FOS;PPP3R2;NFKBIA;RBPJL;MAF;IL2RG;NFATC2;STAT6;NFKBIE;JAK2;JUN;MAML3;IKBKB;MAML2
NF-kappa B signaling pathway,1.4973621810604916,0.01,0.3292585937730124,PTGS2;IL1R1;BTK;TNFAIP3;NFKBIA;PLAU;ICAM1;CD40;LY96;VCAM1;RELB;TLR4;NFKB2;GADD45A;PIDD1;TNFSF13B;PIAS4;EDA;GADD45G;TRADD;SYK;BCL2L1;TAB3;TRIM25;IKBKB;MAP3K14
Tryptophan metabolism,-1.477430953730658,0.045454545454545456,0.2362576834038477,INMT;AFMID;TDO2;IL4I1;EHHADH;DHTKD1;DDC;HAAO
Fc gamma R-mediated phagocytosis,1.4720033108835382,0.015625,0.3762310131864463,NCF1;RPS6KB2;WAS;PLD1;RAC2;PLA2G4A;SPHK1;INPP5D;HCK;FCGR2B;VAV1;GSN;ARF6;GAB2;ARPC1B;PTPRC;SYK;ASAP2;LIMK1;PIK3CB;PIK3R2;PLCG2;BIN1;PLCG1;PIK3R1;PRKCD;PRKCA;ASAP1;DOCK1;PAK1;LYN
Bladder cancer,1.4708226782971672,0.08928571428571429,0.36006641541259254,CDKN1A;UPK3A;E2F1;E2F2;THBS1;FGFR3;E2F3
JAK-STAT signaling pathway,1.4681475854511672,0.03278688524590164,0.3518527791687531,CDKN1A;EPOR;IL23A;OSMR;PIM1;CSF2RB;IL7R;IL15;THPO;CSF3R;LIFR;PTPN2;IL10RA;IL21R;IL2RG;CTF1;IL15RA;MCL1;PIAS4;STAT6
Kaposi sarcoma-associated herpesvirus infection,1.4602080665025219,0.01639344262295082,0.35648711161981067,PTGS2;FOS;CDKN1A;PPP3R2;ANGPT2;ZFP36;NFKBIA;PIK3R5;ICAM1;FAS;E2F1;CD86;HCK;E2F2;UBA52;GNGT2;GNG13;IRF7;NFATC2;E2F3;TRADD;SYK;RCAN1;JAK2;TCF7L2;JUN;IKBKB;GNG5;FGF2
Primary immunodeficiency,1.4488066718139603,0.06349206349206349,0.3612236536623117,ADA;BTK;CD40;IL7R;UNG;IL2RG;PTPRC
Leishmaniasis,1.4454989454826066,0.01,0.35252879318978464,PTGS2;FOS;NCF1;NFKBIA;ITGAM;TLR4;ITGB2;CYBB
PD-L1 expression and PD-1 checkpoint pathway in cancer,1.4311301779343424,0.034482758620689655,0.3752712401936238,FOS;PPP3R2;NFKBIA;RPS6KB2;TLR4;BATF3;NFATC2;NFKBIE;JAK2;JUN;IKBKB;PIK3CB;RASGRP1;PTPN11;PIK3R2;TICAM1;ALK;STAT3;PLCG1;TLR2;CSNK2A2;PIK3R1
Vitamin digestion and absorption,-1.4310715252109498,0.023255813953488372,0.3307038614773906,APOB;APOA4;APOA1
Maturity onset diabetes of the young,-1.419854933853871,0.0851063829787234,0.3279183630025811,BHLHA15;PKLR;HNF4A;NKX2-2;GCK;PAX6
Epstein-Barr virus infection,1.4071877813877187,0.06349206349206349,0.43074611917876815,CDKN1A;BTK;TNFAIP3;OAS2;NFKBIA;SKP2;SAP30;ICAM1;CD40;FAS;E2F1;RBPJL;E2F2;RELB;NFKB2;GADD45A;IRF7;BCL2L11;E2F3;GADD45G;NFKBIE;TRADD;SYK;ISG15;ENTPD1;HES1;JUN;IKBKB;MAP3K14;PIK3CB;MYC;DDB2
Oxytocin signaling pathway,1.406361940235069,0.017241379310344827,0.4168367936520165,PTGS2;FOS;CDKN1A;PPP3R2;KCNJ5;MYLK;PIK3R5;PLA2G4A;ADCY1;CACNA1S;KCNJ12;KCNJ4;KCNJ6
TGF-beta signaling pathway,-1.402805887801839,0.04878048780487805,0.34481826946104105,BMP8B;SMAD6;TGIF2;TGIF1;NODAL;FST;BMP4;TGFB2;ID3;NBL1;ACVR1C;NOG;FBN1;BMP6;AMHR2;FMOD;SMAD5;BMP5;BMPR1B;BMPR1A;BAMBI;INHBB
Apelin signaling pathway,1.4025355913161965,0.06451612903225806,0.4129156698009978,EGR1;CCN2;SERPINE1;MYLK;PIK3R5;RPS6KB2;SPP1;SPHK1;KLF2;ADCY1;ACTA2;APLNR;GNGT2;GNG13;RRAS2
Arachidonic acid metabolism,1.3864068454395821,0.09259259259259259,0.4475284355104085,PTGS2;PLA2G3;LTC4S;PLA2G4A;PTGDS;ALOX12B;PLA2G5;GGT1;GPX7;TBXAS1
Cushing syndrome,1.3836869725525893,0.04225352112676056,0.4380536321723965,CRH;CDKN1A;NR4A1;WNT10A;FZD6;WNT11;CDKN2C;RASD1;CDKN2B;CYP11A1;E2F1;E2F2;ADCY1;CRHR1;STAR;CREB3L2;CACNA1S;FZD7;WNT3
Cysteine and methionine metabolism,-1.3832815974230952,0.07142857142857142,0.368244591681967,MAT1A;TAT;IL4I1
Toll-like receptor signaling pathway,1.3815241997060703,0.018867924528301886,0.428826573193123,FOS;TLR1;NFKBIA;TLR7;MAP3K8;CD40;LY96;SPP1;CD86;TLR4;TLR5
