Term,NES,NOM p-val,FDR q-val,Lead_genes
TNF-alpha Signaling via NF-kB,2.3058037960604225,0.01,0.01,CXCL2;FOSL1;FOSB;CDKN1A;MAFF;NR4A3;CXCL10;BCL6;PLAUR;CD44;CXCL1;FOSL2;CEBPB;MAP3K8;TRIB1;BCL3;B4GALT1;ZFP36;BTG3;PER1;TNFSF9;BIRC3;SPSB1;ATF3;KLF2;F3;CEBPD;TSC22D1;ICAM1;SERPINE1;TLR2;TNFAIP3;PTGS2;SGK1;NFKBIA;DUSP2;NR4A1;TIPARP;SOCS3;NFKBIE;LAMB3;RHOB;GCH1;NFIL3;MYC;IL15RA;PMEPA1;DUSP4;ETS2;CFLAR;KLF9;IRS2;IER2;RELB;DUSP5;SDC4;REL;EGR2;NFKB2
Hypoxia,1.9652251810952706,0.01,0.01,CDKN1A;CCN2;MAFF;PLAUR;IGFBP3;CITED2;FOSL2;ISG20;ANGPTL4;ADM;SLC2A1;ERRFI1;ZFP36;HS3ST1;HAS1;CDKN1C;PGF;CXCR4;ATF3;ATP7A;F3;SRPX;SERPINE1;TNFAIP3;CP;TIPARP;VLDLR;HK2;TPST2;PGM2;NFIL3;GCNT2;SULT2B1;IRS2;STBD1;SAP30;DDIT4;SDC4;BGN;TGM2;PIM1;MYH9;NDRG1;P4HA2;IER3;ADORA2B;KDM3A;CHST2;PDK3;COL5A1;SIAH2;PFKFB3;PFKP;HSPA5
IL-6/JAK/STAT3 Signaling,1.7409139826896805,0.017857142857142856,0.029839883551673944,CSF2RB;CXCL10;CD44;CXCL1;IL1R1;CD14;MAP3K8;TNFRSF12A;TLR2;CBL;SOCS3;OSMR;FAS;IL15RA;PTPN1;CSF3R;SOCS1;PIM1;IL7;MYD88;STAT3
Androgen Response,1.7046250305904362,0.02,0.03133187772925764,STEAP4;FKBP5;ADAMTS1;B4GALT1;LIFR;MERTK;TSC22D1;SGK1;CDC14B;ELL2;ELK4;PMEPA1;ABCC4;ELOVL5;MYL12A;SPCS3;NDRG1;IQGAP2;SELENOP;PTK2B;PTPN21;MAF;HOMER2
UV Response Up,1.6949957408429486,0.01,0.025065502183406113,CXCL2;FOSB;NPTX2;SULT1A1;RRAD;BTG3;CDKN1C;SHOX2;ATF3;ICAM1;NFKBIA;NR4A1;RHOB;GCH1;CHRNA5;IGFBP2;HSPA2;PLCL1;BCL2L11
Complement,1.6242244995580135,0.01,0.03879184861717613,S100A9;MAFF;PLAUR;CXCL1;CEBPB;APOA4;F3;SERPINE1;TNFAIP3;CP;PLG;PSMB9;NOTCH4;C1QA;DOCK10;FN1;ITGAM;DOCK4;SH2B3;DUSP5;DUSP6;L3MBTL4;CPM;GNGT2;PIM1;IRF7;CFH;DGKH;RCE1;CBLB
Interferon Alpha Response,1.5404628782458627,0.01,0.0511540860885839,EPSTI1;CXCL10;ISG20;PARP14;USP18;TENT5A;IFITM1;TXNIP;TMEM140;HERC6;PSMB9;UBA7;TRIM14
Apoptosis,1.5361311991618927,0.0196078431372549,0.04699781659388646,CDKN1A;PMAIP1;TOP2A;CD44;HGF;ISG20;CD14;F2R;BTG3;BIRC3;ATF3;TNFRSF12A;TXNIP;BMF;BRCA1;RHOB;GCH1;FAS;WEE1;BCL2L1;CFLAR;AVPR1A;BGN;BCL2L11;BCL10
KRAS Signaling Up,1.4463890520445868,0.02127659574468085,0.08355167394468704,CXCL10;PLAUR;IGFBP3;ANGPTL4;TRIB1;AMMECR1;IKZF1;BIRC3;CXCR4;LY96;PRDM1;TNFAIP3;DOCK2;PTGS2;F13A1;MAFB;GALNT3;CIDEA;CBL;ETV5;TMEM158;GYPC;CD37;GADD45G;ITGB2;FBXO4;ADGRL4;RBP4;DUSP6;MMD;C3AR1
Interferon Gamma Response,1.445858806835497,0.01,0.07519650655021834,CDKN1A;EPSTI1;CSF2RB;CXCL10;ISG20;PARP14;USP18;P2RY14;TXNIP;ICAM1;TNFAIP3;PTGS2;NFKBIA;SOCS3;HERC6;GCH1;FAS;PSMB9;IL15RA;TRIM14;PTPN1;BANK1;PELI1;SOCS1;CD86;PIM1;IRF7;IFIT1;IL7;MYD88;CFH;STAT3;RNF213;PTPN2;CMKLR1;TOR1B;EIF4E3;FGL2;PFKP
