Term,NES,NOM p-val,FDR q-val,Lead_genes
IL-17 signaling pathway,2.2401538789232647,0.01,0.01,S100A9;CXCL2;FOSL1;FOSB;CXCL10;CXCL1;CEBPB;TNFAIP3;PTGS2;NFKBIA
Nicotine addiction,-1.959134891569248,0.01,0.01,SLC17A7;GABRD;SLC32A1
Transcriptional misregulation in cancer,1.9056526546884376,0.01,0.04207167767307265,CDKN1A;ZBTB16;NR4A3;BCL6;IGFBP3;CEBPB;CD14;RUNX1;NFKBIZ;SPINT1;NTRK1;BIRC3;RUNX2;AFF1;MITF;CEBPA;SMAD1;ETV5;NGFR;ELK4;MYC;GADD45G;FLI1;BCL2L1;FOXO1;ITGAM;IGF1R;DUSP6;REL;CD86;PER2;MEIS1
Synaptic vesicle cycle,-1.879058646858032,0.01,0.01,SLC17A7;SLC6A3;CPLX3;ATP6V1C2;STX2;SLC32A1
Retrograde endocannabinoid signaling,-1.841752278873218,0.01,0.011162271522254779,SLC17A7;GABRD;CACNA1S;PRKCG;GNG11;NDUFB4;ADCY1;SLC32A1;NDUFV2;NDUFA11;ABHD6;NDUFA6;MAPK12;KCNJ5;ADCY4;NDUFC2;MGLL;NDUFV3;CNR1;NDUFS4;GABRG1;NDUFA13;NDUFA2;NDUFB5;GNG13;RIMS1;ADCY8;SLC17A6;GNB4;PLCB3;NDUFS8;NDUFA1;NDUFA7;PLCB2;PRKCB;GRM5
Legionellosis,1.8318722387866346,0.01,0.07612970245603622,CXCL2;CXCL1;CD14;TLR2;NFKBIA;ITGB2;ITGAM;HSPA2;HSPA1B;NFKB2;CR1L;MYD88
TNF signaling pathway,1.8192630339232758,0.01,0.06310751650960897,CXCL2;CXCL10;CXCL1;CEBPB;MAP3K8;BCL3;VEGFD;BIRC3;MAP2K6;ICAM1;TNFAIP3;PTGS2;NFKBIA;SOCS3;FAS;CFLAR;CREB3L2
NF-kappa B signaling pathway,1.765859210574621,0.01,0.07933516361207985,CXCL2;CXCL1;IL1R1;CD14;BIRC3;LY96;ICAM1;TNFAIP3;PTGS2;NFKBIA;PRKCQ;GADD45G;CARD11;BCL2L1;CFLAR;RELB;NFKB2;EDA;BCL10;MYD88
Melanoma,1.7045514544593916,0.01,0.11419455368405432,CDKN1A;HGF;FGF7;FGF20;MITF;EGF;GADD45G;IGF1R;FGF22;FGF2;FGF10;FGF18;PIK3R1;PDGFRA;E2F2
Acute myeloid leukemia,1.6792361753777725,0.01,0.12707363868601534,ZBTB16;CD14;RUNX1;CEBPA;MYC;ITGAM;DUSP6;PER2;PIM1;PPARD;RPS6KB2;STAT3;PIK3R1;STAT5B;CCNA2;TCF7L2
