Term,NES,NOM p-val,FDR q-val,Lead_genes
Coagulation,-1.6821991782465457,0.01,0.1134020618556701,F2RL2;RGN;MMP11;THBD;DPP4;ANG;TMPRSS6;MBL2;CPN1;SERPINC1;FBN1
UV Response Dn,1.5598731526449248,0.01,0.12137757244855103,CCN1;CDON;MET;PTGFR;FZD2;GRK5;GCNT1;ITGB3;NOTCH2;MGMT;LAMC1;TFPI;MAPK14;PTPRM;NFKB1;ANXA2;COL1A1;CITED2;SMAD3;KIT;TGFBR2;SMAD7;BMPR1A;KCNMA1;PRKAR2B;MMP16;IGF1R;PPARG;TENT4A;RUNX1;KALRN
Myogenesis,-1.4130738611498672,0.01,0.7056128293241695,TNNT3;COL6A3;COL15A1;MYL2;MYBPH;MYH11;SPDEF;CKM;FST;KLF5;RYR1;MYH8;COL6A2;COL4A2;IGFBP3;MYBPC3;SGCG;MYLK
PI3K/AKT/mTOR  Signaling,-1.3542138521270448,0.0784313725490196,0.718213058419244,SLA;RIPK1;CXCR4;TNFRSF1A;SFN;STAT2;IRAK4
Spermatogenesis,-1.3445758096812919,0.0851063829787234,0.5638602520045819,TTK;TNNI3;BUB1;SHE;ELOVL3;EZH2;ZPBP;PCSK4;CSNK2A2;IL12RB2;SIRT1;NPY5R;HTR5A;ZC2HC1C;PARP2;MLLT10;CDK1;IFT88;TCP11
Inflammatory Response,-1.3172501189517367,0.041666666666666664,0.5292096219931272,GPR183;TNFRSF1B;CCL22;CLEC5A;OSMR;ITGA5;AQP9;EDN1;CD40;STAB1;BST2;RIPK2;PTGER2;RGS16;BEST1;ACVR1B;TNFSF10;DCBLD2;IL1R1
Androgen Response,-1.2881377797876632,0.07692307692307693,0.5712103856433753,KRT19;SPDEF;MAK;B4GALT1;CDK6;ABHD2;ALDH1A3;BMPR1B;KRT8
Wnt-beta Catenin Signaling,1.2632403706952882,0.15555555555555556,0.8532129357412851,JAG1;HEY2;WNT6;DLL1;FRAT1;FZD1;ADAM17;WNT5B;TCF7;AXIN1;NOTCH1;DVL2;SKP2;CUL1;HEY1;CSNK1E;HDAC2;GNAI1
Reactive Oxygen Species Pathway,-1.2577156725554461,0.14814814814814814,0.6030109638357061,HHEX;FES;SBNO2
Interferon Gamma Response,-1.2361289902452781,0.1694915254237288,0.5811855670103092,BANK1;RIPK1;RSAD2;PARP14;IFIT1;CD40;BST2;RIPK2;IFIH1;TRIM21;USP18;TNFSF10;STAT2;OAS3;PML;SOCS3;UPP1;TAP1;NCOA3;IRF1;SP110;LCP2;EIF2AK2;ISG20;VCAM1;SSPN;RNF213
Glycolysis,-1.1814983549372164,0.17543859649122806,0.6986127020491283,CLDN3;GPC4;NT5E;ANG;DSC2;B4GALT1;CXCR4;IGFBP3;SDC1;HMMR
KRAS Signaling Up,-1.1802392144029512,0.19047619047619047,0.6325315005727377,MMP11;TNFRSF1B;ADGRL4;GYPC;AMMECR1;HKDC1;NR1H4;CXCR4;RETN;IGFBP3;RGS16;ANO1;ALDH1A3;BIRC3;MYCN;RBM4;DCBLD2
p53 Pathway,1.1365927683493997,0.16981132075471697,1.0,TRIB3;OSGIN1;CDKN2B;TNFSF9;VDR;ITGB4;IRAG2;RETSAT;CASP1;APAF1;HBEGF;RNF19B;SERTAD3;POM121;DEF6;F2R;PTPRE;SPHK1;DRAM1;ADA;S100A4;VWA5A;KLK8;ZBTB16;FOS;PLK3;NUPR1;TGFA;KLF4;GPX2;RRAD;FUCA1;HRAS;ST14;NOTCH1;RB1;IFI30;SLC19A2;GM2A;PPM1D;MXD4;EPS8L2;DDB2;RRP8;PRKAB1;TRAF4
Estrogen Response Early,-1.1329868593423957,0.22727272727272727,0.7434135166093929,KCNK5;KRT19;KLK10;CALCR;EGR3;B4GALT1;ABHD2;OPN3;PDLIM3;SFN;KRT18;TGIF2;FCMR;NADSYN1;SLC37A1;NPY1R;SLC22A5;IGFBP4;CLIC3;KRT8;AFF1;CELSR1;MLPH
Angiogenesis,-1.1303741746500502,0.2558139534883721,0.6877625047728141,THBD;KCNJ8;PGLYRP1
Epithelial Mesenchymal Transition,-1.129187067249994,0.2653061224489796,0.6358269451052956,COL5A3;COL6A3;NT5E;ITGA5;FAP;FSTL3;COL6A2;COL4A2;GREM1;IGFBP3;SDC1;FBN1;OXTR;THBS2;ABI3BP;BGN;SGCG;MYLK;COL11A1;COL8A2;IGFBP4;ECM1;PLOD3;GLIPR1;FZD8;SLIT2;TGFB1;ELN;PLOD2;MFAP5;TGFBI;DST;PRRX1;MMP2;FBLN2;VCAM1;THY1
IL-2/STAT5 Signaling,-1.1225348908493353,0.25,0.6102110947471773,F2RL2;TNFRSF1B;CAPN3;NT5E;SHE;MAP3K8;COL6A1;SERPINC1;PTGER2;RGS16
Notch Signaling,1.1121645197148204,0.3829787234042553,1.0,JAG1;NOTCH2;MAML2;DLL1;FZD1;FZD5;NOTCH1;DTX1;NOTCH3;CUL1;LFNG;WNT5A;FZD7;TCF7L2;DTX4;CCND1
Adipogenesis,-1.0865988883968822,0.28846153846153844,0.6804123711340206,FZD4;COL15A1;STOM;RETN;MYLK;ANGPT1
Estrogen Response Late,-1.0826664391814569,0.2777777777777778,0.6473367697594501,KCNK5;SCUBE2;KRT19;KLK10;CALCR;EGR3;ABHD2;OPN3;PDLIM3;SFN;NPY1R;SLC22A5;IGFBP4;CLIC3;NMU
Pperoxisome,-1.0701957362119254,0.3469387755102041,0.6389057341149519,HSD11B2
mTORC1 Signaling,-1.0508502151693497,0.36363636363636365,0.6559119256713759,SLA;BUB1;CXCR4
Pancreas Beta Cells,-1.0257365393043014,0.4807692307692308,0.6817387110387652,DPP4;INSM1;PAX6;SCGN;GCK;ELP4;DCX;SEC11A;NEUROD1;NKX2-2;PCSK2;ABCC8;ISL1;SST
Complement,-0.9727933211153975,0.5185185185185185,0.8196449026345933,DPP4;ANG;GATA3;TMPRSS6;F5;COL4A2;SERPINC1;GNGT2;DYRK2;CPM;C2;IRF1;CTSC;LCP2;PRSS36;CASP9;CP;PRKCD;ACTN2;FN1;L3MBTL4;TNFAIP3;DOCK4;DOCK10;PCLO;MSRB1;RCE1;S100A9;PLAUR;IRF7;LRP1;SPOCK2;CBLB;CDK5R1
Protein Secretion,0.9724973185589303,0.4716981132075472,1.0,TSPAN8;EGFR
KRAS Signaling Dn,-0.9718417592354666,0.5555555555555556,0.7848142693503518,HSD11B2;TNNI3;SSTR4;RSAD2;CKM;COL2A1;EDN1;RYR1;MSH5
G2-M Checkpoint,0.9535690566594797,0.5,1.0,BARD1;RAD54L;POLE;CCNF;PLK1;CHAF1A;NEK2;CDKN3;NDC80;NOTCH2;AURKA;GINS2;RBL1;E2F1;E2F2;LIG3;MAPK14;SRSF2;HUS1;CDC20;MCM5;HNRNPD;HIRA;POLQ;TRAIP;DBF4;LBR;KIF15;SMAD3;SLC7A5
