Term,NES,NOM p-val,FDR q-val,Lead_genes
Steroid hormone biosynthesis,-1.8072565496365693,0.01,0.16589774379068445,HSD11B2;HSD17B1
Pentose phosphate pathway,-1.7187950698029788,0.01,0.3317954875813689,RGN;FBP1;H6PD;FBP2;RPIA
Collecting duct acid secretion,-1.7179564500715108,0.01,0.22488360824959447,ATP6V1C2
Vitamin digestion and absorption,1.704966729242861,0.01,0.18584070796460178,LRAT;SLC52A3;RBP2;SLC19A3
Histidine metabolism,1.6880352286952363,0.01,0.13274336283185842,AOC1;ALDH3B2;CNDP1;HDC;ALDH3B1;CARNMT1;ALDH3A1
Cytosolic DNA-sensing pathway,-1.6611703708685943,0.01,0.3539151867534602,STING1;RIPK1;IKBKE
Ascorbate and aldarate metabolism,-1.6246088023127798,0.03508771929824561,0.4003665550148518,RGN;KL;GUSB
Mineral absorption,-1.6057736405426157,0.03636363636363636,0.39446796856896077,SLC26A3;TRPV6;SLC9A3;ATP7B;SLC8A2;ATP2B3;SLC26A6;SLC8A1
Primary bile acid biosynthesis,-1.5956257938588567,0.1111111111111111,0.37445490741325915,SLC27A5;CH25H;CYP27A1
Retinol metabolism,1.5768213188422133,0.05263157894736842,0.4306784660766962,LRAT;BCO1;RETSAT
Aldosterone-regulated sodium reabsorption,-1.5663876862081485,0.0196078431372549,0.4327166150540353,HSD11B2;SFN;FXYD4
Shigellosis,-1.5642409591316804,0.01,0.39201022421650616,STING1;PLCZ1;RIPK1;ITPR3;TRAF5;MYL2;ITGA5;H3C6;HKDC1;RIPK2;TNFRSF1A
Ferroptosis,1.5630005752952396,0.02127659574468085,0.3694690265486726,CYBB
Oxidative phosphorylation,-1.546949128427431,0.01,0.4103204196422929,ATP6V1C2
Protein digestion and absorption,-1.5391648914845386,0.037037037037037035,0.4011709077120187,COL5A3;COL6A3;DPP4;KCNK5;COL15A1;SLC16A10;COL2A1;COL26A1;COL20A1;SLC9A3;COL19A1;COL6A1;COL6A2;COL4A2;SLC8A2;KCNJ13;COL11A2;COL11A1;COL8A2;SLC8A1
Type I diabetes mellitus,-1.516123860796354,0.08695652173913043,0.434099096252291,IL12A;PTPRN2;IL2
Tyrosine metabolism,1.4858769080733625,0.044444444444444446,0.7115044247787611,TYRP1;TPO;ALDH3B2;AOX1;ALDH3B1;ALDH3A1
Renin-angiotensin system,-1.4734102017149624,0.04,0.5376788414139106,AGTR2;ENPEP
Thyroid hormone signaling pathway,-1.4669757542960666,0.04081632653061224,0.5213929090564369,PLN;PLCZ1;SLC16A10;MYH6;ATP2A3;MED12;MED13;MED12L;NCOA3;BMP4;ESR1;PLCE1;CREBBP
Adrenergic signaling in cardiomyocytes,-1.4489005805364115,0.043478260869565216,0.5684762687227454,PLN;TNNI3;MYL2;AGTR2;ADRB2;MYH6;ATP2A3;SLC8A2;CACNA2D4;CREB3L2;ATP2B3;ADCY8
Cardiac muscle contraction,-1.4396431485676136,0.08771929824561403,0.5640523288883271,TNNI3;MYL2;MYH6;ATP2A3;SLC8A2;CACNA2D4
RIG-I-like receptor signaling pathway,-1.4303485763123718,0.021739130434782608,0.5607994319512549,STING1;RIPK1;IL12A;IKBKE;IFIH1
Herpes simplex virus 1 infection,-1.408140042791751,0.0392156862745098,0.619966012906669,STING1;TRAF5;IL12A;ITGA5;RNASEL;BST2;TICAM1;TNFRSF1A;IKBKE;IFIH1;BIRC3;POU2F2;STAT2;OAS3;IRAK4;ZFP90;PML;CFP;SOCS3;BAK1;TAP1;TRAF2
Synaptic vesicle cycle,-1.3807103505206688,0.038461538461538464,0.6961884265742407,ATP6V1C2;SLC6A13;SLC6A2;STX2;SLC18A2
Tight junction,-1.361910418508496,0.06382978723404255,0.7481988244959868,MARVELD2;CLDN3;MYL2;MYH11;CLDN14;F11R;AMOT;TUBA1C;MYL6B;OCLN;CRB3;SCRIB;TIAM1;RAB13
Systemic lupus erythematosus,-1.3533678310591775,0.0851063829787234,0.7473298363142261,H4C3;H3C6;H2BC11;CD40;H2BC7;TRIM21;H2AC6;C2;GRIN2A
Amoebiasis,1.341965353533556,0.10416666666666667,1.0,LAMA3;LAMC3;COL4A5;LAMA4;GNA15;LAMB2;LAMC1;RAB7B;PRKACA;LAMA1;NFKB1;COL1A1;COL4A1;PRKCB
Pyrimidine metabolism,-1.3357904565895933,0.12195121951219512,0.7877629227878864,NT5E;TK1;UPB1;DPYS;UPP1
Inflammatory bowel disease,-1.324466855903262,0.13157894736842105,0.8015986634755681,IL12A;GATA3;STAT6;IL12RB2;IL2;TGFB1
